Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,26.39,26.42,26.04,26.07,1466400,25.07
2009-12-30,26.30,26.38,26.12,26.31,1618300,25.30
2009-12-29,26.41,26.56,26.36,26.37,1447400,25.36
2009-12-28,26.39,26.53,26.27,26.41,1122900,25.40
2009-12-24,26.39,26.46,26.32,26.34,482000,25.33
2009-12-23,26.29,26.45,26.20,26.32,2609700,25.31
2009-12-22,26.25,26.42,26.14,26.31,2021800,25.30
2009-12-21,26.18,26.55,26.00,26.11,2645200,25.11
2009-12-18,26.00,26.15,25.78,26.03,4990400,25.03
2009-12-17,26.11,26.25,25.86,25.86,4208300,24.87
2009-12-16,26.16,26.58,26.08,26.13,6415300,25.13
2009-12-15,25.20,25.93,25.00,25.78,5832300,24.79
2009-12-14,24.87,25.19,24.87,25.00,2738300,24.04
2009-12-11,25.07,25.17,24.75,24.79,2518400,23.84
2009-12-10,24.52,25.13,24.50,25.05,6702700,24.09
2009-12-09,24.17,24.50,24.14,24.50,3550700,23.56
2009-12-08,24.63,24.68,24.20,24.23,3618500,23.30
2009-12-07,24.61,24.88,24.54,24.64,2934100,23.70
2009-12-04,24.73,24.94,24.43,24.67,3858900,23.72
2009-12-03,24.83,24.87,24.57,24.58,2598600,23.64
2009-12-02,24.51,24.93,24.51,24.76,3224700,23.81
2009-12-01,24.75,24.95,24.70,24.85,2629200,23.90
2009-11-30,24.92,24.92,24.48,24.69,3812800,23.74
2009-11-27,24.67,25.04,24.49,24.86,1372500,23.91
2009-11-25,25.19,25.19,24.96,24.98,1776100,24.02
2009-11-24,25.01,25.07,24.81,25.02,2341400,24.06
2009-11-23,24.89,25.11,24.67,24.97,4550000,24.01
2009-11-20,24.19,24.70,24.17,24.49,4907300,23.55
2009-11-19,24.60,24.61,24.12,24.21,3715900,23.28
2009-11-18,24.16,24.52,24.11,24.47,2873500,23.45
2009-11-17,24.51,24.52,24.21,24.28,2248100,23.27
2009-11-16,24.70,24.85,24.48,24.52,2766800,23.50
2009-11-13,24.09,24.68,24.09,24.60,3417900,23.58
2009-11-12,24.29,24.41,23.95,23.98,1991900,22.98
2009-11-11,24.29,24.46,24.05,24.27,1687900,23.26
2009-11-10,23.90,24.37,23.79,24.34,3084700,23.33
2009-11-09,23.75,23.86,23.53,23.81,2385700,22.82
2009-11-06,23.35,23.62,23.10,23.62,2119800,22.64
2009-11-05,23.16,23.59,23.14,23.43,3150100,22.46
2009-11-04,23.38,23.54,23.14,23.14,3638800,22.18
2009-11-03,23.72,24.00,22.78,23.20,5637900,22.24
2009-11-02,22.25,22.68,22.07,22.51,4003000,21.58
2009-10-30,22.69,22.84,22.13,22.15,5360300,21.23
2009-10-29,22.47,22.69,22.29,22.66,2855900,21.72
2009-10-28,22.81,22.89,22.28,22.28,3423600,21.36
2009-10-27,22.97,23.12,22.75,22.81,2626700,21.86
2009-10-26,23.24,23.55,22.86,22.92,2671600,21.97
2009-10-23,23.62,23.67,23.00,23.19,3132800,22.23
2009-10-22,23.46,23.64,23.33,23.49,3199000,22.52
2009-10-21,23.66,23.84,23.46,23.47,4015700,22.50
2009-10-20,23.36,23.86,23.36,23.71,3836600,22.73
2009-10-19,23.64,23.64,23.31,23.43,2138200,22.46
2009-10-16,23.24,23.73,23.24,23.53,3484900,22.55
2009-10-15,23.06,23.39,22.95,23.35,2922000,22.38
2009-10-14,22.73,23.11,22.63,23.07,3630800,22.11
2009-10-13,22.69,22.76,22.53,22.62,2824000,21.68
2009-10-12,22.67,22.85,22.61,22.74,1655700,21.80
2009-10-09,22.27,22.72,22.15,22.61,3009000,21.67
2009-10-08,22.55,22.64,22.38,22.40,2391200,21.47
2009-10-07,22.02,22.41,21.93,22.41,3387700,21.48
2009-10-06,22.03,22.23,21.76,22.15,2783000,21.23
2009-10-05,21.71,21.91,21.44,21.89,2635200,20.98
2009-10-02,21.90,21.92,21.57,21.62,2450900,20.72
