Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,54.47,54.65,53.94,53.99,2993400,48.74
2009-12-30,53.91,54.55,53.90,54.54,3590400,49.24
2009-12-29,54.63,54.93,54.22,54.26,4452700,48.99
2009-12-28,54.16,54.55,54.06,54.53,4086600,49.23
2009-12-24,54.07,54.42,54.04,54.15,1519400,48.89
2009-12-23,54.22,54.37,53.97,54.09,2757800,48.83
2009-12-22,54.04,54.29,54.02,54.12,4857900,48.86
2009-12-21,53.58,54.20,53.42,53.92,5880900,48.68
2009-12-18,53.75,53.75,53.00,53.34,9409400,48.16
2009-12-17,53.76,53.83,53.16,53.58,5406900,48.37
2009-12-16,54.25,54.45,53.77,53.88,5395700,48.64
2009-12-15,53.78,54.22,53.52,53.99,4411800,48.74
2009-12-14,53.78,54.31,53.75,53.78,4491900,48.55
2009-12-11,54.00,54.35,53.65,53.77,5346900,48.54
2009-12-10,53.57,54.34,53.53,54.07,6268800,48.82
2009-12-09,53.50,53.67,53.14,53.61,4614900,48.40
2009-12-08,53.52,53.64,52.94,53.24,5786400,48.07
2009-12-07,53.84,54.25,53.62,53.66,5333700,48.45
2009-12-04,54.57,54.65,53.40,53.78,6296300,48.55
2009-12-03,54.41,54.69,54.13,54.24,5347400,48.97
2009-12-02,54.49,54.97,54.24,54.44,5559000,49.15
2009-12-01,54.85,54.87,54.22,54.48,10214900,49.19
2009-11-30,54.20,54.55,53.69,54.49,7046000,49.19
2009-11-27,53.49,54.34,53.29,54.08,2889900,48.82
2009-11-25,54.30,54.59,54.11,54.41,4186900,49.12
2009-11-24,53.22,54.49,52.50,54.24,8639100,48.97
2009-11-23,53.72,53.84,52.98,53.13,9329100,47.97
2009-11-20,53.25,53.74,52.84,53.64,6397800,48.43
2009-11-19,52.89,53.20,52.57,52.96,6741500,47.81
2009-11-18,53.31,53.31,52.50,53.18,4831900,48.01
2009-11-17,53.62,53.62,53.08,53.31,5592600,48.13
2009-11-16,53.53,53.89,53.14,53.63,6784900,48.42
2009-11-13,53.40,53.50,52.78,52.95,5955400,47.80
2009-11-12,53.39,53.80,53.01,53.23,4780300,48.06
2009-11-11,53.42,53.55,53.01,53.26,6146800,48.08
2009-11-10,52.19,52.99,52.15,52.80,5540200,47.67
2009-11-09,51.78,52.40,51.55,52.35,5215200,47.26
2009-11-06,51.45,51.59,51.07,51.53,3994700,46.52
2009-11-05,51.04,51.77,50.98,51.62,4986500,46.60
2009-11-04,50.50,51.50,50.50,50.91,5539800,45.96
2009-11-03,50.88,50.89,50.07,50.43,6188800,45.53
2009-11-02,50.83,51.15,50.50,50.91,5676700,45.96
2009-10-30,50.83,51.20,50.40,50.57,6997000,45.66
2009-10-29,51.02,51.02,50.28,50.86,6747600,45.92
2009-10-28,51.13,51.59,51.00,51.02,5747000,46.06
2009-10-27,50.52,51.50,50.52,51.22,5805500,46.24
2009-10-26,51.38,51.72,50.52,50.89,6077200,45.94
2009-10-23,51.98,52.17,50.97,51.31,5979700,46.32
2009-10-22,51.12,52.31,50.81,52.17,7464300,47.10
2009-10-21,51.91,51.96,51.06,51.15,7040700,46.18
2009-10-20,51.98,52.31,51.73,51.86,7779800,46.82
2009-10-19,51.46,52.36,51.40,52.23,8599400,47.15
2009-10-16,51.62,51.88,51.33,51.43,8689500,46.43
2009-10-15,51.42,52.16,51.20,51.91,10071500,46.87
