Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,25.55,25.65,25.39,25.41,1959400,25.41
2009-12-30,25.48,25.63,25.39,25.52,1584800,25.52
2009-12-29,25.45,25.55,25.25,25.51,1498300,25.51
2009-12-28,25.85,25.90,25.28,25.44,2113600,25.44
2009-12-24,25.27,25.90,25.12,25.88,928300,25.88
2009-12-23,25.13,25.30,24.94,25.30,1141100,25.30
2009-12-22,25.01,25.25,24.96,25.00,1543700,25.00
2009-12-21,24.65,25.07,24.62,25.02,1815800,25.02
2009-12-18,24.38,24.65,24.18,24.61,3953700,24.61
2009-12-17,24.41,24.47,24.16,24.19,2572500,24.19
2009-12-16,24.26,24.73,24.26,24.52,2803200,24.52
2009-12-15,24.19,24.66,24.19,24.45,4137000,24.45
2009-12-14,23.80,24.61,23.40,24.56,4706900,24.56
2009-12-11,23.43,23.75,23.24,23.63,5512400,23.63
2009-12-10,23.81,24.07,23.42,23.44,5119900,23.44
2009-12-09,24.29,24.43,23.60,23.74,6622600,23.74
2009-12-08,24.67,24.70,24.19,24.50,2306300,24.50
2009-12-07,24.88,25.02,24.56,24.72,2549800,24.72
2009-12-04,24.49,25.07,23.86,24.95,8337700,24.95
2009-12-03,23.67,24.43,23.67,23.91,3886000,23.91
2009-12-02,23.90,24.01,23.30,23.91,5533400,23.91
2009-12-01,23.62,24.11,23.45,23.96,3508800,23.96
2009-11-30,23.45,23.61,23.07,23.45,3556200,23.45
2009-11-27,23.39,23.85,23.16,23.62,1690900,23.62
2009-11-25,24.00,24.21,23.67,24.03,2866900,24.03
2009-11-24,24.40,24.40,23.71,23.88,3365000,23.88
2009-11-23,24.16,24.62,23.97,24.36,5076300,24.36
2009-11-20,24.04,24.05,23.48,23.81,4633300,23.81
2009-11-19,24.16,24.37,23.74,24.05,4820400,24.05
2009-11-18,25.02,25.30,23.86,24.20,19718300,24.20
2009-11-17,27.39,27.43,26.86,27.00,7227400,27.00
2009-11-16,27.36,27.66,27.24,27.44,4144600,27.44
2009-11-13,27.10,27.48,27.00,27.25,3684100,27.25
2009-11-12,27.70,27.75,26.92,26.98,2852600,26.98
2009-11-11,27.78,27.97,27.41,27.69,1537300,27.69
2009-11-10,27.52,27.74,27.35,27.60,2084100,27.60
2009-11-09,26.49,27.62,26.17,27.59,2614600,27.59
2009-11-06,26.04,26.49,25.68,26.49,1627000,26.49
2009-11-05,25.50,26.17,25.17,26.12,1921000,26.12
2009-11-04,25.21,25.78,25.01,25.43,3571000,25.43
2009-11-03,25.12,25.25,24.73,25.23,2087000,25.23
2009-11-02,24.95,25.54,24.75,25.23,2370300,25.23
2009-10-30,25.79,25.93,24.90,24.93,2491500,24.93
2009-10-29,25.61,25.93,25.49,25.85,2353500,25.85
2009-10-28,25.87,26.07,25.48,25.48,4904200,25.48
2009-10-27,26.21,26.50,25.68,25.78,3055500,25.78
2009-10-26,26.62,26.82,25.93,26.11,3590000,26.11
2009-10-23,26.94,27.03,26.32,26.58,3379200,26.58
2009-10-22,26.91,27.18,26.51,27.08,3975500,27.08
2009-10-21,26.02,27.26,25.97,26.93,6323800,26.93
2009-10-20,25.99,26.07,25.51,25.71,3255700,25.71
2009-10-19,25.62,26.00,25.47,25.97,3133800,25.97
2009-10-16,25.36,25.58,25.00,25.49,3229800,25.49
2009-10-15,25.05,25.56,24.89,25.49,3549000,25.49
2009-10-14,25.13,25.45,24.96,25.23,3755300,25.23
2009-10-13,25.00,25.26,24.89,25.09,3375500,25.09
2009-10-12,24.48,25.21,24.17,25.02,4333700,25.02
2009-10-09,23.87,24.48,23.65,24.47,3047500,24.47
2009-10-08,23.84,24.00,23.61,23.92,3813600,23.92
2009-10-07,23.71,23.86,23.55,23.86,2203500,23.86
2009-10-06,23.25,23.85,23.11,23.76,3717100,23.76
2009-10-05,22.58,23.07,22.27,23.01,3675100,23.01
2009-10-02,22.71,22.75,22.33,22.62,4118700,22.62
2009-10-01,23.12,23.43,22.56,22.85,5423500,22.85
2009-09-30,24.22,24.49,23.41,23.80,4777500,23.80
2009-09-29,24.00,24.52,23.90,24.20,3402200,24.20
2009-09-28,23.80,24.24,23.57,24.06,2603600,24.06
2009-09-25,23.32,23.77,23.28,23.61,2994000,23.61
2009-09-24,23.80,23.99,23.35,23.52,2750800,23.52
2009-09-23,24.04,24.19,23.62,23.71,3156600,23.71
2009-09-22,23.84,24.30,23.72,23.90,2068600,23.90
2009-09-21,23.28,24.19,23.16,24.07,6113900,24.07
2009-09-18,23.52,23.79,23.20,23.54,3212900,23.54
2009-09-17,23.84,24.18,23.49,23.56,2590800,23.56
2009-09-16,23.54,24.10,23.40,24.07,3424500,24.07
2009-09-15,23.72,23.88,23.40,23.49,3018900,23.49
2009-09-14,23.93,24.12,23.76,23.92,2807400,23.92
2009-09-11,23.71,24.40,23.45,24.19,4329200,24.19
2009-09-10,22.70,23.83,22.70,23.78,5217900,23.78
2009-09-09,22.81,23.24,22.69,22.91,4370900,22.91
2009-09-08,22.78,23.13,22.64,22.81,4204000,22.81
2009-09-04,22.51,23.30,22.41,23.12,3023900,23.12
2009-09-03,22.74,22.93,22.33,22.56,3078400,22.56
2009-09-02,22.70,22.96,22.50,22.76,2686400,22.76
2009-09-01,23.54,23.99,22.69,22.70,3726400,22.70
2009-08-31,23.71,23.89,23.32,23.43,2343600,23.43
2009-08-28,24.37,24.68,23.63,23.92,2451700,23.92
2009-08-27,24.29,24.37,23.61,24.26,2339900,24.26
2009-08-26,24.21,24.59,23.98,24.19,2608200,24.19
2009-08-25,24.15,24.47,24.00,24.28,2985200,24.28
2009-08-24,24.54,24.54,23.94,24.02,3580300,24.02
2009-08-21,24.58,24.91,24.14,24.51,3852400,24.51
2009-08-20,24.28,24.59,24.17,24.27,2784800,24.27
2009-08-19,23.90,24.27,23.65,24.17,4234500,24.17
2009-08-18,24.10,24.39,23.96,24.36,4797500,24.36
2009-08-17,24.70,24.96,23.80,23.84,5652500,23.84
2009-08-14,25.21,25.61,25.03,25.38,13572900,25.38
