Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,13.66,13.72,13.31,13.31,3479800,13.26
2009-12-30,13.66,13.67,13.50,13.67,2500000,13.62
2009-12-29,13.92,13.95,13.67,13.68,3744600,13.63
2009-12-28,13.90,13.97,13.80,13.94,2762300,13.89
2009-12-24,13.88,13.98,13.80,13.89,1523900,13.84
2009-12-23,13.70,13.93,13.62,13.90,3908900,13.85
2009-12-22,13.86,13.92,13.54,13.66,4473800,13.61
2009-12-21,13.82,14.00,13.76,13.84,3496500,13.79
2009-12-18,13.90,14.13,13.73,13.76,6330500,13.71
2009-12-17,13.82,14.00,13.59,13.77,5412400,13.72
2009-12-16,13.79,14.04,13.61,14.00,7268100,13.95
2009-12-15,13.32,13.82,13.23,13.67,10625200,13.62
2009-12-14,13.22,13.49,13.06,13.46,5635200,13.41
2009-12-11,12.71,13.08,12.59,13.08,5113000,13.03
2009-12-10,12.58,12.84,12.50,12.74,7470000,12.69
2009-12-09,12.90,12.94,12.56,12.73,5799600,12.68
2009-12-08,13.16,13.19,12.81,12.87,5298300,12.82
2009-12-07,13.38,13.49,13.25,13.29,4851800,13.24
2009-12-04,13.21,13.38,12.96,13.36,12726400,13.31
2009-12-03,13.07,13.20,12.92,13.00,4674000,12.95
2009-12-02,13.16,13.35,13.00,13.06,6082100,13.01
2009-12-01,12.83,13.18,12.83,13.14,6708000,13.09
2009-11-30,12.82,12.91,12.62,12.74,6611200,12.69
2009-11-27,12.67,12.99,12.56,12.78,3822300,12.73
2009-11-25,12.69,13.23,12.61,13.20,6108200,13.15
2009-11-24,12.81,12.90,12.59,12.65,6118800,12.60
2009-11-23,12.84,12.92,12.73,12.84,8673400,12.79
2009-11-20,12.79,12.85,12.56,12.65,10599200,12.60
2009-11-19,13.23,13.24,12.78,12.85,8682900,12.80
2009-11-18,13.25,13.47,13.23,13.29,4713800,13.24
2009-11-17,13.63,13.65,13.21,13.30,5920500,13.25
2009-11-16,13.56,13.76,13.38,13.66,6124800,13.61
2009-11-13,13.07,13.49,13.07,13.39,6412400,13.34
2009-11-12,13.50,13.66,13.03,13.06,9127400,13.01
2009-11-11,13.97,13.98,13.50,13.59,14172600,13.54
2009-11-10,13.79,13.96,13.70,13.81,13062600,13.76
2009-11-09,13.98,14.12,13.62,13.92,18973300,13.87
2009-11-06,13.74,14.46,13.63,14.03,12662300,13.98
2009-11-05,13.43,13.87,13.43,13.86,4279300,13.81
2009-11-04,13.41,13.78,13.24,13.30,6964400,13.25
2009-11-03,13.13,13.39,13.10,13.31,5404200,13.26
2009-11-02,13.06,13.61,12.95,13.21,7753400,13.16
2009-10-30,13.49,13.57,12.95,13.07,11762300,13.02
2009-10-29,12.98,13.55,12.95,13.54,8741700,13.49
2009-10-28,13.70,13.72,12.78,12.81,11483400,12.76
