Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,48.78,49.52,48.31,48.82,471600,24.41
2009-12-30,48.32,48.67,48.00,48.65,367800,24.33
2009-12-29,48.79,48.79,48.15,48.28,416600,24.14
2009-12-28,48.50,48.61,48.22,48.44,214000,24.22
2009-12-24,48.31,48.63,48.26,48.47,154000,24.24
2009-12-23,48.33,48.86,47.82,48.28,459400,24.14
2009-12-22,47.81,48.68,47.72,48.56,720000,24.28
2009-12-21,47.79,48.40,47.75,47.81,809000,23.91
2009-12-18,47.29,47.88,47.14,47.75,1071200,23.88
2009-12-17,46.96,47.52,46.85,47.02,1007600,23.51
2009-12-16,47.00,47.63,46.79,47.02,707000,23.51
2009-12-15,46.62,47.17,46.32,47.17,751200,23.58
2009-12-14,46.83,47.23,46.62,46.66,1254000,23.33
2009-12-11,45.96,46.87,45.75,46.77,1057000,23.39
2009-12-10,45.78,46.27,45.39,45.98,732000,22.99
2009-12-09,45.65,45.71,44.60,45.60,564600,22.80
2009-12-08,45.23,45.77,44.48,45.47,667400,22.74
2009-12-07,45.11,45.57,44.95,45.30,1369600,22.65
2009-12-04,45.57,45.85,44.55,44.95,1241000,22.48
2009-12-03,46.18,46.48,45.64,45.65,1086000,22.83
2009-12-02,46.34,46.61,46.04,46.31,833400,23.16
2009-12-01,45.46,46.66,45.46,46.10,1694000,23.05
2009-11-30,44.89,45.71,44.79,45.38,1498800,22.69
2009-11-27,43.69,45.00,43.69,44.62,402400,22.31
2009-11-25,44.89,45.20,44.66,45.14,478400,22.57
2009-11-24,43.96,44.72,43.56,44.71,698400,22.35
2009-11-23,43.97,44.40,43.44,43.71,1185400,21.85
2009-11-20,44.16,44.27,43.63,43.70,858800,21.85
2009-11-19,45.07,45.16,43.96,44.16,976800,22.08
2009-11-18,45.13,45.31,44.90,45.21,662600,22.60
2009-11-17,45.06,45.37,45.02,45.37,931600,22.68
2009-11-16,43.91,45.49,43.84,45.36,1416800,22.68
2009-11-13,43.39,44.09,43.30,43.90,1065800,21.95
2009-11-12,43.94,44.16,43.26,43.54,1559800,21.77
2009-11-11,44.40,45.04,43.94,44.20,1116200,22.10
2009-11-10,44.21,45.11,43.77,44.55,1719400,22.27
2009-11-09,45.01,45.46,44.26,44.46,1501200,22.23
2009-11-06,44.55,45.44,44.55,45.03,1051200,22.51
2009-11-05,43.76,45.19,43.76,45.19,1639400,22.59
2009-11-04,44.51,44.69,43.51,43.65,1350400,21.83
2009-11-03,43.10,44.49,43.00,44.49,1679800,22.25
2009-11-02,44.78,44.90,43.04,43.54,2647800,21.77
2009-10-30,44.95,45.75,44.39,44.41,1326000,22.20
2009-10-29,46.04,46.04,44.82,44.90,1852000,22.45
2009-10-28,48.21,48.37,45.00,45.14,2912400,22.57
2009-10-27,48.21,48.90,48.05,48.06,2305400,24.03
2009-10-26,48.26,48.80,47.75,47.99,2028800,24.00
2009-10-23,47.99,48.93,47.87,47.97,2596000,23.99
2009-10-22,47.10,48.03,46.01,47.81,5870800,23.91
2009-10-21,44.90,45.17,43.81,44.13,1682600,22.07
2009-10-20,45.88,46.18,44.51,44.80,1024400,22.40
2009-10-19,45.92,46.78,45.67,45.99,1156400,23.00
2009-10-16,45.56,46.16,45.44,46.02,799600,23.01
2009-10-15,44.53,46.16,44.44,45.87,1069600,22.93
2009-10-14,44.61,44.93,43.82,44.91,1264600,22.45
2009-10-13,44.42,45.20,43.86,43.98,651000,21.99
2009-10-12,44.53,44.95,44.39,44.51,441200,22.25
2009-10-09,44.29,44.88,44.29,44.66,350800,22.33
2009-10-08,44.12,44.61,43.66,44.48,1253600,22.24
