Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,15.09,15.24,15.01,15.06,94322600,14.87
2009-12-30,15.04,15.10,14.97,15.07,86897900,14.88
2009-12-29,15.30,15.33,15.10,15.12,83089500,14.93
2009-12-28,15.31,15.41,15.15,15.29,102573300,15.10
2009-12-24,15.23,15.28,15.20,15.25,36611800,15.06
2009-12-23,15.46,15.47,15.15,15.19,102116100,15.00
2009-12-22,15.36,15.44,15.32,15.33,104061100,15.14
2009-12-21,15.21,15.44,15.20,15.28,153571100,15.09
2009-12-18,15.01,15.25,14.88,15.03,202871600,14.84
2009-12-17,15.27,15.36,14.83,14.86,268907300,14.67
2009-12-16,15.33,15.44,15.23,15.28,166373000,15.09
2009-12-15,15.45,15.51,15.15,15.19,190193100,15.00
2009-12-14,15.67,15.73,15.43,15.63,128586100,15.43
2009-12-11,15.32,15.70,15.21,15.63,194958400,15.43
2009-12-10,15.58,15.65,15.09,15.21,254946200,15.02
2009-12-09,15.45,15.57,15.25,15.39,199467800,15.20
2009-12-08,15.72,15.86,15.37,15.41,312296800,15.22
2009-12-07,16.25,16.29,15.83,15.89,291029100,15.69
2009-12-04,15.76,16.40,15.62,16.28,1226791300,16.08
2009-12-03,16.25,16.74,15.68,15.76,651715900,15.56
2009-12-02,15.82,15.83,15.54,15.65,130213100,15.45
2009-12-01,16.04,16.09,15.67,15.90,143216700,15.69
2009-11-30,15.59,15.89,15.54,15.85,129973500,15.64
2009-11-27,15.32,15.76,15.20,15.47,96712700,15.27
2009-11-25,16.21,16.27,15.90,15.95,97450200,15.74
2009-11-24,16.21,16.31,15.99,16.10,118077000,15.89
2009-11-23,16.28,16.47,16.17,16.29,138294900,16.08
2009-11-20,16.03,16.19,15.97,16.09,128329800,15.88
2009-11-19,16.24,16.47,16.03,16.08,158923100,15.87
2009-11-18,15.88,16.38,15.87,16.35,179789700,16.14
2009-11-17,15.81,15.82,15.59,15.77,110912100,15.56
2009-11-16,16.16,16.26,15.76,15.87,153962000,15.66
2009-11-13,16.08,16.19,15.85,15.98,125121900,15.77
2009-11-12,16.36,16.57,15.99,16.06,154405900,15.85
2009-11-11,16.23,16.62,16.20,16.43,184673700,16.21
2009-11-10,15.85,16.20,15.73,16.03,195721000,15.82
