Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,53.81,53.83,53.31,53.50,1680400,53.50
2009-12-30,53.35,54.00,53.15,53.70,1861000,53.70
2009-12-29,53.37,53.56,53.09,53.40,2020000,53.40
2009-12-28,52.16,53.29,52.16,53.27,2181900,53.27
2009-12-24,52.22,52.50,51.91,52.24,630900,52.24
2009-12-23,52.49,52.77,52.16,52.16,3345000,52.16
2009-12-22,51.09,52.63,51.02,52.32,4175900,52.32
2009-12-21,50.21,51.25,50.21,51.09,3636100,51.09
2009-12-18,49.52,50.45,49.31,50.07,6382400,50.07
2009-12-17,50.00,50.07,49.11,49.45,3977200,49.45
2009-12-16,49.49,50.47,49.31,50.25,4815200,50.25
2009-12-15,48.94,49.56,48.34,49.43,3072800,49.43
2009-12-14,48.75,49.25,48.75,48.87,2715400,48.87
2009-12-11,48.33,48.93,48.17,48.65,2581500,48.65
2009-12-10,48.11,48.66,48.11,48.26,2182800,48.26
2009-12-09,47.90,48.26,47.55,48.17,2942600,48.17
2009-12-08,47.95,48.25,47.46,48.06,2831400,48.06
2009-12-07,47.96,48.45,47.82,48.30,2471600,48.30
2009-12-04,47.63,48.30,47.52,48.18,2882900,48.18
2009-12-03,47.64,47.95,47.29,47.38,2436800,47.38
2009-12-02,47.91,48.32,47.47,47.74,2629800,47.74
2009-12-01,47.10,48.00,46.94,47.84,2296700,47.84
2009-11-30,47.40,47.59,46.93,46.94,3450600,46.94
2009-11-27,46.44,47.71,46.11,46.92,1476200,46.92
2009-11-25,47.26,47.70,47.18,47.45,1477700,47.45
2009-11-24,47.01,47.49,46.79,47.38,3118800,47.38
2009-11-23,46.67,47.20,46.35,46.79,2437600,46.79
2009-11-20,45.60,46.52,45.56,46.38,2829100,46.38
2009-11-19,46.10,46.30,45.54,45.85,3073600,45.85
2009-11-18,45.95,46.33,45.68,46.16,2593800,46.16
2009-11-17,46.23,46.41,45.88,46.05,4285700,46.05
2009-11-16,46.77,46.95,46.40,46.53,5304900,46.53
2009-11-13,46.33,47.06,46.31,46.72,2806600,46.72
2009-11-12,46.36,46.80,46.10,46.50,3910200,46.50
2009-11-11,45.46,46.55,45.45,46.43,3894300,46.43
2009-11-10,45.03,46.15,45.00,45.51,4664700,45.51
2009-11-09,45.64,45.76,44.91,45.41,4801800,45.41
2009-11-06,44.44,46.47,44.11,45.76,8636900,45.76
2009-11-05,43.00,44.72,42.99,44.39,6792100,44.39
2009-11-04,43.31,43.31,42.68,42.80,5209500,42.80
2009-11-03,42.70,43.44,42.54,43.25,4420200,43.25
2009-11-02,42.86,43.29,42.31,42.59,4535300,42.59
2009-10-30,42.85,43.41,42.10,42.13,3532100,42.13
2009-10-29,43.63,43.71,41.75,43.08,5338600,43.08
2009-10-28,44.12,44.96,43.48,43.53,3395700,43.53
2009-10-27,44.28,45.11,44.25,44.55,4735200,44.55
2009-10-26,43.83,44.66,43.55,44.13,4805800,44.13
2009-10-23,45.00,45.09,43.58,43.81,11117100,43.81
2009-10-22,46.38,47.59,46.30,47.23,3647200,47.23
2009-10-21,47.41,47.66,46.26,46.43,6037200,46.43
2009-10-20,48.32,48.80,47.33,48.06,5792300,48.06
2009-10-19,49.36,50.01,49.03,49.39,2301000,49.39
2009-10-16,49.53,49.68,48.58,49.20,3509800,49.20
2009-10-15,49.97,50.07,49.57,49.79,3262100,49.79
2009-10-14,49.14,50.28,49.14,50.04,3249900,50.04
2009-10-13,48.53,48.98,48.38,48.80,1378700,48.80
2009-10-12,49.10,49.35,48.36,48.69,1592300,48.69
2009-10-09,48.93,49.05,48.41,49.01,1560100,49.01
2009-10-08,49.59,49.59,48.47,48.60,1871900,48.60
2009-10-07,49.42,49.42,48.72,49.17,1383400,49.17
2009-10-06,48.68,49.46,48.35,49.02,1967700,49.02
2009-10-05,48.90,48.98,48.34,48.54,2096700,48.54
2009-10-02,49.48,49.48,48.69,48.89,2453200,48.89
2009-10-01,50.44,50.48,49.25,49.34,3249500,49.34
2009-09-30,50.89,50.90,49.87,50.52,3463300,50.52
2009-09-29,50.56,52.12,50.00,51.41,4462000,51.41
2009-09-28,50.12,51.25,50.03,50.57,1407800,50.57
2009-09-25,50.33,50.37,50.00,50.11,2121200,50.11
2009-09-24,50.35,50.64,49.99,50.23,1682200,50.23
2009-09-23,50.57,51.04,50.17,50.23,1340900,50.23
2009-09-22,50.84,50.95,49.90,50.53,1829400,50.53
2009-09-21,49.82,51.36,49.30,50.89,2482200,50.89
2009-09-18,50.81,50.81,49.84,50.00,3794800,50.00
2009-09-17,51.27,51.35,50.25,50.45,3203700,50.45
2009-09-16,51.40,51.72,51.06,51.55,2481500,51.55
2009-09-15,50.60,51.49,50.40,51.41,2046200,51.41
2009-09-14,50.35,51.20,50.35,50.83,2294100,50.83
2009-09-11,50.63,50.99,50.08,50.84,1929400,50.84
2009-09-10,51.21,51.21,50.21,50.33,2538700,50.33
2009-09-09,51.13,51.50,50.49,51.04,2861500,51.04
2009-09-08,51.06,51.70,51.01,51.18,2888800,51.18
2009-09-04,50.90,51.09,50.29,51.01,4276300,51.01
2009-09-03,49.07,49.97,49.05,49.91,2371600,49.91
2009-09-02,48.78,49.47,48.64,49.19,2061800,49.19
