Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,27.99,28.19,27.93,27.97,3768700,26.47
2009-12-30,27.41,28.08,27.30,28.02,4644500,26.52
2009-12-29,27.61,27.80,27.57,27.63,4145700,26.15
2009-12-28,27.77,27.77,27.48,27.66,4423300,26.18
2009-12-24,27.49,27.76,27.49,27.76,1571800,26.27
2009-12-23,27.45,27.72,27.34,27.65,5359600,26.17
2009-12-22,27.19,27.61,26.94,27.52,5348500,26.04
2009-12-21,26.88,27.26,26.76,27.22,6682600,25.76
2009-12-18,26.72,26.87,26.50,26.77,10483500,25.33
2009-12-17,26.62,26.90,26.51,26.59,7012100,25.16
2009-12-16,26.81,27.06,26.65,26.86,7652000,25.42
2009-12-15,26.96,26.96,26.57,26.61,11490700,25.18
2009-12-14,27.06,27.18,26.79,27.04,5912900,25.59
2009-12-11,27.14,27.31,26.71,26.94,11312100,25.49
2009-12-10,27.43,27.71,27.00,27.12,6907600,25.66
2009-12-09,27.00,27.29,26.80,27.14,8351700,25.68
2009-12-08,26.76,27.13,26.65,26.91,9624500,25.47
2009-12-07,26.92,27.17,26.69,26.81,10214500,25.37
2009-12-04,27.35,27.46,26.56,26.93,13468300,25.49
2009-12-03,27.23,27.72,26.69,26.75,12745000,25.31
2009-12-02,26.83,27.42,26.78,27.36,10029600,25.89
2009-12-01,26.74,26.99,26.40,26.95,15576800,25.50
2009-11-30,26.23,26.67,26.17,26.64,7898500,25.21
2009-11-27,26.00,26.80,25.90,26.30,6027400,24.89
2009-11-25,26.45,26.76,26.45,26.62,5746400,25.19
2009-11-24,26.79,26.83,26.29,26.45,6779400,25.03
2009-11-23,26.54,26.83,26.35,26.80,7126300,25.36
2009-11-20,26.14,26.66,26.01,26.19,8903300,24.78
2009-11-19,26.50,26.76,26.25,26.28,13714400,24.87
2009-11-18,26.97,27.02,26.70,26.76,12806300,25.32
2009-11-17,27.00,27.20,26.86,26.93,8503400,25.49
2009-11-16,27.81,27.84,26.94,27.15,12895600,25.69
2009-11-13,27.41,27.63,27.10,27.45,7437400,25.98
2009-11-12,27.46,28.13,27.25,27.30,11479300,25.84
2009-11-11,27.14,27.64,27.14,27.52,8036100,26.04
2009-11-10,27.34,27.43,26.75,26.88,7338800,25.44
2009-11-09,27.26,27.45,26.98,27.45,7506700,25.98
2009-11-06,26.31,27.00,26.20,26.90,10467600,25.46
2009-11-05,26.12,26.78,26.03,26.73,11342000,25.30
2009-11-04,26.78,26.83,25.80,25.84,13445000,24.45
2009-11-03,26.83,26.85,25.96,26.42,11346900,25.00
2009-11-02,26.92,27.56,26.22,26.97,10819200,25.52
2009-10-30,27.79,27.90,26.65,26.66,12112900,25.23
2009-10-29,27.72,28.13,27.41,28.12,10746000,26.61
2009-10-28,27.61,28.09,27.26,27.27,13576500,25.81
2009-10-27,28.54,28.73,27.53,27.76,13183600,26.19
2009-10-26,29.64,29.70,28.38,28.49,14704400,26.87
2009-10-23,29.25,29.94,29.05,29.67,16478600,27.99
2009-10-22,28.58,29.40,28.28,29.25,16854100,27.59
2009-10-21,28.76,28.90,28.05,28.06,16208900,26.47
2009-10-20,28.80,29.56,28.25,28.90,22212900,27.26
2009-10-19,27.39,27.43,26.95,27.23,11496700,25.69
2009-10-16,27.80,27.95,27.19,27.24,11918100,25.69
2009-10-15,27.98,28.35,27.74,28.13,11618000,26.53
2009-10-14,28.17,28.24,27.27,28.18,20504600,26.58
2009-10-13,28.43,28.59,27.61,27.74,12629800,26.17
2009-10-12,28.92,28.92,28.39,28.63,5685800,27.01
2009-10-09,28.32,28.72,28.27,28.68,8055900,27.05
2009-10-08,28.64,28.90,28.15,28.47,12895300,26.86
2009-10-07,28.17,28.61,28.00,28.50,9342300,26.88
2009-10-06,27.92,28.27,27.78,28.17,10728700,26.57
