Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,31.99,32.02,31.43,31.47,3139800,30.49
2009-12-30,31.20,32.00,31.20,31.85,3838400,30.86
2009-12-29,31.64,31.70,31.00,31.30,4628300,30.33
2009-12-28,32.20,32.29,31.43,31.62,3455000,30.64
2009-12-24,31.52,32.29,31.52,32.19,2142800,31.19
2009-12-23,32.03,32.09,31.42,31.54,5142700,30.56
2009-12-22,31.84,32.10,31.75,32.00,5405300,31.00
2009-12-21,31.59,32.00,31.57,31.97,5254200,30.97
2009-12-18,31.31,31.55,31.05,31.55,9879200,30.57
2009-12-17,31.53,31.86,31.10,31.16,6250300,30.19
2009-12-16,30.61,31.89,30.35,31.73,15499400,30.74
2009-12-15,30.50,30.94,30.19,30.35,7127800,29.41
2009-12-14,30.37,30.63,30.18,30.56,6295000,29.61
2009-12-11,31.41,31.55,30.07,30.16,11938500,29.22
2009-12-10,31.39,31.75,31.33,31.39,7455700,30.41
2009-12-09,30.68,31.31,30.43,31.27,5346100,30.30
2009-12-08,30.77,31.08,30.48,30.78,6042600,29.82
2009-12-07,30.68,31.40,30.52,31.06,7110600,30.09
2009-12-04,30.85,31.17,30.15,30.77,7580700,29.81
2009-12-03,30.46,30.66,30.21,30.30,5784800,29.36
2009-12-02,30.11,30.79,30.10,30.44,4688200,29.49
2009-12-01,29.58,30.28,29.54,30.18,7502100,29.24
2009-11-30,29.00,29.31,28.61,29.20,5749900,28.29
2009-11-27,28.55,29.36,28.43,28.97,3202000,28.07
2009-11-25,29.32,29.67,29.23,29.56,3223700,28.64
2009-11-24,29.13,29.46,28.91,29.30,5811000,28.39
2009-11-23,29.10,29.59,29.00,29.25,6307700,28.34
2009-11-20,28.86,29.03,28.30,28.76,9307500,27.86
2009-11-19,29.54,29.54,28.77,29.16,8292000,28.25
2009-11-18,29.90,30.07,29.53,30.04,6388500,29.10
2009-11-17,30.06,30.39,29.86,30.15,11060500,29.21
2009-11-16,28.95,30.07,28.93,30.00,15395400,29.07
2009-11-13,28.54,29.05,28.36,28.89,4746700,27.99
2009-11-12,28.46,28.99,28.36,28.41,4915000,27.53
2009-11-11,28.81,29.00,28.34,28.67,8335400,27.78
2009-11-10,28.09,28.84,28.02,28.73,10610400,27.84
2009-11-09,27.10,28.34,27.10,28.29,11571400,27.41
2009-11-06,26.95,27.38,26.75,26.88,7669800,26.04
2009-11-05,26.73,27.39,26.65,27.18,9518400,26.33
2009-11-04,26.12,26.93,26.12,26.41,8163400,25.59
2009-11-03,26.10,26.28,25.76,25.99,14275200,25.18
2009-11-02,26.54,26.78,26.05,26.38,11454100,25.56
2009-10-30,26.98,27.11,26.23,26.61,9974100,25.78
2009-10-29,26.81,27.20,26.69,26.89,7319300,26.05
2009-10-28,27.09,27.50,26.60,26.65,9628900,25.82
2009-10-27,27.99,28.25,27.00,27.25,10300400,26.40
2009-10-26,28.60,29.07,27.71,27.98,15061400,27.11
2009-10-23,28.69,28.90,27.44,28.50,34572000,27.61
2009-10-22,30.33,30.93,29.80,30.73,12525200,29.77
2009-10-21,30.51,31.17,30.22,30.31,8152000,29.37
2009-10-20,30.64,31.10,30.22,30.61,8049400,29.66
2009-10-19,30.08,30.39,29.90,30.37,5583200,29.42
2009-10-16,30.11,30.19,29.21,29.98,11648800,29.05
2009-10-15,30.81,30.87,30.26,30.38,7841500,29.43
2009-10-14,30.93,31.10,30.41,31.04,10475500,30.07
2009-10-13,30.04,30.99,30.00,30.21,10376900,29.27
2009-10-12,29.76,30.31,29.76,30.14,11243500,29.20
2009-10-09,28.44,29.58,28.40,29.54,13429200,28.62
2009-10-08,29.43,29.55,28.40,28.54,20790400,27.65
2009-10-07,29.83,30.18,29.54,29.94,9431900,29.01
2009-10-06,29.42,29.95,29.32,29.81,8541100,28.88
2009-10-05,29.00,29.30,28.29,29.07,9832300,28.16
2009-10-02,28.42,29.52,28.30,28.63,13252200,27.74
2009-10-01,30.58,30.79,28.77,28.77,14522200,27.87
2009-09-30,30.02,30.87,29.62,30.69,12303000,29.73
2009-09-29,30.88,31.05,29.71,29.73,11341900,28.80
2009-09-28,29.44,30.26,29.33,29.86,5892700,28.93
2009-09-25,29.17,29.61,29.06,29.15,12114200,28.24
