Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,3290.00,3301.00,3280.00,3286.00,19500,65.72
2009-12-30,3283.00,3289.50,3280.00,3289.50,11200,65.79
2009-12-29,3285.00,3289.50,3270.00,3280.00,22100,65.60
2009-12-28,3280.00,3290.00,3275.00,3285.50,21600,65.71
2009-12-24,3282.00,3296.00,3275.00,3287.00,12200,65.74
2009-12-23,3292.00,3299.00,3275.00,3286.00,20800,65.72
2009-12-22,3306.00,3306.00,3286.50,3305.00,22300,66.10
2009-12-21,3290.50,3305.50,3286.00,3299.00,54500,65.98
2009-12-18,3280.00,3303.50,3263.50,3303.50,38000,66.07
2009-12-17,3309.00,3309.00,3276.00,3288.50,30900,65.77
2009-12-16,3319.00,3323.00,3301.50,3308.50,42200,66.17
2009-12-15,3308.00,3325.00,3289.00,3310.00,57800,66.20
2009-12-14,3306.00,3313.50,3288.00,3313.00,24400,66.26
2009-12-11,3281.50,3295.00,3270.00,3287.00,27500,65.74
2009-12-10,3294.00,3304.00,3261.00,3276.00,36700,65.52
2009-12-09,3320.00,3320.00,3275.00,3284.00,32800,65.68
2009-12-08,3320.00,3320.00,3296.00,3314.00,32200,66.28
2009-12-07,3310.00,3338.50,3305.00,3315.50,27400,66.31
2009-12-04,3324.00,3326.00,3303.00,3320.00,30400,66.40
2009-12-03,3349.50,3350.00,3291.00,3291.00,39600,65.82
2009-12-02,3363.00,3365.50,3331.00,3337.00,30000,66.74
2009-12-01,3373.00,3373.00,3347.50,3352.50,66700,67.05
2009-11-30,3361.00,3366.00,3333.50,3353.00,44600,67.06
2009-11-27,3369.50,3400.00,3360.00,3382.00,29000,67.64
2009-11-25,3427.50,3479.50,3395.00,3403.00,36000,68.06
2009-11-24,3450.00,3450.00,3398.00,3415.00,31000,68.30
2009-11-23,3466.00,3482.00,3430.00,3440.00,30500,68.80
2009-11-20,3443.00,3459.00,3436.00,3447.00,23100,68.94
2009-11-19,3450.00,3451.00,3427.50,3450.00,28900,69.00
2009-11-18,3435.00,3474.50,3435.00,3452.00,40400,69.04
2009-11-17,3434.00,3445.50,3425.50,3430.00,24800,68.60
2009-11-16,3430.00,3443.00,3402.00,3431.50,34000,68.63
2009-11-13,3412.00,3430.00,3397.00,3411.00,34900,68.22
2009-11-12,3404.00,3410.00,3373.50,3403.50,28300,68.07
2009-11-11,3405.00,3417.00,3391.00,3395.00,37600,67.90
2009-11-10,3445.00,3445.00,3385.00,3385.00,46900,67.70
2009-11-09,3500.00,3500.00,3425.00,3425.00,69300,68.50
