Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,41.91,42.49,41.80,41.80,1726700,41.80
2009-12-30,41.67,41.91,41.51,41.62,1422300,41.62
2009-12-29,42.47,42.47,41.47,41.94,1593100,41.94
2009-12-28,42.37,42.38,41.82,42.31,1892400,42.31
2009-12-24,41.96,42.28,41.92,42.04,604400,42.04
2009-12-23,40.96,42.17,40.56,42.09,3143600,42.09
2009-12-22,40.54,40.96,40.38,40.67,2168000,40.67
2009-12-21,40.23,40.84,40.11,40.39,1902000,40.39
2009-12-18,39.91,40.06,39.34,39.88,3820100,39.88
2009-12-17,38.96,39.92,38.91,39.54,2904200,39.54
2009-12-16,39.10,39.76,38.92,39.46,2312100,39.46
2009-12-15,38.49,39.51,38.21,38.87,2719500,38.87
2009-12-14,38.21,38.74,38.21,38.54,2401500,38.54
2009-12-11,37.99,38.17,37.42,37.95,3255000,37.95
2009-12-10,37.15,37.79,36.98,37.65,2650000,37.65
2009-12-09,36.68,37.00,36.00,36.76,2561800,36.76
2009-12-08,37.02,37.11,36.27,36.45,2959800,36.45
2009-12-07,37.24,38.09,37.08,37.27,3418800,37.27
2009-12-04,37.94,38.50,36.71,37.35,3338600,37.35
2009-12-03,38.26,38.56,37.26,37.34,2341000,37.34
2009-12-02,38.02,38.56,37.63,38.19,2715300,38.19
2009-12-01,38.37,38.72,38.22,38.36,2565500,38.36
2009-11-30,37.15,37.90,37.02,37.80,3235000,37.80
2009-11-27,37.25,37.46,36.65,37.24,2048100,37.24
2009-11-25,38.23,38.58,37.55,38.49,1813000,38.49
2009-11-24,38.05,38.36,37.42,38.20,2438000,38.20
2009-11-23,38.29,38.86,37.92,38.24,3414500,38.24
2009-11-20,38.51,38.71,37.21,37.48,4191500,37.48
2009-11-19,40.49,40.51,38.24,38.78,5260300,38.78
2009-11-18,41.49,41.83,40.52,40.59,7543800,40.59
2009-11-17,41.30,41.49,40.30,41.37,3961900,41.37
2009-11-16,40.34,41.75,40.34,41.38,2223400,41.38
2009-11-13,39.85,40.44,39.08,40.06,2481900,40.06
2009-11-12,40.85,41.38,39.58,39.80,2331600,39.80
2009-11-11,41.55,41.85,40.75,41.16,2413900,41.16
2009-11-10,40.72,41.26,40.11,40.83,2173100,40.83
2009-11-09,39.84,40.90,39.78,40.81,2171200,40.81
2009-11-06,38.93,39.95,38.81,39.24,2116300,39.24
2009-11-05,38.85,39.66,38.51,39.47,2776100,39.47
2009-11-04,39.16,39.90,38.25,38.47,6103700,38.47
2009-11-03,36.52,38.48,35.52,38.38,4918400,38.38
2009-11-02,37.06,38.06,36.56,37.42,4170400,37.42
2009-10-30,38.98,38.98,36.82,36.97,4257100,36.97
2009-10-29,38.03,39.16,38.02,39.10,2756400,39.10
2009-10-28,39.12,39.13,37.45,37.56,2895200,37.56
2009-10-27,39.32,39.78,38.82,39.13,3042200,39.13
2009-10-26,40.44,41.18,39.04,39.21,2776100,39.21
2009-10-23,41.26,41.49,39.65,40.16,2837200,40.16
2009-10-22,40.73,41.34,39.81,41.16,2867900,41.16
2009-10-21,40.73,42.13,40.41,40.79,3169300,40.79
2009-10-20,41.83,41.91,40.40,40.95,2348400,40.95
2009-10-19,41.63,42.06,41.22,41.82,2288500,41.82
2009-10-16,41.80,42.39,41.05,41.59,3385200,41.59
2009-10-15,41.06,42.14,40.80,42.14,3685800,42.14
2009-10-14,40.64,41.29,40.29,41.24,3274400,41.24
2009-10-13,40.14,40.31,39.08,39.87,2195000,39.87
2009-10-12,39.70,40.70,39.47,40.16,2640600,40.16
2009-10-09,39.24,39.72,39.02,39.51,2825600,39.51
2009-10-08,38.91,39.63,38.44,39.35,3447000,39.35
2009-10-07,38.34,38.73,37.96,38.54,2571400,38.54
2009-10-06,37.86,38.72,37.72,38.40,2762000,38.40
2009-10-05,35.99,37.29,35.83,37.28,2862800,37.28
2009-10-02,35.69,36.33,35.37,35.92,2489900,35.92
2009-10-01,37.74,37.92,36.20,36.24,4552400,36.24
2009-09-30,38.33,38.44,37.10,37.82,3396900,37.82
2009-09-29,38.02,38.58,37.65,38.11,2867100,38.11
2009-09-28,37.06,38.12,36.86,38.12,2511300,38.12
2009-09-25,36.84,37.44,36.69,36.91,2256200,36.91
2009-09-24,38.19,38.19,36.83,37.11,2565800,37.11
2009-09-23,39.07,39.50,38.03,38.27,2703400,38.27
2009-09-22,39.49,39.53,38.61,39.12,2941700,39.12
2009-09-21,37.92,39.00,37.77,38.80,2883900,38.80
2009-09-18,39.01,39.02,38.14,38.77,2825000,38.77
2009-09-17,39.25,39.72,38.49,38.60,3294700,38.60
2009-09-16,38.84,39.50,38.73,39.35,3716000,39.35
2009-09-15,38.52,38.83,37.63,38.75,4116800,38.75
2009-09-14,36.97,38.32,36.57,38.26,3067100,38.26
2009-09-11,37.13,37.62,36.79,37.33,4762400,37.33
2009-09-10,36.82,37.16,36.36,36.82,4868800,36.82
2009-09-09,37.09,37.18,36.35,36.78,3114900,36.78
2009-09-08,36.40,37.28,36.40,36.83,2988100,36.83
2009-09-04,35.01,36.08,35.00,35.98,2006800,35.98
2009-09-03,34.40,35.25,34.17,35.18,2837100,35.18
2009-09-02,34.44,34.89,34.02,34.05,3475600,34.05
2009-09-01,35.67,36.28,34.48,34.64,3819700,34.64
2009-08-31,35.73,35.94,35.21,35.71,3046300,35.71
2009-08-28,36.58,37.05,36.14,36.64,2312300,36.64
2009-08-27,36.13,36.59,35.29,36.41,2465900,36.41
2009-08-26,35.99,36.63,35.96,36.50,2757800,36.50
2009-08-25,37.19,37.39,35.90,36.32,4228500,36.32
2009-08-24,37.00,37.53,36.54,37.05,3830700,37.05
2009-08-21,35.32,36.84,35.09,36.66,4769700,36.66
2009-08-20,33.55,34.90,33.55,34.89,4506600,34.89
2009-08-19,33.05,34.49,32.80,34.19,2970100,34.19
2009-08-18,32.48,33.57,32.34,33.49,2540500,33.49
2009-08-17,32.71,32.71,31.71,32.49,3243800,32.49
2009-08-14,35.02,35.02,33.37,33.53,3925500,33.53
2009-08-13,34.59,35.23,33.58,35.14,3850200,35.14
2009-08-12,33.34,34.29,33.23,34.02,3557300,34.02
2009-08-11,33.93,34.00,33.10,33.36,2883300,33.36
2009-08-10,34.06,34.56,33.85,34.38,2926300,34.38
2009-08-07,34.90,35.27,33.95,34.19,3456500,34.19
2009-08-06,34.90,35.00,33.91,34.55,3986500,34.55
2009-08-05,34.36,34.97,34.31,34.69,5166500,34.69
2009-08-04,34.53,35.43,33.79,34.60,10598700,34.60
2009-08-03,31.86,33.16,31.82,32.96,4755600,32.96
2009-07-31,30.63,31.58,30.43,31.23,3151300,31.23
2009-07-30,30.36,31.58,30.34,31.09,4153300,31.09
2009-07-29,30.27,30.45,29.51,29.98,3835200,29.98
2009-07-28,31.40,31.60,29.95,30.77,5795800,30.77
2009-07-27,31.60,32.09,31.23,31.82,2644800,31.82
2009-07-24,31.10,31.89,30.76,31.85,3405700,31.85
2009-07-23,30.10,31.41,30.06,31.35,3584800,31.35
2009-07-22,30.12,30.65,29.64,30.36,3379600,30.36
2009-07-21,30.50,30.90,29.76,30.65,4878600,30.65
2009-07-20,29.69,30.25,29.13,30.23,3723500,30.23
2009-07-17,29.05,29.27,28.22,29.17,4211900,29.17
2009-07-16,28.20,28.99,27.91,28.92,3069200,28.92
2009-07-15,27.78,28.59,27.70,28.56,3065800,28.56
2009-07-14,26.96,27.41,26.80,27.27,3967800,27.27
2009-07-13,26.29,26.67,25.49,26.66,4505200,26.66
2009-07-10,26.03,26.55,25.79,26.42,4200400,26.42
2009-07-09,26.12,26.84,25.86,26.57,5574500,26.57
2009-07-08,25.46,26.08,24.63,25.73,5647900,25.73
2009-07-07,25.80,26.15,25.44,25.57,5292300,25.57
2009-07-06,26.13,26.26,25.19,25.78,8027000,25.78
2009-07-02,27.18,27.31,26.59,26.81,2871100,26.81
2009-07-01,28.51,28.99,27.87,27.94,3178700,27.94
2009-06-30,28.71,29.24,27.91,28.30,3753000,28.30
2009-06-29,29.30,29.40,28.63,28.72,3590600,28.72
2009-06-26,28.87,29.16,28.31,28.90,3982400,28.90
2009-06-25,27.36,29.21,27.18,29.02,7123400,29.02
2009-06-24,27.13,27.54,26.49,26.72,3296200,26.72
2009-06-23,27.01,27.20,26.15,26.79,4035500,26.79
2009-06-22,27.47,27.49,26.46,26.52,3169700,26.52
2009-06-19,29.31,29.31,27.84,28.18,3294900,28.18
2009-06-18,28.62,29.00,28.03,28.53,2867600,28.53
2009-06-17,28.98,29.09,28.07,28.76,4140900,28.76
2009-06-16,31.00,31.00,28.98,29.11,3700600,29.11
2009-06-15,30.73,31.02,29.55,30.15,3159300,30.15
2009-06-12,32.68,33.00,30.86,31.43,3731400,31.43
2009-06-11,31.43,32.84,31.36,32.30,5358400,32.30
2009-06-10,31.42,31.79,30.42,31.46,4793000,31.46
2009-06-09,30.72,30.93,30.11,30.64,3549800,30.64
2009-06-08,29.75,30.17,29.01,29.89,3924300,29.89
2009-06-05,31.53,31.53,29.97,30.27,3920400,30.27
2009-06-04,30.25,31.09,29.77,30.94,5834400,30.94
2009-06-03,30.29,30.48,28.80,29.79,6439700,29.79
2009-06-02,31.37,31.51,30.44,30.80,12168400,30.80
2009-06-01,32.05,33.07,31.87,32.45,4531600,32.45
2009-05-29,31.31,31.67,30.70,31.23,3519300,31.23
2009-05-28,30.71,30.98,29.58,30.75,4946800,30.75
2009-05-27,30.47,30.73,29.98,30.11,3768100,30.11
2009-05-26,28.99,30.31,28.68,30.26,3191300,30.26
2009-05-22,29.56,30.17,29.30,29.53,1992000,29.53
2009-05-21,29.77,29.96,28.82,29.30,3166400,29.30
2009-05-20,30.72,32.09,30.61,30.70,4738300,30.70
2009-05-19,29.50,30.60,29.20,30.17,5219200,30.17
2009-05-18,28.21,29.74,28.21,29.74,4501000,29.74
2009-05-15,28.20,28.57,27.39,27.55,4098900,27.55
2009-05-14,27.36,28.64,27.04,28.28,3749400,28.28
2009-05-13,28.34,28.60,27.09,27.58,3682000,27.58
2009-05-12,29.79,29.79,28.00,29.05,4611300,29.05
2009-05-11,29.85,29.85,28.64,28.89,3991800,28.89
2009-05-08,30.04,31.16,28.11,30.50,7306000,30.50
2009-05-07,30.09,31.96,28.69,29.06,7566300,29.06
2009-05-06,28.09,28.56,27.51,28.19,3571900,28.19
2009-05-05,27.67,27.69,26.19,27.48,5116600,27.48
2009-05-04,26.44,27.97,26.36,27.96,3132500,27.96
2009-05-01,25.72,26.72,25.57,26.28,3166600,26.28
2009-04-30,26.70,26.79,24.71,25.58,4676300,25.58
2009-04-29,25.88,26.83,25.46,26.45,3032800,26.45
2009-04-28,25.55,25.72,25.11,25.42,3327100,25.42
2009-04-27,25.49,26.41,25.34,25.93,3216700,25.93
2009-04-24,25.62,26.80,25.53,26.59,3464000,26.59
