Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,39.46,39.54,38.99,39.04,932100,39.04
2009-12-30,39.45,39.80,39.25,39.47,1005000,39.47
2009-12-29,39.88,39.99,39.63,39.75,1266800,39.75
2009-12-28,39.84,39.99,39.60,39.71,1123100,39.71
2009-12-24,39.08,39.90,39.08,39.79,442100,39.79
2009-12-23,39.30,39.45,38.90,39.25,1311700,39.25
2009-12-22,38.87,39.10,38.64,39.08,1518300,39.08
2009-12-21,38.51,38.91,38.29,38.85,1954100,38.85
2009-12-18,37.89,38.35,37.66,38.29,2664300,38.29
2009-12-17,36.67,37.86,36.36,37.51,1922300,37.51
2009-12-16,36.92,37.27,36.54,36.67,2562200,36.67
2009-12-15,36.77,37.10,36.57,36.80,1357800,36.80
2009-12-14,36.31,36.83,36.24,36.74,1902000,36.74
2009-12-11,36.25,36.25,35.32,35.98,821800,35.98
2009-12-10,35.47,36.32,35.47,35.98,1300500,35.98
2009-12-09,35.73,35.83,34.66,35.20,1900900,35.20
2009-12-08,36.37,36.37,35.47,35.54,2211600,35.54
2009-12-07,36.71,37.01,35.97,36.43,1535700,36.43
2009-12-04,37.43,37.77,36.39,36.89,1315800,36.89
2009-12-03,36.63,37.73,36.63,36.67,2035800,36.67
2009-12-02,36.99,37.66,36.99,37.11,1965700,37.11
2009-12-01,36.83,37.25,36.66,37.00,2083100,37.00
2009-11-30,36.39,36.70,36.18,36.69,1130700,36.69
2009-11-27,35.74,36.77,35.54,36.46,844900,36.46
2009-11-25,37.03,37.32,36.73,37.00,2145600,37.00
2009-11-24,37.25,37.49,36.51,37.01,2011200,37.01
2009-11-23,37.90,38.89,37.31,37.66,2219200,37.66
2009-11-20,36.74,37.63,36.43,37.45,1215700,37.45
2009-11-19,36.86,37.12,36.41,36.99,2000000,36.99
2009-11-18,37.69,37.70,36.80,37.35,1790400,37.35
2009-11-17,37.04,37.94,36.73,37.80,1187500,37.80
2009-11-16,37.00,37.59,36.85,37.11,1562600,37.11
2009-11-13,36.33,36.98,35.39,36.63,1169100,36.63
2009-11-12,36.56,36.67,35.85,36.15,1856700,36.15
2009-11-11,35.44,36.66,35.44,36.54,3101100,36.54
2009-11-10,34.82,35.11,34.51,34.96,1190600,34.96
2009-11-09,33.95,35.00,33.86,34.98,1772300,34.98
2009-11-06,32.65,33.72,32.58,33.53,1500400,33.53
2009-11-05,33.41,33.41,32.43,32.88,1427700,32.88
