Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,84.00,84.17,82.37,82.44,894600,41.22
2009-12-30,84.21,84.38,83.16,83.59,490400,41.79
2009-12-29,84.45,84.45,83.25,83.73,742200,41.87
2009-12-28,84.00,84.87,83.88,84.23,943200,42.12
2009-12-24,83.15,83.64,83.12,83.61,385400,41.81
2009-12-23,81.80,83.28,81.80,83.11,1532200,41.56
2009-12-22,79.02,82.07,79.02,81.71,1755200,40.85
2009-12-21,78.04,79.58,78.04,78.72,901400,39.36
2009-12-18,76.81,78.25,76.33,77.89,2803800,38.94
2009-12-17,79.19,79.57,76.81,76.82,1746000,38.41
2009-12-16,77.97,79.75,77.71,79.71,1801400,39.85
2009-12-15,76.79,78.89,76.27,77.90,1684200,38.95
2009-12-14,77.25,77.74,76.86,77.20,1330600,38.60
2009-12-11,76.48,77.08,76.21,76.95,1478600,38.47
2009-12-10,75.25,76.25,75.18,76.12,975200,38.06
2009-12-09,74.99,75.40,73.14,75.16,1685800,37.58
2009-12-08,75.17,75.82,73.60,75.25,1170200,37.62
2009-12-07,76.68,76.77,75.30,75.33,1521000,37.67
2009-12-04,77.18,78.00,76.16,77.22,654600,38.61
2009-12-03,78.35,78.35,76.00,76.15,1081400,38.08
2009-12-02,77.15,78.27,76.77,78.06,1061200,39.03
2009-12-01,76.06,77.66,75.29,76.62,1370400,38.31
2009-11-30,74.86,75.47,74.10,75.29,1737800,37.65
2009-11-27,75.04,76.09,73.65,75.38,1034800,37.69
2009-11-25,77.80,77.81,75.93,77.10,1064000,38.55
2009-11-24,78.18,78.28,76.15,77.55,1186400,38.78
2009-11-23,76.01,78.18,76.01,77.67,1844600,38.83
2009-11-20,75.74,76.06,75.15,75.84,1897200,37.92
2009-11-19,77.11,77.39,75.37,75.88,1584200,37.94
2009-11-18,79.78,79.93,77.34,77.40,2016800,38.70
2009-11-17,80.16,80.58,79.50,80.06,918600,40.03
2009-11-16,80.33,80.92,80.09,80.59,1517400,40.29
2009-11-13,79.33,80.68,79.29,80.14,1010400,40.07
2009-11-12,80.08,80.87,79.07,79.28,1559200,39.64
2009-11-11,79.82,80.82,79.22,80.42,1347200,40.21
2009-11-10,79.50,80.10,78.24,78.97,1496000,39.49
2009-11-09,77.95,79.95,77.59,79.57,1242600,39.78
2009-11-06,76.78,77.90,76.03,77.45,1387000,38.72
2009-11-05,76.17,77.74,76.08,77.00,2106800,38.50
2009-11-04,77.22,77.56,75.38,75.62,1822600,37.81
2009-11-03,75.99,76.89,75.61,76.33,1785600,38.17
2009-11-02,76.77,77.34,75.50,76.14,2257000,38.07
2009-10-30,77.85,78.74,75.52,76.04,2676600,38.02
2009-10-29,77.20,82.40,75.75,77.99,5397600,38.99
