Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,92.63,92.63,90.76,90.78,1105600,89.06
2009-12-30,92.56,93.22,91.71,92.21,540900,90.47
2009-12-29,92.83,93.48,92.30,93.31,1411400,91.54
2009-12-28,89.98,93.31,89.69,92.91,1087900,91.15
2009-12-24,88.99,90.15,88.99,89.20,352100,87.51
2009-12-23,87.65,89.74,86.63,88.75,1340300,87.07
2009-12-22,85.30,86.74,84.41,86.46,1536600,84.82
2009-12-21,87.81,89.10,85.16,85.53,1141600,83.91
2009-12-18,88.71,89.61,86.10,86.44,1486400,84.80
2009-12-17,91.17,91.90,88.29,88.30,1646700,86.63
2009-12-16,89.32,92.99,89.16,92.59,2449800,90.84
2009-12-15,89.33,91.09,87.77,88.29,1362600,86.62
2009-12-14,90.33,91.46,88.85,89.75,1012400,88.05
2009-12-11,88.81,89.99,88.41,89.99,1013000,88.29
2009-12-10,87.23,88.65,86.42,88.31,1232800,86.64
2009-12-09,86.49,87.49,85.43,86.62,1245500,84.98
2009-12-08,89.29,90.00,85.64,85.75,2138500,84.13
2009-12-07,86.19,90.90,86.19,89.56,1841000,87.87
2009-12-04,91.11,91.51,87.50,88.55,895600,86.87
2009-12-03,90.49,90.58,88.85,89.78,1190900,88.08
2009-12-02,85.50,90.78,85.50,90.27,2977900,88.56
2009-12-01,87.21,87.21,85.73,85.90,1043900,84.27
2009-11-30,83.99,85.80,83.50,85.36,1157900,83.74
2009-11-27,82.72,84.96,81.75,83.94,578200,82.35
2009-11-25,83.00,85.47,82.66,84.96,1071200,83.35
2009-11-24,82.75,83.49,81.87,82.75,780800,81.18
2009-11-23,84.10,84.37,82.50,83.04,1133100,81.47
2009-11-20,82.35,84.18,80.00,82.73,4218500,81.16
2009-11-19,83.60,84.48,81.84,82.87,2698500,81.30
2009-11-18,84.20,86.63,84.08,86.29,1663500,84.66
2009-11-17,81.55,84.95,80.36,83.89,1923100,82.30
2009-11-16,80.57,82.15,80.19,81.29,1508300,79.75
2009-11-13,80.35,82.40,78.70,80.36,2535200,78.84
2009-11-12,79.50,83.83,77.57,80.93,3093300,79.40
2009-11-11,79.31,80.92,77.19,79.72,2050600,78.11
2009-11-10,80.59,80.59,76.95,78.48,2876400,76.90
2009-11-09,80.40,80.94,79.86,80.41,1336400,78.79
2009-11-06,79.57,82.31,78.90,79.05,2187800,77.46
2009-11-05,80.88,81.37,78.77,79.90,6176500,78.29
2009-11-04,85.43,87.55,85.05,86.39,2358300,84.65
2009-11-03,83.56,85.50,82.42,85.43,1584700,83.71
2009-11-02,82.23,84.67,81.88,84.09,3156500,82.40
2009-10-30,85.53,86.05,82.92,83.25,1122300,81.57
2009-10-29,84.35,86.71,83.49,86.00,1036600,84.27
2009-10-28,85.87,86.30,83.14,83.26,699900,81.58
2009-10-27,84.00,87.21,84.00,86.13,1116500,84.39
2009-10-26,89.61,90.60,85.41,85.41,1609400,83.69
2009-10-23,91.78,92.49,89.03,89.48,1085800,87.68
2009-10-22,91.74,94.45,91.15,93.82,705900,91.93
2009-10-21,92.16,94.34,91.78,92.61,768100,90.74
2009-10-20,94.00,94.88,92.10,92.80,1093400,90.93
2009-10-19,90.67,95.13,90.67,94.95,1959500,93.04
2009-10-16,90.15,91.40,90.15,90.63,933600,88.80
2009-10-15,90.38,91.28,89.26,91.24,684400,89.40
2009-10-14,89.83,90.87,89.03,90.51,530100,88.69
2009-10-13,88.06,89.32,87.67,88.97,551900,87.18
2009-10-12,89.08,89.47,87.97,88.46,268700,86.68
2009-10-09,89.18,89.54,87.88,88.79,492100,87.00
2009-10-08,87.90,89.56,87.62,89.56,569100,87.75
2009-10-07,87.16,88.28,86.79,87.47,704800,85.71
2009-10-06,85.34,87.39,84.60,86.93,991700,85.18
2009-10-05,83.34,84.22,83.04,84.21,470600,82.51
2009-10-02,82.89,84.26,82.09,82.95,775800,81.28
2009-10-01,86.42,86.57,83.83,84.20,480600,82.50
2009-09-30,86.10,87.72,85.89,86.23,1313900,84.49
2009-09-29,86.51,87.00,85.38,85.84,410900,84.11
2009-09-28,83.84,86.06,83.82,86.06,382900,84.33
2009-09-25,85.94,86.62,84.20,84.29,868600,82.59
2009-09-24,88.09,88.40,85.76,86.63,621000,84.88
2009-09-23,89.40,89.43,87.52,87.59,752400,85.82
2009-09-22,89.99,89.99,88.42,88.89,1587300,87.10
2009-09-21,89.66,89.66,87.79,89.02,629600,87.23
2009-09-18,91.93,91.93,89.93,90.19,744400,88.37
2009-09-17,88.63,91.55,88.54,90.06,725400,88.24
2009-09-16,88.02,89.87,87.14,89.20,1321600,87.40
2009-09-15,86.86,88.48,86.86,87.88,2017900,86.11
2009-09-14,86.11,87.70,86.04,87.25,786700,85.49
2009-09-11,87.56,88.50,87.00,87.44,428000,85.68
2009-09-10,87.47,88.21,85.50,87.43,2106000,85.67
2009-09-09,87.11,88.75,86.78,88.08,1063800,86.30
2009-09-08,86.48,87.64,86.14,86.93,1021300,85.18
2009-09-04,83.27,86.95,83.06,85.93,891200,84.20
2009-09-03,81.90,83.58,81.87,83.35,953500,81.67
2009-09-02,79.61,81.92,79.14,81.66,728900,80.01
2009-09-01,80.90,83.20,80.00,80.00,679900,78.39
2009-08-31,80.81,81.95,80.79,81.66,580000,80.01
2009-08-28,82.08,82.39,80.59,82.12,602400,80.46
2009-08-27,82.70,82.88,81.81,82.18,499000,80.52
