Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,35.87,36.18,35.26,35.27,1112700,35.16
2009-12-30,36.07,36.07,35.53,35.82,1389900,35.71
2009-12-29,36.22,36.49,35.93,36.21,1473600,36.10
2009-12-28,36.24,36.62,35.71,36.06,2040500,35.95
2009-12-24,36.58,36.65,35.54,36.33,1697900,36.22
2009-12-23,36.97,37.19,36.45,36.49,2876300,36.38
2009-12-22,37.39,37.66,36.42,36.67,4316300,36.56
2009-12-21,36.19,38.12,36.19,37.19,4378500,37.08
2009-12-18,36.06,36.23,35.35,35.80,3917600,35.69
2009-12-17,36.27,36.65,35.54,36.06,2945700,35.95
2009-12-16,36.31,37.05,36.14,36.80,4532200,36.69
2009-12-15,36.27,36.95,35.56,36.05,3880400,35.94
2009-12-14,36.14,36.69,35.91,36.28,3510500,36.17
2009-12-11,35.52,36.00,35.20,35.56,2951200,35.45
2009-12-10,33.78,35.75,33.78,35.58,6448300,35.47
2009-12-09,34.09,34.86,33.28,33.55,6388200,33.45
2009-12-08,32.85,34.39,32.85,33.85,4924000,33.75
2009-12-07,31.98,33.84,31.98,33.24,4010700,33.14
2009-12-04,32.41,33.14,31.94,32.16,3544600,32.06
2009-12-03,33.48,33.54,32.15,32.23,3364200,32.13
2009-12-02,33.12,33.37,32.76,33.37,3110600,33.27
2009-12-01,32.23,33.52,32.08,33.08,4226000,32.98
2009-11-30,33.00,33.00,31.97,32.08,3620900,31.98
2009-11-27,32.08,32.76,31.77,32.64,1683200,32.54
2009-11-25,32.81,33.25,32.22,33.16,3200800,33.06
2009-11-24,32.25,32.80,31.90,32.80,3780900,32.70
2009-11-23,31.19,32.44,31.19,32.30,5951300,32.20
2009-11-20,29.46,30.17,29.46,30.03,2970500,29.94
2009-11-19,29.75,30.00,28.95,29.84,3993600,29.75
2009-11-18,30.55,30.77,30.12,30.18,2893600,30.09
2009-11-17,30.95,31.07,30.37,30.59,2718000,30.50
2009-11-16,30.78,31.51,30.61,30.93,4268300,30.84
2009-11-13,30.45,30.91,30.22,30.59,2058700,30.50
2009-11-12,30.86,31.00,30.08,30.22,2103500,30.13
2009-11-11,31.00,31.18,30.44,30.90,3503800,30.81
2009-11-10,30.91,31.25,30.70,30.95,2575700,30.86
2009-11-09,30.64,31.48,30.24,30.96,4767100,30.87
