Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,17.06,17.15,16.86,16.86,8122800,15.81
2009-12-30,17.12,17.20,16.96,17.07,8841900,16.00
2009-12-29,17.00,17.20,17.00,17.08,8673800,16.01
2009-12-28,17.20,17.20,16.95,17.07,8106300,16.00
2009-12-24,16.98,17.20,16.96,17.17,3136900,16.10
2009-12-23,17.11,17.24,16.97,17.11,11514500,16.04
2009-12-22,17.44,17.46,17.13,17.20,12931400,16.12
2009-12-21,17.30,17.58,17.30,17.37,11941000,16.28
2009-12-18,17.05,17.28,14.18,17.24,32231200,16.16
2009-12-17,17.33,17.33,16.92,17.11,21989000,16.04
2009-12-16,17.61,17.75,17.45,17.51,17135600,16.41
2009-12-15,17.36,17.67,17.29,17.57,18326200,16.47
2009-12-14,17.78,17.78,17.39,17.57,17279800,16.47
2009-12-11,17.63,17.78,17.48,17.64,20068400,16.54
2009-12-10,17.55,17.88,17.40,17.58,33257700,16.48
2009-12-09,17.27,17.62,17.20,17.54,35882600,16.44
2009-12-08,17.12,17.41,16.91,17.36,55907500,16.27
2009-12-07,16.20,17.29,16.20,17.27,77575700,16.19
2009-12-04,16.19,16.38,15.71,16.13,52779600,15.12
2009-12-03,15.59,16.06,15.51,15.91,83973000,14.92
2009-12-02,14.93,15.05,14.76,14.94,18189400,14.01
2009-12-01,14.90,15.10,14.78,14.96,28786800,14.02
2009-11-30,14.80,14.84,14.55,14.66,16511800,13.74
2009-11-27,14.66,14.99,14.52,14.88,7556100,13.95
2009-11-25,15.11,15.14,14.97,15.07,10927100,14.13
2009-11-24,15.05,15.17,14.90,15.12,26616200,14.17
2009-11-23,15.16,15.35,14.80,15.09,37135000,14.15
2009-11-20,15.03,15.09,14.94,15.01,33635200,14.07
2009-11-19,15.08,15.09,14.66,15.04,27613600,14.10
2009-11-18,15.42,15.51,15.09,15.13,23246600,14.18
2009-11-17,15.80,15.81,15.32,15.51,19423500,14.54
2009-11-16,15.51,15.86,15.45,15.85,35594300,14.86
2009-11-13,15.35,15.50,15.18,15.43,26300300,14.47
2009-11-12,15.15,15.44,15.10,15.33,31873200,14.37
2009-11-11,15.00,15.11,14.85,15.10,22059800,14.16
2009-11-10,15.17,15.21,14.77,14.85,23029700,13.92
2009-11-09,14.73,15.16,14.64,15.15,29761500,14.20
2009-11-06,14.23,14.77,14.02,14.59,28267300,13.68
2009-11-05,14.25,14.35,13.95,14.20,32505900,13.31
2009-11-04,14.70,14.76,14.00,14.06,44731300,13.18
2009-11-03,14.61,14.73,14.24,14.51,26407800,13.60
2009-11-02,14.41,14.75,14.26,14.51,24077400,13.60
2009-10-30,14.89,15.05,14.46,14.50,24772400,13.59
2009-10-29,14.70,15.10,14.61,15.01,19338500,14.07
2009-10-28,14.70,14.79,14.40,14.65,23294800,13.73
2009-10-27,14.91,15.13,14.61,14.71,18204700,13.79
2009-10-26,14.96,15.32,14.70,14.84,19788500,13.91
2009-10-23,15.45,15.51,14.98,15.06,23868500,14.12
2009-10-22,15.20,15.59,15.04,15.52,21163200,14.55
2009-10-21,15.25,15.69,15.11,15.11,19214100,14.17
2009-10-20,15.43,15.57,15.15,15.36,25907000,14.40
2009-10-19,15.33,15.50,15.08,15.44,23626400,14.47
2009-10-16,15.35,15.39,15.03,15.26,26521700,14.31
2009-10-15,15.51,15.71,15.26,15.27,30655400,14.32
2009-10-14,15.49,15.54,15.26,15.36,25281200,14.40
2009-10-13,15.36,15.64,15.23,15.36,25896600,14.40
2009-10-12,15.46,15.59,15.16,15.28,15089400,14.32
2009-10-09,15.60,15.66,15.37,15.55,17802000,14.58
2009-10-08,15.58,15.81,15.51,15.65,22609000,14.67
2009-10-07,15.33,15.56,15.24,15.53,18460100,14.56
2009-10-06,15.42,15.74,15.30,15.46,26214800,14.49
2009-10-05,15.36,15.59,15.15,15.34,29620000,14.38
2009-10-02,15.78,15.79,15.14,15.24,45366300,14.22
2009-10-01,16.39,16.80,15.59,15.67,68979300,14.62
2009-09-30,17.37,17.39,16.76,16.88,27255100,15.75
2009-09-29,17.04,17.43,17.01,17.38,29683000,16.22
2009-09-28,16.82,17.05,16.74,17.04,16137700,15.90
2009-09-25,16.69,16.82,16.52,16.69,17741500,15.58
2009-09-24,16.93,16.98,16.56,16.72,23295000,15.60
2009-09-23,17.27,17.28,16.81,16.84,37126000,15.72
2009-09-22,17.27,17.44,17.14,17.21,16707900,16.06
2009-09-21,17.23,17.32,17.09,17.26,14446300,16.11
2009-09-18,17.15,17.41,16.93,17.29,32100100,16.14
2009-09-17,17.48,17.49,16.99,17.05,24960000,15.91
2009-09-16,17.39,17.68,17.15,17.55,23559000,16.38
2009-09-15,17.38,17.54,17.25,17.42,24821200,16.26
2009-09-14,17.04,17.44,16.92,17.44,21564700,16.28
2009-09-11,17.11,17.25,16.99,17.21,19532400,16.06
2009-09-10,16.75,17.15,16.73,17.15,25376800,16.01
2009-09-09,16.48,16.88,16.34,16.85,26596800,15.73
2009-09-08,16.35,16.57,16.25,16.47,20124000,15.37
2009-09-04,15.50,16.41,15.38,16.33,28852200,15.24
2009-09-03,15.41,15.55,15.30,15.48,20818900,14.45
2009-09-02,15.13,15.53,15.05,15.42,22133400,14.39
2009-09-01,15.22,15.61,15.05,15.15,36279500,14.14
2009-08-31,15.56,15.74,15.23,15.32,21158000,14.30
2009-08-28,15.59,15.86,15.46,15.71,20444900,14.66
2009-08-27,15.10,15.63,14.97,15.55,26236100,14.51
2009-08-26,15.20,15.35,15.06,15.14,23875700,14.13
2009-08-25,15.12,15.52,15.10,15.21,26486300,14.20
2009-08-24,15.05,15.27,15.01,15.10,18729500,14.09
2009-08-21,14.83,15.17,14.49,15.07,26232500,14.06
2009-08-20,14.56,14.71,14.47,14.55,25055500,13.58
2009-08-19,14.17,14.68,14.13,14.61,25001800,13.64
2009-08-18,14.54,14.61,14.30,14.34,22019800,13.38
2009-08-17,14.59,14.67,14.44,14.56,17190900,13.59
2009-08-14,14.90,15.05,14.44,14.81,16598500,13.82
2009-08-13,14.83,15.03,14.64,14.95,23152600,13.95
2009-08-12,14.76,15.01,14.76,14.85,22259100,13.86
2009-08-11,15.05,15.05,14.69,14.76,17874800,13.78
2009-08-10,14.92,15.16,14.79,15.00,21390400,14.00
2009-08-07,15.02,15.30,14.87,14.96,31404600,13.96
2009-08-06,15.43,15.60,14.94,15.05,24879000,14.05
2009-08-05,15.22,15.31,14.89,15.06,22331400,14.06
2009-08-04,15.02,15.68,15.02,15.40,33507700,14.37
2009-08-03,14.90,15.16,14.77,15.13,17317400,14.12
2009-07-31,14.99,15.09,14.73,14.86,17094000,13.87
2009-07-30,14.82,15.21,14.75,15.02,22932100,14.02
2009-07-29,14.86,15.00,14.46,14.59,16500200,13.62
2009-07-28,14.86,14.96,14.72,14.89,18750500,13.90
2009-07-27,14.49,14.91,14.32,14.89,18842700,13.90
2009-07-24,14.43,14.53,14.24,14.50,11714900,13.53
2009-07-23,14.17,14.54,14.01,14.49,19266800,13.52
2009-07-22,14.28,14.32,14.06,14.15,14159700,13.21
2009-07-21,14.55,14.64,14.07,14.31,16055400,13.36
2009-07-20,14.09,14.52,14.09,14.50,13119200,13.53
2009-07-17,14.21,14.21,13.90,14.15,12480200,13.21
2009-07-16,14.12,14.21,13.92,14.16,11411100,13.22
2009-07-15,13.67,14.12,13.55,14.10,15724000,13.16
2009-07-14,13.51,13.69,13.45,13.56,12656800,12.66
2009-07-13,13.21,13.54,13.04,13.52,16920100,12.62
2009-07-10,13.33,13.49,13.08,13.26,14213400,12.38
2009-07-09,13.56,13.67,13.30,13.39,16141600,12.50
2009-07-08,13.36,13.64,13.32,13.50,26106300,12.60
2009-07-07,13.83,13.85,13.26,13.30,26080600,12.41
2009-07-06,13.78,14.01,13.73,13.90,14868300,12.97
2009-07-02,14.31,14.47,13.80,13.89,18540000,12.90
2009-07-01,14.43,14.80,14.42,14.47,15310500,13.44
2009-06-30,14.36,14.50,14.14,14.46,18482600,13.43
2009-06-29,14.23,14.42,14.10,14.36,13235400,13.34
2009-06-26,14.22,14.41,14.02,14.22,32097700,13.21
2009-06-25,13.77,14.48,13.70,14.36,19869600,13.34
2009-06-24,13.77,14.04,13.72,13.83,27194900,12.84
2009-06-23,13.62,13.97,13.62,13.79,21050700,12.81
2009-06-22,13.65,13.83,13.38,13.62,23317400,12.65
2009-06-19,14.00,14.08,13.74,13.87,22597400,12.88
2009-06-18,13.87,14.10,13.73,13.87,16295200,12.88
2009-06-17,13.62,13.97,13.52,13.86,25737800,12.87
2009-06-16,13.84,13.98,13.44,13.53,27862500,12.57
2009-06-15,14.19,14.20,13.70,13.82,23608800,12.83
2009-06-12,14.35,14.40,14.04,14.35,17068100,13.33
2009-06-11,14.23,14.81,14.22,14.51,20463900,13.48
2009-06-10,14.59,14.63,13.95,14.29,18846700,13.27
2009-06-09,14.38,14.56,14.16,14.40,17244500,13.37
2009-06-08,14.02,14.56,13.83,14.35,16280700,13.33
2009-06-05,14.60,14.64,13.93,14.11,17618400,13.10
2009-06-04,14.23,14.50,14.02,14.47,18801900,13.44
2009-06-03,14.40,14.45,13.95,14.19,17635000,13.18
2009-06-02,13.87,14.62,13.85,14.46,28203200,13.43
2009-06-01,13.93,14.08,13.84,13.92,24659700,12.93
2009-05-29,14.14,14.17,13.17,13.77,41329100,12.79
2009-05-28,14.34,14.83,13.98,14.19,18586300,13.18
2009-05-27,14.62,14.77,14.18,14.30,24144100,13.28
2009-05-26,14.02,14.87,13.98,14.68,21004800,13.63
2009-05-22,14.42,14.49,14.11,14.22,11077200,13.21
2009-05-21,14.68,14.74,14.23,14.45,21039800,13.42
