Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,37.15,37.15,36.50,36.53,1057600,34.95
2009-12-30,36.67,37.03,36.65,36.97,1795400,35.37
2009-12-29,37.31,37.31,36.59,36.79,2188900,35.20
2009-12-28,37.16,37.36,37.02,37.17,1430100,35.56
2009-12-24,37.10,37.29,36.87,37.15,499000,35.54
2009-12-23,37.08,37.31,36.86,37.05,1561500,35.45
2009-12-22,36.84,37.20,36.53,36.84,2381200,35.25
2009-12-21,36.52,37.31,36.42,37.11,3180300,35.50
2009-12-18,36.68,36.78,35.73,36.34,3509600,34.77
2009-12-17,36.53,36.86,36.24,36.57,2541200,34.99
2009-12-16,36.82,36.93,36.55,36.69,3241200,35.10
2009-12-15,36.84,36.85,36.23,36.52,3107700,34.94
2009-12-14,36.29,36.98,36.10,36.85,3031200,35.26
2009-12-11,36.36,36.38,35.78,35.84,4018400,34.29
2009-12-10,35.60,36.25,35.55,35.95,4555000,34.39
2009-12-09,35.20,35.40,34.93,35.18,2944700,33.66
2009-12-08,35.79,35.79,35.12,35.29,4270000,33.76
2009-12-07,36.54,36.54,35.88,35.94,3847100,34.38
2009-12-04,36.39,37.35,35.75,36.53,6980800,34.95
2009-12-03,35.66,36.00,35.42,35.75,4085800,34.20
2009-12-02,35.65,36.15,35.42,35.80,4230700,34.18
2009-12-01,35.19,35.59,34.95,35.42,3321000,33.82
2009-11-30,35.29,35.29,34.36,34.75,5465000,33.18
2009-11-27,34.75,35.77,34.54,35.29,2158800,33.69
2009-11-25,35.61,35.92,35.49,35.79,4202200,34.17
2009-11-24,34.91,35.50,34.76,34.93,5177600,33.35
2009-11-23,34.30,35.10,34.11,34.76,4809500,33.19
2009-11-20,33.72,34.24,33.40,33.79,5894200,32.26
2009-11-19,34.22,34.22,32.96,33.92,7214100,32.38
2009-11-18,34.43,34.90,34.04,34.44,2912200,32.88
2009-11-17,36.00,36.02,33.90,34.48,8763400,32.92
2009-11-16,36.93,37.10,35.72,35.99,6793700,34.36
2009-11-13,34.92,35.65,34.58,35.56,4856200,33.95
2009-11-12,35.86,36.11,34.80,35.00,4441800,33.42
2009-11-11,35.45,36.47,34.94,35.99,6334900,34.36
2009-11-10,34.77,35.23,34.64,34.97,4015700,33.39
2009-11-09,34.27,35.08,33.90,35.08,3201900,33.49
2009-11-06,33.79,34.20,33.21,33.92,2881800,32.38
2009-11-05,32.89,33.97,32.54,33.96,4356700,32.42
2009-11-04,33.16,33.29,32.22,32.37,4054500,30.90
2009-11-03,32.98,33.22,31.98,32.82,4906100,31.33
2009-11-02,33.10,33.43,32.30,33.23,4891200,31.73
2009-10-30,33.73,34.50,32.59,32.97,6329300,31.48
2009-10-29,32.24,33.08,32.09,32.87,4246000,31.38
2009-10-28,33.32,33.47,31.69,31.83,4369300,30.39
2009-10-27,34.66,34.66,33.13,33.31,3582700,31.80
2009-10-26,34.59,35.05,34.43,34.55,4714800,32.99
2009-10-23,34.84,34.84,34.03,34.22,3367900,32.67
2009-10-22,33.25,34.97,33.25,34.82,6331100,33.24
2009-10-21,33.41,34.10,33.07,33.14,6056600,31.64
2009-10-20,33.80,34.50,33.27,33.41,6653400,31.90
2009-10-19,34.24,34.90,34.19,34.51,8554200,32.95
2009-10-16,34.29,34.57,33.85,34.11,6369500,32.57
2009-10-15,34.87,35.47,34.65,34.71,3953700,33.14
2009-10-14,34.92,35.19,34.57,35.17,3373600,33.58
2009-10-13,34.43,34.82,34.16,34.39,2627800,32.83
2009-10-12,34.61,34.79,34.25,34.50,3406100,32.94
2009-10-09,33.96,34.65,33.78,34.50,4170300,32.94
2009-10-08,33.60,34.12,33.23,34.05,4674000,32.51
2009-10-07,32.70,33.52,32.21,33.44,5192600,31.93
2009-10-06,32.40,33.12,32.40,32.95,3945700,31.46
2009-10-05,31.33,32.42,31.20,32.25,2978400,30.79
2009-10-02,31.37,31.80,31.04,31.08,4348800,29.67
2009-10-01,32.67,33.00,31.93,32.05,6368400,30.60
2009-09-30,33.22,33.34,32.32,32.92,3660200,31.43
2009-09-29,32.82,33.33,32.67,33.08,3042200,31.58
2009-09-28,31.95,32.66,31.85,32.60,2094100,31.12
2009-09-25,31.72,31.98,31.41,31.67,2501000,30.24
2009-09-24,32.47,32.69,31.59,31.75,4023300,30.31
2009-09-23,32.85,33.06,32.35,32.35,3309400,30.89
2009-09-22,33.28,33.28,32.59,32.70,3928800,31.22
2009-09-21,33.32,33.67,32.91,33.01,5195800,31.52
2009-09-18,32.87,33.80,32.81,33.63,5184000,32.11
2009-09-17,32.34,33.33,32.34,32.90,4713500,31.41
2009-09-16,32.48,32.56,31.94,32.48,6025100,31.01
2009-09-15,31.91,32.57,31.77,32.25,3297500,30.79
2009-09-14,31.24,31.94,30.86,31.85,2951100,30.41
2009-09-11,31.20,31.71,31.17,31.47,3457200,30.05
2009-09-10,31.37,31.73,30.88,31.24,5340900,29.83
2009-09-09,30.43,31.28,30.21,31.27,4869000,29.85
2009-09-08,29.98,30.46,29.72,30.42,4512500,29.04
2009-09-04,28.82,29.82,28.82,29.63,2338800,28.29
2009-09-03,28.50,29.02,28.24,28.94,2787200,27.63
2009-09-02,28.73,28.73,28.16,28.23,3861300,26.88
2009-09-01,29.40,29.99,28.77,28.90,6201900,27.52
2009-08-31,28.95,29.08,28.22,28.29,3240400,26.94
2009-08-28,29.75,29.79,29.11,29.27,3296900,27.87
2009-08-27,29.16,29.44,28.71,29.25,2371700,27.85
2009-08-26,29.07,29.50,28.99,29.31,2696900,27.91
2009-08-25,28.34,29.44,28.02,29.26,5193100,27.86
2009-08-24,28.82,28.88,27.96,28.03,4433900,26.69
2009-08-21,29.04,29.20,28.36,28.75,3293100,27.38
2009-08-20,28.32,28.76,28.20,28.74,3095400,27.37
2009-08-19,27.76,28.40,27.56,28.17,2651000,26.82
2009-08-18,27.70,28.24,27.66,28.14,2535600,26.79
2009-08-17,27.95,28.00,27.21,27.71,4248300,26.39
2009-08-14,29.57,29.57,28.34,28.55,4953800,27.18
2009-08-13,30.22,30.24,28.80,29.17,6997700,27.78
2009-08-12,30.05,30.24,29.59,29.83,4551600,28.40
2009-08-11,29.33,30.03,29.19,29.85,4262200,28.42
2009-08-10,30.07,30.09,29.48,29.68,3341000,28.26
2009-08-07,29.70,30.61,29.69,30.39,3667400,28.94
2009-08-06,29.30,29.68,28.90,29.43,2420200,28.02
2009-08-05,29.45,29.82,28.91,29.30,2426500,27.90
2009-08-04,29.59,29.88,29.07,29.31,4060900,27.91
2009-08-03,29.88,29.90,29.00,29.90,4975200,28.47
2009-07-31,29.03,29.76,28.79,29.59,4142400,28.18
2009-07-30,29.19,29.97,29.00,29.17,4619100,27.78
2009-07-29,28.13,29.21,28.12,28.89,6633900,27.51
2009-07-28,26.85,28.14,26.37,28.05,12525500,26.71
2009-07-27,28.66,28.77,27.49,28.43,6936500,27.07
2009-07-24,29.09,29.40,28.59,29.31,3454000,27.91
2009-07-23,28.55,29.48,28.17,29.23,4940400,27.83
2009-07-22,27.80,28.79,27.45,28.42,5337600,27.06
2009-07-21,27.19,27.51,26.88,27.48,5072000,26.17
2009-07-20,26.94,27.17,26.62,27.07,3023600,25.78
2009-07-17,26.13,26.71,26.07,26.63,4035000,25.36
2009-07-16,26.25,26.30,25.49,26.20,4530000,24.95
2009-07-15,25.62,26.35,25.22,26.31,5876100,25.05
2009-07-14,23.98,24.86,23.62,24.77,6027500,23.59
2009-07-13,23.57,23.99,22.94,23.85,7239700,22.71
2009-07-10,23.79,24.08,23.43,23.56,5802400,22.43
2009-07-09,24.33,24.58,23.60,23.86,5696800,22.72
2009-07-08,24.12,24.42,23.71,24.20,8709600,23.04
2009-07-07,25.27,25.27,23.97,24.03,6194100,22.88
2009-07-06,25.61,25.88,24.79,25.18,6734900,23.98
2009-07-02,26.67,27.04,25.80,25.80,5034100,24.57
2009-07-01,27.11,27.80,26.98,27.04,5202200,25.75
2009-06-30,26.57,27.28,26.53,26.88,4451500,25.59
2009-06-29,27.06,27.16,26.41,26.59,3033200,25.32
2009-06-26,26.17,27.24,26.16,26.93,4414300,25.64
