Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,51.12,51.38,50.92,51.07,5975400,34.49
2009-12-30,50.56,51.00,50.50,50.99,4425600,34.43
2009-12-29,51.25,51.38,50.73,50.80,4689500,34.31
2009-12-28,51.00,51.25,50.84,51.16,4030000,34.55
2009-12-24,50.49,50.95,50.41,50.87,2234500,34.35
2009-12-23,50.72,50.90,50.38,50.48,5013100,34.09
2009-12-22,50.67,50.99,50.54,50.84,7585500,34.33
2009-12-21,50.19,50.60,50.11,50.60,8573600,34.17
2009-12-18,50.65,50.69,49.40,49.80,14888900,33.63
2009-12-17,50.54,50.82,50.15,50.21,8872500,33.91
2009-12-16,50.95,51.52,50.81,50.86,7989400,34.35
2009-12-15,50.61,51.12,50.35,50.66,7868100,34.21
2009-12-14,51.42,51.60,50.87,51.09,10345200,34.50
2009-12-11,51.00,51.19,50.58,50.92,7065800,34.39
2009-12-10,50.54,50.98,50.25,50.89,9195000,34.37
2009-12-09,50.08,50.50,49.82,50.22,9198000,33.91
2009-12-08,50.40,50.42,49.79,49.94,10090100,33.73
2009-12-07,50.50,51.35,50.43,50.82,7072800,34.32
2009-12-04,51.75,52.28,50.50,50.66,10416900,34.21
2009-12-03,51.80,51.96,51.05,51.17,8836700,34.56
2009-12-02,52.39,52.40,51.59,51.84,6830800,35.01
2009-12-01,52.91,52.91,52.07,52.26,8165000,35.29
2009-11-30,51.77,52.23,51.29,51.77,8425400,34.96
2009-11-27,51.15,52.18,50.80,51.92,5257200,35.06
2009-11-25,52.70,52.96,52.48,52.90,7234000,35.72
2009-11-24,52.28,52.80,51.79,52.68,10562600,35.58
2009-11-23,52.78,53.67,52.15,52.37,10744800,35.37
2009-11-20,52.28,52.55,51.63,52.08,11853300,35.17
2009-11-19,53.20,53.29,52.39,52.56,9693600,35.50
2009-11-18,53.76,53.96,53.07,53.58,8469200,36.18
2009-11-17,53.54,53.91,53.11,53.69,8422600,36.26
2009-11-16,53.13,54.13,53.09,53.84,9468300,36.36
2009-11-13,52.30,53.20,51.85,52.83,9783700,35.68
2009-11-12,53.01,53.22,51.99,52.22,10432500,35.27
2009-11-11,53.95,54.09,53.00,53.16,10763200,35.90
2009-11-10,52.57,53.75,52.57,53.58,13679500,36.18
2009-11-09,52.79,53.23,52.65,52.85,9097800,35.69
2009-11-06,51.45,52.39,51.31,52.11,8447900,35.19
2009-11-05,51.56,52.33,51.54,51.95,9528400,35.08
2009-11-04,51.07,52.00,51.00,51.25,11703100,34.61
2009-11-03,49.25,50.92,49.13,50.75,12565200,34.27
2009-11-02,50.18,51.03,49.28,49.98,11122300,33.75
2009-10-30,51.15,51.41,49.70,50.18,16500500,33.89
2009-10-29,50.04,51.55,49.77,51.33,16632800,34.66
2009-10-28,50.92,51.30,49.27,49.49,25913000,33.42
2009-10-27,51.25,51.97,51.05,51.40,19807500,34.37
2009-10-26,52.14,53.20,50.42,50.74,16469700,33.93
2009-10-23,53.07,53.23,51.63,51.97,11054400,34.76
2009-10-22,52.84,52.98,51.91,52.93,11060500,35.40
2009-10-21,52.65,54.11,52.27,52.97,13477600,35.42
2009-10-20,53.33,53.49,52.25,52.90,10462200,35.38
2009-10-19,52.25,53.40,52.00,53.08,13003500,35.50
2009-10-16,51.51,52.35,51.42,51.96,13286500,34.75
2009-10-15,50.62,51.89,50.40,51.77,17096700,34.62
2009-10-14,51.34,51.47,50.68,50.84,16333300,34.00
2009-10-13,51.34,51.50,50.40,50.97,11816200,34.09
2009-10-12,51.50,51.89,51.14,51.36,9223500,34.35
2009-10-09,51.09,51.23,50.28,50.78,12427200,33.96
2009-10-08,49.95,51.99,49.70,51.41,28793900,34.38
2009-10-07,48.09,49.75,48.00,49.70,24622700,33.24
2009-10-06,48.43,48.78,48.02,48.41,18524200,32.37
2009-10-05,47.11,48.06,46.94,47.86,17630300,32.01
2009-10-02,45.20,47.06,45.00,46.80,26850900,31.30
2009-10-01,45.00,45.82,44.88,45.50,23958300,30.43
2009-09-30,45.39,45.51,44.53,45.16,16989000,30.20
2009-09-29,46.04,46.04,45.15,45.22,11412900,30.24
2009-09-28,45.22,45.89,45.19,45.69,8548100,30.56
2009-09-25,45.10,45.65,44.91,45.06,8880000,30.13
2009-09-24,45.87,45.93,44.80,45.06,11746100,30.13
2009-09-23,46.77,46.79,45.75,45.83,14430200,30.65
2009-09-22,46.66,46.85,46.36,46.64,7922100,31.19
2009-09-21,46.14,46.34,45.79,46.15,9552700,30.86
2009-09-18,47.04,47.30,46.50,46.80,12314900,31.30
2009-09-17,46.67,47.06,46.35,46.79,10930700,31.29
2009-09-16,46.63,46.84,46.34,46.79,12061900,31.29
2009-09-15,46.69,46.76,46.05,46.33,14764000,30.98
2009-09-14,45.36,46.67,45.32,46.59,11179000,31.16
2009-09-11,46.50,46.73,45.72,45.96,10702100,30.74
2009-09-10,46.04,46.46,45.69,46.38,10105200,31.02
2009-09-09,46.14,46.29,45.53,45.83,10245100,30.65
2009-09-08,45.75,46.24,45.70,46.00,9162300,30.76
2009-09-04,44.07,45.12,44.07,44.97,8481000,30.07
2009-09-03,44.54,44.58,43.92,44.22,7193400,29.57
2009-09-02,44.74,44.87,44.23,44.34,10587200,29.65
2009-09-01,44.98,45.53,44.00,44.15,15297900,29.53
2009-08-31,45.20,45.34,44.67,45.03,10287700,30.11
2009-08-28,45.96,46.11,45.46,45.70,6648600,30.56
2009-08-27,45.49,45.88,44.57,45.73,15034600,30.58
2009-08-26,44.66,45.76,44.50,45.59,15540000,30.49
2009-08-25,45.50,45.83,44.87,45.03,11765500,30.11
2009-08-24,44.54,45.41,44.44,45.31,17040100,30.30
2009-08-21,43.98,44.31,43.75,44.20,15700000,29.56
2009-08-20,43.17,43.65,42.98,43.25,9074400,28.92
2009-08-19,42.17,43.64,42.05,43.12,10377300,28.84
2009-08-18,42.44,42.81,42.20,42.59,8115900,28.48
2009-08-17,42.81,42.81,42.06,42.36,10232600,28.33
2009-08-14,44.21,44.40,43.25,43.77,8467200,29.27
2009-08-13,44.03,44.25,43.62,44.21,10482700,29.57
2009-08-12,43.64,44.19,43.64,43.89,11163600,29.35
2009-08-11,44.05,44.27,43.56,43.62,8124900,29.17
2009-08-10,43.99,44.50,43.84,44.22,8493200,29.57
2009-08-07,44.71,44.83,43.92,44.07,7075900,29.47
2009-08-06,44.63,44.71,43.82,44.12,8018700,29.51
2009-08-05,44.87,44.92,44.15,44.59,8884600,29.82
2009-08-04,44.80,45.07,44.43,44.85,8765800,29.99
2009-08-03,44.34,45.34,44.26,44.99,13306900,30.09
2009-07-31,43.00,43.84,42.59,43.71,13717400,29.23
2009-07-30,43.46,43.90,42.86,43.19,13849600,28.88
2009-07-29,43.90,43.93,42.37,42.86,19429300,28.66
2009-07-28,44.75,45.09,44.15,44.90,14014900,29.71
2009-07-27,45.21,45.74,44.84,45.25,11334400,29.94
2009-07-24,43.76,45.11,43.75,44.95,12355400,29.75
2009-07-23,43.10,44.20,43.06,43.99,12341000,29.11
2009-07-22,42.95,43.65,42.63,43.16,11138300,28.56
2009-07-21,43.55,43.93,43.00,43.50,12312900,28.79
2009-07-20,42.88,43.32,42.56,43.19,12904200,28.58
2009-07-17,42.39,42.74,42.00,42.38,11022900,28.05
2009-07-16,41.40,42.60,41.34,42.37,11610200,28.04
2009-07-15,41.18,41.80,41.07,41.64,13733200,27.56
2009-07-14,40.83,41.24,40.18,40.55,14524400,26.83
2009-07-13,39.97,40.64,39.16,40.62,13125000,26.88
2009-07-10,39.67,39.85,39.06,39.72,12702000,26.29
2009-07-09,39.96,40.97,39.87,40.31,16094900,26.68
2009-07-08,39.81,40.08,38.62,39.44,22922500,26.10
2009-07-07,40.74,40.84,39.54,39.99,16466000,26.46
2009-07-06,40.13,40.89,39.74,40.83,13746300,27.02
2009-07-02,41.49,41.54,40.96,40.96,12474800,27.11
2009-07-01,42.80,42.94,42.00,42.06,11968400,27.83
2009-06-30,42.11,42.56,41.30,42.06,21103700,27.83
2009-06-29,42.25,42.57,41.86,42.21,13419300,27.93
2009-06-26,41.83,41.96,41.32,41.62,11504700,27.54
2009-06-25,41.53,42.00,40.98,41.76,17811800,27.63
2009-06-24,41.82,42.56,41.51,41.70,15046700,27.60
2009-06-23,41.06,41.54,40.54,41.25,15728500,27.30
2009-06-22,42.20,42.20,40.43,40.43,19461100,26.75
2009-06-19,43.40,43.63,42.85,42.97,17226700,28.44
2009-06-18,42.47,42.90,42.04,42.81,13296600,28.33
2009-06-17,43.10,43.23,41.96,42.53,14142300,28.14
2009-06-16,43.92,44.22,43.08,43.27,16539300,28.63
2009-06-15,43.83,43.86,42.45,43.10,20711300,28.52
2009-06-12,44.96,44.99,43.77,44.37,20500500,29.36
2009-06-11,45.91,46.50,45.47,45.55,17803000,30.14
2009-06-10,46.43,46.53,45.25,45.76,13410200,30.28
2009-06-09,45.52,45.97,44.90,45.55,12900800,30.14
2009-06-08,44.76,45.30,44.22,45.02,13504200,29.79
2009-06-05,46.35,46.63,44.72,45.00,18628900,29.78
2009-06-04,46.10,46.38,45.20,45.97,19822900,30.42
2009-06-03,47.28,47.28,44.95,45.63,21008700,30.20
2009-06-02,48.00,48.71,47.78,47.93,14251400,31.72
2009-06-01,47.03,48.19,46.72,47.90,13445600,31.70
2009-05-29,46.45,46.65,45.45,45.84,14002900,30.33
2009-05-28,44.85,45.88,44.83,45.61,15152900,30.18
2009-05-27,45.14,46.10,44.26,44.47,11179200,29.43
2009-05-26,44.00,45.15,43.70,45.03,10144000,29.80
2009-05-22,44.93,45.17,44.27,44.38,7537400,29.37
2009-05-21,45.18,45.35,44.13,44.66,11940700,29.55
2009-05-20,46.78,47.32,46.04,46.19,11452200,30.26
2009-05-19,45.86,46.52,45.75,45.90,11050900,30.07
2009-05-18,44.59,45.93,44.55,45.52,10903100,29.82
2009-05-15,44.49,44.82,43.58,43.93,10041700,28.78
2009-05-14,44.23,45.17,44.03,44.74,9929900,29.31
2009-05-13,44.97,46.07,44.46,44.60,14578600,29.21
2009-05-12,45.74,46.19,44.95,45.47,12420500,29.78
2009-05-11,45.94,45.94,44.85,45.13,13111900,29.56
2009-05-08,44.74,47.27,44.64,46.91,22298100,30.73
2009-05-07,45.24,45.50,43.45,43.74,17417000,28.65
2009-05-06,43.60,44.67,43.30,44.22,14009600,28.97
2009-05-05,44.20,44.29,42.71,42.96,9984100,28.14
2009-05-04,43.05,44.05,42.75,43.87,13964700,28.74
2009-05-01,41.15,42.56,41.02,42.50,14357900,27.84
2009-04-30,42.05,42.23,40.52,41.00,14370200,26.86
2009-04-29,41.05,42.00,40.74,41.51,13790900,27.19
