Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,36.65,36.75,36.21,36.21,1409100,28.89
2009-12-30,36.30,36.61,36.14,36.54,1414400,29.16
2009-12-29,36.69,36.78,36.42,36.49,1108100,29.12
2009-12-28,36.30,36.53,36.25,36.49,1197900,29.12
2009-12-24,36.05,36.38,36.05,36.13,530500,28.83
2009-12-23,35.97,36.14,35.75,36.11,1745000,28.81
2009-12-22,35.71,36.07,35.52,35.91,1752500,28.65
2009-12-21,35.26,35.79,35.16,35.53,1608400,28.35
2009-12-18,35.12,35.50,35.00,35.09,3267200,28.00
2009-12-17,35.63,35.71,34.90,35.15,5470200,28.05
2009-12-16,36.15,36.43,35.65,35.75,3041400,28.53
2009-12-15,36.42,36.42,35.75,35.96,2974900,28.69
2009-12-14,37.09,37.09,36.37,36.43,1915200,29.07
2009-12-11,36.30,36.93,36.14,36.82,10822000,29.38
2009-12-10,36.12,36.36,35.96,36.24,2382300,28.92
2009-12-09,36.44,36.44,35.61,35.87,3103900,28.62
2009-12-08,36.66,36.66,36.24,36.53,2187700,29.15
2009-12-07,36.41,37.15,36.36,36.70,2876300,29.28
2009-12-04,36.54,36.65,36.00,36.34,2767100,29.00
2009-12-03,36.63,36.63,36.09,36.22,3225400,28.90
2009-12-02,35.96,36.73,35.96,36.55,3005500,29.16
2009-12-01,35.86,36.09,35.70,35.95,3016600,28.68
2009-11-30,35.99,36.14,35.26,35.59,4702200,28.40
2009-11-27,35.63,36.48,35.60,36.31,1786800,28.41
2009-11-25,35.69,36.59,35.68,36.22,3507200,28.34
2009-11-24,35.64,35.80,35.31,35.67,3391300,27.91
2009-11-23,36.09,36.09,35.42,35.54,3808600,27.81
2009-11-20,34.85,35.75,34.80,35.61,4544100,27.87
2009-11-19,34.71,34.98,34.55,34.79,3062500,27.22
2009-11-18,34.83,34.94,34.52,34.65,1981300,27.11
2009-11-17,34.80,34.94,34.66,34.78,1552600,27.22
2009-11-16,34.84,34.99,34.66,34.78,2369700,27.22
2009-11-13,34.28,34.78,34.10,34.65,1988000,27.11
2009-11-12,34.49,34.81,34.06,34.21,2775900,26.77
2009-11-11,34.95,35.00,34.41,34.59,2730000,27.07
2009-11-10,34.80,35.00,34.66,34.74,6346700,27.19
2009-11-09,34.78,34.99,34.35,34.99,2336400,27.38
2009-11-06,34.09,34.66,33.75,34.54,1921900,27.03
2009-11-05,33.50,34.55,33.49,34.27,3360700,26.82
2009-11-04,32.97,33.38,32.91,33.18,2258100,25.96
2009-11-03,32.56,32.79,32.30,32.77,1826000,25.64
2009-11-02,32.56,32.93,32.27,32.74,1610200,25.62
2009-10-30,32.91,33.11,32.41,32.46,2522000,25.40
2009-10-29,32.42,33.03,32.25,32.98,2197900,25.81
2009-10-28,32.61,32.85,32.28,32.29,2055500,25.27
2009-10-27,32.71,33.03,32.52,32.62,1798400,25.53
2009-10-26,33.20,33.53,32.61,32.70,2398300,25.59
2009-10-23,33.95,33.95,33.05,33.12,2284300,25.92
2009-10-22,33.69,34.07,33.62,33.75,2351100,26.41
2009-10-21,33.88,34.23,33.53,33.56,2148200,26.26
2009-10-20,34.35,34.37,33.51,33.93,2529100,26.55
2009-10-19,34.21,34.36,33.82,34.34,2453200,26.87
2009-10-16,33.74,34.00,33.55,33.62,3745400,26.31
2009-10-15,33.37,34.00,33.20,33.98,2579400,26.59
2009-10-14,33.66,33.78,33.37,33.44,2492500,26.17
2009-10-13,32.70,33.43,32.55,33.34,2461900,26.09
2009-10-12,32.78,32.98,32.60,32.80,1756700,25.67
2009-10-09,32.86,32.96,32.42,32.58,1540900,25.49
2009-10-08,33.15,33.26,32.71,32.86,2221500,25.71
2009-10-07,33.63,33.66,32.70,32.96,1996800,25.79
2009-10-06,33.61,33.92,33.32,33.58,2878000,26.28
2009-10-05,32.81,33.41,32.67,33.40,4153100,26.14
2009-10-02,33.30,33.36,32.50,32.62,3024400,25.53
2009-10-01,33.60,33.73,33.27,33.48,3082800,26.20
2009-09-30,33.84,33.91,33.12,33.60,4715200,26.29
2009-09-29,33.69,34.00,33.44,33.78,3823500,26.43
2009-09-28,33.10,33.67,33.06,33.60,2665700,26.29
2009-09-25,32.69,33.12,32.60,32.95,3517400,25.78
2009-09-24,32.77,32.98,32.52,32.69,2847700,25.58
2009-09-23,32.49,33.23,32.00,32.57,5132500,25.49
2009-09-22,31.58,32.15,31.29,31.29,3198400,24.49
2009-09-21,31.55,31.69,31.15,31.46,2859700,24.62
2009-09-18,31.93,32.01,31.55,31.61,3856400,24.74
2009-09-17,32.32,32.70,31.73,31.75,2687200,24.85
2009-09-16,31.78,32.42,31.66,32.32,2418200,25.29
2009-09-15,31.56,31.81,31.31,31.68,1876000,24.79
2009-09-14,31.48,31.51,31.28,31.48,2020700,24.63
2009-09-11,31.53,31.59,31.26,31.51,1633600,24.66
2009-09-10,31.36,31.63,31.26,31.53,2126800,24.67
2009-09-09,31.55,31.60,31.26,31.37,1972200,24.55
2009-09-08,31.42,31.55,31.25,31.54,2352200,24.68
2009-09-04,31.03,31.18,30.70,31.18,2433600,24.40
2009-09-03,31.50,31.50,30.66,31.01,2870600,24.27
2009-09-02,31.70,32.04,31.59,31.87,2747900,24.39
2009-09-01,32.20,32.28,31.63,31.78,3692600,24.32
2009-08-31,32.32,32.72,32.12,32.23,4060600,24.67
2009-08-28,32.61,32.61,32.04,32.40,2416700,24.80
2009-08-27,32.49,32.63,32.18,32.38,2035300,24.78
2009-08-26,32.24,32.61,32.12,32.48,3030800,24.86
2009-08-25,31.98,32.61,31.82,32.20,3239300,24.64
2009-08-24,31.87,31.95,31.46,31.80,2555400,24.34
2009-08-21,31.39,31.83,31.18,31.73,1883600,24.28
2009-08-20,30.98,31.21,30.80,31.18,1998900,23.86
2009-08-19,30.80,31.05,30.47,31.01,3188200,23.73
2009-08-18,30.87,31.26,30.82,31.05,3403100,23.76
2009-08-17,31.42,31.42,30.60,30.82,7586700,23.59
2009-08-14,31.86,31.97,31.27,31.53,1749700,24.13
2009-08-13,31.93,32.00,31.46,31.80,2582400,24.34
2009-08-12,31.70,32.03,31.42,31.81,2516900,24.35
2009-08-11,31.84,32.08,31.61,31.65,2614100,24.22
2009-08-10,31.92,32.08,31.67,32.00,2904800,24.49
2009-08-07,32.20,32.48,31.73,31.92,2832900,24.43
2009-08-06,32.05,32.20,31.20,32.20,6009500,24.64
2009-08-05,31.59,31.83,31.29,31.60,2915100,24.18
2009-08-04,31.40,31.67,31.05,31.51,2898000,24.12
2009-08-03,31.49,31.84,31.12,31.47,3244200,24.09
2009-07-31,31.87,31.91,31.38,31.39,2828100,24.02
2009-07-30,31.64,32.12,31.45,31.83,2420900,24.36
2009-07-29,30.98,31.58,30.98,31.52,2302000,24.12
2009-07-28,30.90,31.33,30.72,31.24,2615900,23.91
2009-07-27,30.64,31.10,30.49,31.10,2805600,23.80
2009-07-24,30.29,30.63,30.04,30.58,2128300,23.40
2009-07-23,29.73,30.55,29.73,30.49,2851000,23.34
2009-07-22,29.92,30.03,29.60,29.72,3239400,22.75
2009-07-21,29.54,30.04,29.54,29.97,2954000,22.94
2009-07-20,29.95,30.11,29.34,29.60,3824700,22.65
2009-07-17,29.91,29.96,29.54,29.80,3122800,22.81
2009-07-16,29.70,29.92,29.25,29.83,3565600,22.83
2009-07-15,29.40,29.74,29.25,29.69,2600900,22.72
2009-07-14,29.35,29.62,28.92,29.25,3831000,22.39
2009-07-13,29.20,29.39,28.90,29.34,3534800,22.46
2009-07-10,29.70,30.08,29.01,29.20,4323600,22.35
2009-07-09,29.77,29.93,29.53,29.75,2997000,22.77
2009-07-08,30.22,30.22,29.13,29.65,5087800,22.69
2009-07-07,30.73,31.74,30.22,30.23,5593000,23.14
2009-07-06,29.66,30.19,29.30,30.06,4358100,23.01
2009-07-02,30.55,30.78,29.65,29.65,3909400,22.69
2009-07-01,31.25,31.25,30.40,30.94,3673000,23.68
2009-06-30,31.86,31.86,30.63,30.70,5833100,23.50
2009-06-29,31.45,31.91,31.39,31.77,1914900,24.31
2009-06-26,32.09,32.10,31.29,31.39,3343300,24.02
2009-06-25,31.45,32.25,31.35,32.16,3144800,24.61
2009-06-24,31.70,31.83,31.32,31.51,2134900,24.12
2009-06-23,31.34,31.75,31.07,31.49,2368700,24.10
2009-06-22,30.99,31.42,30.66,31.23,2436100,23.90
2009-06-19,32.03,32.03,31.03,31.03,3327000,23.75
2009-06-18,31.52,32.17,31.52,31.87,2469100,24.39
2009-06-17,31.48,31.78,31.37,31.52,2876400,24.12
2009-06-16,32.30,32.30,31.45,31.57,2984200,24.16
2009-06-15,31.93,32.20,31.70,32.15,2318000,24.61
2009-06-12,32.38,32.38,31.40,32.06,2082100,24.54
2009-06-11,32.82,33.62,32.50,33.21,2647700,24.88
2009-06-10,32.32,32.86,32.00,32.76,2978800,24.54
2009-06-09,32.10,32.25,31.90,32.10,2154800,24.05
2009-06-08,31.67,32.19,31.54,31.89,2313600,23.89
2009-06-05,32.26,32.40,31.61,31.69,3070900,23.74
2009-06-04,31.96,32.25,31.68,32.05,3328800,24.01
2009-06-03,31.84,31.84,31.00,31.15,3249700,23.34
2009-06-02,31.29,32.09,31.26,31.87,3582300,23.88
2009-06-01,31.22,32.04,31.07,31.29,3211800,23.44
2009-05-29,30.80,30.96,30.12,30.85,3212500,23.11
2009-05-28,30.23,30.92,29.84,30.63,1714700,22.95
2009-05-27,30.55,30.86,29.89,29.97,2128400,22.45
2009-05-26,29.60,30.58,29.41,30.46,2276200,22.82
2009-05-22,29.75,29.79,29.31,29.40,1313900,22.03
2009-05-21,30.22,30.65,29.36,29.66,2240000,22.22
2009-05-20,30.89,31.25,30.56,30.59,1446000,22.92
2009-05-19,31.04,31.17,30.60,30.63,1685400,22.95
2009-05-18,30.33,30.97,30.33,30.97,1531000,23.20
2009-05-15,30.79,30.79,30.01,30.19,1609100,22.62
2009-05-14,30.91,31.07,30.45,30.79,1530600,23.07
2009-05-13,30.40,31.18,30.22,30.87,1983300,23.13
2009-05-12,30.98,31.42,30.50,30.71,2511600,23.01
2009-05-11,30.54,31.17,30.22,30.98,2466100,23.21
2009-05-08,30.47,30.67,29.92,30.52,2931800,22.87
2009-05-07,29.41,30.36,29.18,30.20,2538200,22.63
2009-05-06,29.19,29.41,28.57,29.15,2324100,21.84
2009-05-05,28.67,28.86,28.54,28.78,2014400,21.56
2009-05-04,28.07,28.56,28.01,28.51,1278400,21.36
2009-05-01,27.18,28.18,26.95,28.11,1881800,21.06
2009-04-30,27.84,27.84,26.82,27.15,2444000,20.34
2009-04-29,26.86,27.34,26.72,26.95,1769800,20.19
2009-04-28,26.17,26.89,26.05,26.65,1031600,19.97
2009-04-27,26.25,26.82,26.00,26.38,1728800,19.76
2009-04-24,25.97,26.69,25.84,26.45,1885400,19.82
2009-04-23,25.76,25.84,25.26,25.76,1459100,19.30
2009-04-22,25.75,26.31,25.54,25.79,1119600,19.32
2009-04-21,25.32,25.88,25.32,25.84,1027100,19.36
2009-04-20,26.25,26.48,25.48,25.65,1921000,19.22
2009-04-17,27.06,27.28,26.57,26.67,1635000,19.98
2009-04-16,26.64,27.02,26.26,26.90,1295000,20.15
2009-04-15,26.19,26.48,26.10,26.48,1007200,19.84
2009-04-14,27.10,27.10,26.20,26.32,1690200,19.72
2009-04-13,27.64,27.67,26.65,27.04,1718800,20.26
2009-04-09,27.32,27.67,27.03,27.67,1283700,20.73
2009-04-08,28.06,28.16,26.64,26.91,3460900,20.16
2009-04-07,28.20,28.35,27.60,27.91,1651200,20.91
2009-04-06,27.81,28.41,27.48,28.28,1742700,21.19
2009-04-03,27.74,27.84,27.33,27.82,2256100,20.84
2009-04-02,28.49,28.99,27.71,27.83,2744400,20.85
2009-04-01,27.90,28.48,27.50,28.38,2159700,21.26
2009-03-31,27.46,28.61,27.46,28.12,2208800,21.07
2009-03-30,27.75,28.05,27.05,27.31,1691700,20.46
2009-03-27,28.01,28.49,27.67,28.29,1236000,21.20
2009-03-26,28.07,28.28,27.24,28.27,1936800,21.18
2009-03-25,27.70,28.13,27.18,27.88,2395000,20.89
2009-03-24,27.06,27.60,26.97,27.38,2496300,20.51
2009-03-23,26.93,27.30,26.46,27.29,2604400,20.45
2009-03-20,26.56,26.99,26.46,26.50,1652200,19.85
2009-03-19,26.79,26.99,26.17,26.46,1447500,19.82
2009-03-18,26.28,27.17,26.01,26.78,2538200,20.06
2009-03-17,24.91,26.38,24.91,26.37,2116100,19.76
2009-03-16,25.17,25.53,25.06,25.13,1416900,18.83
2009-03-13,25.33,25.78,24.39,25.04,2607900,18.76
2009-03-12,25.35,26.32,25.12,26.13,2124100,19.05
2009-03-11,25.55,25.86,24.86,25.22,2298400,18.39
2009-03-10,23.89,25.32,23.73,25.32,3595400,18.46
2009-03-09,24.10,24.26,23.41,23.56,2308600,17.18
2009-03-06,25.41,25.47,23.62,24.09,3085800,17.56
2009-03-05,25.15,25.45,24.72,25.15,3722000,18.34
2009-03-04,24.38,25.95,24.11,25.45,3200000,18.56
2009-03-03,25.58,25.58,23.82,23.83,4317000,17.38
2009-03-02,25.99,26.14,25.06,25.23,2990700,18.40
2009-02-27,25.75,26.83,25.57,26.33,3691700,19.20
2009-02-26,26.92,27.04,25.79,26.06,5106100,19.00
2009-02-25,26.54,27.28,25.88,26.89,2854500,19.61
2009-02-24,25.91,26.81,25.52,26.69,3429300,19.46
2009-02-23,26.16,26.55,25.57,25.67,3297000,18.72
2009-02-20,24.59,26.26,24.59,26.17,4846900,19.08
2009-02-19,25.82,26.02,25.05,25.12,3377700,18.32
2009-02-18,25.23,25.45,24.85,25.27,2650300,18.43
2009-02-17,26.53,26.53,24.84,25.13,3216800,18.32
2009-02-13,27.10,27.87,26.89,26.92,2384600,19.63
2009-02-12,26.30,26.75,26.04,26.74,2146700,19.50
2009-02-11,26.85,27.14,26.48,26.80,2015600,19.54
2009-02-10,27.55,27.98,26.62,26.78,2113500,19.53
