Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,42.19,42.24,41.50,41.61,1108000,41.61
2009-12-30,42.34,42.56,41.92,42.18,996400,42.18
2009-12-29,42.34,42.44,42.09,42.21,750100,42.21
2009-12-28,42.21,42.50,42.06,42.32,1483800,42.32
2009-12-24,42.02,42.19,41.71,42.15,639500,42.15
2009-12-23,41.25,42.34,41.05,42.07,2694100,42.07
2009-12-22,40.34,41.08,40.24,40.99,1636300,40.99
2009-12-21,39.47,40.30,39.47,40.24,2346600,40.24
2009-12-18,38.33,39.48,38.11,39.44,3551600,39.44
2009-12-17,39.50,39.55,38.76,38.84,1572000,38.84
2009-12-16,39.02,39.65,38.92,39.60,2568500,39.60
2009-12-15,38.49,39.01,38.26,38.74,1431900,38.74
2009-12-14,38.40,38.78,38.10,38.70,1634500,38.70
2009-12-11,38.83,39.00,38.02,38.28,1746200,38.28
2009-12-10,38.52,39.03,38.44,38.74,1624600,38.74
2009-12-09,38.08,38.60,37.63,38.46,1753800,38.46
2009-12-08,38.64,38.71,38.01,38.26,1707500,38.26
2009-12-07,39.11,39.43,38.90,39.00,1359800,39.00
2009-12-04,38.95,39.52,38.43,39.47,2385400,39.47
2009-12-03,38.94,39.15,38.48,38.52,1301100,38.52
2009-12-02,39.13,39.49,38.74,38.91,1481500,38.91
2009-12-01,38.35,39.00,38.18,38.84,1924500,38.84
2009-11-30,37.71,38.22,37.42,38.18,1944700,38.18
2009-11-27,37.64,38.29,37.40,37.88,577700,37.88
2009-11-25,38.38,38.83,38.08,38.71,1644000,38.71
2009-11-24,38.54,38.63,37.96,38.13,1325100,38.13
2009-11-23,38.15,39.00,37.99,38.63,1653300,38.63
2009-11-20,37.86,38.12,37.31,37.84,2491100,37.84
2009-11-19,38.69,39.01,37.81,38.11,2553600,38.11
2009-11-18,39.46,39.56,38.65,39.07,1718700,39.07
2009-11-17,39.03,39.64,38.93,39.64,1565200,39.64
2009-11-16,39.41,39.65,39.14,39.26,1851500,39.26
2009-11-13,38.66,39.51,38.47,39.41,1690800,39.41
2009-11-12,39.25,39.36,38.62,38.68,1819900,38.68
2009-11-11,39.66,39.66,38.76,39.19,1076200,39.19
2009-11-10,39.49,39.63,38.89,39.00,1413200,39.00
2009-11-09,39.00,39.48,38.78,39.43,2010200,39.43
2009-11-06,38.29,39.00,38.12,38.88,2919600,38.88
2009-11-05,37.61,38.45,37.43,38.34,3531300,38.34
2009-11-04,38.04,38.26,37.24,37.28,3285600,37.28
2009-11-03,37.30,38.25,37.16,38.10,3064400,38.10
2009-11-02,36.80,37.61,36.75,37.34,2075300,37.34
2009-10-30,38.20,38.49,36.76,36.76,3039600,36.76
2009-10-29,37.70,38.45,37.44,38.36,2597200,38.36
2009-10-28,38.33,38.42,37.39,37.50,2409800,37.50
2009-10-27,39.00,39.30,38.31,38.41,2759500,38.41
2009-10-26,39.25,40.00,38.84,38.89,2787300,38.89
2009-10-23,39.29,40.00,38.72,39.34,3309200,39.34
2009-10-22,39.94,40.02,38.00,39.76,9991000,39.76
2009-10-21,41.20,42.34,41.20,41.36,3684400,41.36
2009-10-20,42.01,42.29,41.17,41.61,2060000,41.61
2009-10-19,42.15,42.66,41.94,42.34,1962000,42.34
