Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,14.80,14.80,14.30,14.36,19012200,14.13
2009-12-30,14.30,14.79,14.24,14.79,20537100,14.56
2009-12-29,14.62,14.67,14.28,14.32,15132400,14.09
2009-12-28,14.79,14.81,14.44,14.60,14575200,14.37
2009-12-24,14.27,14.80,14.27,14.79,12874700,14.56
2009-12-23,14.08,14.50,14.07,14.34,17579700,14.11
2009-12-22,14.15,14.32,14.07,14.11,21519600,13.89
2009-12-21,13.85,14.22,13.83,14.11,28352400,13.89
2009-12-18,13.81,13.87,13.54,13.74,26634200,13.52
2009-12-17,13.64,13.85,13.54,13.74,34587500,13.52
2009-12-16,13.49,13.82,13.49,13.70,38770500,13.48
2009-12-15,13.14,13.65,13.09,13.51,41115800,13.30
2009-12-14,13.24,13.28,13.09,13.18,26593500,12.97
2009-12-11,13.36,13.39,13.11,13.12,21633000,12.91
2009-12-10,13.23,13.43,13.15,13.23,32070900,13.02
2009-12-09,12.95,13.19,12.74,13.11,41600900,12.90
2009-12-08,13.21,13.22,12.81,12.81,47307100,12.61
2009-12-07,13.49,13.53,13.27,13.29,22304700,13.08
2009-12-04,13.60,13.71,13.37,13.46,40493500,13.25
2009-12-03,13.77,13.84,13.43,13.46,27535700,13.25
2009-12-02,13.89,14.02,13.61,13.66,41867800,13.44
2009-12-01,14.13,14.23,13.80,13.84,38370400,13.62
2009-11-30,14.12,14.28,13.96,14.12,21228700,13.90
2009-11-27,14.03,14.30,14.02,14.14,15853800,13.92
2009-11-25,14.36,14.44,14.32,14.36,16678100,14.13
2009-11-24,14.59,14.79,14.28,14.32,33650900,14.09
2009-11-23,14.52,14.85,14.38,14.79,41161200,14.56
2009-11-20,14.65,14.69,14.24,14.29,94528000,14.06
2009-11-19,15.98,16.00,15.65,15.87,38973200,15.62
2009-11-18,16.01,16.10,15.80,16.06,19711200,15.81
2009-11-17,15.94,15.98,15.66,15.95,14848500,15.70
2009-11-16,15.70,16.00,15.66,15.96,22678600,15.71
2009-11-13,15.46,15.63,15.27,15.40,16060700,15.16
2009-11-12,15.44,15.65,15.39,15.45,15121700,15.21
2009-11-11,15.66,15.72,15.43,15.59,10533400,15.34
2009-11-10,15.50,15.61,15.36,15.40,15235600,15.16
2009-11-09,15.02,15.55,14.97,15.54,17284800,15.29
2009-11-06,14.72,14.97,14.68,14.86,11775600,14.63
2009-11-05,14.76,14.95,14.55,14.91,13916900,14.67
2009-11-04,14.66,14.81,14.56,14.58,13757900,14.35
