Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,55.13,55.19,54.01,54.09,1864700,50.90
2009-12-30,54.76,55.09,54.29,54.77,2083600,51.54
2009-12-29,55.77,56.01,54.89,54.93,2702000,51.70
2009-12-28,56.36,56.73,55.67,55.93,1997300,52.37
2009-12-24,56.21,56.70,56.14,56.33,869300,52.75
2009-12-23,56.68,56.87,55.76,56.06,2642200,52.49
2009-12-22,55.56,56.69,55.42,56.59,3497500,52.99
2009-12-21,55.11,55.74,54.90,55.58,3714500,52.04
2009-12-18,54.47,55.19,54.31,54.83,7481100,51.34
2009-12-17,54.06,54.87,53.20,54.14,4846700,50.70
2009-12-16,53.74,54.85,53.53,54.53,5043600,51.06
2009-12-15,53.15,53.81,53.10,53.51,3193200,50.11
2009-12-14,52.76,53.36,52.70,53.26,3066400,49.87
2009-12-11,52.53,53.05,52.23,52.44,3112800,49.10
2009-12-10,52.96,53.98,52.23,52.40,3951900,49.07
2009-12-09,52.51,52.89,51.61,52.64,3643800,49.29
2009-12-08,53.16,53.16,52.06,52.27,4555100,48.95
2009-12-07,54.10,54.47,53.34,53.61,4311200,50.20
2009-12-04,55.04,55.40,53.72,54.24,10537200,50.79
2009-12-03,54.48,54.62,54.06,54.40,7813800,50.94
2009-12-02,54.09,54.30,53.43,54.00,4800600,50.57
2009-12-01,54.25,55.14,53.51,54.05,6344600,50.61
2009-11-30,53.82,53.82,52.81,53.51,7062700,50.11
2009-11-27,51.86,53.28,51.82,52.36,3340200,49.03
2009-11-25,51.68,54.15,51.27,53.70,14292200,50.28
2009-11-24,51.98,52.58,51.50,52.29,8441400,48.96
2009-11-23,53.11,53.59,51.54,51.85,7330000,48.55
2009-11-20,50.69,51.05,49.78,50.83,5691700,47.60
2009-11-19,51.26,51.83,50.12,50.89,6958600,47.65
2009-11-18,50.52,52.28,50.27,51.46,13402300,48.19
2009-11-17,49.14,49.25,48.18,49.15,4509700,46.02
2009-11-16,47.86,49.97,47.80,48.91,6373700,45.80
2009-11-13,47.55,48.16,47.26,47.58,3121700,44.55
2009-11-12,48.08,48.50,47.32,47.41,3372100,44.39
2009-11-11,49.01,49.04,47.77,48.01,4020600,44.96
2009-11-10,48.29,49.27,48.25,48.35,4317600,45.27
2009-11-09,47.77,48.86,47.77,48.48,4644100,45.40
2009-11-06,47.79,48.59,46.85,47.16,4667900,44.16
2009-11-05,47.06,48.16,47.06,48.11,5110400,45.05
2009-11-04,47.75,48.00,46.53,46.76,5008100,43.79
2009-11-03,45.61,47.60,45.47,47.21,4414900,44.21
2009-11-02,45.80,47.05,45.19,46.30,4228800,43.36
2009-10-30,47.40,47.60,45.25,45.55,6210600,42.65
2009-10-29,45.82,47.85,45.70,47.51,5129700,44.49
2009-10-28,46.75,47.11,45.31,45.42,5768700,42.53
2009-10-27,48.32,48.70,46.73,46.92,5001600,43.94
2009-10-26,48.33,49.88,47.89,48.04,7074900,44.98
2009-10-23,48.65,49.45,47.88,48.08,6008100,45.02
2009-10-22,47.63,48.67,47.27,48.38,9052600,45.30
2009-10-21,45.39,49.68,45.39,48.10,15985300,45.04
2009-10-20,47.17,47.19,45.39,46.01,6889000,43.08
2009-10-19,44.16,46.40,44.16,46.04,9232200,43.11
2009-10-16,43.56,44.17,43.03,44.04,4998300,41.24
2009-10-15,43.53,44.22,43.35,44.05,5347700,41.25
2009-10-14,43.17,43.83,42.79,43.75,6190800,40.97
2009-10-13,42.52,42.77,42.12,42.65,4501700,39.94
2009-10-12,43.41,43.75,42.19,42.61,4882300,39.90
2009-10-09,42.99,43.20,42.41,42.97,4362800,40.24
2009-10-08,43.20,43.88,42.74,43.12,4761700,40.38
2009-10-07,43.04,43.39,42.15,42.63,4290700,39.92
2009-10-06,42.41,44.07,42.41,43.11,5623200,40.37
2009-10-05,41.45,42.33,41.27,42.12,4009900,39.44
2009-10-02,40.72,41.76,40.28,41.13,6159800,38.51
2009-10-01,42.64,42.85,41.39,41.40,5323300,38.77
2009-09-30,43.65,43.70,42.08,42.92,5135800,40.19
2009-09-29,42.78,43.71,42.59,43.20,5666500,40.45
2009-09-28,44.16,44.39,42.37,42.57,7605000,39.86
2009-09-25,44.23,44.75,43.47,43.94,3946600,40.88
2009-09-24,45.56,45.79,44.02,44.43,4841500,41.34
2009-09-23,46.40,46.51,45.33,45.39,3824700,42.23
2009-09-22,45.00,47.04,44.81,46.18,6290200,42.97
2009-09-21,44.41,45.38,44.01,44.88,3753500,41.76
2009-09-18,46.28,46.31,44.88,45.07,6195400,41.93
2009-09-17,44.99,46.20,44.67,45.92,8265600,42.73
2009-09-16,44.71,45.38,44.39,45.20,6699200,42.06
2009-09-15,43.42,45.62,43.15,45.17,8080600,42.03
2009-09-14,42.51,43.31,42.10,43.26,4320300,40.25
2009-09-11,43.10,43.77,42.61,43.00,3821200,40.01
2009-09-10,42.70,43.03,41.91,43.03,5644000,40.04
2009-09-09,42.85,43.38,42.31,43.01,4423400,40.02
2009-09-08,42.80,43.05,42.11,42.78,3683200,39.80
2009-09-04,41.20,42.18,40.80,42.18,6684300,39.25
2009-09-03,40.71,41.28,40.36,41.22,6721200,38.35
2009-09-02,42.44,42.61,41.03,41.22,6717400,38.35
2009-09-01,43.37,44.35,42.36,42.49,5073900,39.53
2009-08-31,43.92,44.04,43.08,43.60,3884300,40.57
2009-08-28,45.32,45.77,44.05,44.43,4054100,41.34
2009-08-27,44.90,45.41,44.02,45.07,3463700,41.93
2009-08-26,46.04,46.06,44.90,45.13,4694900,41.99
2009-08-25,45.57,46.76,45.29,46.31,5101900,43.09
2009-08-24,45.10,46.21,44.99,45.35,4556400,42.19
2009-08-21,44.39,45.11,44.02,44.80,5245300,41.68
2009-08-20,43.82,44.49,43.72,43.99,5478700,40.93
2009-08-19,43.22,44.36,42.61,43.78,13947500,40.73
2009-08-18,42.67,45.18,42.67,45.09,7344600,41.95
2009-08-17,43.62,43.84,42.19,42.47,4355000,39.52
2009-08-14,45.42,45.75,43.97,44.53,4039200,41.43
2009-08-13,46.14,46.28,45.17,45.63,3548200,42.46
2009-08-12,44.69,46.24,44.38,45.80,4471000,42.61
2009-08-11,45.09,45.24,44.07,44.86,4000100,41.74
2009-08-10,46.16,46.25,45.12,45.52,3445300,42.35
2009-08-07,46.03,47.00,45.40,46.31,3397500,43.09
2009-08-06,45.95,46.24,44.88,45.36,3132300,42.20
2009-08-05,45.80,45.87,44.68,45.45,4411500,42.29
2009-08-04,45.19,46.40,44.72,45.64,5424300,42.46
2009-08-03,44.44,45.88,44.40,45.44,5163200,42.28
2009-07-31,42.88,44.27,42.61,43.74,5381700,40.70
2009-07-30,42.08,43.30,41.89,42.87,5202400,39.89
2009-07-29,41.64,41.64,40.73,41.18,3235100,38.32
2009-07-28,42.13,42.37,41.25,42.14,3547000,39.21
2009-07-27,42.36,42.75,41.82,42.72,2597700,39.75
2009-07-24,41.85,42.48,40.90,42.36,4293800,39.41
2009-07-23,40.12,42.39,40.00,42.10,5362300,39.17
2009-07-22,39.93,40.90,39.81,40.17,3921000,37.38
2009-07-21,41.65,42.25,40.04,40.54,7082300,37.72
2009-07-20,38.95,39.83,38.50,39.79,4789200,37.02
2009-07-17,38.81,38.97,38.13,38.38,4121600,35.71
2009-07-16,38.58,39.17,38.10,39.00,3868200,36.29
2009-07-15,37.49,38.74,37.41,38.67,4597200,35.98
2009-07-14,36.74,36.92,35.78,36.88,3566000,34.31
2009-07-13,35.37,36.62,34.96,36.59,4264800,34.04
2009-07-10,35.31,35.93,34.90,35.31,4776300,32.85
2009-07-09,36.34,36.59,35.55,35.67,5792000,33.19
2009-07-08,36.23,36.29,35.15,35.84,7314900,33.35
2009-07-07,37.90,38.11,35.95,35.98,4534800,33.48
2009-07-06,38.23,38.32,37.12,38.02,4711900,35.37
2009-07-02,39.61,39.76,38.53,38.53,4160800,35.85
2009-07-01,40.31,41.25,40.25,40.37,4189600,37.56
2009-06-30,41.13,41.66,39.43,39.95,7633400,37.17
2009-06-29,41.92,42.84,41.57,42.15,3001800,39.22
2009-06-26,41.74,42.39,41.54,41.78,7405600,38.87
2009-06-25,40.62,42.20,40.20,42.11,5737300,38.92
2009-06-24,39.83,40.89,39.69,39.99,4497200,36.96
2009-06-23,39.14,39.68,38.47,39.25,4428900,36.28
2009-06-22,39.58,39.59,38.54,38.93,6285900,35.98
2009-06-19,41.16,41.16,39.93,40.06,4649600,37.03
2009-06-18,41.31,41.34,40.00,40.48,4214700,37.41
2009-06-17,41.41,41.47,39.15,40.95,6333600,37.85
2009-06-16,43.36,44.02,41.28,41.62,5235500,38.47
2009-06-15,44.08,44.24,42.41,43.10,4775000,39.83
2009-06-12,44.68,44.78,43.70,44.77,3587300,41.38
2009-06-11,45.87,46.00,45.02,45.08,5435400,41.66
2009-06-10,46.65,46.93,44.50,45.71,4131400,42.25
2009-06-09,46.01,46.90,45.40,45.94,4209600,42.46
2009-06-08,45.71,46.39,44.61,45.80,5156800,42.33
2009-06-05,47.15,47.66,45.75,46.47,5414700,42.95
2009-06-04,45.44,46.80,45.00,46.42,4179200,42.90
2009-06-03,46.03,46.16,44.19,44.73,6844900,41.34
2009-06-02,46.89,47.52,45.91,46.39,5924800,42.88
2009-06-01,44.74,47.25,44.56,46.96,8917100,43.40
2009-05-29,42.18,43.47,42.18,43.47,4918600,40.18
2009-05-28,43.04,43.34,41.22,41.85,6312800,38.68
