Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,84.50,84.91,84.31,84.37,220900,79.51
2009-12-30,84.43,84.95,84.35,84.64,150700,79.76
2009-12-29,84.29,84.83,84.18,84.54,160900,79.67
2009-12-28,83.75,84.03,83.68,83.90,125900,79.06
2009-12-24,83.22,83.68,83.22,83.68,49000,78.86
2009-12-23,83.00,83.35,82.84,83.19,118700,78.39
2009-12-22,82.37,82.81,82.37,82.79,282400,78.02
2009-12-21,81.98,82.81,81.93,82.51,294200,77.75
2009-12-18,82.30,82.30,81.00,82.02,691500,77.29
2009-12-17,82.24,82.44,81.83,82.11,462900,77.38
2009-12-16,82.27,82.55,81.97,82.25,301200,77.51
2009-12-15,82.06,82.23,81.71,82.13,343300,77.40
2009-12-14,82.36,82.53,81.91,82.45,264800,77.70
2009-12-11,82.29,82.61,81.45,81.85,320200,77.13
2009-12-10,81.00,82.54,80.92,82.29,421200,77.55
2009-12-09,80.25,80.81,79.85,80.71,287200,76.06
2009-12-08,80.16,81.41,79.90,80.38,347400,75.75
2009-12-07,80.01,81.36,79.72,80.60,351900,75.95
2009-12-04,79.61,79.99,79.24,79.93,307700,75.32
2009-12-03,78.94,79.52,78.54,78.63,255500,74.10
2009-12-02,79.07,79.64,78.75,79.05,317000,74.49
2009-12-01,78.58,79.24,78.55,79.00,251200,74.45
2009-11-30,78.66,78.81,77.89,78.59,427000,74.06
2009-11-27,78.70,79.63,78.12,78.67,131400,74.13
2009-11-25,79.92,80.21,79.70,79.96,250300,75.35
2009-11-24,80.14,80.58,79.69,79.92,216900,75.31
2009-11-23,80.10,81.03,80.10,80.50,199200,75.54
2009-11-20,79.94,80.00,79.44,79.87,234900,74.95
2009-11-19,80.61,80.88,79.44,79.99,282300,75.06
2009-11-18,81.13,81.64,80.43,80.68,319700,75.71
2009-11-17,81.40,81.68,81.20,81.40,291600,76.38
2009-11-16,80.99,81.75,80.81,81.40,333900,76.38
2009-11-13,80.82,81.77,80.33,80.80,174200,75.82
2009-11-12,80.87,81.24,80.43,80.54,212800,75.58
2009-11-11,81.13,81.43,80.46,80.81,242200,75.83
2009-11-10,80.75,81.40,80.68,80.81,295600,75.83
2009-11-09,79.42,81.36,79.22,81.34,316000,76.33
2009-11-06,79.31,79.36,78.46,79.31,290200,74.42
2009-11-05,77.53,79.35,77.53,79.31,369800,74.42
2009-11-04,77.97,78.37,77.26,77.41,352500,72.64
2009-11-03,77.80,78.23,77.18,77.78,343600,72.99
2009-11-02,76.88,77.85,76.62,77.81,498200,73.01
2009-10-30,78.08,78.34,76.40,76.56,768000,71.84
2009-10-29,78.90,79.21,77.15,78.11,598600,73.30
2009-10-28,80.49,80.73,78.16,78.41,785400,73.58
2009-10-27,80.35,81.26,80.24,80.43,610700,75.47
2009-10-26,78.64,80.41,78.49,80.11,655800,75.17
2009-10-23,78.56,79.10,78.34,78.75,475600,73.90
2009-10-22,77.72,78.84,76.99,78.70,396100,73.85
2009-10-21,77.55,77.99,77.25,77.35,405400,72.58
2009-10-20,76.56,77.80,75.94,77.66,808900,72.87
2009-10-19,76.22,76.95,75.92,76.82,193400,72.09
2009-10-16,75.74,76.32,75.37,75.99,276100,71.31
2009-10-15,75.69,75.99,75.20,75.95,368200,71.27
2009-10-14,75.27,75.84,74.72,75.71,393500,71.04
2009-10-13,74.93,75.01,74.46,74.78,172100,70.17
2009-10-12,75.51,75.74,74.93,75.33,173400,70.69
2009-10-09,75.65,75.75,75.27,75.52,304200,70.87
2009-10-08,74.87,75.76,74.64,75.30,245300,70.66
2009-10-07,74.44,74.58,74.05,74.44,245600,69.85
2009-10-06,73.98,74.86,73.59,74.58,289600,69.98
2009-10-05,73.18,73.79,73.01,73.78,437900,69.23
2009-10-02,73.45,74.09,73.18,73.26,343900,68.74
2009-10-01,75.00,75.00,73.91,73.97,450200,69.41
2009-09-30,74.47,75.49,74.00,75.32,517900,70.68
2009-09-29,74.65,74.88,74.07,74.82,481100,70.21
2009-09-28,73.87,74.69,73.69,74.42,382100,69.83
2009-09-25,74.00,74.59,73.46,73.90,484200,69.35
2009-09-24,74.19,74.37,73.76,74.03,409900,69.47
2009-09-23,74.30,74.45,73.83,73.83,392100,69.28
2009-09-22,73.83,74.41,73.78,74.32,354700,69.74
2009-09-21,73.80,74.27,73.70,74.02,450100,69.46
2009-09-18,74.86,74.86,74.02,74.26,484000,69.68
2009-09-17,74.84,75.17,74.24,74.38,605800,69.80
2009-09-16,74.46,74.82,74.02,74.76,370600,70.15
2009-09-15,74.83,74.90,74.17,74.60,354200,70.00
2009-09-14,73.93,74.90,73.74,74.67,547900,70.07
2009-09-11,73.39,74.27,72.75,73.97,809500,69.41
2009-09-10,73.40,73.78,72.89,73.39,775900,68.87
2009-09-09,74.46,74.46,73.12,73.41,821300,68.89
2009-09-08,74.71,74.71,73.80,74.49,305500,69.90
2009-09-04,74.27,74.89,73.93,74.55,401800,69.96
2009-09-03,72.85,74.24,71.15,74.24,522000,69.66
2009-09-02,72.65,73.19,72.20,72.94,623900,68.44
2009-09-01,72.82,73.55,72.60,72.97,813600,68.47
2009-08-31,72.84,73.18,72.62,73.04,357900,68.54
2009-08-28,73.49,73.70,72.76,72.95,550000,68.45
2009-08-27,73.63,74.10,72.67,73.37,391800,68.85
2009-08-26,73.99,74.32,73.46,73.85,420300,68.98
2009-08-25,74.91,75.07,73.85,74.26,455900,69.36
2009-08-24,75.00,75.05,74.23,74.34,403900,69.44
2009-08-21,74.46,75.07,73.96,74.63,597500,69.71
2009-08-20,74.12,74.26,73.67,73.95,507200,69.07
2009-08-19,73.47,74.50,73.45,74.41,574300,69.50
2009-08-18,74.48,74.87,73.82,74.04,562700,69.16
2009-08-17,74.75,74.75,74.03,74.46,455200,69.55
2009-08-14,75.89,75.89,74.40,74.94,307200,70.00
2009-08-13,75.23,75.44,74.65,75.44,506800,70.46
2009-08-12,74.52,75.77,74.27,75.41,695100,70.44
2009-08-11,74.35,74.61,74.01,74.28,485900,69.38
2009-08-10,74.09,74.50,73.50,74.43,750100,69.52
2009-08-07,73.67,74.46,73.25,74.09,534600,69.20
2009-08-06,73.50,73.84,72.97,73.25,548600,68.42
2009-08-05,73.36,74.03,72.97,73.37,975400,68.53
2009-08-04,71.21,73.21,71.21,72.89,1099600,68.08
2009-08-03,72.53,72.73,70.19,71.33,2296200,66.63
2009-07-31,72.83,75.74,70.02,71.99,2786200,67.24
2009-07-30,83.72,84.00,82.58,82.78,522900,77.32
2009-07-29,82.25,83.27,82.10,83.16,480800,77.68
2009-07-28,81.70,82.54,81.65,82.15,275000,76.73
2009-07-27,81.37,82.15,81.13,82.15,347900,76.73
2009-07-24,80.54,81.00,80.36,80.90,410200,75.56
2009-07-23,81.21,81.39,80.55,80.75,668500,75.42
2009-07-22,80.80,81.75,80.73,81.01,336900,75.67
2009-07-21,82.18,82.59,80.95,81.42,294200,76.05
2009-07-20,80.57,81.63,80.42,81.61,297900,76.23
2009-07-17,79.90,80.36,79.68,80.03,476100,74.75
2009-07-16,79.76,80.31,79.17,79.89,631000,74.62
2009-07-15,79.58,80.50,79.14,80.26,657300,74.97
2009-07-14,79.03,79.18,78.59,79.14,255000,73.92
2009-07-13,78.39,79.22,77.38,79.19,455000,73.97
2009-07-10,78.53,78.80,78.07,78.33,259500,73.16
2009-07-09,79.15,79.41,78.11,78.46,315200,73.29
2009-07-08,78.78,79.17,78.38,78.77,593500,73.58
2009-07-07,79.72,79.99,78.74,78.78,411000,73.58
2009-07-06,78.78,79.75,78.33,79.67,490000,74.42
2009-07-02,80.63,80.78,78.75,78.75,330700,73.56
2009-07-01,81.23,81.72,80.88,81.40,350300,76.03
2009-06-30,81.05,81.50,80.81,81.21,411400,75.85
2009-06-29,80.06,81.66,79.61,81.28,593000,75.92
2009-06-26,79.87,80.32,79.38,80.15,990500,74.86
2009-06-25,79.53,80.62,79.23,80.60,476700,75.28
2009-06-24,79.67,80.04,79.13,79.53,352500,74.28
2009-06-23,79.29,79.59,78.54,79.25,438600,74.02
2009-06-22,79.60,80.25,79.23,79.30,574600,74.07
2009-06-19,80.73,80.73,79.62,80.11,600800,74.83
2009-06-18,80.00,80.69,80.00,80.00,676200,74.72
2009-06-17,80.63,81.27,80.18,80.50,690700,75.19
2009-06-16,82.23,82.51,80.51,80.51,334600,75.20
2009-06-15,82.93,83.20,81.71,81.93,346800,76.53
2009-06-12,83.46,83.70,82.55,83.55,230000,78.04
2009-06-11,83.75,84.51,83.38,83.86,376500,78.33
2009-06-10,84.29,84.55,82.69,83.63,366400,78.11
2009-06-09,81.25,84.21,81.25,83.91,458300,78.38
2009-06-08,83.42,84.76,83.13,84.18,314300,78.63
2009-06-05,83.31,84.36,83.31,84.00,492700,78.46
2009-06-04,82.81,83.23,81.87,83.08,709000,77.60
2009-06-03,82.11,83.51,81.84,83.13,645500,77.65
2009-06-02,82.91,83.07,82.08,82.25,508700,76.83
2009-06-01,82.39,83.34,81.94,82.90,657000,77.43
2009-05-29,81.71,81.95,80.48,81.79,418900,76.40
2009-05-28,81.15,81.54,79.76,81.53,852300,76.15
2009-05-27,82.81,82.83,80.39,80.41,472300,75.11
2009-05-26,80.40,83.33,80.04,83.24,415900,77.43
2009-05-22,80.82,81.33,80.44,80.74,346200,75.11
2009-05-21,81.44,81.77,80.13,80.80,336800,75.16
2009-05-20,82.78,83.41,82.12,82.19,430000,76.46
2009-05-19,82.78,82.94,81.82,82.36,442200,76.61
2009-05-18,80.88,82.59,80.42,82.56,528500,76.80
2009-05-15,80.16,80.93,79.30,80.48,602100,74.87
2009-05-14,80.62,80.94,79.78,80.26,672700,74.66
2009-05-13,80.57,81.49,80.23,80.42,629100,74.81
2009-05-12,80.97,81.93,80.39,81.52,587400,75.83
2009-05-11,80.94,81.76,80.43,80.94,696500,75.29
2009-05-08,81.49,82.44,80.91,82.01,845700,76.29
2009-05-07,81.28,81.54,80.16,81.00,700400,75.35
2009-05-06,79.95,81.72,79.95,81.10,568200,75.44
2009-05-05,80.80,81.66,79.80,81.54,488500,75.85
2009-05-04,81.46,81.65,79.61,80.80,806900,75.16
2009-05-01,80.97,81.21,79.02,80.72,650800,75.09
2009-04-30,83.22,84.00,80.55,81.40,1143600,75.72
2009-04-29,80.29,82.83,80.29,82.47,591100,76.72
2009-04-28,80.20,81.52,79.78,80.83,508700,75.19
2009-04-27,79.61,81.82,79.60,80.73,746500,75.10
2009-04-24,79.82,81.08,79.46,80.67,673700,75.04
2009-04-23,79.45,79.61,77.58,79.39,773200,73.85
2009-04-22,79.68,81.15,78.96,79.59,771200,74.04
2009-04-21,79.72,80.71,78.88,80.42,782700,74.81
2009-04-20,80.09,81.02,79.67,80.16,816500,74.57
2009-04-17,81.73,81.73,80.34,81.07,782900,75.41
2009-04-16,79.18,81.76,78.87,81.53,632500,75.84
2009-04-15,77.57,78.61,77.05,78.45,803900,72.98
2009-04-14,80.55,80.58,77.55,77.68,993600,72.26
2009-04-13,80.38,80.87,79.47,80.45,502600,74.84
2009-04-09,80.33,80.70,79.50,80.48,1003300,74.87
2009-04-08,77.94,79.18,77.49,79.03,454400,73.52
2009-04-07,77.57,78.57,77.23,77.67,551700,72.25
2009-04-06,77.42,78.74,77.00,78.51,512700,73.03
2009-04-03,78.61,79.11,77.34,78.44,576300,72.97
2009-04-02,77.76,79.40,77.24,78.74,849400,73.25
2009-04-01,76.51,77.22,75.57,76.67,774900,71.32
2009-03-31,76.30,77.70,75.32,77.00,651500,71.63
2009-03-30,74.79,75.77,74.42,75.47,734100,70.20
2009-03-27,75.89,76.54,75.39,75.97,643300,70.67
2009-03-26,76.31,76.84,76.01,76.65,901200,71.30
2009-03-25,76.49,77.62,74.78,75.99,704200,70.69
2009-03-24,75.86,76.87,75.69,75.90,480100,70.60
2009-03-23,74.96,77.12,74.46,77.09,590000,71.71
2009-03-20,73.86,75.40,73.52,73.77,767300,68.62
2009-03-19,75.13,75.40,73.55,73.65,602300,68.51
2009-03-18,73.67,75.71,73.47,75.19,558000,69.94
2009-03-17,73.46,74.50,72.96,74.50,447600,69.30
2009-03-16,74.47,75.25,73.35,73.68,549200,68.54
2009-03-13,74.05,74.78,73.13,74.57,542300,69.37
2009-03-12,71.94,74.06,71.37,74.04,585200,68.87
2009-03-11,71.51,72.59,70.48,71.93,847400,66.91
2009-03-10,70.61,71.11,68.97,71.06,871300,66.10
2009-03-09,71.01,71.85,69.49,69.80,708100,64.93
2009-03-06,70.95,71.83,70.18,71.76,1025200,66.75
2009-03-05,71.80,72.11,70.21,70.62,758300,65.69
2009-03-04,71.71,73.52,71.63,72.57,921700,67.51
2009-03-03,72.30,72.56,71.31,71.72,1211100,66.40
2009-03-02,72.90,74.28,71.24,71.55,690400,66.24
