Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,59.25,59.44,58.67,58.74,423400,58.74
2009-12-30,59.36,59.62,59.20,59.33,308400,59.33
2009-12-29,59.51,59.73,59.30,59.62,336000,59.62
2009-12-28,59.61,59.79,59.14,59.52,252500,59.52
2009-12-24,60.13,60.13,59.59,59.70,124200,59.70
2009-12-23,59.65,60.12,59.49,59.91,717700,59.91
2009-12-22,59.17,59.78,59.17,59.46,487300,59.46
2009-12-21,59.60,60.37,58.93,59.26,908000,59.26
2009-12-18,59.96,60.15,59.47,59.60,1000000,59.60
2009-12-17,60.32,60.73,59.43,59.86,569200,59.86
2009-12-16,61.56,61.97,60.75,60.78,706000,60.78
2009-12-15,60.37,61.57,60.29,61.55,1220700,61.55
2009-12-14,59.92,60.46,59.75,60.38,849300,60.38
2009-12-11,59.55,59.98,59.36,59.54,640200,59.54
2009-12-10,58.54,59.64,58.51,59.31,1228200,59.31
2009-12-09,57.69,58.56,56.40,58.45,1975400,58.45
2009-12-08,59.37,59.42,57.74,58.12,2369500,58.12
2009-12-07,60.22,60.49,59.45,59.76,1091600,59.76
2009-12-04,61.14,61.95,59.96,60.13,1212000,60.13
2009-12-03,60.58,61.23,60.46,60.58,1451000,60.58
2009-12-02,60.16,60.81,60.06,60.62,535300,60.62
2009-12-01,59.66,60.37,59.24,60.15,663100,60.15
2009-11-30,59.25,59.32,58.27,59.24,790500,59.24
2009-11-27,59.21,59.69,58.76,59.33,239000,59.33
2009-11-25,60.01,60.09,59.70,59.97,322100,59.97
2009-11-24,59.91,60.49,59.66,60.10,938100,60.10
2009-11-23,58.94,59.97,58.94,59.97,741800,59.97
2009-11-20,58.22,59.21,58.02,58.95,934800,58.95
2009-11-19,58.54,58.70,57.46,58.27,531400,58.27
2009-11-18,58.84,58.84,58.08,58.53,475100,58.53
2009-11-17,58.40,58.97,58.30,58.81,505800,58.81
2009-11-16,58.32,59.05,58.19,58.65,492600,58.65
2009-11-13,58.28,58.53,57.80,58.23,375600,58.23
2009-11-12,58.59,58.90,58.12,58.20,445500,58.20
2009-11-11,58.57,58.94,58.29,58.55,569000,58.55
2009-11-10,58.22,58.97,58.19,58.74,579900,58.74
2009-11-09,58.33,58.50,57.67,58.16,1033600,58.16
2009-11-06,58.27,58.50,57.63,57.97,1419800,57.97
2009-11-05,58.49,58.94,58.19,58.30,1361600,58.30
2009-11-04,56.82,59.93,56.09,57.93,3565400,57.93
2009-11-03,53.60,54.44,53.48,54.40,805800,54.40
2009-11-02,53.24,54.44,52.99,53.76,845200,53.76
2009-10-30,53.30,53.97,52.71,53.03,987400,53.03
2009-10-29,53.33,53.88,53.15,53.65,861300,53.65
2009-10-28,53.54,53.78,53.23,53.39,1064700,53.39
2009-10-27,53.50,54.10,53.02,53.51,1669600,53.51
2009-10-26,54.48,54.78,53.37,53.52,749500,53.52
2009-10-23,55.13,55.23,54.12,54.36,806900,54.36
2009-10-22,54.88,55.57,54.02,55.21,960600,55.21
2009-10-21,55.35,55.80,54.88,55.00,796100,55.00
2009-10-20,55.70,55.82,55.08,55.31,841100,55.31
2009-10-19,56.31,56.31,55.43,55.73,878900,55.73
2009-10-16,56.43,56.57,55.64,56.29,638100,56.29
2009-10-15,56.42,57.12,56.14,56.65,679400,56.65
2009-10-14,56.74,57.34,56.18,56.62,1387900,56.62
2009-10-13,56.26,56.71,56.25,56.43,363500,56.43
2009-10-12,55.92,56.61,55.82,56.34,426000,56.34
2009-10-09,56.51,56.67,55.88,55.90,1134600,55.90
2009-10-08,57.01,57.20,56.29,56.43,565900,56.43
2009-10-07,56.67,57.23,56.17,56.69,824300,56.69
2009-10-06,56.37,56.97,55.98,56.56,637500,56.56
2009-10-05,55.68,56.38,55.15,56.25,711800,56.25
2009-10-02,55.68,56.00,55.43,55.72,763800,55.72
2009-10-01,56.74,57.19,55.98,56.02,1089000,56.02
2009-09-30,56.08,56.91,55.68,56.64,1003200,56.64
2009-09-29,56.50,56.84,55.88,56.18,1019100,56.18
2009-09-28,56.03,57.03,55.94,56.48,658100,56.48
2009-09-25,56.08,56.55,55.46,55.99,561700,55.99
2009-09-24,56.42,56.97,55.68,56.08,636600,56.08
2009-09-23,56.37,57.03,56.07,56.42,953300,56.42
2009-09-22,56.04,56.48,55.22,56.23,844200,56.23
2009-09-21,55.16,56.43,55.08,56.05,603500,56.05
2009-09-18,55.88,56.23,55.23,55.57,799400,55.57
2009-09-17,56.25,56.31,55.56,55.88,657700,55.88
2009-09-16,54.13,56.48,54.09,56.14,1718600,56.14
2009-09-15,54.06,54.80,53.42,54.25,1519400,54.25
2009-09-14,54.19,54.28,53.97,54.13,555300,54.13
2009-09-11,54.29,54.71,53.99,54.23,399100,54.23
2009-09-10,54.23,54.39,53.57,54.39,728600,54.39
2009-09-09,53.75,54.60,53.72,54.14,1147600,54.14
