Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,57.64,57.64,56.71,56.73,270600,55.44
2009-12-30,57.16,57.54,56.94,57.51,261300,56.20
2009-12-29,57.34,57.47,56.83,57.19,244400,55.89
2009-12-28,57.09,57.44,57.02,57.34,778600,56.04
2009-12-24,56.96,57.09,56.68,57.02,194600,55.72
2009-12-23,56.66,57.52,56.66,57.04,594500,55.74
2009-12-22,56.50,57.11,56.38,56.52,400800,55.23
2009-12-21,56.71,56.95,56.22,56.75,419900,55.46
2009-12-18,56.40,57.23,55.81,56.48,1393500,55.19
2009-12-17,58.96,59.16,56.15,56.67,1565400,55.38
2009-12-16,58.31,59.87,58.31,58.99,1305900,57.65
2009-12-15,57.58,58.68,57.51,58.42,703300,57.09
2009-12-14,55.62,57.88,55.50,57.76,1052800,56.45
2009-12-11,56.71,56.93,55.84,55.95,729300,54.68
2009-12-10,57.15,57.92,56.26,56.49,1004400,55.20
2009-12-09,54.15,57.58,53.68,57.23,2198800,55.93
2009-12-08,53.28,54.81,52.85,54.29,1339900,52.96
2009-12-07,52.56,52.60,51.45,52.58,1034800,51.29
2009-12-04,52.90,53.19,52.03,52.47,667400,51.18
2009-12-03,53.77,53.99,52.55,52.72,860500,51.43
2009-12-02,53.55,54.06,53.36,53.77,607100,52.45
2009-12-01,54.10,54.30,53.15,53.74,1107500,52.42
2009-11-30,54.29,54.40,53.38,54.32,488300,52.99
2009-11-27,54.17,54.83,54.02,54.44,236900,53.10
2009-11-25,55.53,55.66,54.76,54.95,472000,53.60
2009-11-24,54.50,55.45,54.18,55.24,695800,53.88
2009-11-23,54.25,54.50,54.00,54.37,697300,53.03
2009-11-20,54.13,54.19,53.77,54.03,627700,52.70
2009-11-19,54.18,54.39,53.27,54.04,878600,52.71
2009-11-18,54.40,54.47,54.05,54.47,454800,53.13
2009-11-17,54.59,54.59,54.11,54.54,614000,53.20
2009-11-16,53.49,54.74,53.46,54.62,929800,53.28
2009-11-13,53.35,53.61,52.93,53.00,774100,51.70
2009-11-12,54.02,54.02,53.25,53.33,689600,52.02
2009-11-11,53.42,54.31,52.88,53.55,1279700,52.23
2009-11-10,53.17,54.57,53.17,54.15,1109600,52.82
2009-11-09,55.79,55.79,52.55,53.46,2272500,52.15
2009-11-06,55.18,55.85,54.88,55.38,858100,54.02
2009-11-05,55.23,55.46,54.71,55.29,784600,53.93
2009-11-04,56.13,56.18,54.87,54.96,824100,53.61
2009-11-03,55.78,56.05,55.46,55.86,734900,54.49
2009-11-02,55.54,56.33,54.68,56.05,1045200,54.67
2009-10-30,55.23,56.30,55.03,55.29,1460600,53.93
2009-10-29,56.31,56.69,54.71,55.44,1838400,54.08
2009-10-28,54.99,57.85,54.16,56.13,3588000,54.75
2009-10-27,55.43,56.02,54.82,54.88,826300,53.53
2009-10-26,55.59,56.28,55.10,55.48,870200,54.12
2009-10-23,55.69,56.35,55.09,55.50,548900,54.14
2009-10-22,54.70,56.50,54.04,55.69,1167300,54.32
2009-10-21,56.18,57.37,56.05,56.07,1021900,54.69
2009-10-20,56.01,56.26,55.26,56.17,1186800,54.79
2009-10-19,56.04,56.43,55.20,56.20,435300,54.82
2009-10-16,56.02,56.65,55.30,55.89,727200,54.52
2009-10-15,55.20,57.68,55.20,56.33,1021000,54.95
2009-10-14,54.42,54.80,53.16,54.40,488300,53.06
2009-10-13,54.51,54.70,53.98,54.22,332300,52.89
2009-10-12,55.10,55.19,54.58,54.68,251300,53.34
2009-10-09,54.53,55.08,53.89,54.82,465200,53.47
2009-10-08,54.10,54.90,54.10,54.63,652800,53.29
2009-10-07,53.81,54.36,53.61,54.09,543300,52.76
2009-10-06,53.22,54.19,52.90,53.77,475400,52.45
2009-10-05,53.45,53.63,52.41,52.85,819500,51.55
2009-10-02,53.44,54.68,53.31,53.60,1314800,52.28
2009-10-01,55.26,55.61,54.22,54.42,861600,53.08
2009-09-30,55.39,55.95,54.58,55.32,949600,53.96
2009-09-29,53.74,55.62,53.57,54.97,840300,53.62
2009-09-28,54.09,54.78,53.62,53.77,758100,52.45
2009-09-25,54.69,55.04,53.81,53.89,528400,52.57
2009-09-24,55.16,55.45,53.90,54.51,558500,53.17
2009-09-23,55.47,55.75,54.67,55.00,487000,53.65
2009-09-22,55.66,56.03,54.29,55.62,907700,54.25
2009-09-21,52.27,56.90,51.77,56.76,1992300,55.37
2009-09-18,52.82,53.00,51.82,52.50,564800,51.21
2009-09-17,51.13,52.43,50.85,52.32,805300,51.04
2009-09-16,51.36,51.60,50.64,51.27,274300,50.01
2009-09-15,50.92,51.58,50.84,51.39,434000,50.13
