Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,46.31,46.35,45.41,45.43,1269700,39.60
2009-12-30,46.05,46.35,45.90,46.13,959700,40.21
2009-12-29,45.95,46.17,45.83,46.08,789300,40.17
2009-12-28,45.96,45.96,45.67,45.89,893300,40.00
2009-12-24,45.56,45.86,45.54,45.86,500000,39.98
2009-12-23,45.54,45.77,45.37,45.45,1574100,39.62
2009-12-22,45.86,46.07,45.53,45.58,1617300,39.73
2009-12-21,45.41,45.94,45.41,45.72,1670500,39.85
2009-12-18,45.40,45.65,45.28,45.37,3426900,39.55
2009-12-17,44.94,45.50,44.69,45.41,3025300,39.58
2009-12-16,45.24,45.36,44.91,44.95,2116400,39.18
2009-12-15,45.22,45.22,44.89,45.03,1778300,39.25
2009-12-14,45.47,45.47,45.06,45.26,1623900,39.45
2009-12-11,44.64,45.25,44.64,45.18,1784600,39.38
2009-12-10,44.39,44.78,44.31,44.65,1560700,38.92
2009-12-09,44.16,44.20,43.80,44.18,1377400,38.51
2009-12-08,44.33,44.35,43.90,44.01,2568400,38.36
2009-12-07,44.19,44.67,44.19,44.39,2352200,38.70
2009-12-04,44.50,44.80,43.70,44.05,3082600,38.40
2009-12-03,43.98,44.69,43.87,44.37,4220800,38.68
2009-12-02,43.23,43.96,43.23,43.93,2212800,38.29
2009-12-01,42.76,43.49,42.72,43.31,5469100,37.75
2009-11-30,42.54,42.97,42.43,42.91,2187800,37.40
2009-11-27,42.30,42.81,42.14,42.44,885000,37.00
2009-11-25,42.61,42.99,42.40,42.91,1568900,37.40
2009-11-24,42.39,42.81,42.25,42.55,2450000,37.09
2009-11-23,42.25,42.49,42.23,42.46,1683200,37.01
2009-11-20,41.70,42.05,41.67,41.90,2048600,36.52
2009-11-19,42.05,42.08,41.69,41.80,1844800,36.44
2009-11-18,42.00,42.24,41.86,42.13,1656000,36.72
2009-11-17,41.90,42.09,41.81,42.09,1514000,36.69
2009-11-16,42.18,42.22,41.68,41.85,2303100,36.48
2009-11-13,42.35,42.55,42.03,42.46,2025800,36.50
2009-11-12,42.54,42.54,42.05,42.17,2228300,36.25
2009-11-11,42.60,42.60,42.16,42.47,2172200,36.51
2009-11-10,42.09,42.58,42.06,42.46,1639700,36.50
2009-11-09,41.63,42.24,41.60,42.21,1640500,36.28
2009-11-06,41.49,41.75,41.34,41.53,1908500,35.70
2009-11-05,41.23,41.57,41.10,41.55,1679600,35.72
2009-11-04,41.02,41.42,40.83,40.95,1758700,35.20
2009-11-03,41.09,41.24,40.80,40.88,2071700,35.14
2009-11-02,40.82,41.41,40.61,41.18,2445100,35.40
2009-10-30,41.26,41.44,40.55,40.68,2905000,34.97
2009-10-29,41.20,41.41,40.68,41.32,2112400,35.52
2009-10-28,41.34,41.67,41.09,41.18,2984000,35.40
2009-10-27,41.36,42.07,41.26,41.34,2544200,35.54
2009-10-26,41.91,42.25,41.31,41.33,2531700,35.53
2009-10-23,41.92,41.93,41.30,41.81,2332000,35.94
2009-10-22,41.58,41.80,41.30,41.78,1589200,35.91
2009-10-21,41.75,41.82,41.44,41.52,2894000,35.69
2009-10-20,41.82,41.97,41.57,41.67,1510200,35.82
2009-10-19,41.32,41.98,41.07,41.88,2094800,36.00
2009-10-16,41.05,41.43,40.48,41.33,1950600,35.53
2009-10-15,40.92,41.22,40.89,41.20,1395300,35.42
2009-10-14,41.05,41.39,40.83,40.95,1688700,35.20
2009-10-13,41.43,41.45,40.87,40.96,1639900,35.21
2009-10-12,41.22,41.49,41.07,41.49,1216300,35.66
2009-10-09,40.83,41.20,40.83,41.09,1022900,35.32
2009-10-08,41.10,41.19,40.72,40.91,1625700,35.17
2009-10-07,40.96,40.96,40.61,40.94,997800,35.19
2009-10-06,40.81,41.17,40.70,40.96,1314300,35.21
2009-10-05,40.55,40.88,40.18,40.88,1580300,35.14
2009-10-02,40.62,40.77,40.15,40.35,2055600,34.68
2009-10-01,41.61,41.73,40.76,40.76,2838100,35.04
2009-09-30,41.29,41.35,40.67,40.94,2005600,35.19
2009-09-29,41.42,41.44,41.10,41.29,1229000,35.49
2009-09-28,41.14,41.58,41.14,41.41,956500,35.60
2009-09-25,40.89,41.22,40.89,41.07,1149700,35.30
2009-09-24,40.97,41.30,40.90,40.99,1649800,35.23
2009-09-23,41.25,41.77,40.96,40.97,2003900,35.22
2009-09-22,41.39,41.40,40.96,41.17,1349900,35.39
2009-09-21,41.27,41.52,41.18,41.35,1061500,35.54
2009-09-18,41.29,41.50,41.04,41.48,2156900,35.66
2009-09-17,41.03,41.46,40.99,41.03,2098400,35.27
2009-09-16,40.89,41.20,40.66,41.06,2614200,35.29
2009-09-15,40.34,40.90,40.21,40.85,2225600,35.11
2009-09-14,39.63,40.31,39.63,40.26,2448400,34.61
2009-09-11,39.93,40.05,39.59,39.63,1981600,34.07
2009-09-10,39.82,40.07,39.67,39.94,1373800,34.33
2009-09-09,39.91,40.09,39.76,39.89,1674900,34.29
2009-09-08,40.01,40.01,39.60,39.80,1432100,34.21
2009-09-04,39.84,39.89,39.55,39.87,1020900,34.27
2009-09-03,39.72,39.78,39.29,39.74,1649400,34.16
2009-09-02,40.02,40.11,39.61,39.61,1967300,34.05
2009-09-01,40.14,40.45,39.97,40.12,1637500,34.49
2009-08-31,40.37,40.50,40.12,40.19,1562400,34.55
2009-08-28,40.73,40.73,40.22,40.39,1069900,34.72
2009-08-27,40.38,40.70,40.10,40.54,1670900,34.85
2009-08-26,40.45,40.59,39.99,40.39,1509200,34.72
2009-08-25,40.59,40.73,40.31,40.43,1340200,34.75
2009-08-24,40.55,40.60,40.21,40.58,1589700,34.88
2009-08-21,39.88,40.62,39.83,40.50,2250300,34.81
2009-08-20,39.30,39.85,39.14,39.72,1808000,34.14
2009-08-19,39.13,39.41,39.02,39.37,2439700,33.84
2009-08-18,39.34,39.49,39.06,39.29,2103600,33.77
2009-08-17,39.50,39.69,39.26,39.35,2521600,33.83
2009-08-14,40.49,40.66,40.31,40.64,1648100,34.43
2009-08-13,40.51,40.75,40.27,40.47,2037500,34.28
2009-08-12,40.05,40.70,40.00,40.50,2140300,34.31
2009-08-11,39.94,40.31,39.83,40.19,1335300,34.05
2009-08-10,39.79,40.00,39.75,39.98,1035800,33.87
2009-08-07,39.66,40.03,39.54,39.86,1528600,33.77
2009-08-06,39.58,39.63,39.28,39.55,1234800,33.50
2009-08-05,39.59,39.88,39.42,39.64,1990100,33.58
2009-08-04,39.49,39.80,39.30,39.50,1853100,33.46
2009-08-03,39.48,39.68,39.27,39.56,1619800,33.51
2009-07-31,39.41,39.55,39.17,39.36,1507500,33.34
2009-07-30,39.43,39.75,39.16,39.49,1456200,33.45
2009-07-29,38.93,39.32,38.75,39.22,1476400,33.22
2009-07-28,39.10,39.30,38.82,39.07,1684500,33.10
2009-07-27,39.10,39.25,38.80,39.24,1433400,33.24
2009-07-24,38.51,39.10,38.50,39.01,1686200,33.05
2009-07-23,37.75,38.75,37.61,38.67,1983900,32.76
2009-07-22,37.87,38.00,37.66,37.84,1417200,32.05
2009-07-21,37.72,37.95,37.72,37.92,1532200,32.12
2009-07-20,37.51,37.68,37.26,37.61,1303500,31.86
2009-07-17,37.51,37.63,37.16,37.39,2426800,31.67
2009-07-16,37.80,37.81,37.29,37.69,1634300,31.93
2009-07-15,37.54,37.85,37.51,37.82,2420900,32.04
2009-07-14,37.09,37.43,36.87,37.38,1551200,31.67
2009-07-13,36.79,37.20,36.46,37.14,1687700,31.46
2009-07-10,36.64,36.91,36.50,36.63,1297600,31.03
2009-07-09,37.20,37.22,36.55,36.76,1908500,31.14
2009-07-08,37.01,37.36,36.70,37.01,1797700,31.35
2009-07-07,37.66,37.70,36.91,36.96,1265000,31.31
2009-07-06,37.00,37.95,37.00,37.53,2066100,31.79
2009-07-02,37.51,37.73,37.08,37.28,1704500,31.58
2009-07-01,37.50,37.90,37.37,37.80,1711900,32.02
2009-06-30,37.41,37.50,36.79,37.42,3169800,31.70
2009-06-29,37.08,37.55,36.96,37.53,1511700,31.79
2009-06-26,37.13,37.26,36.85,37.04,1518100,31.38
2009-06-25,36.35,37.24,36.00,37.14,2370600,31.46
2009-06-24,36.49,36.63,36.25,36.44,2278300,30.87
2009-06-23,36.99,37.29,36.14,36.26,3050300,30.72
2009-06-22,36.42,37.30,36.34,37.03,2456600,31.37
2009-06-19,37.40,37.45,36.72,36.79,2710600,31.17
2009-06-18,36.66,37.39,36.66,37.33,1480600,31.62
2009-06-17,36.30,36.99,36.30,36.78,2444500,31.16
2009-06-16,36.75,36.90,36.13,36.44,2333100,30.87
2009-06-15,36.85,37.00,36.25,36.56,1763600,30.97
2009-06-12,36.49,37.15,36.13,37.08,1755200,31.41
2009-06-11,35.90,36.99,35.90,36.68,2828600,31.07
2009-06-10,35.74,36.15,35.59,35.92,3181700,30.43
2009-06-09,35.79,35.80,35.40,35.44,1845600,30.02
2009-06-08,35.79,35.98,35.35,35.81,1678600,30.34
2009-06-05,35.77,35.98,35.33,35.78,2277500,30.31
2009-06-04,35.63,35.65,35.36,35.54,1521100,30.11
2009-06-03,35.83,36.00,35.33,35.52,2169900,30.09
2009-06-02,36.24,36.33,35.81,35.84,2369300,30.36
2009-06-01,35.52,36.29,35.52,36.23,2240900,30.69
2009-05-29,35.54,35.58,35.00,35.46,2032700,30.04
2009-05-28,34.94,35.58,34.79,35.41,2131400,30.00
2009-05-27,35.62,35.65,34.73,34.76,2114900,29.45
2009-05-26,34.71,35.75,34.51,35.66,2644600,30.21
2009-05-22,34.51,34.91,34.40,34.60,1771000,29.31
2009-05-21,34.78,34.78,34.36,34.50,3033600,29.23
2009-05-20,35.40,35.55,34.85,34.87,2598300,29.54
2009-05-19,35.19,35.69,35.03,35.23,2647900,29.84
2009-05-18,35.19,35.37,34.60,34.85,2881300,29.52
2009-05-15,35.11,35.25,34.49,34.86,3973000,29.53
2009-05-14,35.21,35.51,34.71,35.02,3755800,29.67
2009-05-13,35.89,36.00,35.16,35.26,6034000,29.87
2009-05-12,36.52,36.78,36.29,36.46,3194900,30.89
2009-05-11,37.13,37.38,36.37,36.42,3212900,30.85
2009-05-08,37.66,38.17,37.30,37.58,3066500,31.33
2009-05-07,37.32,37.45,36.90,37.31,4585000,31.11
2009-05-06,37.15,37.59,36.96,37.04,3251600,30.88
2009-05-05,37.40,37.60,37.17,37.43,2256300,31.21
2009-05-04,37.76,37.77,37.00,37.36,2946500,31.15
2009-05-01,37.21,37.37,36.89,37.37,2274000,31.16
2009-04-30,37.74,37.77,36.95,37.13,3110600,30.96
2009-04-29,37.91,37.91,37.38,37.56,2603700,31.32
2009-04-28,37.52,37.93,37.40,37.68,2482500,31.42
2009-04-27,37.13,37.87,37.13,37.61,2382200,31.36
2009-04-24,37.63,37.74,37.20,37.45,2728500,31.23
2009-04-23,37.76,37.88,37.12,37.48,3090800,31.25
2009-04-22,38.50,38.65,37.26,37.58,4541400,31.33
2009-04-21,38.45,38.99,38.05,38.27,2838500,31.91
2009-04-20,38.49,39.00,38.42,38.43,1552700,32.04
2009-04-17,38.80,38.87,38.40,38.76,1843500,32.32
2009-04-16,38.84,38.86,38.34,38.56,1593800,32.15
2009-04-15,38.21,38.69,38.20,38.69,1103000,32.26
2009-04-14,38.80,38.80,38.01,38.34,1539600,31.97
2009-04-13,38.87,39.06,38.30,38.90,2141000,32.44
2009-04-09,39.18,39.48,38.44,38.89,2001300,32.43
