Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,44.60,44.98,43.89,43.92,456600,41.61
2009-12-30,44.60,45.05,44.37,44.56,539000,42.21
2009-12-29,45.15,45.58,44.85,44.90,453100,42.53
2009-12-28,45.23,45.41,45.12,45.21,584700,42.83
2009-12-24,44.45,45.00,44.40,45.00,260200,42.63
2009-12-23,44.24,44.46,44.00,44.32,542400,41.99
2009-12-22,44.03,44.41,43.80,44.04,669200,41.72
2009-12-21,43.77,44.23,43.75,43.85,752500,41.54
2009-12-18,43.50,44.03,43.08,43.33,1191400,41.05
2009-12-17,43.10,43.56,42.81,43.19,892500,40.91
2009-12-16,43.44,43.76,43.12,43.50,775300,41.21
2009-12-15,43.03,43.90,43.03,43.21,1755600,40.93
2009-12-14,42.50,43.47,42.42,43.41,1328400,41.12
2009-12-11,41.59,41.94,41.33,41.89,919800,39.68
2009-12-10,40.86,41.52,40.82,41.46,954800,39.28
2009-12-09,40.86,40.98,40.21,40.71,883900,38.57
2009-12-08,41.26,41.31,40.47,40.74,944600,38.59
2009-12-07,41.32,41.76,41.16,41.37,696400,39.19
2009-12-04,41.76,42.07,40.80,41.45,1029400,39.27
2009-12-03,41.44,42.17,41.29,41.38,947000,39.20
2009-12-02,41.69,42.23,41.52,41.81,976700,39.61
2009-12-01,41.50,41.88,41.40,41.63,902300,39.44
2009-11-30,40.85,41.18,40.66,41.15,981700,38.98
2009-11-27,40.59,41.18,40.34,40.70,570100,38.56
2009-11-25,41.16,41.79,40.97,41.69,964300,39.49
2009-11-24,40.92,41.21,40.29,41.15,824800,38.98
2009-11-23,41.19,41.85,40.73,40.99,881000,38.83
2009-11-20,40.46,40.79,40.02,40.54,1599400,38.40
2009-11-19,41.59,41.70,40.50,40.65,1543900,38.51
2009-11-18,42.64,42.71,41.61,41.73,852300,39.53
2009-11-17,43.17,43.18,42.46,42.56,909800,40.32
2009-11-16,42.75,43.34,42.69,43.25,824000,40.97
2009-11-13,42.35,42.74,42.09,42.44,958700,40.20
2009-11-12,43.48,43.54,42.25,42.30,940700,40.07
2009-11-11,43.95,43.99,43.33,43.56,922000,41.27
2009-11-10,43.28,43.66,43.16,43.52,1123900,41.23
2009-11-09,42.27,43.39,42.27,43.38,1511300,41.09
2009-11-06,42.19,42.60,41.76,41.95,1185800,39.74
2009-11-05,42.06,42.53,41.62,42.53,986100,40.29
2009-11-04,41.99,42.39,41.58,41.71,1153300,39.51
2009-11-03,41.49,41.96,40.97,41.87,1558300,39.46
2009-11-02,42.09,42.68,40.95,41.68,1530900,39.28
2009-10-30,44.01,44.01,41.79,41.86,2214600,39.45
2009-10-29,42.95,44.73,42.19,44.30,2183700,41.75
2009-10-28,43.79,44.05,42.20,42.30,2022700,39.86
2009-10-27,43.51,44.37,42.91,43.73,1942100,41.21
2009-10-26,44.69,45.25,43.08,43.21,1444300,40.72
2009-10-23,45.17,45.47,44.22,44.54,1338100,41.97
2009-10-22,45.78,45.89,44.61,44.97,1704200,42.38
2009-10-21,45.56,46.80,45.34,45.74,1212600,43.10
2009-10-20,45.73,45.80,44.59,45.63,1368500,43.00
2009-10-19,45.40,46.00,44.92,45.63,992600,43.00
2009-10-16,44.82,45.64,44.63,45.26,1070000,42.65
2009-10-15,44.41,45.40,44.30,45.36,1020000,42.74
2009-10-14,44.77,44.77,43.88,44.65,1087000,42.08
2009-10-13,44.31,44.69,43.89,44.02,784000,41.48
2009-10-12,43.85,44.92,43.85,44.53,1168200,41.96
2009-10-09,43.21,43.69,42.77,43.62,1104500,41.10
2009-10-08,42.77,43.70,42.44,43.39,1289600,40.89
2009-10-07,42.68,42.82,42.06,42.43,843100,39.98
2009-10-06,42.70,43.36,42.24,42.85,925600,40.38
2009-10-05,40.92,42.26,40.72,42.26,942500,39.82
2009-10-02,40.49,41.27,40.28,40.88,1021100,38.52
2009-10-01,42.50,42.51,41.00,41.03,1005000,38.66
2009-09-30,42.84,42.94,41.70,42.60,1208500,40.14
2009-09-29,42.02,43.04,42.02,42.90,816600,40.43
2009-09-28,41.35,42.29,41.18,42.10,690600,39.67
2009-09-25,41.65,41.99,41.25,41.30,990800,38.92
2009-09-24,42.39,42.65,41.50,41.65,1186600,39.25
2009-09-23,42.83,42.97,42.06,42.09,1015700,39.66
2009-09-22,41.58,42.89,41.58,42.81,1280100,40.34
2009-09-21,41.48,41.48,40.93,41.34,1206100,38.96
2009-09-18,42.27,42.29,41.25,41.99,1564700,39.57
2009-09-17,41.92,42.50,41.51,41.93,1599500,39.51
2009-09-16,41.37,42.18,41.22,42.09,3364100,39.66
2009-09-15,42.60,42.90,42.21,42.64,1296700,40.18
2009-09-14,41.98,42.76,41.98,42.55,993300,40.10
2009-09-11,42.23,43.51,42.23,42.60,974100,40.14
