Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,64.00,64.05,63.59,63.62,1685400,29.12
2009-12-30,63.70,64.29,63.45,64.08,1348000,29.33
2009-12-29,64.07,64.25,63.83,64.03,1165400,29.31
2009-12-28,64.40,64.62,63.83,64.04,981400,29.31
2009-12-24,64.20,64.57,63.82,64.49,366200,29.52
2009-12-23,64.00,64.23,63.43,63.80,1458000,29.20
2009-12-22,63.91,64.38,63.64,63.99,1543200,29.29
2009-12-21,63.92,64.24,63.74,63.99,1969400,29.29
2009-12-18,64.75,64.75,63.07,63.27,3832400,28.96
2009-12-17,64.92,64.92,64.00,64.06,1644600,29.32
2009-12-16,65.83,66.07,65.24,65.56,2127800,30.01
2009-12-15,65.62,66.00,65.37,65.63,1962000,30.04
2009-12-14,64.73,65.73,64.63,65.73,1945600,30.08
2009-12-11,64.99,65.01,64.15,64.47,1934800,29.51
2009-12-10,64.42,64.77,64.15,64.39,2072200,29.47
2009-12-09,64.48,64.56,63.39,64.06,2540800,29.32
2009-12-08,64.66,64.80,63.67,64.06,2463200,29.32
2009-12-07,66.40,66.49,65.13,65.26,3197200,29.87
2009-12-04,65.39,66.39,64.85,66.21,3707600,30.30
2009-12-03,65.00,65.69,64.56,64.62,2228400,29.58
2009-12-02,65.51,65.60,64.47,64.66,2850800,29.59
2009-12-01,64.53,65.76,63.90,65.43,3351800,29.95
2009-11-30,63.65,64.24,62.87,63.90,2878600,29.25
2009-11-27,63.44,65.21,63.00,64.27,1853400,29.42
2009-11-25,64.18,65.61,63.76,65.41,2779400,29.94
2009-11-24,64.31,64.96,63.60,63.95,3728600,29.27
2009-11-23,64.07,65.66,64.01,64.52,4666600,29.53
2009-11-20,63.03,63.50,62.77,63.19,3589800,28.92
2009-11-19,63.62,63.62,62.44,63.20,4338200,28.93
2009-11-18,64.62,65.02,63.42,63.84,5391800,29.22
2009-11-17,65.26,65.58,64.29,64.60,4427000,29.57
2009-11-16,64.85,67.06,64.85,65.99,5980200,30.20
2009-11-13,64.67,65.00,64.21,64.53,2740000,29.53
2009-11-12,65.12,65.86,64.33,64.51,4121000,29.53
2009-11-11,65.76,66.34,64.76,65.02,3412600,29.76
2009-11-10,64.60,65.91,64.60,65.61,4749000,30.03
2009-11-09,64.92,65.43,64.73,64.99,4260600,29.74
2009-11-06,64.43,65.19,63.82,64.31,3391400,29.43
2009-11-05,62.71,64.86,62.71,64.52,3787200,29.53
2009-11-04,63.99,64.32,62.74,62.89,3247600,28.55
2009-11-03,61.00,64.16,61.00,63.14,6512600,28.67
2009-11-02,60.53,62.00,60.41,61.63,4365800,27.98
2009-10-30,61.91,62.20,60.05,60.45,4440800,27.45
2009-10-29,60.44,62.03,60.34,61.97,2705000,28.14
2009-10-28,61.33,61.98,60.03,60.20,2779400,27.33
2009-10-27,62.23,63.00,61.42,61.69,2251600,28.01
2009-10-26,63.22,64.12,62.02,62.28,2788000,28.28
2009-10-23,64.13,64.26,62.88,63.10,2284200,28.65
2009-10-22,63.79,64.09,62.50,63.83,3538800,28.98
2009-10-21,63.81,65.71,63.56,63.79,5878800,28.96
2009-10-20,64.18,65.00,63.58,63.91,4537200,29.02
2009-10-19,63.57,65.32,62.53,63.89,11795000,29.01
2009-10-16,59.65,60.70,59.24,60.42,4606600,27.43
2009-10-15,59.30,60.23,59.05,60.19,3381200,27.33
2009-10-14,58.02,59.71,58.02,59.64,2718200,27.08
2009-10-13,57.23,57.70,56.62,57.49,1632000,26.10
2009-10-12,57.47,57.94,57.43,57.64,1640000,26.17
2009-10-09,56.91,57.36,56.46,57.36,1498000,26.04
2009-10-08,56.59,57.15,56.22,56.70,3421200,25.74
2009-10-07,55.30,55.88,54.90,55.88,2950400,25.37
2009-10-06,55.75,56.13,54.79,55.40,3313800,25.15
2009-10-05,54.21,55.25,54.21,55.20,2290200,25.06
2009-10-02,54.34,54.90,53.95,54.06,2988600,24.55
2009-10-01,55.54,56.56,54.55,54.92,4800400,24.94
2009-09-30,57.39,57.74,55.94,56.59,3810200,25.69
2009-09-29,58.09,58.88,57.40,57.50,3680800,26.11
2009-09-28,56.63,57.19,56.50,56.98,1862000,25.87
2009-09-25,56.77,56.96,56.12,56.40,1792800,25.61
2009-09-24,57.93,58.32,56.65,56.94,1651800,25.85
2009-09-23,58.76,59.04,57.75,57.87,1897800,26.28
2009-09-22,58.81,59.08,58.13,58.52,1938600,26.57
2009-09-21,59.08,59.17,58.32,58.53,3398400,26.58
2009-09-18,60.36,60.43,58.92,59.76,4798800,27.13
2009-09-17,59.76,60.65,59.58,59.94,4186000,27.22
2009-09-16,59.50,60.19,58.60,60.08,3124400,27.28
2009-09-15,58.21,59.27,57.30,59.08,4140600,26.83
2009-09-14,57.61,58.37,57.09,57.85,3215000,26.27
2009-09-11,57.33,58.55,57.14,58.06,3720800,26.36
2009-09-10,56.32,57.32,55.81,57.26,3008000,26.00
2009-09-09,54.81,56.78,54.77,56.43,2787600,25.62
2009-09-08,55.06,55.33,54.62,55.03,2055800,24.99
2009-09-04,53.74,54.49,53.23,54.44,1357000,24.72
2009-09-03,52.94,53.70,52.33,53.67,2167200,24.37
2009-09-02,53.23,53.23,52.40,52.79,2533600,23.97
2009-09-01,53.68,55.28,52.90,53.10,3001000,24.11
2009-08-31,54.29,54.36,53.37,53.95,2557200,24.50
2009-08-28,56.04,56.14,54.54,54.81,2967800,24.89
2009-08-27,55.25,55.70,54.36,55.54,1413400,25.22
2009-08-26,55.73,55.76,54.88,55.37,1805200,25.14
2009-08-25,55.49,56.46,55.25,55.78,2172800,25.33
2009-08-24,55.47,55.94,54.86,55.06,1487800,25.00
2009-08-21,54.21,55.49,53.56,55.37,2711800,25.14
2009-08-20,53.63,53.97,53.26,53.85,1433200,24.45
2009-08-19,52.60,53.68,52.43,53.40,1236400,24.25
2009-08-18,52.22,53.62,52.11,53.51,2223000,24.30
2009-08-17,53.18,53.40,51.86,52.11,2328200,23.66
2009-08-14,55.43,55.75,53.58,54.11,2063400,24.57
2009-08-13,55.54,55.75,54.57,55.32,2042600,25.12
2009-08-12,54.01,55.61,53.96,55.05,2440400,25.00
2009-08-11,54.51,54.51,53.06,53.76,2679000,24.41
2009-08-10,54.68,55.00,54.10,54.68,1926600,24.83
2009-08-07,53.67,54.93,53.58,54.76,2875200,24.86
2009-08-06,53.39,53.83,52.94,53.14,1957200,24.13
2009-08-05,54.20,54.27,52.81,53.28,2746800,24.19
2009-08-04,53.65,54.38,53.16,53.92,2991600,24.48
2009-08-03,52.93,53.88,52.57,53.65,4712000,24.36
2009-07-31,51.77,52.50,51.77,51.92,2893600,23.57
2009-07-30,51.11,52.40,51.04,51.65,4644600,23.45
2009-07-29,51.00,51.30,50.18,50.85,4187400,22.86
2009-07-28,51.62,51.98,50.71,51.44,4263000,23.13
2009-07-27,51.22,52.98,51.02,52.39,7388400,23.55
2009-07-24,50.00,51.23,49.75,51.20,3780000,23.02
2009-07-23,49.50,50.88,49.29,50.62,5881000,22.76
2009-07-22,48.69,49.95,48.36,49.42,4926000,22.22
2009-07-21,49.65,50.00,48.29,48.99,7183000,22.02
2009-07-20,47.53,50.49,46.74,48.94,15665000,22.00
2009-07-17,45.28,45.48,44.58,44.95,5059400,20.21
2009-07-16,44.16,45.50,43.96,45.44,4172000,20.43
2009-07-15,43.16,44.70,43.14,44.39,3902400,19.96
2009-07-14,42.37,42.74,41.73,42.72,3115200,19.21
2009-07-13,41.19,42.14,40.58,42.13,3427000,18.94
2009-07-10,40.64,41.17,40.28,40.94,3049800,18.41
2009-07-09,41.18,41.33,40.61,40.82,3211000,18.35
2009-07-08,41.04,41.37,40.42,40.98,4067200,18.42
2009-07-07,42.31,42.52,40.91,40.96,4804400,18.41
2009-07-06,42.76,43.05,41.81,42.49,4136800,19.10
2009-07-02,44.79,44.79,42.99,42.99,3658800,19.33
2009-07-01,44.77,46.09,44.71,45.28,3636200,20.36
2009-06-30,45.48,45.90,44.36,44.61,3448600,20.06
2009-06-29,45.11,45.84,44.62,45.62,3350400,20.51
2009-06-26,44.17,45.61,43.86,45.18,7440200,20.31
2009-06-25,43.09,44.40,42.54,44.23,5707400,19.88
2009-06-24,43.09,44.39,42.83,43.13,3296000,19.39
2009-06-23,43.29,43.67,42.45,42.81,4727600,19.25
2009-06-22,44.81,44.82,43.25,43.25,4104800,19.44
2009-06-19,46.21,46.50,45.40,45.57,4236200,20.49
2009-06-18,45.90,46.29,45.11,45.71,3530400,20.55
2009-06-17,46.27,46.45,45.37,45.87,4781600,20.62
2009-06-16,47.33,47.94,46.22,46.34,4411400,20.83
2009-06-15,48.29,48.29,46.62,47.07,3297400,21.16
2009-06-12,48.50,49.22,48.04,49.18,2049600,22.11
2009-06-11,48.64,49.48,48.46,48.73,3825800,21.91
2009-06-10,49.56,49.75,47.90,48.96,3240600,22.01
2009-06-09,48.92,49.13,47.68,48.92,3505800,21.99
2009-06-08,47.84,48.98,46.81,48.64,4810400,21.87
2009-06-05,48.13,49.00,47.51,48.07,4217000,21.61
2009-06-04,47.44,48.00,46.83,47.88,3882600,21.53
2009-06-03,47.74,48.10,46.80,47.19,4016000,21.22
2009-06-02,47.42,48.58,47.22,48.25,5530000,21.69
2009-06-01,44.64,47.37,44.48,47.16,6939600,21.20
2009-05-29,43.86,44.31,43.14,43.50,5116000,19.56
2009-05-28,43.12,43.92,42.26,43.60,5278600,19.60
2009-05-27,44.97,45.44,43.85,44.01,4179000,19.79
2009-05-26,43.93,45.97,43.75,45.83,3524200,20.60
2009-05-22,44.65,44.84,43.96,44.15,3693200,19.85
2009-05-21,45.37,45.72,43.93,44.51,7623200,20.01
2009-05-20,47.29,47.95,46.23,46.33,5428000,20.83
2009-05-19,46.38,47.69,45.50,46.35,7982200,20.84
2009-05-18,45.66,46.62,45.52,46.50,4162800,20.91
2009-05-15,44.81,45.94,44.73,45.31,5127000,20.37
2009-05-14,44.86,45.71,44.68,44.87,6415200,20.17
2009-05-13,45.24,45.24,44.45,44.78,6917400,20.13
2009-05-12,46.31,46.50,45.26,46.13,4859000,20.74
2009-05-11,47.16,47.16,45.82,46.17,4206200,20.76
2009-05-08,46.61,47.92,45.84,47.69,4851200,21.44
2009-05-07,46.22,46.25,44.73,45.67,4986600,20.53
2009-05-06,46.48,46.72,45.26,45.76,6163800,20.57
2009-05-05,45.69,46.25,45.14,45.73,3419600,20.56
2009-05-04,43.84,45.77,43.54,45.75,4077800,20.57
2009-05-01,43.25,43.85,42.38,43.62,4596000,19.61
2009-04-30,44.69,46.17,43.76,43.80,4368200,19.69
2009-04-29,42.41,44.80,42.41,44.39,4660400,19.73
2009-04-28,42.20,43.09,41.89,42.09,2473800,18.71
2009-04-27,43.59,43.62,42.35,43.05,3353000,19.14
2009-04-24,43.02,44.50,42.50,44.00,2966400,19.56
2009-04-23,42.92,42.92,41.55,42.74,3644000,19.00
2009-04-22,41.26,43.95,39.43,42.72,4981200,18.99
2009-04-21,40.40,41.74,39.78,41.54,4346200,18.47
2009-04-20,41.20,41.86,39.85,40.42,7869800,17.97
