Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,42.05,42.17,41.50,41.64,1807200,19.18
2009-12-30,41.75,42.18,41.75,41.99,1649400,19.34
2009-12-29,42.27,42.28,41.82,41.98,2272600,19.33
2009-12-28,41.98,42.26,41.76,42.19,2004800,19.43
2009-12-24,39.76,41.80,39.76,41.71,528600,19.21
2009-12-23,41.04,41.64,40.89,41.51,2039200,19.12
2009-12-22,40.98,41.19,40.86,41.08,1268200,18.92
2009-12-21,40.00,40.89,39.95,40.82,2010000,18.80
2009-12-18,39.94,39.99,39.46,39.95,2742800,18.40
2009-12-17,39.40,39.95,39.11,39.74,2381400,18.30
2009-12-16,39.38,39.90,39.38,39.71,2554400,18.29
2009-12-15,39.28,39.63,38.80,39.33,1608400,18.11
2009-12-14,39.09,39.48,38.99,39.39,1630200,18.14
2009-12-11,39.19,39.20,38.67,39.01,1206800,17.97
2009-12-10,38.75,39.20,38.63,38.82,2025400,17.88
2009-12-09,38.29,38.75,37.78,38.67,1823800,17.81
2009-12-08,38.23,38.86,37.73,38.44,1839200,17.70
2009-12-07,38.85,39.26,38.59,38.68,2117800,17.81
2009-12-04,38.21,39.01,37.94,38.93,3945200,17.93
2009-12-03,38.68,38.68,37.79,37.80,2415800,17.41
2009-12-02,37.17,38.33,37.17,38.22,3571200,17.60
2009-12-01,37.32,37.67,37.12,37.20,1886800,17.13
2009-11-30,36.82,37.20,36.56,37.08,2168600,17.08
2009-11-27,36.64,37.55,36.60,37.02,889000,17.05
2009-11-25,37.62,38.00,37.39,37.76,1064200,17.39
2009-11-24,37.68,37.87,37.35,37.43,1457800,17.24
2009-11-23,37.58,38.56,37.35,37.68,1948400,17.35
2009-11-20,37.19,37.45,36.70,37.01,1637000,17.04
2009-11-19,37.66,37.74,37.04,37.30,3555200,17.18
2009-11-18,37.47,37.93,37.20,37.88,3812400,17.45
2009-11-17,37.31,37.68,36.97,37.66,1928400,17.34
2009-11-16,37.02,37.63,37.01,37.43,1498400,17.24
2009-11-13,36.73,37.19,36.52,36.91,1597000,17.00
2009-11-12,37.27,37.46,36.65,36.76,1925800,16.93
2009-11-11,37.44,37.54,36.76,37.24,2212000,17.15
2009-11-10,36.95,37.29,36.76,37.13,2197200,17.10
2009-11-09,36.58,37.23,36.44,37.23,1786000,17.15
2009-11-06,36.46,36.47,35.77,36.40,2711400,16.76
2009-11-05,35.95,36.76,35.82,36.50,2544400,16.81
2009-11-04,35.92,36.21,35.54,35.60,2688200,16.40
2009-11-03,35.13,35.88,35.01,35.77,3074200,16.47
2009-11-02,34.66,35.52,34.50,35.26,3823600,16.24
2009-10-30,35.90,36.21,34.41,34.50,5589200,15.89
2009-10-29,36.04,36.38,35.73,36.08,3259000,16.62
2009-10-28,36.50,36.72,35.79,35.80,3066600,16.49
