Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,95.96,96.48,94.52,94.53,411800,91.22
2009-12-30,95.74,96.07,95.15,95.90,453700,92.54
2009-12-29,97.57,97.57,96.22,96.66,421100,93.28
2009-12-28,96.79,97.92,96.55,97.16,576100,93.76
2009-12-24,97.02,97.24,96.65,97.12,116900,93.72
2009-12-23,97.96,97.96,96.33,96.65,394100,93.27
2009-12-22,98.91,99.12,97.20,97.35,639600,93.94
2009-12-21,98.51,99.13,97.75,98.45,695600,95.01
2009-12-18,95.79,97.37,95.00,97.30,907200,93.64
2009-12-17,96.71,97.22,95.39,95.51,532200,91.91
2009-12-16,99.50,99.93,97.58,97.95,515100,94.26
2009-12-15,97.93,99.18,97.25,98.66,557600,94.94
2009-12-14,96.71,98.44,96.37,98.05,558300,94.36
2009-12-11,95.56,96.19,94.77,95.87,740800,92.26
2009-12-10,96.48,96.49,94.52,94.66,713700,91.09
2009-12-09,96.02,96.02,94.10,95.61,966700,92.01
2009-12-08,98.14,98.14,95.15,95.64,1074500,92.04
2009-12-07,99.02,99.76,98.00,98.46,594800,94.75
2009-12-04,101.36,101.54,98.29,99.33,750200,95.59
2009-12-03,100.82,101.90,99.16,99.31,938600,95.57
2009-12-02,101.23,102.73,99.99,100.42,752200,96.64
2009-12-01,100.49,102.14,99.91,101.66,917200,97.83
2009-11-30,100.06,100.42,97.91,99.46,919400,95.71
2009-11-27,100.16,101.39,99.14,100.20,346700,96.43
2009-11-25,102.48,103.63,101.40,103.26,340600,99.37
2009-11-24,102.19,102.93,100.90,101.97,457000,98.13
2009-11-23,102.74,105.00,102.51,102.93,441900,99.05
2009-11-20,101.45,101.89,100.34,101.57,425100,97.74
2009-11-19,103.11,103.81,100.57,102.00,713000,98.16
2009-11-18,106.54,106.85,104.00,104.27,746000,100.34
2009-11-17,106.90,107.15,104.83,106.48,704900,102.47
2009-11-16,104.52,108.11,104.52,107.03,828400,103.00
2009-11-13,103.20,104.74,102.60,104.08,715300,100.16
2009-11-12,104.33,105.09,102.50,102.85,990300,98.98
2009-11-11,104.94,105.85,103.03,104.05,1096300,100.13
2009-11-10,104.03,105.13,101.97,103.79,1006300,99.88
2009-11-09,100.70,104.48,100.51,104.07,746100,100.15
2009-11-06,101.49,101.68,99.03,99.43,818700,95.68
2009-11-05,99.59,102.52,99.46,102.41,657000,98.55
2009-11-04,100.42,100.96,97.94,98.38,887700,94.67
2009-11-03,97.03,99.91,96.02,99.25,1195200,95.51
2009-11-02,98.38,100.79,96.10,97.28,1741600,93.62
2009-10-30,102.65,102.94,98.05,98.21,1576500,94.51
2009-10-29,94.36,103.63,94.12,103.12,2948700,99.24
2009-10-28,103.53,103.82,99.15,99.43,1058700,95.68
2009-10-27,104.09,104.74,101.69,103.53,768200,99.63
2009-10-26,105.97,108.34,103.14,104.09,704600,100.17
2009-10-23,106.41,107.40,104.70,105.15,662500,101.19
2009-10-22,106.38,106.74,103.73,106.19,616600,102.19
2009-10-21,105.71,108.85,105.15,106.38,566900,102.37
2009-10-20,107.20,107.88,105.00,106.00,546300,102.01
2009-10-19,105.10,107.12,104.74,106.78,646000,102.76
2009-10-16,104.55,105.66,103.09,105.01,469500,101.05
2009-10-15,105.00,106.30,104.50,105.74,492800,101.76
2009-10-14,102.89,106.31,102.60,105.95,838300,101.96
2009-10-13,102.85,102.92,99.71,101.09,747400,97.28
2009-10-12,102.22,103.71,101.50,102.74,948200,98.87
2009-10-09,100.54,101.16,99.60,100.77,836000,96.97
2009-10-08,101.54,101.66,99.85,100.48,797900,96.70
2009-10-07,100.81,101.44,98.72,99.69,653200,95.94
2009-10-06,100.68,101.91,99.10,100.62,689700,96.83
2009-10-05,95.39,99.55,95.39,99.29,755100,95.55
2009-10-02,94.04,95.50,92.76,95.20,1174500,91.61
2009-10-01,98.51,98.86,95.94,95.96,845800,92.35
2009-09-30,98.54,100.50,96.19,98.54,902500,94.83
2009-09-29,99.31,99.31,97.30,97.85,750900,94.16
2009-09-28,98.87,99.73,97.39,98.78,815100,95.06
2009-09-25,96.98,99.86,96.18,98.82,983700,95.10
2009-09-24,101.33,101.33,96.64,97.51,1027000,93.84
2009-09-23,101.34,102.42,100.25,100.27,880500,96.49
2009-09-22,99.00,101.72,98.99,100.86,729700,97.06
2009-09-21,96.43,98.74,95.70,98.18,1029800,94.48
2009-09-18,98.42,98.55,96.81,97.82,769000,93.88
2009-09-17,98.39,99.42,97.23,97.79,683700,93.85
2009-09-16,98.62,99.42,97.67,98.65,657300,94.67
2009-09-15,97.82,98.71,96.16,98.19,896900,94.23
2009-09-14,94.66,97.49,93.38,97.35,973800,93.42
2009-09-11,96.11,97.49,94.75,95.17,872500,91.33
2009-09-10,94.39,96.55,92.61,96.03,1356400,92.16
2009-09-09,90.70,94.39,90.20,93.81,1579900,90.03
2009-09-08,91.07,91.80,90.38,90.99,1620200,87.32
2009-09-04,87.04,89.77,86.35,89.60,1101800,85.99
2009-09-03,85.64,87.17,84.55,87.03,1206000,83.52
