Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,58.43,58.93,57.83,57.84,924000,28.92
2009-12-30,58.35,58.80,58.13,58.37,820400,29.18
2009-12-29,59.18,59.38,58.35,58.76,1190800,29.38
2009-12-28,58.97,59.50,58.54,58.84,1130200,29.42
2009-12-24,58.66,59.30,58.66,58.77,384600,29.39
2009-12-23,58.92,59.32,56.67,58.74,3208200,29.37
2009-12-22,58.45,59.56,58.26,58.76,2203000,29.38
2009-12-21,57.85,58.69,57.76,58.24,1254000,29.12
2009-12-18,57.80,57.84,56.53,57.56,4146600,28.78
2009-12-17,57.08,57.66,56.67,57.08,1845200,28.54
2009-12-16,56.57,57.65,56.31,57.58,3914200,28.79
2009-12-15,55.36,56.67,55.10,56.30,2636000,28.15
2009-12-14,55.34,55.62,54.94,55.45,2567400,27.73
2009-12-11,54.92,54.99,53.60,54.49,2578400,27.25
2009-12-10,53.83,54.60,53.52,54.42,3548400,27.21
2009-12-09,53.19,53.50,51.90,53.09,3217800,26.55
2009-12-08,53.95,54.08,52.69,52.95,4663200,26.48
2009-12-07,54.63,55.39,54.33,54.51,2585800,27.25
2009-12-04,56.25,57.22,54.22,54.90,3334800,27.45
2009-12-03,57.02,57.03,55.32,55.50,3777200,27.75
2009-12-02,57.36,57.36,56.39,56.99,3203800,28.50
2009-12-01,55.07,56.63,55.07,56.44,2815400,28.22
2009-11-30,53.51,54.77,53.41,54.47,1667800,27.24
2009-11-27,53.96,54.35,53.08,53.83,713000,26.92
2009-11-25,54.99,55.83,54.47,55.77,1588200,27.89
2009-11-24,55.01,55.28,54.00,55.00,2166400,27.50
2009-11-23,55.74,56.28,55.06,55.23,1766400,27.61
2009-11-20,55.31,55.31,54.04,54.37,1916800,27.18
2009-11-19,56.49,56.62,55.05,55.59,2196800,27.80
2009-11-18,57.80,57.80,56.41,56.95,2384200,28.48
2009-11-17,58.53,58.66,56.86,57.65,2848200,28.83
2009-11-16,57.56,59.14,57.38,58.59,4041600,29.30
2009-11-13,56.89,57.40,56.10,57.08,2392800,28.54
2009-11-12,58.30,58.87,56.63,56.80,1818400,28.40
2009-11-11,58.99,59.37,58.17,58.50,1385200,29.25
2009-11-10,58.64,59.22,57.84,58.27,1898200,29.14
2009-11-09,57.74,58.88,57.30,58.61,2498200,29.31
2009-11-06,55.42,56.85,55.34,56.63,1705200,28.32
2009-11-05,54.79,56.25,54.27,56.22,2052600,28.11
2009-11-04,55.18,56.30,54.04,54.12,2543200,27.06
2009-11-03,52.57,54.97,51.96,54.50,3055800,27.25
2009-11-02,52.98,54.30,52.35,53.53,3202800,26.76
2009-10-30,55.20,55.25,52.13,52.60,3205200,26.30
2009-10-29,56.63,56.63,54.12,55.59,4236400,27.80
2009-10-28,57.74,58.48,53.87,53.90,6076800,26.95
2009-10-27,56.53,57.15,55.74,56.58,4240400,28.29
2009-10-26,57.69,59.16,55.91,56.48,1797800,28.24
2009-10-23,59.03,59.16,56.85,57.67,2204400,28.83
2009-10-22,58.44,58.88,57.07,58.79,1225800,29.40
2009-10-21,56.75,59.48,56.58,58.32,2239000,29.16
2009-10-20,58.17,58.17,55.90,57.01,1240400,28.50
2009-10-19,57.23,58.55,57.00,58.05,2870200,29.02
2009-10-16,57.19,57.50,56.45,57.23,2446200,28.61
2009-10-15,56.83,57.71,56.15,57.66,3503200,28.83
2009-10-14,56.24,57.31,55.89,57.15,4168800,28.58
2009-10-13,55.95,56.02,54.48,55.36,1596600,27.68
2009-10-12,55.98,56.73,55.46,55.88,1636800,27.94
2009-10-09,55.21,55.80,54.63,55.26,1081400,27.63
2009-10-08,54.75,55.45,53.70,55.33,2534400,27.67
2009-10-07,53.21,53.93,52.66,53.93,2644600,26.97
2009-10-06,52.50,53.96,52.50,53.38,2462000,26.69
2009-10-05,49.95,51.76,49.84,51.73,1734200,25.86
2009-10-02,49.54,50.57,49.43,49.96,1433000,24.98
2009-10-01,52.16,52.67,50.52,50.60,2064800,25.30
2009-09-30,53.07,53.35,51.54,52.24,2380800,26.12
2009-09-29,52.87,53.19,52.31,52.81,1931400,26.41
2009-09-28,51.79,53.25,51.78,52.92,1810600,26.46
2009-09-25,51.90,52.60,51.41,51.79,2185600,25.90
2009-09-24,53.40,53.41,51.65,51.97,1906600,25.99
2009-09-23,55.47,55.47,53.57,53.71,2750200,26.85
2009-09-22,54.90,55.49,54.08,55.31,2819000,27.66
2009-09-21,53.50,54.66,52.50,54.61,2506400,27.31
2009-09-18,54.44,55.47,53.25,54.36,2845800,27.18
2009-09-17,54.58,55.42,53.90,54.14,3269600,27.07
2009-09-16,54.99,55.03,53.84,54.64,5983600,27.32
2009-09-15,53.54,54.73,52.77,54.65,5395800,27.33
2009-09-14,51.10,53.06,50.52,53.05,2840400,26.52
2009-09-11,50.47,51.73,50.47,51.54,3569800,25.77
2009-09-10,50.00,50.90,49.61,50.44,1858800,25.22
2009-09-09,50.25,50.55,48.94,49.75,2898800,24.88
2009-09-08,49.05,50.40,48.53,50.25,2758200,25.12
2009-09-04,46.59,47.73,46.40,47.66,1382200,23.83
2009-09-03,46.36,46.72,45.90,46.59,2453200,23.30
2009-09-02,45.89,46.08,44.83,45.77,3230200,22.89
2009-09-01,47.26,48.08,45.83,45.93,3039200,22.97
2009-08-31,47.81,47.84,46.92,47.70,2091800,23.85
2009-08-28,48.85,49.17,48.14,48.67,1160400,24.33
2009-08-27,48.14,48.55,47.03,48.48,1673000,24.24
2009-08-26,47.50,48.62,47.37,48.47,1425400,24.24
2009-08-25,48.99,48.99,47.65,48.16,2282400,24.08
2009-08-24,48.43,49.36,48.24,48.66,1986400,24.33
2009-08-21,46.84,47.99,46.80,47.93,1932400,23.97
2009-08-20,45.20,46.22,44.83,46.18,1737200,23.09
2009-08-19,43.70,45.45,43.27,45.16,1719400,22.58
2009-08-18,43.23,44.36,43.05,44.26,1667000,22.13
2009-08-17,43.59,43.59,42.58,43.25,1700200,21.62
2009-08-14,45.86,45.92,44.22,44.58,2164600,22.29
2009-08-13,45.13,45.92,44.66,45.87,2942400,22.93
2009-08-12,43.37,45.24,43.37,44.78,1911200,22.39
2009-08-11,44.09,44.15,43.28,43.37,1691800,21.68
2009-08-10,43.50,44.44,43.36,44.24,1500600,22.12
2009-08-07,44.36,44.69,42.63,43.65,2096400,21.83
2009-08-06,44.08,44.10,43.06,43.53,2152000,21.76
2009-08-05,44.18,44.22,43.18,43.76,2526200,21.88
2009-08-04,44.44,45.14,43.93,44.18,2588200,22.09
2009-08-03,44.12,45.04,44.06,44.76,3551600,22.38
2009-07-31,42.40,43.98,42.40,43.50,3726400,21.75
2009-07-30,42.66,43.25,42.15,42.78,4445800,21.39
2009-07-29,42.51,43.77,41.42,41.99,7537600,21.00
2009-07-28,40.61,41.67,39.90,41.58,4679000,20.79
2009-07-27,41.18,41.83,40.79,41.71,2413600,20.85
2009-07-24,40.93,41.38,40.29,41.36,1751200,20.68
2009-07-23,40.10,41.15,40.02,41.00,3509200,20.50
2009-07-22,40.68,40.90,39.79,40.11,2378800,20.06
2009-07-21,41.00,41.82,40.07,40.97,3082600,20.49
2009-07-20,40.31,40.53,39.26,40.43,2442200,20.22
2009-07-17,38.91,39.59,38.43,39.29,1967800,19.65
2009-07-16,37.81,39.05,37.40,38.88,1978400,19.44
2009-07-15,37.09,38.27,37.09,38.17,2116400,19.08
2009-07-14,35.92,36.60,35.82,36.60,1969600,18.30
2009-07-13,35.29,35.71,33.91,35.66,2959000,17.83
2009-07-10,34.68,35.48,34.28,35.18,2827800,17.59
2009-07-09,35.61,36.06,34.68,35.34,4250400,17.67
2009-07-08,35.18,35.87,34.07,35.10,3756800,17.55
2009-07-07,36.67,36.67,35.25,35.32,2810600,17.66
2009-07-06,35.53,36.65,35.02,36.55,3430000,18.27
2009-07-02,37.27,37.27,36.12,36.43,2477400,18.22
2009-07-01,37.65,38.65,37.65,37.98,2581400,18.99
2009-06-30,37.90,38.48,36.86,37.58,2777200,18.79
2009-06-29,38.18,38.74,37.58,38.07,3213200,19.03
2009-06-26,38.24,38.40,37.69,37.81,2411000,18.91
2009-06-25,36.15,38.55,36.15,38.37,4484800,19.18
2009-06-24,36.04,36.91,35.50,36.02,3209200,18.01
2009-06-23,35.50,36.28,35.22,35.83,2282400,17.92
2009-06-22,36.73,37.01,35.17,35.21,4018000,17.60
2009-06-19,38.03,38.16,36.90,37.52,3552600,18.76
2009-06-18,37.44,38.12,36.90,37.52,3472400,18.76
2009-06-17,38.18,38.46,37.13,37.66,5235800,18.83
2009-06-16,39.77,40.30,38.35,38.47,2880000,19.24
2009-06-15,40.16,40.16,38.85,39.30,2119000,19.65
2009-06-12,41.65,41.68,40.28,40.84,2333400,20.42
2009-06-11,41.25,42.57,41.25,41.92,3275400,20.96
2009-06-10,42.67,42.67,40.44,41.17,3798600,20.58
2009-06-09,41.03,42.02,40.53,41.49,3703200,20.75
2009-06-08,41.66,41.66,39.78,40.86,4739200,20.43
2009-06-05,43.21,43.33,41.65,42.00,7213200,21.00
2009-06-04,43.79,44.00,41.82,42.90,61964400,21.45
2009-06-03,42.97,42.97,40.82,41.59,5841000,20.80
2009-06-02,43.47,44.49,42.88,43.61,3067800,21.81
2009-06-01,42.75,43.97,42.47,43.70,3393600,21.85
2009-05-29,40.95,41.75,40.26,41.62,4450200,20.81
2009-05-28,37.78,39.04,37.01,38.93,4390000,19.47
2009-05-27,40.42,40.53,38.82,38.94,3185400,19.47
2009-05-26,38.00,40.40,37.53,40.22,2488200,20.11
2009-05-22,38.75,39.31,38.34,38.57,1070200,19.28
2009-05-21,39.25,39.42,37.72,38.35,1892000,19.17
