Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,43.98,43.98,43.25,43.27,5499400,43.27
2009-12-30,43.47,43.98,43.34,43.80,5081700,43.80
2009-12-29,43.34,43.65,43.15,43.47,4338600,43.47
2009-12-28,43.15,43.43,42.90,43.26,4353300,43.26
2009-12-24,43.01,43.08,42.75,43.00,2014100,43.00
2009-12-23,43.28,43.37,42.94,43.01,5306700,43.01
2009-12-22,43.34,43.75,43.12,43.24,5872600,43.24
2009-12-21,43.03,43.59,43.00,43.16,7869300,43.16
2009-12-18,43.51,43.56,42.61,42.83,15664200,42.83
2009-12-17,43.06,43.45,42.72,43.20,10950800,43.20
2009-12-16,45.38,45.46,42.95,43.23,23300100,43.23
2009-12-15,45.90,46.28,44.83,45.31,14697900,45.31
2009-12-14,46.45,47.18,46.45,46.96,5144800,46.96
2009-12-11,46.16,46.71,46.16,46.42,3891100,46.42
2009-12-10,46.05,46.69,45.97,46.29,7552500,46.29
2009-12-09,46.16,46.19,45.38,46.00,4682200,46.00
2009-12-08,46.14,46.48,45.91,46.12,5514400,46.12
2009-12-07,46.50,46.91,46.42,46.62,3999000,46.62
2009-12-04,46.60,47.01,46.34,46.59,4812600,46.59
2009-12-03,46.41,47.00,46.18,46.26,7398600,46.26
2009-12-02,46.46,46.81,46.32,46.54,5747300,46.54
2009-12-01,45.79,46.62,45.64,46.40,9316900,46.40
2009-11-30,46.46,46.55,45.93,46.11,7272300,46.11
2009-11-27,46.00,46.88,45.77,46.56,2251700,46.56
2009-11-25,47.05,47.12,46.72,46.98,2637900,46.98
2009-11-24,47.13,47.37,46.57,46.96,4359900,46.96
2009-11-23,46.93,47.13,46.54,47.01,4848200,47.01
2009-11-20,46.29,46.64,46.04,46.39,4936300,46.39
2009-11-19,46.25,46.66,45.90,46.52,5438500,46.52
2009-11-18,47.27,47.29,46.33,46.78,6442600,46.78
2009-11-17,47.29,47.50,47.02,47.49,3734300,47.49
2009-11-16,47.26,47.53,46.93,47.43,6822000,47.43
2009-11-13,46.78,47.27,46.67,47.05,5194800,47.05
2009-11-12,47.31,47.44,46.74,46.88,5275900,46.88
2009-11-11,47.20,47.46,46.75,47.14,6136600,47.14
2009-11-10,46.22,47.14,46.09,46.81,7782500,46.81
2009-11-09,46.43,46.58,45.87,46.58,9712500,46.58
2009-11-06,45.49,46.61,45.40,46.26,8652300,46.26
2009-11-05,44.06,45.58,43.95,45.50,13678300,45.50
2009-11-04,44.12,44.30,43.57,43.87,7403300,43.87
2009-11-03,42.43,44.03,42.43,43.80,11051200,43.80
2009-11-02,42.96,43.15,42.40,42.67,7471400,42.67
2009-10-30,42.91,43.29,42.48,42.55,12753400,42.55
2009-10-29,42.65,43.00,42.31,42.94,8042000,42.94
2009-10-28,43.09,43.50,42.48,42.58,7853800,42.58
2009-10-27,43.43,44.00,42.90,43.12,7204300,43.12
2009-10-26,44.02,44.25,42.88,43.43,9157300,43.43
2009-10-23,44.16,44.59,43.73,43.83,14779300,43.83
2009-10-22,44.59,45.09,44.48,44.60,15342800,44.60
2009-10-21,45.27,45.37,43.80,45.33,23790600,45.33
2009-10-20,46.51,46.66,45.79,46.12,8695800,46.12
2009-10-19,46.30,47.01,46.07,46.81,7500100,46.81
2009-10-16,46.49,46.51,45.94,46.17,5799400,46.17
2009-10-15,46.04,46.69,46.04,46.63,9786200,46.63
2009-10-14,45.78,46.27,45.48,46.05,6403600,46.05
2009-10-13,45.23,45.62,45.14,45.57,6143400,45.57
2009-10-12,45.52,45.65,45.05,45.18,5019100,45.18
2009-10-09,45.25,45.37,45.01,45.30,4678400,45.30
2009-10-08,45.48,45.54,45.03,45.22,5374400,45.22
2009-10-07,45.55,45.74,45.07,45.31,4931800,45.31
2009-10-06,45.12,45.80,44.64,45.72,6945500,45.72
2009-10-05,44.91,45.30,44.47,45.00,7255200,45.00
2009-10-02,45.30,45.51,44.46,44.51,10287000,44.51
2009-10-01,46.34,46.51,45.30,45.30,8078500,45.30
2009-09-30,46.55,46.68,45.90,46.50,6578000,46.50
2009-09-29,47.01,47.11,46.14,46.48,5376600,46.48
2009-09-28,46.07,47.49,46.00,47.08,5941200,47.08
2009-09-25,45.89,46.76,45.75,46.20,6500200,46.20
2009-09-24,45.77,46.33,45.50,46.00,5711800,46.00
2009-09-23,46.25,46.50,45.75,45.88,5448500,45.88
2009-09-22,46.38,46.68,45.99,46.13,6804500,46.13
2009-09-21,45.86,46.75,45.83,46.63,5283300,46.63
2009-09-18,46.20,46.24,45.30,45.76,9062000,45.76
2009-09-17,46.41,46.57,45.48,45.83,8817000,45.83
2009-09-16,46.35,46.62,45.91,46.31,5577400,46.31
2009-09-15,46.52,46.88,46.08,46.08,6446300,46.08
2009-09-14,46.02,46.71,45.90,46.53,5469800,46.53
2009-09-11,46.46,46.58,45.75,46.10,7403200,46.10
2009-09-10,47.81,47.83,46.04,46.34,9714900,46.34
2009-09-09,46.84,47.53,46.72,47.21,7753200,47.21
2009-09-08,46.40,46.89,45.95,46.83,6561100,46.83
2009-09-04,45.41,46.29,45.41,46.13,4722600,46.13
2009-09-03,45.69,45.75,45.00,45.46,4843900,45.46
2009-09-02,45.19,45.75,44.93,45.29,6415900,45.29
2009-09-01,44.88,46.05,44.68,45.12,7519700,45.12
2009-08-31,44.99,45.40,44.71,45.06,6434300,45.06
2009-08-28,46.02,46.25,44.85,45.25,5944600,45.25
2009-08-27,46.01,46.16,45.25,45.82,5588400,45.82
2009-08-26,46.23,46.56,46.06,46.23,5009400,46.23
2009-08-25,45.83,46.77,45.72,46.25,5795800,46.25
2009-08-24,46.15,46.18,45.56,46.00,5965600,46.00
2009-08-21,46.39,46.87,45.95,46.09,7996000,46.09
2009-08-20,45.43,46.32,45.11,45.97,9544700,45.97
2009-08-19,44.02,45.31,43.81,45.22,6853300,45.22
2009-08-18,44.62,44.65,44.03,44.32,6125100,44.32
2009-08-17,44.15,44.78,44.08,44.24,6704000,44.24
2009-08-14,45.02,45.05,44.11,44.95,7719800,44.95
2009-08-13,45.99,45.99,44.98,45.19,6255400,45.19
2009-08-12,45.89,46.50,45.55,45.85,7809600,45.85
2009-08-11,45.60,46.23,45.23,45.65,6232600,45.65
2009-08-10,45.93,46.27,45.54,46.00,6127900,46.00
2009-08-07,46.34,46.50,45.60,45.76,7943100,45.76
2009-08-06,46.89,47.09,45.42,45.45,10285300,45.45
2009-08-05,47.81,47.91,46.68,46.84,9190200,46.84
2009-08-04,48.91,49.12,47.38,47.83,8992900,47.83
2009-08-03,49.16,49.56,48.62,49.28,4928400,49.28
2009-07-31,49.90,49.90,48.88,48.93,4822600,48.93
2009-07-30,49.81,50.00,49.38,49.58,7221500,49.58
2009-07-29,49.40,49.96,49.39,49.81,5406100,49.81
2009-07-28,49.00,49.82,48.80,49.73,7747700,49.73
2009-07-27,48.57,49.00,48.37,48.95,5681400,48.95
2009-07-24,48.05,48.57,47.69,48.43,6333000,48.43
2009-07-23,47.76,48.92,47.60,48.34,11360300,48.34
2009-07-22,46.41,48.00,46.40,47.86,12697700,47.86
2009-07-21,47.90,48.59,47.61,48.55,9393000,48.55
2009-07-20,47.83,48.15,47.19,47.97,7390300,47.97
2009-07-17,48.00,48.50,47.66,47.83,12370800,47.83
2009-07-16,45.90,47.22,45.81,46.87,8986700,46.87
2009-07-15,45.39,46.04,44.91,45.82,8313200,45.82
2009-07-14,45.35,45.63,44.75,44.91,5909300,44.91
2009-07-13,44.47,45.32,44.14,45.29,6645800,45.29
2009-07-10,44.63,44.97,44.36,44.44,6000400,44.44
2009-07-09,44.87,44.95,44.40,44.71,6061000,44.71
2009-07-08,45.74,45.83,44.76,44.92,8526600,44.92
2009-07-07,45.67,45.79,45.18,45.19,7191700,45.19
2009-07-06,45.98,46.25,45.25,45.75,6850800,45.75
2009-07-02,46.51,46.70,45.90,45.90,6900000,45.90
2009-07-01,46.85,47.59,46.74,46.83,6142300,46.83
2009-06-30,47.13,47.50,46.65,46.84,8598300,46.84
2009-06-29,47.46,47.66,46.52,47.37,4858000,47.37
2009-06-26,47.07,47.73,47.07,47.52,7199900,47.52
2009-06-25,46.13,47.98,45.94,47.88,8747300,47.88
2009-06-24,46.59,46.90,45.96,46.53,7307400,46.53
2009-06-23,46.38,47.08,46.22,46.66,6985500,46.66
2009-06-22,46.55,46.72,45.86,46.32,7260300,46.32
2009-06-19,47.00,47.81,46.63,47.02,10826200,47.02
2009-06-18,45.76,46.95,45.33,46.50,9200400,46.50
2009-06-17,44.35,45.99,44.16,45.53,9431700,45.53
2009-06-16,44.07,44.72,43.93,44.16,6833100,44.16
2009-06-15,45.00,45.00,43.72,43.93,7555300,43.93
2009-06-12,44.00,45.22,43.93,44.94,9791900,44.94
2009-06-11,44.02,44.88,44.02,44.19,8439600,44.19
2009-06-10,44.36,44.81,43.55,44.28,7327800,44.28
2009-06-09,44.40,44.78,44.25,44.58,6031400,44.58
2009-06-08,44.07,45.09,44.07,44.49,5730500,44.49
2009-06-05,45.09,45.40,44.29,44.58,6651800,44.58
2009-06-04,44.69,45.50,44.69,44.92,7405400,44.92
2009-06-03,43.10,45.14,42.85,44.73,11926800,44.73
2009-06-02,42.40,43.43,42.28,43.09,7993300,43.09
2009-06-01,43.15,43.64,42.41,42.77,7394800,42.77
2009-05-29,42.00,43.18,41.43,43.10,9273700,43.10
2009-05-28,41.54,42.47,41.33,42.02,7344100,42.02
2009-05-27,42.71,42.73,41.31,41.44,8526700,41.44
2009-05-26,42.00,42.95,41.47,42.47,7877000,42.47
2009-05-22,42.53,42.95,42.18,42.33,5453000,42.33
2009-05-21,42.60,43.08,42.25,42.56,9847700,42.56
2009-05-20,43.01,43.19,42.07,42.32,9026000,42.32
2009-05-19,43.15,43.18,42.10,42.69,10006500,42.69
2009-05-18,43.65,43.70,43.01,43.36,8649500,43.36
2009-05-15,44.02,44.18,43.35,43.75,6692700,43.75
2009-05-14,44.25,45.19,44.02,44.20,6202000,44.20
2009-05-13,44.07,45.00,44.00,44.40,6442900,44.40
2009-05-12,44.87,45.07,44.11,44.54,6571300,44.54
2009-05-11,43.97,44.93,43.71,44.65,7403900,44.65
2009-05-08,44.67,45.24,43.69,44.01,12464600,44.01
2009-05-07,44.21,45.63,43.93,45.43,12443900,45.43
2009-05-06,44.58,44.63,43.43,44.03,8444300,44.03
2009-05-05,44.99,44.99,44.20,44.52,6728900,44.52
2009-05-04,45.10,45.44,44.45,44.90,6913100,44.90
2009-05-01,45.95,45.95,44.47,44.81,5819200,44.81
2009-04-30,47.37,47.48,45.10,45.80,11849900,45.80
2009-04-29,48.01,48.20,46.69,46.96,6931500,46.96
2009-04-28,47.91,48.23,47.52,47.60,7487000,47.60
2009-04-27,47.67,47.90,46.70,47.53,12356600,47.53
2009-04-24,45.75,46.12,45.42,45.80,6296200,45.80
2009-04-23,46.10,46.46,44.92,45.90,9023200,45.90
2009-04-22,46.23,47.73,45.97,46.22,14619500,46.22
2009-04-21,43.73,44.39,43.55,43.73,7111200,43.73
2009-04-20,44.16,45.11,43.49,43.77,7790300,43.77
2009-04-17,44.80,45.25,43.84,44.69,10439800,44.69
2009-04-16,44.52,45.36,43.99,44.85,11079300,44.85
2009-04-15,46.04,46.25,43.65,44.54,14479100,44.54
2009-04-14,47.25,47.80,46.02,46.65,8468800,46.65
2009-04-13,47.41,48.21,47.35,47.53,4742400,47.53
2009-04-09,47.60,48.21,46.98,47.63,6510500,47.63
2009-04-08,47.51,47.98,46.66,47.39,6046900,47.39
2009-04-07,47.68,48.25,47.06,47.43,8269100,47.43
2009-04-06,46.87,48.45,46.65,48.37,11545400,48.37
2009-04-03,48.31,48.37,46.03,46.98,15118300,46.98
2009-04-02,46.00,46.09,44.36,44.70,10904800,44.70
2009-04-01,45.10,45.50,44.32,45.18,13393500,45.18
2009-03-31,45.75,46.90,45.47,46.32,9852700,46.32
2009-03-30,43.91,45.64,43.62,45.62,11539900,45.62
2009-03-27,44.20,45.41,44.10,44.37,7454500,44.37
2009-03-26,44.22,44.62,43.17,43.94,10051900,43.94
2009-03-25,44.02,45.16,43.22,43.88,10035900,43.88
2009-03-24,45.70,45.83,43.98,44.56,11378000,44.56
2009-03-23,44.77,46.10,44.60,45.68,9362700,45.68
2009-03-20,45.04,45.38,44.00,44.31,13482800,44.31
2009-03-19,45.64,45.64,43.83,44.30,7695300,44.30
2009-03-18,46.10,46.19,44.56,45.14,9450700,45.14
2009-03-17,44.69,46.21,44.25,46.10,8677700,46.10
2009-03-16,45.45,45.81,43.75,44.19,9550700,44.19
2009-03-13,44.58,45.47,44.26,45.43,10199000,45.43
