Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,71.98,71.98,70.80,70.81,2752400,32.27
2009-12-30,71.99,71.99,71.57,71.81,2375600,32.72
2009-12-29,71.88,72.09,71.66,71.94,3083400,32.78
2009-12-28,71.01,71.80,70.96,71.80,4164600,32.72
2009-12-24,70.71,71.00,70.66,70.95,1278200,32.33
2009-12-23,70.65,70.97,70.62,70.93,2839600,32.32
2009-12-22,69.87,70.98,69.68,70.89,7417200,32.30
2009-12-21,69.29,69.82,69.02,69.60,4210000,31.72
2009-12-18,69.42,69.88,68.09,68.95,7683200,31.42
2009-12-17,68.90,69.93,68.50,69.04,8856600,31.46
2009-12-16,68.95,69.24,68.20,68.29,5476400,31.12
2009-12-15,69.00,69.00,68.41,68.79,3973200,31.35
2009-12-14,69.27,69.38,68.67,68.93,3981800,31.41
2009-12-11,68.95,69.53,68.86,69.06,4228800,31.47
2009-12-10,68.58,69.12,68.50,68.73,3025200,31.32
2009-12-09,68.53,69.12,68.36,68.60,3673600,31.26
2009-12-08,68.84,69.07,68.12,68.73,3720800,31.32
2009-12-07,68.98,69.30,68.72,69.00,2766000,31.44
2009-12-04,68.52,69.00,68.29,68.93,3319800,31.41
2009-12-03,68.56,68.76,67.96,68.19,3048000,31.07
2009-12-02,68.54,69.00,68.40,68.56,3301800,31.24
2009-12-01,68.48,68.82,68.31,68.68,3669600,31.30
2009-11-30,68.22,68.23,67.67,68.00,3352200,30.99
2009-11-27,67.74,68.39,67.30,68.10,1688200,31.03
2009-11-25,68.85,68.94,68.33,68.72,2516400,31.31
2009-11-24,68.20,69.10,68.00,69.02,4440600,31.45
2009-11-23,68.10,68.70,67.93,68.34,3311400,31.14
2009-11-20,67.30,68.00,67.30,67.94,4608000,30.96
2009-11-19,67.33,67.62,66.68,67.51,3404000,30.76
2009-11-18,67.41,67.65,67.00,67.49,2641200,30.75
2009-11-17,67.73,67.75,67.37,67.57,3182200,30.79
2009-11-16,67.68,67.75,67.21,67.73,3521800,30.86
2009-11-13,67.42,67.70,67.21,67.60,2395800,30.80
2009-11-12,66.83,67.77,66.81,67.28,3888400,30.66
2009-11-11,67.43,67.50,66.87,66.95,3207000,30.51
2009-11-10,66.45,67.48,66.45,67.17,3838400,30.61
2009-11-09,66.61,66.81,66.07,66.72,3262600,30.40
2009-11-06,66.14,66.40,65.72,66.37,3222000,30.24
2009-11-05,64.99,66.45,64.96,66.25,5021600,30.19
2009-11-04,65.07,65.40,64.48,64.92,6016000,29.58
2009-11-03,65.57,65.70,64.62,65.03,4954400,29.63
2009-11-02,66.16,66.28,65.39,65.75,6365200,29.96
2009-10-30,66.80,66.90,65.85,65.92,7720600,30.04
2009-10-29,65.01,66.76,65.00,66.70,5568000,30.39
2009-10-28,65.22,65.60,64.82,64.89,5041600,29.57
2009-10-27,65.19,65.77,64.98,65.46,3483000,29.83
2009-10-26,65.08,65.63,64.67,65.01,3407600,29.62
2009-10-23,65.69,65.80,64.80,64.95,3075200,29.60
2009-10-22,65.40,65.73,64.80,65.55,3353000,29.87
2009-10-21,66.33,66.92,65.32,65.43,4514600,29.82
2009-10-20,66.48,66.76,65.91,66.34,4553200,30.23
2009-10-19,66.20,66.81,65.67,66.32,4081200,30.22
2009-10-16,65.25,66.34,64.99,66.00,6713400,30.07
2009-10-15,64.72,65.40,64.51,65.29,4744200,29.75
2009-10-14,64.97,65.05,64.59,64.82,2964000,29.54
2009-10-13,64.68,65.00,64.49,64.80,3091600,29.53
2009-10-12,64.44,65.13,64.27,64.69,3995600,29.48
2009-10-09,64.68,64.80,64.12,64.45,3106600,29.37
2009-10-08,64.69,64.81,64.13,64.69,3883800,29.48
2009-10-07,64.63,64.71,64.24,64.65,3597200,29.46
2009-10-06,65.01,65.01,64.62,64.90,5985400,29.36
2009-10-05,64.27,64.27,63.19,63.96,3439600,28.93
2009-10-02,63.19,64.05,63.19,63.89,4753200,28.90
2009-10-01,64.36,64.36,63.43,63.49,5736600,28.72
2009-09-30,63.51,64.49,63.08,64.38,7592000,29.12
2009-09-29,64.56,64.58,63.36,63.57,5891200,28.76
2009-09-28,63.56,64.60,63.49,64.51,6985400,29.18
2009-09-25,63.22,63.48,62.89,63.29,5041000,28.63
2009-09-24,63.82,64.14,63.20,63.45,7426000,28.70
2009-09-23,63.00,64.62,62.87,63.80,15010600,28.86
2009-09-22,60.88,61.17,60.40,60.97,7058600,27.58
2009-09-21,59.94,60.99,59.65,60.66,3860000,27.44
2009-09-18,60.14,60.40,59.80,60.31,6169600,27.28
2009-09-17,60.26,60.35,59.92,60.06,4785200,27.17
2009-09-16,59.47,60.23,58.89,60.23,7044600,27.25
2009-09-15,60.48,60.50,59.54,60.30,4935400,27.28
2009-09-14,60.37,60.72,60.25,60.58,2528000,27.41
2009-09-11,60.85,61.11,60.27,60.58,4184800,27.41
2009-09-10,60.60,60.91,59.89,60.90,7618200,27.55
2009-09-09,60.51,60.68,60.20,60.54,4792600,27.39
2009-09-08,59.35,60.51,58.62,60.51,7618800,27.37
2009-09-04,58.71,58.77,58.33,58.51,3517800,26.47
2009-09-03,58.98,58.98,57.98,58.61,3969600,26.51
2009-09-02,58.53,58.98,58.28,58.75,6076600,26.58
2009-09-01,59.61,59.63,59.01,59.21,4781200,26.79
2009-08-31,58.87,59.79,58.63,59.73,3793400,27.02
2009-08-28,59.47,59.59,58.86,58.97,3014600,26.68
2009-08-27,59.71,59.83,59.15,59.27,3380400,26.81
2009-08-26,59.17,60.01,59.11,59.62,4201400,26.97
2009-08-25,59.44,59.59,58.71,59.24,3161200,26.80
2009-08-24,59.46,59.58,58.93,59.32,3152200,26.84
2009-08-21,58.73,59.85,58.63,59.61,5109600,26.97
2009-08-20,58.37,58.67,57.59,58.58,3540400,26.50
2009-08-19,57.30,58.52,57.30,58.24,4477000,26.35
2009-08-18,57.48,57.90,57.12,57.66,3059600,26.08
2009-08-17,57.35,57.90,57.26,57.51,3793800,26.02
2009-08-14,57.64,57.92,57.19,57.75,3768000,26.12
2009-08-13,57.78,57.81,57.09,57.42,3840200,25.98
2009-08-12,58.05,58.16,57.61,57.84,4407200,26.17
2009-08-11,57.88,58.56,57.74,58.19,4002000,26.32
2009-08-10,57.66,58.39,57.23,58.14,5034800,26.30
2009-08-07,58.19,58.29,57.31,57.53,4693600,26.03
2009-08-06,58.06,58.51,57.55,57.84,4037800,26.17
2009-08-05,58.14,58.50,57.81,58.00,3950400,26.24
2009-08-04,58.26,58.75,57.65,58.25,6466800,26.35
