Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,19.29,19.55,19.26,19.31,8301400,18.35
2009-12-30,19.10,19.37,19.01,19.34,7024100,18.38
2009-12-29,19.22,19.35,19.15,19.21,5470400,18.26
2009-12-28,19.42,19.42,19.11,19.24,7243100,18.29
2009-12-24,19.31,19.42,19.24,19.29,2862800,18.34
2009-12-23,19.46,19.50,19.21,19.26,10083300,18.31
2009-12-22,18.97,19.37,18.90,19.24,12097700,18.29
2009-12-21,18.58,19.00,18.58,18.98,10153700,18.04
2009-12-18,18.63,18.68,18.30,18.47,16557400,17.56
2009-12-17,18.68,18.71,18.45,18.46,13860000,17.55
2009-12-16,19.02,19.32,18.69,18.73,19991300,17.80
2009-12-15,18.84,19.05,18.51,18.85,11936000,17.92
2009-12-14,18.59,18.95,18.43,18.83,12529800,17.90
2009-12-11,18.48,18.77,18.34,18.47,15193500,17.56
2009-12-10,18.31,18.56,18.15,18.21,15399000,17.31
2009-12-09,17.85,18.08,17.40,18.08,16226100,17.19
2009-12-08,18.16,18.31,17.75,17.89,13293100,17.00
2009-12-07,18.42,18.87,18.32,18.39,21686200,17.48
2009-12-04,17.95,18.59,17.90,18.33,24231500,17.42
2009-12-03,17.81,17.89,17.49,17.59,18472800,16.72
2009-12-02,17.21,17.87,17.21,17.82,19449800,16.94
2009-12-01,16.70,17.29,16.70,17.20,15018600,16.35
2009-11-30,16.66,16.72,16.35,16.68,11263000,15.85
2009-11-27,16.40,16.70,16.25,16.58,5587300,15.76
2009-11-25,16.55,16.96,16.55,16.86,9173400,16.03
2009-11-24,16.50,16.68,16.42,16.53,8506500,15.71
2009-11-23,16.68,16.91,16.40,16.49,11437300,15.67
2009-11-20,16.50,16.54,16.37,16.41,9484600,15.60
2009-11-19,16.68,16.75,16.40,16.57,11517100,15.75
2009-11-18,16.92,17.22,16.77,16.85,13972700,16.02
2009-11-17,16.64,17.03,16.63,16.96,11053900,16.12
2009-11-16,16.75,16.95,16.63,16.85,15283700,16.02
2009-11-13,16.48,16.78,16.35,16.65,14338600,15.83
2009-11-12,16.11,16.55,16.08,16.44,18646200,15.63
2009-11-11,15.87,16.32,15.75,16.29,16376000,15.44
2009-11-10,15.59,15.83,15.51,15.80,7987500,14.97
2009-11-09,15.35,15.83,15.32,15.80,9946500,14.97
2009-11-06,15.02,15.48,14.96,15.30,8976900,14.50
2009-11-05,14.99,15.40,14.97,15.27,12116400,14.47
2009-11-04,14.86,15.02,14.68,14.87,14100600,14.09
2009-11-03,14.47,14.62,14.33,14.59,14630800,13.83
2009-11-02,14.64,14.66,14.14,14.52,23278800,13.76
2009-10-30,15.00,15.06,14.50,14.61,18246400,13.84
2009-10-29,14.95,15.17,14.89,15.14,12278400,14.35
2009-10-28,14.96,14.99,14.53,14.79,22638200,14.02
2009-10-27,15.52,15.63,14.94,15.10,17132300,14.31
2009-10-26,15.65,15.98,15.40,15.51,14283000,14.70
2009-10-23,15.73,15.73,15.42,15.65,21396100,14.83
2009-10-22,15.52,15.75,15.30,15.60,16103800,14.78
2009-10-21,15.75,15.99,15.48,15.51,12382600,14.70
2009-10-20,15.66,15.68,15.42,15.55,10657100,14.74
2009-10-19,15.18,15.54,15.18,15.54,14020500,14.73
2009-10-16,15.44,15.45,15.14,15.37,17194200,14.56
2009-10-15,15.73,15.88,15.44,15.50,17527200,14.69
2009-10-14,15.69,15.99,15.55,15.97,15784900,15.13
2009-10-13,15.71,15.72,15.21,15.36,13123400,14.56
2009-10-12,15.79,15.87,15.52,15.75,7989600,14.92
2009-10-09,15.41,15.71,15.41,15.68,7158500,14.86
2009-10-08,15.60,15.80,15.43,15.48,11198100,14.67
2009-10-07,15.49,15.79,15.35,15.38,12309000,14.57
2009-10-06,15.35,15.81,15.28,15.50,26591000,14.69
2009-10-05,14.62,14.92,14.40,14.81,18628500,14.03
2009-10-02,14.78,14.87,14.51,14.56,16867200,13.80
2009-10-01,15.21,15.26,14.85,14.94,17807300,14.16
2009-09-30,15.20,15.50,14.94,15.31,17789800,14.51
