Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,23.68,23.94,23.26,23.26,2988900,22.16
2009-12-30,23.78,23.83,23.51,23.70,3108000,22.58
2009-12-29,23.77,24.05,23.67,23.96,4031200,22.83
2009-12-28,23.85,24.08,23.63,23.70,3241400,22.58
2009-12-24,23.46,23.71,23.39,23.68,1845400,22.56
2009-12-23,23.57,23.62,23.19,23.34,4087500,22.24
2009-12-22,23.17,23.56,22.89,23.44,8189900,22.34
2009-12-21,23.75,23.93,23.15,23.16,6497900,22.07
2009-12-18,23.48,23.55,23.02,23.49,7956400,22.38
2009-12-17,23.93,23.94,23.24,23.28,8193800,22.18
2009-12-16,23.97,24.55,23.87,24.13,5689700,22.99
2009-12-15,24.14,24.14,23.57,23.63,5077700,22.52
2009-12-14,24.14,24.45,23.90,24.24,5769600,23.10
2009-12-11,24.24,24.30,23.55,24.12,5607800,22.98
2009-12-10,23.86,24.28,23.77,24.03,5037800,22.90
2009-12-09,23.85,23.91,23.31,23.76,4116700,22.64
2009-12-08,23.71,23.95,23.55,23.80,5171500,22.68
2009-12-07,24.57,24.85,23.83,23.92,6646500,22.79
2009-12-04,24.87,25.00,24.10,24.67,7995100,23.51
2009-12-03,25.55,25.96,24.14,24.23,11869000,23.09
2009-12-02,24.84,25.55,24.42,25.29,9036400,24.10
2009-12-01,24.79,25.02,24.35,24.48,8224600,23.33
2009-11-30,23.92,24.50,23.80,24.46,9709100,23.31
2009-11-27,23.90,24.31,23.63,23.72,6286600,22.60
2009-11-25,25.53,25.53,24.92,25.10,4087800,23.87
2009-11-24,25.27,25.39,24.76,25.13,5333600,23.90
2009-11-23,25.50,25.88,25.18,25.34,6343100,24.10
2009-11-20,25.14,25.33,24.75,25.00,5614400,23.77
2009-11-19,25.67,25.90,25.02,25.32,6076200,24.08
2009-11-18,25.41,26.45,25.28,25.97,7933600,24.70
2009-11-17,25.09,25.58,24.83,25.37,6149000,24.13
2009-11-16,25.12,25.70,25.06,25.30,7151700,24.06
2009-11-13,24.98,25.06,24.34,24.68,7922900,23.47
2009-11-12,25.41,25.67,24.61,24.81,6824000,23.59
2009-11-11,25.32,26.00,25.29,25.68,7132000,24.42
2009-11-10,25.11,25.28,24.76,25.00,5390800,23.77
2009-11-09,24.67,25.45,24.30,25.34,8209300,24.10
2009-11-06,23.44,24.32,23.41,24.09,8305200,22.91
2009-11-05,24.63,24.80,23.48,24.12,13805900,22.94
2009-11-04,27.42,27.42,24.13,24.44,27192800,23.24
2009-11-03,24.45,26.04,24.04,25.82,12868400,24.55
2009-11-02,24.90,25.69,24.13,24.81,9997100,23.59
2009-10-30,25.57,25.63,24.09,24.52,13236300,23.32
2009-10-29,24.27,25.84,24.18,25.67,13015200,24.41
2009-10-28,23.93,24.08,23.16,23.27,11495700,22.13
2009-10-27,24.43,25.09,24.00,24.09,9750700,22.91
2009-10-26,26.11,26.42,24.12,24.32,11226500,23.13
2009-10-23,27.27,27.30,25.76,25.90,7450000,24.63
