Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,43.24,43.24,42.76,42.76,854900,38.30
2009-12-30,42.97,43.27,42.91,43.23,962300,38.72
2009-12-29,43.13,43.22,43.04,43.11,816700,38.61
2009-12-28,43.01,43.12,42.83,43.12,921900,38.62
2009-12-24,42.84,43.07,42.69,43.01,402200,38.52
2009-12-23,42.64,42.95,42.56,42.79,888900,38.32
2009-12-22,42.41,42.73,42.33,42.63,1281700,38.18
2009-12-21,42.06,42.60,42.04,42.26,1403700,37.85
2009-12-18,42.35,42.35,41.50,42.03,3532800,37.64
2009-12-17,43.18,43.18,42.43,42.43,1973000,37.63
2009-12-16,43.29,43.39,43.01,43.08,1671800,38.20
2009-12-15,43.06,43.33,43.00,43.06,2022100,38.18
2009-12-14,43.04,43.20,42.91,43.03,1738700,38.16
2009-12-11,42.89,43.11,42.81,42.91,1425600,38.05
2009-12-10,43.01,43.24,42.59,42.70,2134600,37.86
2009-12-09,43.00,43.03,42.43,42.85,1608800,38.00
2009-12-08,43.23,43.23,42.71,42.92,2276000,38.06
2009-12-07,43.24,43.51,43.10,43.34,1792600,38.43
2009-12-04,43.47,43.75,43.00,43.36,1987300,38.45
2009-12-03,43.42,43.61,43.10,43.16,1974900,38.27
2009-12-02,43.05,43.58,43.05,43.40,2558400,38.49
2009-12-01,42.85,43.27,42.56,43.13,2885200,38.25
2009-11-30,42.53,42.58,42.17,42.45,2166800,37.64
2009-11-27,42.06,42.58,42.05,42.42,2339700,37.62
2009-11-25,43.39,43.70,43.23,43.35,2459600,38.44
2009-11-24,43.06,43.70,42.75,43.23,3267000,38.33
2009-11-23,42.73,43.44,42.66,43.17,4128100,38.28
2009-11-20,41.87,42.36,41.87,42.23,2362700,37.45
2009-11-19,42.34,42.37,41.68,42.01,2230300,37.25
2009-11-18,42.46,42.51,41.95,42.48,1898100,37.67
2009-11-17,42.15,42.43,42.03,42.34,1884400,37.55
2009-11-16,41.98,42.35,41.87,42.24,2373500,37.46
2009-11-13,41.69,41.99,41.57,41.86,1345500,37.12
2009-11-12,42.11,42.28,41.61,41.74,1929600,37.01
2009-11-11,42.05,42.35,41.95,42.13,1737800,37.36
2009-11-10,41.77,42.30,41.77,41.95,2178100,37.20
2009-11-09,41.26,42.11,41.13,41.92,3035500,37.17
2009-11-06,40.69,41.16,40.67,41.00,1520200,36.36
2009-11-05,40.54,41.01,40.54,40.94,1727300,36.30
2009-11-04,40.04,40.86,40.04,40.45,2870400,35.87
2009-11-03,40.28,40.30,39.69,39.97,1798300,35.44
2009-11-02,40.38,40.68,40.05,40.32,2085700,35.75
2009-10-30,40.64,40.94,40.14,40.24,2577800,35.68
2009-10-29,40.36,40.77,40.07,40.73,1936400,36.12
2009-10-28,40.26,40.56,40.07,40.07,1767400,35.53
2009-10-27,40.51,40.63,40.15,40.36,1489100,35.79
2009-10-26,40.58,41.06,40.25,40.38,1455300,35.81
2009-10-23,41.07,41.25,40.31,40.46,1572400,35.88
2009-10-22,41.04,41.15,40.52,41.09,1579100,36.44
2009-10-21,40.91,41.60,40.91,41.04,2029600,36.39
2009-10-20,41.21,41.48,40.96,41.03,3133300,36.38
2009-10-19,40.81,41.27,40.68,41.08,2130500,36.43
2009-10-16,40.38,40.87,40.33,40.66,1851900,36.06
2009-10-15,40.02,40.64,40.02,40.57,1741000,35.98
2009-10-14,40.22,40.29,40.08,40.17,1998100,35.62
2009-10-13,40.14,40.40,39.89,40.00,1809200,35.47
2009-10-12,39.77,40.55,39.64,40.17,2158400,35.62
2009-10-09,39.76,39.92,39.52,39.74,1069500,35.24
2009-10-08,39.63,39.79,39.38,39.73,1727200,35.23
2009-10-07,39.55,39.65,39.35,39.50,1567700,35.03
2009-10-06,39.36,39.74,39.33,39.54,2174100,35.06
2009-10-05,38.96,39.34,38.44,39.29,2440400,34.84
2009-10-02,38.84,38.99,38.63,38.85,3310300,34.45
2009-10-01,39.56,39.59,38.88,38.97,3014900,34.56
2009-09-30,39.83,39.83,39.32,39.75,2637000,35.25
2009-09-29,40.10,40.18,39.71,39.78,1684800,35.28
2009-09-28,39.71,40.13,39.71,40.04,1560800,35.51
2009-09-25,39.66,39.93,39.53,39.72,2467400,35.22
2009-09-24,40.00,40.22,39.60,39.66,2367800,35.17
2009-09-23,39.74,40.55,39.72,39.97,3086600,35.44
2009-09-22,39.78,39.78,39.32,39.59,2086700,35.11
2009-09-21,39.57,39.89,39.30,39.65,1899700,35.16
2009-09-18,39.57,39.80,39.46,39.71,3613500,35.21
2009-09-17,40.00,40.31,39.84,39.92,3775500,35.03
2009-09-16,39.85,40.10,39.60,39.95,2923500,35.05
2009-09-15,39.90,39.95,39.43,39.72,2503200,34.85
2009-09-14,39.61,39.95,39.55,39.90,1805000,35.01
2009-09-11,39.92,40.09,39.60,39.83,2637200,34.95
2009-09-10,39.95,40.05,39.44,39.92,2995000,35.03
2009-09-09,39.62,40.07,39.51,39.85,5473200,34.97
2009-09-08,38.22,39.85,38.15,39.72,7906800,34.85
2009-09-04,37.71,37.85,37.51,37.80,2056400,33.17
2009-09-03,37.92,37.92,37.42,37.76,2312800,33.13
2009-09-02,38.00,38.01,37.67,37.79,3033800,33.16
2009-09-01,38.43,38.57,37.98,38.05,2959600,33.39
2009-08-31,38.26,38.54,38.15,38.50,2187700,33.78
2009-08-28,38.83,38.89,38.20,38.45,3058800,33.74
2009-08-27,39.00,39.00,38.58,38.71,2035800,33.97
2009-08-26,39.02,39.20,38.87,39.00,1993800,34.22
2009-08-25,39.07,39.33,38.94,39.02,2676500,34.24
2009-08-24,39.16,39.35,38.78,39.03,2554900,34.25
2009-08-21,38.89,39.08,38.78,39.03,2566200,34.25
2009-08-20,38.90,38.94,38.48,38.71,4742400,33.97
2009-08-19,37.30,38.17,37.30,37.95,2269300,33.30
2009-08-18,37.56,37.70,37.37,37.52,2138000,32.92
2009-08-17,37.51,37.66,37.34,37.56,2405800,32.96
2009-08-14,37.78,37.85,37.36,37.79,2424000,33.16
2009-08-13,38.36,38.36,37.55,37.72,2062200,33.10
2009-08-12,38.38,38.48,38.10,38.16,2262300,33.48
2009-08-11,38.43,38.49,38.05,38.10,1365500,33.43
2009-08-10,38.04,38.30,37.84,38.22,1212400,33.54
2009-08-07,37.97,38.31,37.89,38.09,1539200,33.42
2009-08-06,38.19,38.60,37.72,37.79,1984500,33.16
2009-08-05,38.49,38.49,37.91,38.06,1623700,33.39
2009-08-04,38.15,38.63,38.15,38.40,1961600,33.69
2009-08-03,38.76,38.76,38.02,38.27,2192600,33.58
2009-07-31,38.71,38.83,38.36,38.46,2121700,33.75
2009-07-30,38.84,39.09,38.62,38.70,2219000,33.96
2009-07-29,38.41,38.85,38.23,38.61,2150500,33.88
2009-07-28,38.34,38.62,38.21,38.56,1761500,33.83
2009-07-27,38.59,38.79,38.10,38.48,1508900,33.76
2009-07-24,38.41,38.66,38.29,38.56,1155300,33.83
2009-07-23,37.73,38.74,37.61,38.51,2308200,33.79
2009-07-22,37.30,37.94,37.26,37.65,1995600,33.04
2009-07-21,37.44,37.69,37.00,37.29,1908300,32.72
2009-07-20,37.43,37.57,36.89,37.32,2135400,32.75
2009-07-17,37.20,37.36,37.08,37.34,2064100,32.76
2009-07-16,36.79,37.44,36.66,37.32,2521200,32.75
2009-07-15,36.58,36.87,36.20,36.86,2430300,32.34
2009-07-14,36.20,36.31,35.89,36.29,2069300,31.84
2009-07-13,35.82,36.31,35.58,36.23,1978200,31.79
2009-07-10,35.50,35.87,35.48,35.68,2159500,31.31
2009-07-09,36.01,36.14,35.38,35.55,1981800,31.19
2009-07-08,35.82,36.15,35.58,35.84,2395400,31.45
2009-07-07,36.39,36.42,35.80,35.83,2185000,31.44
2009-07-06,35.60,36.48,35.52,36.44,2280600,31.97
2009-07-02,36.38,36.45,35.80,35.80,2999500,31.41
2009-07-01,35.99,37.07,35.80,36.78,3239300,32.27
2009-06-30,35.75,35.84,35.41,35.70,3184400,31.32
2009-06-29,35.84,35.91,35.55,35.75,3028500,31.37
2009-06-26,35.88,35.88,35.24,35.72,4195400,31.34
2009-06-25,35.24,36.00,35.04,35.77,4218800,31.39
2009-06-24,35.66,35.73,35.13,35.34,3810200,31.01
2009-06-23,35.75,35.93,35.25,35.40,4107000,31.06
2009-06-22,35.99,36.35,35.65,35.70,3699200,31.32
2009-06-19,36.94,37.09,36.57,36.63,3127900,31.77
2009-06-18,36.06,36.88,36.05,36.67,2322400,31.81
2009-06-17,35.44,36.16,35.44,36.07,3325700,31.29
2009-06-16,35.77,35.77,35.36,35.41,2845900,30.71
2009-06-15,36.09,36.16,35.54,35.59,2409700,30.87
2009-06-12,36.12,36.46,35.84,36.32,2037100,31.50
2009-06-11,36.02,36.67,35.95,36.03,3370900,31.25
2009-06-10,36.40,36.65,35.76,35.95,3403400,31.18
2009-06-09,36.64,36.69,36.04,36.23,2329600,31.42
2009-06-08,36.60,37.00,36.32,36.61,2771700,31.75
2009-06-05,36.87,36.97,36.30,36.70,3583700,31.83
2009-06-04,37.03,37.09,36.44,36.56,3010800,31.71
2009-06-03,37.13,37.25,36.59,36.88,1992100,31.99
2009-06-02,37.17,37.50,37.03,37.33,2549700,32.38
2009-06-01,36.87,37.31,36.74,37.11,2818100,32.19
2009-05-29,36.21,36.58,36.00,36.58,2893500,31.73
2009-05-28,36.26,36.70,35.75,36.16,4966300,31.36
2009-05-27,36.39,36.75,36.18,36.26,3919400,31.45
2009-05-26,35.93,36.31,35.52,36.27,4858400,31.46
2009-05-22,35.54,36.32,35.39,35.97,3219000,31.20
2009-05-21,35.26,35.52,35.08,35.39,3640700,30.70
2009-05-20,35.94,35.94,35.52,35.52,1870200,30.81
2009-05-19,35.50,35.88,35.41,35.68,1540600,30.95
2009-05-18,35.43,35.60,35.09,35.60,2367700,30.88
2009-05-15,35.33,35.51,34.80,35.14,2821900,30.48
2009-05-14,35.79,35.92,35.39,35.47,2856000,30.77
2009-05-13,36.00,36.28,35.42,35.68,2525300,30.95
2009-05-12,35.83,36.56,35.60,36.25,3431300,31.44
2009-05-11,35.16,35.91,34.98,35.66,3002900,30.93
2009-05-08,35.37,35.84,35.04,35.47,2617700,30.77
2009-05-07,35.30,35.64,34.93,34.99,2706200,30.35
2009-05-06,35.57,35.61,34.75,35.10,2252400,30.44
2009-05-05,35.24,35.96,35.02,35.22,2929700,30.55
2009-05-04,34.89,35.16,34.58,35.15,2340400,30.49
2009-05-01,34.49,34.74,34.15,34.72,1766000,30.12
2009-04-30,34.14,34.76,34.03,34.42,2916100,29.85
2009-04-29,33.89,34.39,33.80,33.99,2015400,29.48
2009-04-28,33.19,33.85,33.19,33.61,2029900,29.15
2009-04-27,33.11,33.99,33.06,33.47,2021200,29.03
2009-04-24,33.73,33.85,33.13,33.38,3059800,28.95
2009-04-23,33.55,33.58,33.15,33.53,2305300,29.08
2009-04-22,34.03,34.10,33.53,33.55,2093900,29.10
2009-04-21,33.97,34.48,33.84,34.18,1875900,29.65
2009-04-20,34.26,34.83,33.92,34.06,2507600,29.54
2009-04-17,34.46,34.67,34.05,34.45,2489900,29.88
2009-04-16,34.40,34.55,33.61,34.42,2405400,29.85
2009-04-15,33.33,34.31,33.33,34.16,2058100,29.63
2009-04-14,33.60,33.61,33.00,33.49,1773300,29.05
2009-04-13,33.95,34.04,33.48,33.83,1790100,29.34
2009-04-09,34.31,34.31,33.73,33.95,2079800,29.45
2009-04-08,33.44,33.82,33.26,33.69,1757500,29.22
2009-04-07,33.54,33.89,33.26,33.38,2639600,28.95
2009-04-06,34.40,34.57,33.60,33.97,2201800,29.46
2009-04-03,34.31,34.53,33.85,34.48,2877600,29.91
2009-04-02,33.93,34.92,33.93,34.34,4108600,29.79
2009-04-01,32.82,33.85,32.65,33.73,2586800,29.26
2009-03-31,33.19,33.49,32.82,33.06,2923800,28.68
2009-03-30,33.30,33.42,32.77,33.19,3165500,28.79
2009-03-27,33.97,34.20,33.27,33.70,3036100,29.23
2009-03-26,34.96,34.96,34.05,34.61,3380200,30.02
2009-03-25,34.73,35.02,33.97,34.61,2542700,30.02
2009-03-24,34.27,34.75,34.11,34.41,3013200,29.85
2009-03-23,33.65,34.61,33.15,34.58,3865000,29.99
2009-03-20,33.10,33.59,33.00,33.08,4074000,28.69
2009-03-19,33.43,33.60,33.24,33.40,3788200,28.61
2009-03-18,33.92,33.92,32.61,33.12,5167700,28.37
2009-03-17,33.80,34.06,33.35,34.06,2595800,29.18
2009-03-16,32.99,34.04,32.96,33.55,2915500,28.74
2009-03-13,32.76,32.88,32.28,32.79,2327300,28.09
2009-03-12,31.48,32.59,31.25,32.45,3414000,27.80
2009-03-11,32.26,32.26,31.32,31.48,3002600,26.97
2009-03-10,31.31,32.00,30.54,31.95,4439100,27.37
2009-03-09,30.75,31.20,30.60,30.73,2920000,26.32
2009-03-06,31.57,31.69,30.51,31.23,3863900,26.75
2009-03-05,31.65,31.87,30.95,31.24,4646800,26.76
2009-03-04,32.17,32.49,31.27,31.97,3644800,27.39
2009-03-03,32.29,32.34,31.48,31.75,3374300,27.20
2009-03-02,32.42,32.46,31.50,32.00,4652800,27.41
2009-02-27,32.11,33.14,32.06,32.67,4184900,27.98
2009-02-26,34.34,34.46,32.40,32.61,4845200,27.93
2009-02-25,33.68,34.41,33.68,33.94,5536800,29.07
2009-02-24,32.65,34.07,32.49,33.77,6735200,28.93
2009-02-23,32.70,33.07,31.66,31.97,4521000,27.39
2009-02-20,32.45,32.74,32.05,32.56,5698900,27.89
2009-02-19,33.03,33.38,32.86,32.95,3815700,28.22
2009-02-18,33.15,33.36,32.23,32.63,7429500,27.95
2009-02-17,34.44,34.44,33.00,33.00,7019400,28.27
2009-02-13,35.00,35.21,34.33,34.46,2968900,29.52
2009-02-12,35.03,35.03,34.11,35.01,3381800,29.99
2009-02-11,35.13,35.31,34.64,35.02,2919400,30.00
2009-02-10,36.25,37.01,34.69,34.88,5995100,29.88
2009-02-09,36.81,37.20,36.68,37.01,2657100,31.70
