Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,52.82,52.95,51.47,51.51,13856900,48.99
2009-12-30,52.28,52.93,52.28,52.93,6646000,50.34
2009-12-29,52.62,52.83,52.53,52.57,6965700,50.00
2009-12-28,52.88,52.88,52.45,52.76,11146800,50.18
2009-12-24,52.26,52.94,52.16,52.87,4161800,50.28
2009-12-23,52.47,52.50,52.02,52.49,8059600,49.92
2009-12-22,51.94,52.61,51.90,52.46,12190400,49.89
2009-12-21,51.49,52.26,51.45,51.99,15832200,49.45
2009-12-18,50.90,51.61,50.70,51.50,21455100,48.98
2009-12-17,50.94,51.09,50.26,50.56,14025000,48.09
2009-12-16,50.90,51.54,50.89,51.36,15634600,48.85
2009-12-15,50.52,51.25,50.33,50.99,18517500,48.49
2009-12-14,49.95,50.76,49.93,50.68,12476300,48.20
2009-12-11,50.09,50.21,49.89,50.05,11834300,47.52
2009-12-10,49.97,50.23,49.79,50.14,18760400,47.61
2009-12-09,49.03,50.00,48.81,49.95,17533700,47.43
2009-12-08,49.08,49.15,48.82,48.94,11578300,46.47
2009-12-07,49.48,49.88,49.15,49.21,13037400,46.73
2009-12-04,49.12,49.90,49.10,49.79,18895500,47.28
2009-12-03,49.23,49.42,48.88,48.96,15758000,46.49
2009-12-02,49.37,49.60,48.90,48.98,14756400,46.51
2009-12-01,49.39,49.80,49.35,49.59,18310800,47.09
2009-11-30,48.97,49.31,48.81,49.06,16359200,46.58
2009-11-27,48.94,49.37,48.60,49.07,9949000,46.59
2009-11-25,50.34,50.35,49.96,50.05,12745600,47.52
2009-11-24,50.60,51.02,49.84,50.19,17269400,47.66
2009-11-23,50.43,51.03,50.35,51.02,15775600,48.45
2009-11-20,49.58,50.27,49.51,50.04,14384600,47.51
2009-11-19,50.19,50.35,49.32,49.82,15077200,47.31
2009-11-18,51.03,51.05,50.27,50.48,16524000,47.93
2009-11-17,50.36,51.43,50.25,51.32,15815200,48.73
2009-11-16,49.89,50.88,49.86,50.81,20617900,48.25
2009-11-13,49.71,49.95,49.40,49.91,13856800,47.39
2009-11-12,49.65,49.96,49.53,49.70,21985500,47.19
2009-11-11,49.82,50.00,49.71,50.00,14234400,47.48
2009-11-10,49.81,49.97,49.65,49.96,10614300,47.44
2009-11-09,49.07,50.00,48.82,49.99,15565300,47.47
2009-11-06,48.68,49.16,48.52,49.16,10808000,46.68
2009-11-05,48.37,48.89,48.01,48.85,11384600,46.39
2009-11-04,47.96,48.64,47.69,47.76,15569300,45.35
2009-11-03,47.79,48.00,47.30,47.51,14733900,45.11
2009-11-02,47.43,48.28,47.16,48.16,15416000,45.73
