Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,40.84,41.03,39.84,39.88,649300,39.26
2009-12-30,41.09,41.42,40.65,40.72,1097300,40.09
2009-12-29,42.33,42.47,41.39,41.43,941200,40.79
2009-12-28,42.62,43.12,41.90,42.14,753700,41.48
2009-12-24,42.50,42.84,42.04,42.31,191900,41.65
2009-12-23,41.14,42.56,41.02,42.41,1346700,41.75
2009-12-22,40.42,41.19,40.42,40.81,717600,40.18
2009-12-21,40.57,41.01,40.33,40.44,1488800,39.81
2009-12-18,40.08,40.38,39.40,40.23,2267300,39.60
2009-12-17,39.69,40.05,39.32,39.70,1546200,39.08
2009-12-16,39.38,40.23,39.25,39.96,1912700,39.34
2009-12-15,38.89,39.86,38.74,39.18,2122000,38.57
2009-12-14,39.00,39.46,38.76,39.09,1696400,38.48
2009-12-11,38.59,38.73,38.02,38.28,1473300,37.68
2009-12-10,37.08,38.21,37.08,38.09,1603100,37.50
2009-12-09,36.78,37.45,36.26,36.83,2003400,36.26
2009-12-08,36.50,37.07,36.18,36.51,2030400,35.94
2009-12-07,36.44,37.79,36.44,37.18,1961500,36.60
2009-12-04,37.40,38.07,36.43,36.80,1914700,36.23
2009-12-03,37.69,37.75,36.71,36.80,1388500,36.23
2009-12-02,37.50,38.17,37.37,37.57,1429400,36.99
2009-12-01,38.07,38.58,37.45,37.78,1906800,37.19
2009-11-30,37.70,37.91,37.17,37.55,2690500,36.97
2009-11-27,37.53,38.27,37.49,37.91,651300,37.32
2009-11-25,38.13,39.29,38.10,39.19,1731800,38.58
2009-11-24,38.27,38.60,37.69,38.38,1287800,37.78
2009-11-23,38.30,38.95,38.01,38.20,1826000,37.61
2009-11-20,37.20,37.53,36.79,37.41,1706400,36.83
2009-11-19,37.58,38.12,36.20,37.40,2762900,36.82
2009-11-18,38.05,38.57,37.45,38.18,2185600,37.59
2009-11-17,38.37,38.51,37.81,37.93,1879900,37.34
2009-11-16,38.15,38.83,38.15,38.48,2970400,37.88
2009-11-13,37.90,38.64,37.29,37.86,1795400,37.27
2009-11-12,39.07,39.22,37.66,37.83,1376700,37.24
2009-11-11,39.42,39.58,38.54,39.11,1910100,38.50
2009-11-10,39.08,39.48,38.21,38.96,1282400,38.35
