Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,52.61,52.72,51.51,51.57,1490900,49.97
2009-12-30,52.23,52.89,51.80,52.53,2180800,50.90
2009-12-29,53.74,54.32,52.22,52.33,2673100,50.71
2009-12-28,54.48,54.60,53.39,53.67,1895200,52.01
2009-12-24,54.97,54.97,54.02,54.25,1022100,52.57
2009-12-23,54.25,54.84,53.25,54.56,1650000,52.87
2009-12-22,53.59,54.35,53.05,54.19,2344500,52.51
2009-12-21,52.43,53.66,51.89,53.50,3137400,51.84
2009-12-18,52.61,52.86,50.90,51.82,4485600,50.22
2009-12-17,53.04,53.82,52.36,52.49,2635200,50.86
2009-12-16,55.91,57.00,53.56,54.18,6258900,52.50
2009-12-15,54.30,56.32,54.22,55.37,3979700,53.66
2009-12-14,53.19,54.21,52.54,54.15,2076700,52.47
2009-12-11,52.43,52.65,51.71,52.32,1203700,50.70
2009-12-10,52.38,53.10,51.79,52.14,1838500,50.53
2009-12-09,51.00,52.25,50.08,52.12,2176600,50.51
2009-12-08,51.85,51.92,50.69,50.88,3101200,49.30
2009-12-07,52.68,53.63,52.40,52.81,2102900,51.17
2009-12-04,54.83,55.00,52.00,53.00,2644900,51.36
2009-12-03,54.27,54.98,53.36,53.42,1982100,51.77
2009-12-02,54.95,55.50,53.08,53.80,3036400,52.13
2009-12-01,54.60,55.60,54.11,55.18,3245200,53.30
2009-11-30,53.39,53.81,52.57,53.54,3011300,51.72
2009-11-27,52.65,54.65,52.25,53.52,1591000,51.70
2009-11-25,54.15,55.60,53.24,55.44,2360600,53.55
2009-11-24,53.71,53.78,52.42,53.42,2864100,51.60
2009-11-23,55.50,56.20,53.22,53.61,3030400,51.79
2009-11-20,54.16,54.57,53.02,54.03,2163800,52.19
2009-11-19,55.33,55.55,53.60,54.86,3076200,52.99
2009-11-18,56.91,56.98,55.62,56.00,2808200,54.09
2009-11-17,57.34,57.64,55.86,56.85,4096700,54.92
2009-11-16,57.64,59.27,57.30,58.84,3474500,56.84
2009-11-13,55.19,56.90,55.00,56.78,2490200,54.85
2009-11-12,56.92,56.94,54.61,54.79,3047100,52.93
2009-11-11,57.30,57.98,56.39,57.16,2929500,55.21
2009-11-10,56.51,57.70,55.32,56.16,3407700,54.25
2009-11-09,55.02,57.30,55.00,56.97,3792800,55.03
2009-11-06,54.08,55.67,53.52,54.10,3148200,52.26
2009-11-05,52.65,55.18,52.32,55.17,3571000,53.29
2009-11-04,54.16,54.55,51.58,51.81,4586500,50.05
2009-11-03,51.20,53.63,50.51,53.41,3613900,51.59
2009-11-02,51.06,52.81,49.98,51.74,4080200,49.98
2009-10-30,53.05,53.42,49.93,50.41,4359900,48.69
2009-10-29,51.68,53.83,51.55,53.43,3160400,51.61
2009-10-28,53.46,54.11,50.81,50.93,3965500,49.20
2009-10-27,55.10,55.92,53.25,53.52,3874600,51.70
2009-10-26,56.55,57.89,54.69,55.11,3731900,53.23
2009-10-23,57.48,59.30,56.41,56.55,5894700,54.63
2009-10-22,54.95,55.69,53.31,55.40,3811300,53.51
2009-10-21,54.43,56.94,53.70,55.25,3611300,53.37
2009-10-20,56.67,56.89,53.12,54.71,4389200,52.85
2009-10-19,52.81,55.30,52.56,55.02,4484000,53.15
2009-10-16,51.83,52.47,50.73,52.04,2096200,50.27
2009-10-15,51.74,52.53,50.97,52.24,3066400,50.46
2009-10-14,50.57,52.42,49.84,52.22,4187000,50.44
2009-10-13,49.66,49.75,48.81,49.52,4426600,47.83
2009-10-12,51.69,52.19,50.44,50.56,2604700,48.84
2009-10-09,50.33,51.30,49.74,51.30,2177700,49.55
2009-10-08,49.66,51.29,48.81,50.68,4669600,48.96
2009-10-07,48.16,48.98,47.76,48.86,2129300,47.20
2009-10-06,48.70,49.50,47.10,48.43,3722900,46.78
2009-10-05,45.76,47.64,45.70,47.48,3392800,45.86
2009-10-02,44.96,46.15,43.80,45.16,3668500,43.62
2009-10-01,48.39,48.47,46.19,46.25,3692200,44.68
2009-09-30,49.85,50.58,47.83,48.94,3658800,47.27
2009-09-29,48.63,49.49,47.95,49.19,3700700,47.52
2009-09-28,46.60,48.44,46.10,48.41,3625200,46.76
2009-09-25,45.87,46.82,45.44,46.30,2459900,44.72
2009-09-24,48.21,48.25,45.53,46.33,3679400,44.75
2009-09-23,49.58,49.87,47.90,47.93,3641000,46.30
2009-09-22,48.23,49.87,48.13,49.54,3306600,47.85
2009-09-21,46.32,48.09,46.25,47.55,3593100,45.93
2009-09-18,48.67,48.68,46.55,47.45,3175200,45.84
2009-09-17,47.04,48.60,46.75,48.18,4797000,46.54
2009-09-16,46.05,47.87,46.05,46.99,5215100,45.39
2009-09-15,43.67,45.54,43.41,45.15,4743500,43.61
2009-09-14,40.78,43.32,40.59,43.29,4152700,41.82
2009-09-11,41.26,42.20,40.82,41.78,3841800,40.36
2009-09-10,39.98,41.03,39.35,40.97,3122700,39.58
2009-09-09,39.10,40.22,38.86,39.89,3818900,38.53
2009-09-08,38.69,39.34,38.31,39.27,4117100,37.93
2009-09-04,37.10,38.04,36.60,37.60,2690200,36.32
2009-09-03,36.10,36.90,35.32,36.86,4227500,35.61
2009-09-02,37.66,38.24,35.38,35.44,8686200,34.23
2009-09-01,38.27,40.11,37.30,37.31,4163500,35.87
2009-08-31,38.73,38.94,37.95,38.85,4139600,37.35
2009-08-28,39.95,40.19,38.65,39.34,1786600,37.82
2009-08-27,39.17,39.89,38.27,39.52,2083200,38.00
2009-08-26,40.22,40.25,39.00,39.44,1927800,37.92
2009-08-25,40.72,41.49,40.21,40.46,2823300,38.90
2009-08-24,40.25,41.15,39.88,40.14,2930900,38.59
2009-08-21,39.57,40.00,38.88,39.95,2866900,38.41
2009-08-20,39.23,39.35,38.18,38.81,3652900,37.31
2009-08-19,38.27,40.26,38.07,39.92,3194100,38.38
2009-08-18,38.35,39.47,38.22,39.35,2444900,37.83
2009-08-17,38.24,39.02,37.70,37.87,3420500,36.41
2009-08-14,42.05,42.20,39.80,40.47,4132700,38.91
2009-08-13,42.85,43.39,41.81,42.59,2767900,40.95
2009-08-12,41.24,42.76,40.27,42.09,3011200,40.47
2009-08-11,41.66,41.80,40.21,40.36,2937200,38.80
2009-08-10,42.00,42.87,42.00,42.51,2665000,40.87
2009-08-07,42.26,43.29,41.30,42.88,3158000,41.23
2009-08-06,40.99,41.50,39.60,41.00,3788200,39.42
2009-08-05,40.74,41.26,40.05,40.78,3593600,39.21
2009-08-04,38.17,40.78,38.09,40.25,4988100,38.70
2009-08-03,38.90,39.20,38.09,38.66,2372500,37.17
2009-07-31,36.51,37.70,36.23,37.18,2260200,35.75
2009-07-30,36.85,37.40,36.33,36.58,3124000,35.17
2009-07-29,36.61,36.69,35.46,35.73,2947300,34.35
2009-07-28,38.31,38.35,37.00,37.57,2624900,36.12
2009-07-27,38.40,39.28,38.10,39.04,2226800,37.53
2009-07-24,38.65,39.38,37.53,38.54,3036600,37.05
2009-07-23,37.25,40.00,37.02,40.00,4085200,38.46
2009-07-22,36.69,37.81,36.30,37.47,3951300,36.02
2009-07-21,38.89,38.99,36.03,36.81,4018200,35.39
2009-07-20,36.60,37.69,36.06,36.91,2526200,35.49
2009-07-17,35.60,36.61,35.24,35.92,2924700,34.53
2009-07-16,35.29,35.75,34.50,35.66,3703600,34.28
2009-07-15,33.71,34.98,33.38,34.44,2568400,33.11
2009-07-14,32.76,33.26,31.89,32.59,2141200,31.33
2009-07-13,31.41,32.62,30.41,32.61,2801200,31.35
2009-07-10,31.09,31.74,30.62,31.14,1992200,29.94
2009-07-09,32.40,32.72,31.45,31.56,2462900,30.34
2009-07-08,31.77,32.49,30.19,31.27,4288200,30.06
2009-07-07,33.89,33.93,32.11,32.19,2757500,30.95
2009-07-06,33.38,33.65,32.30,33.59,3434100,32.29
2009-07-02,35.16,35.32,34.25,34.33,3001700,33.01
2009-07-01,36.30,37.69,36.18,36.25,3020700,34.85
2009-06-30,36.77,37.21,35.25,35.72,3488800,34.34
2009-06-29,36.99,37.75,36.57,36.80,2848100,35.38
2009-06-26,36.85,37.03,35.89,36.55,2735700,35.14
2009-06-25,35.57,37.07,35.10,36.72,3737300,35.30
2009-06-24,35.50,37.96,35.50,36.28,7768600,34.88
2009-06-23,32.93,35.52,32.90,35.19,5246800,33.83
2009-06-22,35.94,35.94,32.90,32.94,4772200,31.67
2009-06-19,36.70,37.19,36.35,36.60,3210500,35.19
2009-06-18,36.12,36.64,34.82,36.11,3727200,34.72
2009-06-17,36.07,36.72,33.83,36.03,6606600,34.64
2009-06-16,38.26,39.28,35.88,36.36,6103600,34.96
2009-06-15,39.05,39.07,37.59,38.05,5227100,36.58
2009-06-12,40.50,40.62,39.78,40.38,3749900,38.82
2009-06-11,41.34,41.85,40.51,41.36,3539700,39.76
2009-06-10,42.00,42.25,40.31,41.27,5308100,39.68
2009-06-09,40.57,41.99,40.51,41.00,5512900,39.42
2009-06-08,39.98,39.98,38.04,39.81,5899500,38.27
2009-06-05,38.98,40.92,38.97,40.63,8304400,39.06
2009-06-04,36.70,38.59,36.64,38.36,6350300,36.88
2009-06-03,35.19,36.75,34.47,36.11,10812300,34.72
2009-06-02,36.74,37.83,35.31,35.60,5818300,34.06
2009-06-01,36.14,37.30,35.51,36.72,4696000,35.13
2009-05-29,33.95,35.05,33.62,34.47,4242800,32.98
2009-05-28,32.93,33.53,31.94,33.09,3164400,31.66
2009-05-27,32.31,34.25,31.76,32.68,5615800,31.27
2009-05-26,29.51,32.50,29.04,32.30,4709700,30.90
2009-05-22,29.71,30.20,28.95,29.23,1746000,27.96
2009-05-21,30.70,30.78,28.86,29.21,3400700,27.95
2009-05-20,31.40,33.13,31.11,31.34,3700500,29.98
2009-05-19,31.49,31.58,30.39,31.18,2765800,29.83
2009-05-18,28.30,30.79,28.30,30.79,2999600,29.46
2009-05-15,28.19,28.98,27.92,28.19,2301900,26.97
2009-05-14,26.90,28.80,26.75,28.18,2638000,26.96
2009-05-13,28.00,28.32,27.50,27.51,3125700,26.32
2009-05-12,30.16,30.19,28.00,29.08,2515300,27.82
2009-05-11,29.40,29.98,28.75,29.34,2801000,28.07
2009-05-08,29.44,30.65,28.41,30.56,4414700,29.24
2009-05-07,31.93,32.59,28.10,28.45,6427900,27.22
2009-05-06,30.49,32.13,30.11,31.49,4887900,30.13
2009-05-05,29.78,30.43,28.89,29.85,4324900,28.56
2009-05-04,28.50,30.36,28.50,30.07,6641900,28.77
2009-05-01,25.60,27.75,25.40,27.21,3862100,26.03
2009-04-30,25.10,26.46,24.95,25.50,5421900,24.40
2009-04-29,23.53,24.77,23.28,24.40,3535200,23.34
2009-04-28,23.52,23.72,22.85,23.12,2271000,22.12
2009-04-27,23.37,24.34,23.06,23.88,3467500,22.85
2009-04-24,23.98,24.91,23.51,23.75,4849600,22.72
2009-04-23,23.62,23.76,22.62,23.32,2466700,22.31
2009-04-22,22.82,24.55,22.67,23.61,4131500,22.59
2009-04-21,22.20,23.57,21.38,23.20,4010500,22.20
2009-04-20,23.36,23.65,22.32,22.68,2983100,21.70
2009-04-17,24.96,25.00,24.05,24.41,2629500,23.35
2009-04-16,24.65,25.27,23.93,25.04,3275900,23.96
2009-04-15,23.98,25.08,23.66,24.56,2831500,23.50
2009-04-14,24.58,25.85,24.02,24.27,2639400,23.22
2009-04-13,24.80,25.50,23.95,25.20,2664300,24.11
2009-04-09,23.19,25.38,23.16,25.07,4467500,23.98
2009-04-08,22.35,22.83,21.88,22.43,2785700,21.46
2009-04-07,23.46,23.46,22.10,22.32,2928700,21.35
2009-04-06,24.48,24.48,23.14,24.01,4104700,22.97
2009-04-03,22.96,24.28,22.58,24.01,3581400,22.97
2009-04-02,22.65,23.34,22.28,22.86,5218100,21.87
2009-04-01,20.73,21.85,20.29,21.57,4227400,20.64
2009-03-31,21.55,21.91,21.15,21.30,2474600,20.38
2009-03-30,22.17,22.17,20.60,21.16,4280200,20.24
2009-03-27,23.72,24.30,23.26,23.45,3755500,22.43
2009-03-26,23.28,24.36,23.28,24.26,5252100,23.21
2009-03-25,24.06,24.39,21.92,23.14,4731200,22.14
2009-03-24,23.82,24.68,23.18,24.01,4761800,22.97
2009-03-23,23.47,24.33,23.07,24.30,4105700,23.25
2009-03-20,23.38,24.00,21.71,22.20,4344800,21.24
2009-03-19,24.33,24.48,23.20,23.86,4984800,22.83
2009-03-18,21.07,23.42,21.07,23.30,6908700,22.29
2009-03-17,20.76,21.72,19.88,21.71,4433200,20.77
2009-03-16,20.88,21.75,20.53,20.78,4004900,19.88
2009-03-13,21.11,21.29,19.48,20.46,4278200,19.57
2009-03-12,19.74,20.74,19.30,20.66,4017400,19.77
2009-03-11,20.25,20.84,19.16,19.75,4388800,18.89
2009-03-10,18.76,20.00,18.56,19.64,5167800,18.79
2009-03-09,17.20,18.80,17.10,18.05,5879100,17.27
2009-03-06,16.91,17.88,16.91,17.58,9297400,16.82
2009-03-05,17.72,17.75,16.11,16.69,7025900,15.97
2009-03-04,17.17,18.52,16.85,17.55,13346900,16.79
2009-03-03,16.03,16.45,15.38,15.85,4892100,15.16
2009-03-02,17.03,17.17,15.53,15.75,6023000,14.90
2009-02-27,16.79,18.15,16.56,17.46,4190300,16.52
2009-02-26,17.78,18.26,17.22,17.24,3556100,16.31
2009-02-25,18.41,18.67,16.90,17.56,4177100,16.61
2009-02-24,17.01,18.55,16.50,18.41,5381000,17.42
2009-02-23,19.30,19.49,16.65,16.73,5308600,15.83
2009-02-20,19.08,19.33,17.70,18.96,5487500,17.94
2009-02-19,19.37,19.61,18.64,18.78,3012900,17.77
2009-02-18,19.36,19.88,18.39,19.02,4114600,17.99
2009-02-17,20.04,20.19,19.03,19.16,4019500,18.13
2009-02-13,21.10,21.96,20.93,21.03,2631000,19.90
2009-02-12,21.42,21.59,20.02,21.29,3908100,20.14
2009-02-11,22.39,23.55,21.35,22.02,3168400,20.83
2009-02-10,23.82,24.72,22.02,22.21,4606800,21.01
2009-02-09,23.89,24.96,23.50,24.13,3089100,22.83
2009-02-06,22.33,24.44,22.24,23.88,4484400,22.59
2009-02-05,20.62,22.25,20.39,22.16,4337900,20.97
2009-02-04,20.95,22.45,20.01,20.98,3561100,19.85
2009-02-03,20.53,20.94,20.21,20.86,2396800,19.74
2009-02-02,20.40,20.90,19.55,20.38,3227100,19.28
2009-01-30,21.67,22.21,20.41,20.83,3470000,19.71
2009-01-29,22.70,22.89,21.48,21.84,3351900,20.66
2009-01-28,22.00,24.04,21.90,23.09,5079200,21.84
2009-01-27,20.69,22.15,20.50,21.29,4038300,20.14
2009-01-26,20.64,21.30,19.85,20.29,4279000,19.20
2009-01-23,20.10,21.95,19.75,21.29,3567300,20.14
2009-01-22,22.01,22.35,20.58,20.97,4502700,19.84
2009-01-21,21.24,23.10,21.14,23.04,2529000,21.80
2009-01-20,22.85,23.30,21.04,21.33,3150200,20.18
2009-01-16,23.56,24.09,21.91,23.17,2307100,21.92
2009-01-15,23.07,23.53,21.62,22.99,2852100,21.75
2009-01-14,22.80,23.22,22.23,22.68,3022700,21.46
2009-01-13,22.55,23.82,22.50,23.63,2033900,22.36
2009-01-12,24.95,25.00,22.31,22.67,3007500,21.45
2009-01-09,25.74,25.90,24.25,24.96,2087500,23.61
2009-01-08,25.34,25.60,24.38,25.52,2463400,24.14
2009-01-07,26.27,27.21,25.18,25.32,3765200,23.95
2009-01-06,26.30,28.06,26.14,27.21,4266500,25.74
2009-01-05,25.33,26.38,24.31,25.65,3660100,24.27
2009-01-02,22.95,25.23,22.68,25.05,2774900,23.70
2008-12-31,21.45,23.38,21.45,22.89,2507100,21.66
2008-12-30,21.83,22.10,21.47,21.99,2398000,20.80
2008-12-29,22.00,22.07,21.25,21.72,2284400,20.55
2008-12-26,21.66,22.03,21.28,21.95,1041000,20.77
2008-12-24,21.59,21.78,21.28,21.66,499400,20.49
2008-12-23,21.47,22.80,21.43,21.71,2504400,20.54
2008-12-22,23.90,24.09,21.35,22.00,2532200,20.81
2008-12-19,23.52,24.14,23.11,23.76,3997000,22.48
2008-12-18,25.25,25.85,22.67,23.11,5992800,21.86
2008-12-17,24.05,26.50,23.23,25.51,8605400,24.13
2008-12-16,22.73,23.49,21.64,22.66,3773100,21.44
2008-12-15,22.54,23.73,21.71,22.06,3312400,20.87
2008-12-12,20.65,22.67,20.65,22.12,2897300,20.93
2008-12-11,21.70,24.14,21.30,22.01,4420900,20.82
2008-12-10,22.26,22.69,20.90,22.00,4151500,20.81
2008-12-09,20.61,23.14,20.31,21.23,3475600,20.09
2008-12-08,19.89,22.06,19.70,21.69,5086900,20.52
2008-12-05,16.96,19.00,16.78,18.70,5538400,17.69
2008-12-04,19.50,19.72,16.95,17.46,5052300,16.52
2008-12-03,19.62,21.38,19.05,20.23,4384900,19.14
2008-12-02,20.24,21.30,20.01,21.03,2817600,19.73
2008-12-01,22.43,22.50,19.86,19.92,3536600,18.69
2008-11-28,23.10,23.63,22.10,23.29,1183600,21.85
2008-11-26,19.94,23.65,19.14,23.33,3252000,21.89
2008-11-25,19.90,20.93,19.00,20.66,3816400,19.38
2008-11-24,18.02,19.66,18.01,19.32,3586400,18.13
2008-11-21,15.79,17.57,15.79,17.55,6006400,16.47
2008-11-20,18.01,18.06,14.30,15.21,6714300,14.27
2008-11-19,21.38,21.38,18.34,18.45,4503800,17.31
2008-11-18,22.64,22.89,20.24,21.31,5626100,19.99
2008-11-17,24.44,24.70,22.65,22.69,3503200,21.29
2008-11-14,26.14,27.42,24.66,25.18,2316600,23.62
2008-11-13,23.18,26.63,22.55,26.54,4151400,24.90
2008-11-12,25.00,25.18,23.01,23.55,2530400,22.09
2008-11-11,26.27,27.24,25.60,25.92,2688700,24.32
2008-11-10,27.80,28.76,26.05,26.90,2932400,25.24
2008-11-07,25.60,26.74,25.22,26.07,2032700,24.46
2008-11-06,27.50,27.54,24.81,25.22,3460100,23.66
2008-11-05,31.15,31.30,28.29,28.39,3955700,26.64
2008-11-04,27.34,33.16,27.34,32.26,3231400,30.27
2008-11-03,28.85,29.80,27.47,28.14,2043500,26.40
2008-10-31,28.13,29.81,27.18,28.98,3040900,27.19
2008-10-30,27.14,28.57,26.48,28.43,3440900,26.67
2008-10-29,23.93,27.88,22.80,25.80,5028300,24.21
2008-10-28,21.85,24.44,19.89,24.17,3737100,22.68
2008-10-27,21.46,22.56,20.01,20.90,3922200,19.61
2008-10-24,19.78,21.94,19.06,21.24,3164900,19.93
2008-10-23,22.70,22.90,20.72,22.21,5789400,20.84
2008-10-22,25.60,25.79,21.01,21.78,6346400,20.43
2008-10-21,27.94,29.14,26.66,26.73,3224900,25.08
2008-10-20,27.62,28.74,25.69,28.71,4789200,26.94
2008-10-17,24.01,29.06,23.11,26.62,6223300,24.98
2008-10-16,27.22,27.48,22.39,24.80,10375900,23.27
2008-10-15,30.61,30.73,25.99,25.99,3818700,24.38
2008-10-14,35.99,36.24,30.95,31.85,3561500,29.88
2008-10-13,30.95,34.32,30.11,34.21,2834700,32.10
2008-10-10,29.72,31.54,25.70,28.88,5336300,27.10
2008-10-09,33.03,34.82,30.51,30.97,3589000,29.06
2008-10-08,31.17,34.60,30.01,32.20,5676800,30.21
2008-10-07,38.25,39.69,33.40,33.71,3730500,31.63
2008-10-06,35.26,37.69,30.47,37.24,4449700,34.94
2008-10-03,39.96,41.45,37.08,37.22,3388700,34.92
2008-10-02,40.86,41.01,37.59,38.71,5090300,36.32
2008-10-01,44.70,44.70,41.17,41.25,2873000,38.70
2008-09-30,41.56,45.14,39.90,45.14,3156800,42.35
2008-09-29,46.07,46.37,35.82,39.93,6376100,37.46
2008-09-26,48.66,49.61,46.50,47.62,2584400,44.68
2008-09-25,50.67,51.33,49.42,50.41,2336100,47.29
2008-09-24,53.06,53.88,50.00,50.62,2441700,47.49
2008-09-23,53.52,54.47,50.51,52.67,2789900,49.42
2008-09-22,54.94,56.07,53.10,53.16,2796700,49.87
2008-09-19,54.65,56.04,51.25,54.78,4150300,51.39
2008-09-18,50.46,51.92,48.04,51.55,3220900,48.36
2008-09-17,51.00,51.75,47.90,48.50,3978000,45.50
2008-09-16,48.02,52.31,46.71,51.61,4089500,48.42
2008-09-15,49.25,51.90,48.05,49.79,3969300,46.71
2008-09-12,51.00,53.12,49.56,52.55,4424700,49.30
2008-09-11,45.64,50.29,45.49,50.15,7326100,47.05
2008-09-10,44.01,46.16,43.94,44.97,5551200,42.19
2008-09-09,45.70,46.26,42.10,43.68,7685100,40.98
2008-09-08,52.85,53.12,46.67,46.86,4993200,43.96
2008-09-05,50.33,52.13,49.36,51.44,5872800,48.26
2008-09-04,53.73,54.43,50.46,50.74,7059400,47.60
2008-09-03,61.00,62.25,51.76,53.05,12859200,49.77
2008-09-02,69.98,70.06,65.61,65.75,3607200,61.52
2008-08-29,72.26,72.93,70.38,71.04,865900,66.47
2008-08-28,70.78,73.33,70.23,72.34,1557300,67.69
2008-08-27,68.44,71.57,68.44,71.26,1425500,66.68
2008-08-26,68.88,68.97,67.77,68.54,1106400,64.13
2008-08-25,69.34,69.70,67.97,68.68,1246300,64.26
2008-08-22,70.85,70.85,68.94,69.50,1489200,65.03
2008-08-21,67.37,71.65,67.35,71.28,2764100,66.70
2008-08-20,68.52,68.52,66.27,66.95,1754800,62.65
2008-08-19,66.79,67.96,65.30,67.01,1585500,62.70
2008-08-18,66.69,67.95,65.14,65.81,1076000,61.58
2008-08-15,66.28,67.34,65.35,66.22,1066300,61.96
2008-08-14,67.85,67.85,65.87,66.97,1708500,62.66
2008-08-13,64.80,67.43,63.79,67.20,2229800,62.88
2008-08-12,65.59,66.46,64.86,65.40,1799000,61.20
2008-08-11,67.66,68.04,65.62,66.02,2304500,61.78
2008-08-08,66.78,67.75,64.52,67.05,1933700,62.74
2008-08-07,66.70,68.11,66.04,67.19,2329200,62.87
2008-08-06,64.05,67.20,63.43,66.77,2049200,62.48
2008-08-05,64.92,65.94,64.04,65.21,3299800,61.02
2008-08-04,71.59,71.68,64.36,64.68,3397600,60.52
2008-08-01,73.23,74.13,71.35,71.74,1916900,67.13
2008-07-31,75.67,76.26,72.22,72.22,2597800,67.58
2008-07-30,72.08,76.68,71.53,76.31,2916900,71.40
2008-07-29,71.67,72.85,70.95,72.01,2104000,67.38
2008-07-28,70.68,71.84,69.63,70.93,2992500,66.37
2008-07-25,67.12,71.14,67.11,71.05,3402900,66.48
2008-07-24,67.90,68.62,65.68,66.44,2701800,62.17
2008-07-23,68.61,69.08,65.83,68.14,3046100,63.76
2008-07-22,72.16,72.29,68.05,68.97,2990800,64.54
2008-07-21,71.10,72.74,70.18,72.21,3482300,67.57
2008-07-18,74.50,74.50,70.32,70.78,3002500,66.23
2008-07-17,75.52,76.74,72.00,73.37,3147500,68.65
2008-07-16,74.68,75.67,72.73,75.47,2282100,70.62
2008-07-15,77.81,77.97,73.35,74.55,3446400,69.76
2008-07-14,74.52,77.65,73.51,77.07,2742700,72.11
2008-07-11,71.99,74.42,70.50,74.00,2683800,69.24
2008-07-10,73.03,74.66,71.55,73.22,2030600,68.51
2008-07-09,72.01,75.45,71.94,72.75,2635300,68.07
2008-07-08,72.14,72.14,69.22,71.16,2544600,66.58
2008-07-07,71.39,73.33,69.93,72.43,3138200,67.77
2008-07-03,69.84,71.38,69.03,70.30,2247000,65.78
2008-07-02,78.23,78.65,71.11,71.35,3519900,66.76
2008-07-01,75.48,77.70,74.33,77.54,2379000,72.55
2008-06-30,76.84,77.36,75.80,75.83,1881300,70.95
2008-06-27,75.34,77.73,75.01,76.76,1843900,71.82
2008-06-26,78.01,79.16,75.10,76.00,2141900,71.11
2008-06-25,80.01,81.94,77.50,78.78,2524200,73.72
2008-06-24,81.67,82.77,80.03,80.17,1882300,75.02
2008-06-23,81.53,83.50,81.27,82.46,1751900,77.16
2008-06-20,82.17,83.32,80.35,81.09,2145600,75.88
2008-06-19,82.26,83.80,81.86,83.05,1812900,77.71
2008-06-18,84.00,84.92,81.72,82.49,2149900,77.19
2008-06-17,85.66,85.68,83.94,84.22,1788200,78.81
2008-06-16,85.34,85.34,84.19,84.90,2052200,79.44
2008-06-13,83.02,85.62,82.53,85.38,2165500,79.89
2008-06-12,84.28,84.28,81.50,82.08,2262700,76.80
2008-06-11,85.09,86.45,82.40,82.41,3077900,77.11
2008-06-10,87.05,87.93,84.60,85.42,1578000,79.93
2008-06-09,88.29,88.38,86.16,88.02,2781900,82.36
2008-06-06,88.27,90.00,87.54,87.54,3342800,81.91
2008-06-05,84.00,88.38,83.63,88.18,2886200,82.51
2008-06-04,83.13,85.04,82.29,83.00,1786700,77.66
