Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,5.64,5.70,5.55,5.55,5793100,5.32
2009-12-30,5.65,5.68,5.60,5.65,3547300,5.42
2009-12-29,5.64,5.73,5.60,5.70,5236400,5.47
2009-12-28,5.78,5.80,5.61,5.64,6163500,5.41
2009-12-24,5.63,5.76,5.63,5.76,3062700,5.52
2009-12-23,5.72,5.75,5.58,5.66,8307000,5.43
2009-12-22,5.68,5.78,5.68,5.71,12499500,5.48
2009-12-21,5.64,5.79,5.55,5.72,18031600,5.49
2009-12-18,5.58,5.61,5.37,5.56,15781400,5.33
2009-12-17,5.71,5.74,5.50,5.52,21514100,5.29
2009-12-16,5.83,5.98,5.71,5.74,12209500,5.51
2009-12-15,6.02,6.09,5.80,5.82,12410500,5.58
2009-12-14,6.07,6.12,6.03,6.10,9659300,5.85
2009-12-11,5.91,6.12,5.80,6.07,13290700,5.82
2009-12-10,5.84,6.02,5.83,5.88,7515800,5.64
2009-12-09,5.86,6.00,5.77,5.95,12494100,5.71
2009-12-08,5.84,5.90,5.75,5.83,14013800,5.59
2009-12-07,5.93,6.12,5.83,5.89,18287900,5.65
2009-12-04,6.01,6.20,5.86,6.16,19158600,5.91
2009-12-03,6.18,6.29,5.85,5.86,17143700,5.62
2009-12-02,5.95,6.13,5.89,6.11,14987700,5.86
2009-12-01,5.93,5.96,5.71,5.95,19314800,5.71
2009-11-30,5.58,5.88,5.58,5.86,20808000,5.62
2009-11-27,5.62,5.78,5.57,5.57,7316900,5.34
2009-11-25,5.95,6.00,5.84,5.88,8147700,5.63
2009-11-24,5.90,5.96,5.77,5.94,8860000,5.69
2009-11-23,5.86,5.99,5.83,5.95,7998200,5.70
2009-11-20,5.77,5.90,5.69,5.73,10922900,5.49
2009-11-19,5.88,5.92,5.67,5.82,15841700,5.57
2009-11-18,5.76,6.01,5.67,5.94,18455200,5.69
2009-11-17,5.60,5.79,5.55,5.75,9612800,5.51
2009-11-16,5.69,5.80,5.54,5.59,13250700,5.35
2009-11-13,5.74,5.82,5.52,5.59,15097400,5.35
2009-11-12,5.74,5.86,5.67,5.72,12679000,5.48
2009-11-11,5.73,5.80,5.68,5.76,11472100,5.52
2009-11-10,5.72,5.82,5.61,5.69,13271100,5.45
2009-11-09,5.84,5.88,5.73,5.84,15132600,5.59
2009-11-06,5.40,5.77,5.39,5.73,21975700,5.49
2009-11-05,5.37,5.57,5.31,5.52,17351600,5.29
2009-11-04,5.70,5.71,5.31,5.32,15672000,5.09
2009-11-03,5.42,5.61,5.35,5.54,18908300,5.30
2009-11-02,5.38,5.64,5.36,5.55,21605100,5.31
2009-10-30,5.61,5.63,5.29,5.39,21510300,5.16
2009-10-29,5.73,5.90,5.59,5.66,32441200,5.42
2009-10-28,5.83,5.88,5.46,5.50,29669000,5.27
