Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,53.96,53.96,53.17,53.20,738200,48.36
2009-12-30,53.95,54.10,53.69,53.99,808000,49.07
2009-12-29,53.97,54.08,53.83,53.98,1068500,49.06
2009-12-28,53.91,53.97,53.72,53.96,641700,49.05
2009-12-24,53.47,54.01,53.35,54.00,1035200,49.08
2009-12-23,53.14,53.50,53.00,53.30,1555800,48.45
2009-12-22,52.34,52.90,52.08,52.84,1067600,48.03
2009-12-21,52.27,52.48,52.11,52.17,1567000,47.42
2009-12-18,52.25,52.50,51.55,52.27,3179500,47.51
2009-12-17,52.75,52.75,52.07,52.14,1563800,47.39
2009-12-16,53.21,53.60,52.65,52.77,1570900,47.96
2009-12-15,53.64,53.65,53.08,53.12,2037800,48.28
2009-12-14,53.87,53.87,53.55,53.57,1527200,48.69
2009-12-11,53.01,53.97,53.01,53.70,2213200,48.81
2009-12-10,52.98,53.15,52.88,52.99,1921300,48.16
2009-12-09,52.65,52.96,52.55,52.80,1904500,47.99
2009-12-08,52.79,52.88,52.07,52.62,2313900,47.83
2009-12-07,53.07,53.17,52.78,52.89,1484600,48.07
2009-12-04,52.94,53.17,52.60,52.96,1331000,48.14
2009-12-03,52.99,53.09,52.58,52.73,2153800,47.93
2009-12-02,52.82,53.38,52.78,53.00,2166100,48.17
2009-12-01,52.70,53.20,52.66,52.97,1727200,48.15
2009-11-30,52.59,52.64,52.15,52.58,2866700,47.79
2009-11-27,52.86,53.13,52.63,52.97,956600,47.81
2009-11-25,54.05,54.05,53.52,53.66,1257100,48.43
2009-11-24,53.79,54.00,53.49,53.91,1616300,48.65
2009-11-23,53.70,54.00,53.47,53.87,1586700,48.62
2009-11-20,53.03,53.47,52.89,53.12,1932300,47.94
2009-11-19,53.18,53.18,52.49,52.98,1074300,47.81
2009-11-18,53.31,53.49,52.90,53.34,1169300,48.14
2009-11-17,53.50,53.57,53.05,53.40,1466500,48.19
2009-11-16,53.45,53.80,53.21,53.39,2370800,48.18
2009-11-13,53.39,53.39,52.93,53.37,1879400,48.17
2009-11-12,52.82,53.04,52.65,52.96,1726600,47.80
2009-11-11,53.12,53.12,52.51,52.74,1344400,47.60
2009-11-10,52.49,53.00,52.49,52.82,1608200,47.67
2009-11-09,52.35,52.70,52.21,52.67,1602200,47.53
2009-11-06,52.10,52.42,51.83,52.20,1929400,47.11
2009-11-05,51.86,52.28,51.65,52.23,2515400,47.14
2009-11-04,51.19,52.00,51.11,51.80,2389400,46.75
2009-11-03,51.58,51.93,50.82,51.11,2070500,46.13
2009-11-02,51.53,52.00,51.53,51.75,2316700,46.70
2009-10-30,51.70,52.58,51.45,51.54,3909700,46.51
2009-10-29,50.51,51.48,50.23,51.38,2985900,46.37
2009-10-28,50.20,50.78,49.87,49.99,2835500,45.12
2009-10-27,50.41,50.85,50.31,50.42,2263900,45.50
2009-10-26,50.30,51.11,50.10,50.45,1933600,45.53
2009-10-23,50.75,50.80,49.83,50.20,1666800,45.31
2009-10-22,50.67,50.87,50.09,50.64,1705600,45.70
2009-10-21,50.74,51.41,50.55,50.66,1532700,45.72
2009-10-20,51.03,51.32,50.56,50.68,1795300,45.74
2009-10-19,50.63,51.19,50.47,51.01,1278800,46.04
2009-10-16,49.89,50.67,49.78,50.48,2621400,45.56
2009-10-15,49.46,50.18,49.37,50.18,1854000,45.29
2009-10-14,49.72,49.76,49.30,49.58,1957300,44.75
2009-10-13,49.65,49.86,49.47,49.58,1719600,44.75
2009-10-12,49.90,49.98,49.47,49.68,1378700,44.84
2009-10-09,49.62,49.95,49.45,49.82,1708600,44.96
2009-10-08,49.50,49.77,49.35,49.74,1866100,44.89
2009-10-07,49.21,49.46,49.12,49.37,1099500,44.56
2009-10-06,49.12,49.69,48.97,49.30,1483500,44.49
2009-10-05,48.69,48.99,48.15,48.96,1274100,44.19
2009-10-02,48.84,48.86,48.45,48.66,1299200,43.92
2009-10-01,49.10,49.11,48.34,48.88,1567000,44.11
2009-09-30,49.49,49.49,48.80,49.23,1796800,44.43
2009-09-29,49.64,49.82,49.27,49.45,1077700,44.63
2009-09-28,49.22,49.76,49.01,49.62,1763100,44.78
2009-09-25,49.13,49.24,48.79,49.09,1397700,44.30
2009-09-24,49.31,49.50,49.12,49.14,2109300,44.35
2009-09-23,49.40,49.90,49.19,49.30,2671200,44.49
2009-09-22,49.00,49.00,48.32,48.51,1437800,43.78
2009-09-21,48.71,48.93,48.36,48.86,1254600,44.10
2009-09-18,48.65,49.10,48.32,48.82,2008200,44.06
2009-09-17,48.73,48.73,48.08,48.51,2012000,43.78
2009-09-16,48.17,48.71,48.06,48.71,1864700,43.96
2009-09-15,48.56,48.56,47.96,48.26,2385700,43.55
2009-09-14,48.15,48.58,48.15,48.52,1400600,43.79
2009-09-11,48.39,48.44,48.07,48.39,1253200,43.67
2009-09-10,48.17,48.27,47.92,48.27,1757100,43.56
2009-09-09,48.06,48.18,47.92,48.03,1236400,43.35
2009-09-08,47.34,48.24,47.25,48.06,1771600,43.37
2009-09-04,46.94,47.22,46.77,47.22,1447800,42.62
2009-09-03,46.81,46.89,46.42,46.89,2012200,42.32
2009-09-02,46.91,46.91,46.56,46.66,2057800,42.11
2009-09-01,46.91,47.32,46.72,46.94,3091200,42.36
2009-08-31,46.26,47.15,46.26,47.09,2028500,42.50
2009-08-28,46.64,46.93,46.29,46.52,1434100,41.98
2009-08-27,47.39,47.39,46.76,46.96,1336900,42.04
2009-08-26,47.05,47.47,47.00,47.21,1593200,42.27
2009-08-25,47.15,47.38,46.93,47.05,1325000,42.12
2009-08-24,47.43,47.43,46.90,47.13,1162900,42.20
2009-08-21,46.98,47.55,46.83,47.35,1489900,42.39
2009-08-20,46.67,46.88,46.51,46.82,1615200,41.92
2009-08-19,45.84,46.75,45.84,46.75,2532600,41.86
2009-08-18,46.05,46.29,45.87,46.09,1664600,41.26
2009-08-17,45.58,46.14,45.58,46.06,3085900,41.24
2009-08-14,46.03,46.25,45.87,46.06,2954600,41.24
2009-08-13,46.50,46.50,45.96,45.96,2522700,41.15
2009-08-12,46.14,46.65,45.92,46.25,2426900,41.41
2009-08-11,46.03,46.41,46.01,46.17,2121100,41.34
2009-08-10,46.20,46.40,46.06,46.09,1646800,41.26
2009-08-07,46.92,46.92,46.16,46.16,1921000,41.33
2009-08-06,46.40,46.96,46.17,46.55,2375300,41.68
2009-08-05,46.51,46.69,46.11,46.28,2758100,41.43
2009-08-04,46.95,47.10,46.43,46.57,2439300,41.69
2009-08-03,47.80,47.80,46.74,46.95,2530400,42.03
2009-07-31,47.33,47.89,47.33,47.50,2849700,42.53
2009-07-30,49.22,49.22,47.51,47.66,5324800,42.67
2009-07-29,47.65,48.18,47.61,48.04,3204300,43.01
2009-07-28,47.58,47.96,47.39,47.82,1855800,42.81
2009-07-27,48.05,48.10,47.44,47.85,1798000,42.84
2009-07-24,48.00,48.19,47.69,47.92,1754600,42.90
2009-07-23,47.75,48.42,47.66,48.13,1723300,43.09
2009-07-22,47.70,47.99,47.32,47.69,1259800,42.70
2009-07-21,47.84,48.12,47.25,47.57,1465400,42.59
2009-07-20,47.32,47.67,47.01,47.58,1828100,42.60
2009-07-17,48.05,48.05,46.93,47.18,2994800,42.24
2009-07-16,47.88,48.28,47.74,47.99,1740100,42.97
2009-07-15,48.13,48.13,47.48,47.94,2456500,42.92
2009-07-14,47.88,48.18,47.66,47.75,2224400,42.75
2009-07-13,47.50,48.07,47.38,47.92,2172400,42.90
2009-07-10,47.10,47.74,46.95,47.24,1917500,42.29
2009-07-09,47.88,47.90,46.97,47.33,2058900,42.37
2009-07-08,47.81,48.08,47.40,47.80,2309000,42.80
2009-07-07,47.76,48.48,47.67,47.73,4033000,42.73
2009-07-06,46.61,47.91,46.58,47.81,2317400,42.80
2009-07-02,47.00,47.21,46.47,46.82,2147900,41.92
2009-07-01,46.91,47.72,46.91,47.55,2505300,42.57
2009-06-30,46.60,46.91,45.85,46.57,2234200,41.69
2009-06-29,46.41,46.78,46.16,46.60,1661800,41.72
2009-06-26,46.29,46.41,45.72,46.23,3643000,41.39
2009-06-25,45.58,46.43,45.25,46.33,2345900,41.48
2009-06-24,45.56,45.93,45.21,45.67,2573500,40.89
2009-06-23,45.13,45.58,44.86,45.30,2703400,40.56
2009-06-22,44.86,45.33,44.74,45.12,1993800,40.40
2009-06-19,45.43,45.69,44.93,45.09,3146800,40.37
2009-06-18,44.38,45.56,44.23,45.21,2607000,40.48
2009-06-17,44.05,44.54,43.80,44.22,2241300,39.59
2009-06-16,43.62,43.70,43.17,43.46,2108200,38.91
2009-06-15,44.23,44.39,43.38,43.45,1676000,38.90
2009-06-12,43.85,44.61,43.50,44.55,1921900,39.89
2009-06-11,43.49,44.47,43.49,43.95,1994400,39.35
2009-06-10,44.21,44.50,43.25,43.48,1769700,38.93
2009-06-09,44.72,44.72,43.92,43.94,1834200,39.34
2009-06-08,44.14,44.79,43.86,44.52,2104000,39.86
2009-06-05,44.45,44.45,43.51,43.78,1669800,39.20
2009-06-04,44.41,44.67,43.92,44.04,2107600,39.43
2009-06-03,44.34,44.82,44.19,44.30,2259600,39.66
2009-06-02,43.85,44.84,43.73,44.58,2522400,39.91
2009-06-01,43.63,44.01,43.39,43.85,1934000,39.26
2009-05-29,43.45,43.50,42.84,43.25,2063300,38.72
2009-05-28,43.14,43.55,42.88,43.31,1976900,38.78
2009-05-27,44.06,44.06,43.06,43.23,2605100,38.40
2009-05-26,43.63,44.11,43.08,43.98,1506300,39.07
2009-05-22,43.44,44.15,43.30,43.68,1538000,38.80
2009-05-21,43.29,43.48,42.99,43.43,1341600,38.58
2009-05-20,43.85,44.32,43.58,43.64,1782600,38.76
2009-05-19,43.84,43.96,43.57,43.76,1547700,38.87
2009-05-18,43.37,43.91,43.05,43.82,1734000,38.92
2009-05-15,43.33,43.60,42.81,43.19,1965800,38.36
2009-05-14,42.60,43.47,42.38,43.41,3097900,38.56
2009-05-13,42.84,43.28,42.40,42.62,2018300,37.86
2009-05-12,42.99,43.43,42.82,43.15,1957400,38.33
2009-05-11,42.46,43.02,42.24,42.92,1801000,38.12
2009-05-08,43.03,43.12,42.50,42.83,1389200,38.04
2009-05-07,43.37,43.50,42.36,42.65,2520800,37.88
2009-05-06,43.72,43.99,42.64,43.00,2266400,38.19
2009-05-05,44.11,44.91,43.09,43.39,3607200,38.54
2009-05-04,43.65,44.48,43.23,44.26,3404800,39.31
2009-05-01,42.18,43.50,42.18,43.40,3428300,38.55
2009-04-30,40.98,43.91,40.29,42.11,5958700,37.40
