Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,12.93,12.94,12.74,12.77,1600700,12.46
2009-12-30,12.79,13.09,12.67,12.91,1987100,12.60
2009-12-29,13.02,13.08,12.65,12.84,2425200,12.53
2009-12-28,13.46,13.49,12.86,12.95,2711800,12.64
2009-12-24,13.26,13.38,13.22,13.36,517400,13.04
2009-12-23,13.44,13.53,13.22,13.27,5678700,12.95
2009-12-22,12.95,13.45,12.85,13.27,6594500,12.95
2009-12-21,12.52,12.90,12.27,12.86,5247400,12.55
2009-12-18,12.33,12.47,12.06,12.45,5114700,12.15
2009-12-17,12.46,12.61,12.20,12.32,3252200,12.02
2009-12-16,12.16,12.74,12.10,12.62,5056400,12.31
2009-12-15,12.11,12.36,11.98,12.05,5415300,11.76
2009-12-14,12.05,12.25,11.75,12.19,3670000,11.89
2009-12-11,11.63,11.89,11.56,11.85,3781700,11.56
2009-12-10,12.04,12.05,11.58,11.63,3525800,11.35
2009-12-09,11.99,12.01,11.70,11.85,3586800,11.56
2009-12-08,11.82,12.05,11.72,11.82,4924000,11.53
2009-12-07,12.46,12.59,11.95,11.99,5486800,11.70
2009-12-04,12.63,12.74,12.09,12.43,4809200,12.13
2009-12-03,12.79,12.79,12.22,12.25,6677000,11.95
2009-12-02,12.99,13.15,12.63,12.79,3588200,12.48
2009-12-01,12.87,13.17,12.81,12.88,4881900,12.57
2009-11-30,12.88,13.03,12.54,12.67,4970500,12.36
2009-11-27,12.70,13.09,12.56,12.86,2139100,12.55
2009-11-25,13.10,13.30,13.02,13.14,3281200,12.82
2009-11-24,13.61,13.73,12.89,13.04,7328900,12.72
2009-11-23,14.00,14.27,13.54,13.65,4567000,13.32
2009-11-20,13.83,13.96,13.49,13.67,4979300,13.34
2009-11-19,14.51,14.51,13.85,14.17,4739200,13.83
2009-11-18,14.26,14.97,14.26,14.62,3297300,14.27
2009-11-17,14.59,14.80,14.34,14.52,4234200,14.17
2009-11-16,14.74,15.00,14.48,14.65,4191600,14.30
2009-11-13,14.57,14.98,14.41,14.47,3394500,14.12
2009-11-12,15.11,15.11,14.46,14.54,3914200,14.19
2009-11-11,14.81,15.32,14.62,15.12,7213400,14.75
2009-11-10,14.61,14.87,14.13,14.30,4625800,13.95
2009-11-09,14.41,14.65,14.19,14.61,4929800,14.26
2009-11-06,13.68,14.35,13.60,14.14,7379800,13.80
2009-11-05,13.69,14.27,13.23,13.51,6539800,13.18
2009-11-04,13.20,14.13,13.19,13.54,8300200,13.21
2009-11-03,12.34,13.13,12.30,13.09,5237000,12.77
2009-11-02,12.77,13.06,12.05,12.59,8534500,12.29
2009-10-30,12.81,12.99,12.50,12.60,8017000,12.29
2009-10-29,13.00,13.24,12.64,12.92,7013300,12.61
2009-10-28,13.38,13.49,12.52,12.63,7841600,12.32
2009-10-27,13.57,13.99,13.40,13.65,5769300,13.32
2009-10-26,14.13,14.60,13.50,13.57,6221300,13.24
2009-10-23,14.80,15.19,13.90,14.13,7140300,13.79
2009-10-22,13.58,14.89,13.40,14.72,7191200,14.36
2009-10-21,14.00,14.33,13.66,13.68,3820200,13.35
2009-10-20,14.38,14.38,13.88,13.98,4339200,13.60
2009-10-19,14.80,14.95,14.34,14.39,3591700,14.00
2009-10-16,14.93,15.05,14.58,14.65,3828200,14.25
2009-10-15,15.04,15.20,14.95,15.08,3764000,14.67
2009-10-14,15.45,15.48,14.91,15.19,6892300,14.78
2009-10-13,14.32,15.25,14.25,15.13,9748900,14.72
2009-10-12,14.50,14.68,14.20,14.34,3648000,13.95
2009-10-09,14.41,14.61,14.05,14.33,5664300,13.94
2009-10-08,13.49,14.68,13.35,14.39,10127000,14.00
2009-10-07,13.69,13.70,13.16,13.18,6323700,12.82
2009-10-06,13.59,14.11,13.54,13.68,6101300,13.31
2009-10-05,13.28,13.60,12.99,13.36,6549100,13.00
2009-10-02,12.95,13.28,12.60,13.03,7311800,12.68
2009-10-01,14.14,14.14,13.20,13.25,9219400,12.89
2009-09-30,14.78,14.88,14.07,14.25,6577100,13.87
2009-09-29,14.92,15.34,14.72,14.77,5233800,14.37
2009-09-28,14.71,14.87,14.45,14.65,4180800,14.25
2009-09-25,14.62,14.99,14.40,14.59,5585100,14.20
2009-09-24,15.75,16.03,14.54,14.82,8656000,14.42
2009-09-23,15.87,16.10,15.51,15.51,5989900,15.09
2009-09-22,16.16,16.41,15.76,15.89,5267100,15.46
2009-09-21,16.11,16.17,15.24,16.02,8759400,15.59
2009-09-18,17.09,17.37,16.54,16.54,8260100,16.09
2009-09-17,17.41,17.66,16.29,16.60,7396700,16.15
2009-09-16,16.45,17.39,16.38,17.38,6701200,16.91
2009-09-15,15.75,16.35,15.70,16.27,6019500,15.83
2009-09-14,15.49,15.67,15.25,15.67,3334300,15.25
2009-09-11,15.91,16.13,15.48,15.71,4650600,15.29
2009-09-10,15.73,15.91,15.25,15.86,4932700,15.43
2009-09-09,15.34,15.80,15.05,15.60,8233700,15.18
2009-09-08,15.38,15.49,14.92,15.40,4691900,14.98
2009-09-04,14.61,15.11,14.41,15.10,4440000,14.69
2009-09-03,14.12,14.54,13.86,14.49,5407200,14.10
2009-09-02,14.25,14.63,13.99,14.05,5768600,13.67
2009-09-01,15.08,15.63,14.40,14.47,7867000,14.08
2009-08-31,15.46,15.46,14.90,15.15,7603900,14.74
2009-08-28,15.45,15.92,15.09,15.73,6675200,15.31
2009-08-27,15.30,15.38,14.60,15.34,8791900,14.93
2009-08-26,15.15,15.77,14.80,15.58,10658500,15.16
2009-08-25,14.82,15.42,14.73,14.97,8054800,14.57
2009-08-24,14.69,15.24,14.50,14.57,7500600,14.18
2009-08-21,14.29,14.65,14.19,14.52,6497800,14.13
2009-08-20,13.58,14.31,13.51,14.07,6841200,13.69
2009-08-19,12.76,13.61,12.70,13.52,6840000,13.15
2009-08-18,12.77,13.25,12.66,13.19,5272800,12.83
2009-08-17,12.86,13.19,12.39,12.83,7865800,12.48
2009-08-14,13.75,13.79,13.18,13.41,6109600,13.05
2009-08-13,13.76,13.98,13.32,13.75,6707900,13.38
2009-08-12,13.47,13.96,13.27,13.52,7942900,13.15
2009-08-11,12.80,13.05,12.40,13.00,7112700,12.65
2009-08-10,13.38,13.38,12.75,12.82,7594600,12.47
2009-08-07,12.85,13.82,12.75,13.43,11278400,13.07
2009-08-06,12.66,12.90,12.34,12.47,6055900,12.13
