Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,75.44,75.44,74.83,74.84,498800,74.84
2009-12-30,75.66,75.78,74.98,75.31,550700,75.31
2009-12-29,76.42,76.49,75.65,75.68,484700,75.68
2009-12-28,76.25,76.29,75.93,76.15,423100,76.15
2009-12-24,76.57,76.74,76.03,76.09,226800,76.09
2009-12-23,76.05,76.55,75.81,76.45,402200,76.45
2009-12-22,75.36,76.08,75.36,75.88,953300,75.88
2009-12-21,75.13,75.86,74.82,75.40,497500,75.40
2009-12-18,74.84,75.12,74.08,74.44,1014400,74.44
2009-12-17,75.64,75.64,74.47,74.85,657300,74.85
2009-12-16,75.71,76.73,74.96,75.79,900700,75.79
2009-12-15,74.75,76.01,74.44,75.92,766000,75.92
2009-12-14,73.96,74.92,73.96,74.75,872800,74.75
2009-12-11,73.72,74.36,73.63,73.81,647600,73.81
2009-12-10,73.55,73.76,73.01,73.50,680500,73.50
2009-12-09,73.55,73.72,72.90,73.06,712200,73.06
2009-12-08,73.43,73.85,72.91,73.43,545400,73.43
2009-12-07,72.87,73.92,72.75,73.55,542500,73.55
2009-12-04,72.91,73.98,72.55,73.05,467100,73.05
2009-12-03,73.72,73.96,72.54,72.62,589900,72.62
2009-12-02,73.82,74.00,73.21,73.60,676900,73.60
2009-12-01,73.54,74.28,72.96,73.80,1008500,73.80
2009-11-30,73.50,73.50,72.62,72.96,714700,72.96
2009-11-27,73.21,73.71,72.58,73.29,359500,73.29
2009-11-25,74.52,74.64,74.08,74.31,394000,74.31
2009-11-24,74.17,74.80,74.04,74.60,421400,74.60
2009-11-23,73.83,74.72,73.83,74.49,419700,74.49
2009-11-20,73.13,73.88,73.13,73.66,565300,73.66
2009-11-19,74.25,74.26,72.80,73.37,627300,73.37
2009-11-18,74.33,74.55,73.75,74.05,410100,74.05
2009-11-17,73.65,74.30,73.47,74.19,793700,74.19
2009-11-16,72.83,74.10,72.83,74.02,798900,74.02
2009-11-13,72.55,73.10,72.30,72.78,583200,72.78
2009-11-12,73.30,73.50,72.44,72.54,493600,72.54
2009-11-11,73.26,73.61,72.64,73.24,566200,73.24
2009-11-10,72.87,73.54,72.87,73.25,728300,73.25
2009-11-09,72.05,73.25,71.67,73.25,944900,73.25
2009-11-06,71.28,71.88,70.98,71.75,936100,71.75
2009-11-05,70.39,71.51,70.26,71.44,880700,71.44
2009-11-04,70.36,71.11,70.17,70.30,834200,70.30
2009-11-03,69.76,70.16,69.39,70.07,829500,70.07
2009-11-02,68.97,70.42,68.97,70.00,1105000,70.00
2009-10-30,69.60,69.90,68.48,68.89,1697900,68.89
2009-10-29,70.06,70.06,69.45,69.82,1571600,69.82
2009-10-28,71.28,71.40,69.81,70.00,1557500,70.00
2009-10-27,70.77,71.81,70.35,71.20,1265200,71.20
2009-10-26,70.71,71.52,70.31,70.60,1248200,70.60
2009-10-23,71.30,71.64,70.49,70.73,902300,70.73
2009-10-22,69.20,71.42,69.11,71.18,2060300,71.18
2009-10-21,70.00,70.56,68.84,68.85,1506400,68.85
