Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,24.86,25.12,24.82,24.88,2591000,24.29
2009-12-30,24.77,25.10,24.66,24.85,2162500,24.26
2009-12-29,25.37,25.78,25.00,25.01,2272100,24.42
2009-12-28,25.22,25.54,25.06,25.32,1868400,24.72
2009-12-24,25.49,25.62,25.01,25.23,1055300,24.63
2009-12-23,24.80,25.46,24.80,25.38,3686900,24.78
2009-12-22,24.05,24.87,23.99,24.80,4331000,24.21
2009-12-21,23.68,23.92,23.37,23.84,3733400,23.28
2009-12-18,23.65,23.75,22.86,23.29,5162300,22.74
2009-12-17,23.50,24.21,23.33,23.52,6905100,22.97
2009-12-16,22.45,23.41,22.30,23.09,4481500,22.55
2009-12-15,22.63,23.05,22.00,22.12,4569800,21.60
2009-12-14,22.45,22.77,22.17,22.73,3774300,22.19
2009-12-11,22.84,22.96,22.28,22.44,3978900,21.91
2009-12-10,22.74,23.09,22.61,22.76,3255000,22.22
2009-12-09,22.62,22.92,21.99,22.64,3479200,22.11
2009-12-08,22.34,22.80,22.29,22.47,3784500,21.94
2009-12-07,22.92,23.30,22.69,22.71,3944700,22.17
2009-12-04,22.81,23.33,22.50,23.08,6091300,22.54
2009-12-03,23.40,23.97,22.30,22.38,5773400,21.85
2009-12-02,22.74,23.44,22.72,23.26,5373800,22.71
2009-12-01,23.29,23.46,22.58,22.79,5286700,22.25
2009-11-30,23.05,23.05,22.42,22.91,4398700,22.37
2009-11-27,22.73,23.31,22.67,22.81,2499500,22.27
2009-11-25,24.19,24.19,23.56,23.82,2216300,23.26
2009-11-24,24.15,24.16,23.41,23.91,2744100,23.35
2009-11-23,24.28,24.59,23.95,24.14,3160100,23.57
2009-11-20,23.49,23.90,23.15,23.53,3521100,22.97
2009-11-19,24.32,24.65,23.60,23.76,4265100,23.20
2009-11-18,24.55,25.19,24.37,24.78,3941700,24.20
2009-11-17,24.45,24.91,24.20,24.69,3618800,24.11
2009-11-16,23.96,24.98,23.96,24.60,4777500,24.02
2009-11-13,23.62,23.94,23.35,23.67,4228000,23.11
2009-11-12,24.58,24.82,23.47,23.49,5185300,22.94
2009-11-11,24.75,25.34,24.64,24.77,4078500,24.19
2009-11-10,24.58,25.15,24.27,24.50,4229400,23.92
2009-11-09,24.30,24.83,23.97,24.81,4309300,24.22
2009-11-06,22.54,23.84,22.41,23.75,4749900,23.19
2009-11-05,23.56,23.65,22.50,22.99,8197000,22.45
2009-11-04,25.18,25.18,23.20,23.30,6922200,22.75
2009-11-03,22.83,24.13,22.60,24.00,4105900,23.43
2009-11-02,24.11,24.88,22.83,23.29,6708700,22.74
2009-10-30,25.14,25.14,23.72,23.83,8142000,23.27
2009-10-29,24.00,25.88,23.65,25.34,12870700,24.74
2009-10-28,23.46,23.56,22.23,22.25,9831300,21.73
2009-10-27,24.20,24.75,23.44,23.56,5993300,23.00
2009-10-26,25.48,26.00,23.81,23.91,6281400,23.35
2009-10-23,26.64,26.65,25.25,25.41,4025400,24.81
2009-10-22,25.28,26.71,25.10,26.52,5078400,25.89
2009-10-21,25.64,26.35,24.99,25.09,4271700,24.50
2009-10-20,26.55,26.98,25.50,25.66,4119700,25.05
