Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,26.19,26.48,25.97,25.98,618300,24.66
2009-12-30,25.85,26.18,25.76,26.13,526000,24.80
2009-12-29,26.02,26.07,25.77,25.90,461000,24.58
2009-12-28,26.38,26.44,25.82,26.07,666600,24.74
2009-12-24,26.16,26.34,26.09,26.30,176900,24.96
2009-12-23,25.71,26.12,25.49,26.06,1197700,24.73
2009-12-22,25.57,25.74,25.30,25.57,633000,24.27
2009-12-21,25.41,25.89,25.41,25.59,926100,24.29
2009-12-18,24.91,25.38,24.69,25.35,2100200,24.06
2009-12-17,24.90,25.23,24.75,24.88,933600,23.61
2009-12-16,25.40,25.84,24.94,25.04,1542200,23.77
2009-12-15,25.63,25.68,25.25,25.36,962600,24.07
2009-12-14,25.24,25.83,25.11,25.77,1657900,24.46
2009-12-11,25.15,25.24,24.96,24.99,890500,23.72
2009-12-10,25.22,25.33,24.87,24.97,1158800,23.70
2009-12-09,24.75,25.36,24.46,25.23,1718500,23.95
2009-12-08,24.99,25.11,24.70,24.75,986700,23.49
2009-12-07,25.41,25.52,25.03,25.15,831300,23.87
2009-12-04,25.31,25.74,25.21,25.45,1225300,24.15
2009-12-03,25.12,25.55,24.86,24.90,766400,23.63
2009-12-02,25.29,25.54,24.89,25.14,1177500,23.86
2009-12-01,25.40,25.61,25.01,25.36,1182800,24.07
2009-11-30,25.16,25.31,24.95,25.17,1002100,23.89
2009-11-27,25.09,25.58,24.50,25.19,354800,23.91
2009-11-25,25.94,25.96,25.54,25.83,1545900,24.52
2009-11-24,26.28,26.36,25.52,25.76,1582400,24.45
2009-11-23,25.55,26.40,25.55,26.36,2123600,25.02
2009-11-20,25.42,25.53,25.10,25.28,1259100,23.99
2009-11-19,26.31,26.37,25.36,25.50,1481600,24.20
2009-11-18,26.39,26.50,26.14,26.49,1024200,25.14
2009-11-17,26.91,26.91,26.12,26.32,2257700,24.98
2009-11-16,26.28,27.09,26.28,27.08,1680100,25.70
2009-11-13,25.87,26.23,25.65,26.12,1535300,24.79
2009-11-12,26.22,26.43,25.82,25.87,1727300,24.55
2009-11-11,25.74,26.30,25.70,26.11,2288300,24.78
2009-11-10,25.33,25.90,25.32,25.70,1728400,24.39
2009-11-09,25.95,26.04,24.80,25.48,4011100,24.18
2009-11-06,26.44,26.85,26.24,26.68,1269800,25.32
2009-11-05,25.91,26.62,25.49,26.57,2431400,25.22
2009-11-04,25.68,26.08,25.59,25.65,2168300,24.34
2009-11-03,25.12,25.69,24.93,25.50,1954500,24.20
2009-11-02,25.58,25.95,25.00,25.40,2080700,24.11
2009-10-30,26.56,26.73,25.42,25.50,2413700,24.20
2009-10-29,25.93,26.63,25.69,26.63,1617300,25.27
2009-10-28,26.99,27.08,25.48,25.76,3623100,24.45
2009-10-27,27.44,27.85,26.78,26.82,2320000,25.45
2009-10-26,27.57,28.12,27.20,27.39,1935000,26.00
2009-10-23,27.86,28.19,27.39,27.50,2622000,26.10
2009-10-22,28.03,28.05,26.81,27.62,5808800,26.21
2009-10-21,26.21,28.81,26.05,27.87,9826600,26.45
2009-10-20,25.15,26.50,24.76,26.16,13220700,24.83
2009-10-19,22.26,22.80,21.88,22.57,3479100,21.42
2009-10-16,22.49,22.73,22.06,22.15,2954400,21.02
2009-10-15,22.64,23.16,22.42,22.59,2337900,21.44
2009-10-14,23.33,23.33,22.51,22.64,3001000,21.49
2009-10-13,22.42,22.84,22.41,22.84,1345900,21.68
2009-10-12,22.68,22.81,22.35,22.57,996000,21.42
2009-10-09,22.34,22.66,22.27,22.60,1065100,21.45
2009-10-08,21.91,22.43,21.91,22.34,2069900,21.20
2009-10-07,21.27,21.86,21.23,21.83,1773300,20.72
2009-10-06,21.25,21.46,21.14,21.42,1871300,20.33
