Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,258.63,258.63,254.80,255.98,989800,254.15
2009-12-30,258.39,258.71,256.80,257.98,415600,256.13
2009-12-29,257.70,259.00,257.06,258.36,610600,256.51
2009-12-28,255.90,257.45,253.00,256.98,709500,255.14
2009-12-24,254.58,256.90,254.50,255.42,275200,253.59
2009-12-23,256.00,257.60,253.83,255.32,819800,253.49
2009-12-22,255.83,258.15,254.99,255.62,846200,253.79
2009-12-21,256.00,256.50,253.71,255.36,922500,253.53
2009-12-18,249.25,255.72,248.86,254.84,2507600,253.01
2009-12-17,245.45,248.90,245.00,247.75,1283400,245.97
2009-12-16,245.41,247.68,245.01,246.40,1384200,244.63
2009-12-15,246.79,249.64,244.72,245.55,1515000,243.79
2009-12-14,247.00,247.76,242.39,247.48,1255500,245.71
2009-12-11,245.83,246.00,243.60,243.94,844900,242.19
2009-12-10,244.69,245.47,241.97,244.12,974900,242.37
2009-12-09,237.85,243.26,237.45,242.94,922300,241.20
2009-12-08,238.00,239.72,236.69,238.61,694000,236.90
2009-12-07,239.50,242.49,237.55,238.94,763200,237.23
2009-12-04,240.00,243.16,235.51,241.33,1431900,239.60
2009-12-03,243.83,244.76,235.41,236.16,1207700,234.47
2009-12-02,242.23,246.89,241.91,242.42,1397900,240.68
2009-12-01,241.95,243.97,240.86,242.99,1380500,241.25
2009-11-30,236.95,240.86,236.08,240.86,1392100,239.13
2009-11-27,234.52,238.40,234.50,235.59,648100,233.90
2009-11-25,238.46,240.58,237.62,239.84,1167700,238.12
2009-11-24,236.85,238.13,234.02,237.65,1048300,235.95
2009-11-23,233.49,236.29,232.79,236.19,1315200,234.50
2009-11-20,229.74,231.74,228.44,231.16,1811900,229.50
2009-11-19,225.77,235.96,222.87,230.09,4395700,228.44
2009-11-18,230.05,231.93,225.91,227.28,2071700,225.65
2009-11-17,229.75,231.45,229.14,231.00,1889400,229.34
2009-11-16,236.43,236.75,228.92,230.80,2659100,229.15
2009-11-13,237.60,238.50,232.64,234.72,1493600,233.04
2009-11-12,237.49,241.65,235.62,236.89,1381400,235.19
2009-11-11,239.03,242.83,236.41,237.90,1728400,236.20
2009-11-10,241.38,241.50,237.46,238.67,1992100,236.96
2009-11-09,238.50,242.93,235.00,242.19,2781800,240.45
2009-11-06,227.76,237.18,227.28,236.90,2483400,235.20
2009-11-05,228.00,230.26,224.54,230.25,1881200,228.60
2009-11-04,220.11,228.79,220.11,224.98,3479500,223.37
2009-11-03,224.98,226.15,209.57,219.20,5784400,217.63
2009-11-02,221.00,225.56,218.51,222.65,2258600,221.05
2009-10-30,225.68,226.40,218.00,219.02,2553400,217.45
2009-10-29,223.48,228.80,222.67,227.92,1753500,226.29
2009-10-28,221.90,228.90,219.53,220.50,3007300,218.92
2009-10-27,221.06,223.19,219.18,220.55,1965300,218.97
2009-10-26,230.65,231.39,220.75,220.75,1832700,219.17
2009-10-23,231.29,232.25,227.37,229.96,1565100,228.31
2009-10-22,226.50,229.48,223.51,229.28,1103400,227.64
2009-10-21,223.34,232.16,223.34,225.67,1461300,224.05
2009-10-20,227.17,227.17,223.07,225.00,845400,223.39
2009-10-19,224.00,226.10,221.87,225.60,932500,223.98
2009-10-16,223.80,225.91,221.80,223.87,1300500,222.27
2009-10-15,217.50,227.23,216.92,225.36,2436800,223.74
2009-10-14,220.99,221.95,216.53,219.48,1860400,217.91
2009-10-13,215.82,218.27,214.14,217.36,1162900,215.80
2009-10-12,218.56,220.00,214.29,216.00,1379700,214.45
2009-10-09,211.00,214.83,210.24,214.42,1385200,212.88
2009-10-08,210.89,215.45,210.00,210.96,2342500,209.45
2009-10-07,201.12,211.50,200.82,210.90,3257100,209.39
2009-10-06,202.94,203.85,199.91,200.75,1878700,199.16
2009-10-05,200.51,201.70,197.85,200.53,2002600,198.94
2009-10-02,197.16,200.00,196.95,199.69,1882400,198.11
2009-10-01,202.07,203.93,199.16,199.41,1807100,197.83
2009-09-30,208.58,208.59,201.10,202.15,2455500,200.55
2009-09-29,209.45,212.87,205.85,206.74,2233600,205.11
2009-09-28,205.37,209.58,204.23,208.14,1945400,206.49
2009-09-25,214.35,214.35,204.06,204.70,4169600,203.08
2009-09-24,219.60,219.74,214.18,214.94,1556700,213.24
2009-09-23,225.82,225.82,219.15,219.39,1409700,217.66
