Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,34.19,34.28,33.51,33.51,626500,31.05
2009-12-30,33.56,34.11,33.52,34.10,1102900,31.60
2009-12-29,33.87,33.92,33.51,33.57,1295400,31.11
2009-12-28,34.33,34.56,33.66,33.84,1010200,31.36
2009-12-24,34.25,34.41,33.98,34.32,443700,31.80
2009-12-23,33.83,34.11,33.56,34.11,1354000,31.61
2009-12-22,34.16,34.27,33.64,33.64,2151900,31.17
2009-12-21,34.19,34.88,33.84,33.99,2380000,31.50
2009-12-18,34.42,34.62,33.93,34.24,2892500,31.73
2009-12-17,34.09,34.79,33.80,34.39,2213900,31.87
2009-12-16,34.72,34.74,34.38,34.47,1915100,31.94
2009-12-15,34.26,34.64,34.25,34.55,3348200,32.02
2009-12-14,35.24,35.24,34.10,34.57,2663300,32.04
2009-12-11,33.79,35.18,33.79,34.82,6355300,32.27
2009-12-10,33.24,33.64,33.14,33.59,3248900,31.13
2009-12-09,32.85,32.99,32.47,32.92,3043800,30.51
2009-12-08,32.07,33.10,32.07,32.73,4644600,30.33
2009-12-07,31.79,32.67,31.79,32.56,2463800,30.17
2009-12-04,30.63,31.96,30.63,31.93,4510000,29.59
2009-12-03,30.41,30.93,30.04,30.06,1396100,27.86
2009-12-02,30.08,30.81,30.08,30.34,1808100,28.12
2009-12-01,30.23,30.53,30.05,30.32,2158900,28.10
2009-11-30,30.38,30.42,29.54,29.96,2916900,27.76
2009-11-27,30.22,30.76,30.09,30.45,970700,28.22
2009-11-25,30.60,31.31,30.60,31.23,2288600,28.94
2009-11-24,30.97,31.00,30.58,30.84,2057500,28.58
2009-11-23,31.27,31.42,30.28,30.94,2205300,28.67
2009-11-20,31.59,31.83,30.76,30.99,3936900,28.51
2009-11-19,31.50,31.81,31.29,31.73,2995000,29.19
2009-11-18,31.75,31.92,31.37,31.91,1855600,29.36
2009-11-17,31.59,31.88,31.59,31.85,2566600,29.30
2009-11-16,31.21,31.90,31.21,31.87,2404800,29.32
2009-11-13,30.88,31.20,30.55,31.06,3790200,28.57
2009-11-12,30.30,30.99,30.19,30.72,3434700,28.26
2009-11-11,30.15,30.35,29.85,30.30,2324300,27.88
2009-11-10,30.24,30.36,29.63,29.79,1803600,27.41
2009-11-09,29.51,30.41,29.44,30.36,1625700,27.93
2009-11-06,29.40,29.50,28.91,29.32,1729800,26.97
2009-11-05,28.95,29.75,28.86,29.46,3108100,27.10
2009-11-04,28.90,29.28,28.59,28.66,1765600,26.37
2009-11-03,28.21,28.86,28.16,28.73,2772200,26.43
2009-11-02,28.86,29.07,28.01,28.52,4587500,26.24
