Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,82.52,82.94,81.75,81.75,1569800,77.72
2009-12-30,81.80,82.80,81.80,82.61,1429100,78.53
2009-12-29,82.71,82.97,82.05,82.32,1729600,78.26
2009-12-28,82.75,83.00,82.32,82.62,1425800,78.54
2009-12-24,82.26,82.78,82.09,82.38,754000,78.32
2009-12-23,81.84,82.49,81.10,81.96,2714400,77.92
2009-12-22,80.94,81.49,80.70,81.35,2450300,77.34
2009-12-21,81.87,81.94,80.44,80.97,4082800,76.98
2009-12-18,81.04,81.45,79.96,80.52,5271200,76.55
2009-12-17,81.28,81.86,80.12,80.74,4392500,76.76
2009-12-16,82.01,82.59,81.65,81.99,4409000,77.95
2009-12-15,82.71,83.66,81.48,81.80,3500000,77.76
2009-12-14,83.02,83.98,82.62,83.10,3579400,79.00
2009-12-11,83.67,84.16,82.51,82.84,3376300,78.75
2009-12-10,83.62,84.24,83.00,83.40,4374800,79.29
2009-12-09,82.23,83.43,81.81,83.38,3564700,79.27
2009-12-08,82.75,83.40,81.93,82.20,4268100,78.14
2009-12-07,83.72,84.68,82.89,83.44,3884400,79.32
2009-12-04,83.50,85.00,82.13,83.44,7507700,79.32
2009-12-03,83.85,83.89,81.11,82.07,6950400,78.02
2009-12-02,82.89,84.32,82.53,83.53,6856300,79.41
2009-12-01,81.19,83.07,81.18,82.51,7191200,78.44
2009-11-30,80.34,80.94,79.50,80.75,5035000,76.77
2009-11-27,79.07,79.86,78.60,79.50,3711400,75.58
2009-11-25,80.50,81.00,80.13,80.87,3618600,76.88
2009-11-24,79.70,80.35,79.18,80.13,4718500,76.18
2009-11-23,80.63,80.85,79.18,79.89,6893000,75.95
2009-11-20,79.05,80.22,78.39,80.08,6413100,76.13
2009-11-19,79.21,79.60,77.77,79.57,6305900,75.64
2009-11-18,78.27,80.33,78.15,79.98,10180400,76.03
2009-11-17,74.94,77.63,74.61,77.33,6788000,73.52
2009-11-16,74.10,75.84,73.82,75.03,5053500,71.33
2009-11-13,74.55,74.72,73.02,73.58,5534400,69.95
2009-11-12,74.70,74.70,73.32,74.35,6515300,70.68
2009-11-11,74.24,76.30,73.31,74.90,11859600,71.20
2009-11-10,69.87,74.78,68.60,73.66,18805100,70.03
2009-11-09,69.91,70.15,69.17,70.00,7382600,66.55
2009-11-06,68.90,70.31,68.77,69.14,4344200,65.73
