Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,36.80,37.07,36.50,36.54,7064000,32.09
2009-12-30,36.88,37.19,36.81,37.06,9387600,32.55
2009-12-29,37.13,37.50,37.07,37.10,7508600,32.59
2009-12-28,36.99,37.38,36.79,37.29,9965300,32.75
2009-12-24,37.14,37.14,36.76,36.99,6285200,32.49
2009-12-23,37.86,37.86,37.14,37.25,12746700,32.72
2009-12-22,37.79,37.98,37.55,37.75,14094800,33.16
2009-12-21,37.48,38.42,37.47,37.69,14787300,33.10
2009-12-18,37.36,37.79,37.20,37.40,25423300,32.85
2009-12-17,37.75,37.85,37.26,37.28,18543400,32.74
2009-12-16,38.02,38.10,37.52,37.75,16675800,33.16
2009-12-15,37.67,38.00,37.27,38.00,12877000,33.38
2009-12-14,37.27,37.80,37.27,37.77,12386700,33.17
2009-12-11,37.38,37.38,36.87,37.07,13743100,32.56
2009-12-10,37.41,37.92,37.39,37.54,14634200,32.64
2009-12-09,36.30,37.23,36.10,37.15,17759100,32.30
2009-12-08,36.65,36.99,36.26,36.35,15540300,31.60
2009-12-07,36.52,37.04,36.48,36.70,9969500,31.91
2009-12-04,37.21,37.50,36.64,36.70,16614900,31.91
2009-12-03,36.71,37.04,36.55,36.77,13014700,31.97
2009-12-02,36.50,37.00,36.45,36.80,12024800,32.00
2009-12-01,36.29,37.23,36.29,36.88,16623600,32.06
2009-11-30,36.16,36.33,35.87,36.21,18365300,31.48
2009-11-27,35.98,36.54,35.62,36.29,8971900,31.55
2009-11-25,36.29,36.67,35.96,36.57,11157800,31.80
2009-11-24,36.28,36.83,35.86,36.22,21241100,31.49
2009-11-23,36.75,36.96,36.19,36.42,22750600,31.67
2009-11-20,35.45,36.67,35.33,36.46,36367100,31.70
2009-11-19,35.09,35.72,34.76,35.33,23990800,30.72
2009-11-18,34.27,35.40,34.08,35.14,28191300,30.55
2009-11-17,33.80,34.30,33.35,34.29,16560100,29.81
2009-11-16,33.98,34.35,33.52,33.81,25097500,29.40
2009-11-13,33.30,33.50,33.00,33.10,14515200,28.78
2009-11-12,33.04,33.47,32.86,32.98,14098800,28.67
2009-11-11,33.73,33.75,33.12,33.22,17477300,28.88
2009-11-10,33.51,33.74,33.33,33.61,15865000,29.22
2009-11-09,32.88,33.49,32.70,33.43,29183300,29.07
2009-11-06,32.61,32.95,32.22,32.59,19844600,28.34
2009-11-05,32.49,33.43,32.49,32.71,22739300,28.44
2009-11-04,31.33,32.85,31.25,32.64,36210200,28.38
2009-11-03,31.09,31.28,30.29,30.67,67921300,26.67
2009-11-02,31.12,31.50,30.96,31.26,21390500,27.18
2009-10-30,31.17,31.78,30.83,30.93,40464100,26.89
2009-10-29,32.03,32.03,30.90,31.31,40933700,27.22
2009-10-28,32.59,32.70,32.00,32.05,15078500,27.87
2009-10-27,32.59,32.90,32.17,32.43,18769600,28.20
2009-10-26,32.50,33.04,31.87,32.02,18345500,27.84
2009-10-23,32.76,32.95,32.18,32.43,17126100,28.20
2009-10-22,32.39,32.91,31.26,32.87,24284900,28.58
