Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,4.52,4.60,4.49,4.54,2764900,30.87
2009-12-30,4.57,4.57,4.49,4.53,3236600,30.83
2009-12-29,4.59,4.62,4.50,4.56,2555400,31.03
2009-12-28,4.68,4.73,4.49,4.59,4808500,31.19
2009-12-24,4.69,4.74,4.65,4.67,2184000,31.74
2009-12-23,4.76,4.79,4.63,4.64,5298200,31.54
2009-12-22,4.90,4.92,4.69,4.74,5606200,32.22
2009-12-21,5.03,5.05,4.87,4.91,4195400,33.37
2009-12-18,4.80,5.07,4.78,4.99,10496300,33.93
2009-12-17,4.79,4.85,4.74,4.75,2754800,32.26
2009-12-16,4.89,4.92,4.84,4.84,2121500,32.90
2009-12-15,4.83,4.94,4.80,4.86,4007900,33.02
2009-12-14,4.94,4.96,4.81,4.86,6792800,33.02
2009-12-11,4.94,5.01,4.94,5.00,3083800,34.01
2009-12-10,4.98,5.01,4.91,4.95,2988800,33.65
2009-12-09,5.04,5.04,4.87,4.97,3555800,33.77
2009-12-08,4.85,5.07,4.82,5.04,7932400,34.29
2009-12-07,4.76,4.83,4.75,4.76,2455300,32.34
2009-12-04,4.77,4.82,4.70,4.79,4301000,32.54
2009-12-03,4.80,4.86,4.70,4.70,4296700,31.94
2009-12-02,4.81,4.89,4.75,4.82,3882400,32.78
2009-12-01,4.72,4.86,4.70,4.81,5641400,32.70
2009-11-30,4.74,4.76,4.60,4.69,5567700,31.86
2009-11-27,4.70,4.86,4.65,4.80,2365000,32.62
2009-11-25,4.80,4.88,4.79,4.84,2222200,32.94
2009-11-24,4.88,4.90,4.76,4.79,3195900,32.58
2009-11-23,4.91,5.01,4.84,4.86,4351300,33.02
2009-11-20,4.91,4.93,4.82,4.84,3248000,32.94
2009-11-19,5.00,5.02,4.81,4.96,4125500,33.73
2009-11-18,5.21,5.21,5.04,5.07,4564000,34.49
2009-11-17,5.06,5.23,5.06,5.18,8155300,35.20
2009-11-16,5.20,5.20,5.06,5.09,4982500,34.61
2009-11-13,5.11,5.17,5.09,5.14,2829800,34.93
2009-11-12,5.11,5.14,5.05,5.10,4517000,34.69
2009-11-11,5.21,5.22,4.93,5.13,12522800,34.89
2009-11-10,5.34,5.35,5.10,5.18,6791500,35.20
2009-11-09,5.27,5.30,5.16,5.25,5887700,35.72
2009-11-06,5.42,5.48,5.17,5.20,9645200,35.36
2009-11-05,5.32,5.48,5.31,5.45,7633000,37.03
2009-11-04,5.35,5.35,5.25,5.27,5675700,35.80
2009-11-03,5.25,5.36,5.21,5.31,8339600,36.12
2009-11-02,5.25,5.28,5.17,5.28,10093800,35.92
2009-10-30,5.20,5.23,4.97,5.01,9323700,34.09
2009-10-29,5.03,5.25,4.95,5.11,12091500,34.77
2009-10-28,4.69,4.83,4.58,4.66,7875800,31.66
2009-10-27,4.70,4.81,4.55,4.62,6642700,31.43
2009-10-26,4.82,4.91,4.69,4.70,4182100,31.98
2009-10-23,4.92,4.92,4.79,4.82,3551000,32.78
2009-10-22,4.87,4.91,4.80,4.87,3114900,33.14
2009-10-21,4.83,4.93,4.78,4.80,4123400,32.62
2009-10-20,4.98,4.98,4.83,4.87,4019500,33.10
2009-10-19,4.66,5.00,4.65,4.96,6317700,33.69
2009-10-16,4.76,4.76,4.51,4.59,4890400,31.23
2009-10-15,4.87,4.88,4.62,4.76,6796700,32.34
2009-10-14,4.94,4.95,4.76,4.92,3594700,33.45
2009-10-13,4.85,4.88,4.79,4.82,2417800,32.74
2009-10-12,4.90,4.96,4.84,4.87,2479000,33.10
2009-10-09,4.88,5.01,4.82,4.96,3311000,33.73
2009-10-08,5.09,5.10,4.87,4.90,3124200,33.33
2009-10-07,4.99,5.14,4.96,5.04,5434300,34.25
2009-10-06,4.80,5.04,4.78,4.97,4989700,33.77
2009-10-05,4.59,4.83,4.55,4.80,5637100,32.66
2009-10-02,4.77,4.88,4.65,4.67,4784700,31.78
2009-10-01,4.98,5.06,4.89,4.90,5715000,33.29
2009-09-30,4.93,5.08,4.78,5.03,7819800,34.17
2009-09-29,4.87,5.00,4.85,4.92,5345500,33.45
2009-09-28,4.79,4.96,4.75,4.90,2863400,33.29
2009-09-25,4.79,4.84,4.68,4.75,4936200,32.26
2009-09-24,4.98,5.00,4.80,4.87,3595500,33.14
2009-09-23,5.16,5.16,4.95,4.97,2922800,33.77
2009-09-22,5.25,5.26,5.07,5.10,2565500,34.69
2009-09-21,5.19,5.22,5.08,5.18,2714300,35.20
2009-09-18,5.25,5.27,5.05,5.24,4968800,35.64
2009-09-17,5.37,5.38,5.18,5.21,6185400,35.44
2009-09-16,5.46,5.53,5.31,5.36,6789800,36.44
2009-09-15,5.21,5.40,5.21,5.38,6410800,36.60
2009-09-14,5.18,5.28,5.06,5.14,7842600,34.97
2009-09-11,4.80,5.10,4.78,5.08,8670900,34.53
2009-09-10,4.61,4.77,4.51,4.66,5420400,31.70
2009-09-09,4.72,4.73,4.58,4.59,4006700,31.23
2009-09-08,4.62,4.69,4.53,4.62,4695900,31.43
2009-09-04,4.35,4.65,4.35,4.52,4920600,30.75
2009-09-03,4.49,4.57,4.41,4.51,7016900,30.63
2009-09-02,4.15,4.58,4.10,4.58,9515500,31.11
2009-09-01,4.31,4.36,4.10,4.11,5798700,27.92
2009-08-31,4.15,4.23,4.10,4.20,3466100,28.56
2009-08-28,4.33,4.39,4.18,4.22,3917800,28.68
2009-08-27,4.35,4.38,4.27,4.29,3304600,29.20
2009-08-26,4.41,4.43,4.35,4.38,2566900,29.75
2009-08-25,4.36,4.45,4.36,4.41,2017300,29.95
2009-08-24,4.41,4.46,4.34,4.38,3095000,29.75
2009-08-21,4.40,4.45,4.32,4.43,3296900,30.15
2009-08-20,4.22,4.33,4.22,4.31,2992500,29.32
2009-08-19,4.13,4.29,4.13,4.27,4484600,29.00
2009-08-18,4.15,4.27,4.13,4.22,2736900,28.68
2009-08-17,4.10,4.17,4.10,4.13,2761100,28.08
2009-08-14,4.25,4.27,4.10,4.25,2632800,28.88
2009-08-13,4.17,4.31,4.13,4.26,2739500,28.96
2009-08-12,4.08,4.18,4.08,4.14,1811200,28.12
2009-08-11,4.18,4.22,4.10,4.11,1926700,27.96
2009-08-10,4.10,4.26,4.10,4.20,2502700,28.52
2009-08-07,4.21,4.27,4.14,4.17,3115000,28.36
2009-08-06,4.22,4.22,4.14,4.16,1764400,28.28
2009-08-05,4.24,4.28,4.12,4.17,3449000,28.36
2009-08-04,4.22,4.35,4.19,4.24,3463500,28.80
2009-08-03,4.24,4.27,4.14,4.24,3391200,28.84
2009-07-31,4.27,4.27,4.13,4.19,5806300,28.48
2009-07-30,4.19,4.49,4.08,4.21,8928500,28.60
2009-07-29,3.95,3.96,3.74,3.84,5274100,26.13
2009-07-28,3.87,4.01,3.86,3.99,2829800,27.13
2009-07-27,3.81,3.96,3.81,3.94,2103900,26.81
2009-07-24,3.86,3.87,3.78,3.85,1816600,26.17
2009-07-23,3.72,3.91,3.72,3.86,2698500,26.21
2009-07-22,3.66,3.80,3.66,3.74,1650700,25.46
2009-07-21,3.73,3.74,3.63,3.71,1652900,25.22
2009-07-20,3.69,3.74,3.65,3.71,1654200,25.22
2009-07-17,3.65,3.69,3.59,3.69,2377000,25.06
2009-07-16,3.66,3.76,3.59,3.70,3467900,25.18
2009-07-15,3.68,3.87,3.65,3.87,3099600,26.29
2009-07-14,3.55,3.64,3.51,3.61,2169300,24.54
2009-07-13,3.52,3.55,3.46,3.53,3071000,24.03
2009-07-10,3.52,3.59,3.50,3.54,1749900,24.07
2009-07-09,3.61,3.62,3.53,3.55,2071600,24.15
2009-07-08,3.59,3.63,3.50,3.56,3075800,24.23
2009-07-07,3.59,3.73,3.57,3.60,4533200,24.46
2009-07-06,3.59,3.65,3.54,3.59,2756800,24.38
2009-07-02,3.73,3.77,3.61,3.62,2959900,24.62
2009-07-01,3.89,3.98,3.77,3.78,3119000,25.70
2009-06-30,4.01,4.07,3.82,3.88,3905800,26.37
2009-06-29,3.93,3.93,3.78,3.87,3463900,26.29
2009-06-26,3.80,3.90,3.73,3.87,5034900,26.33
2009-06-25,3.67,3.81,3.63,3.79,8750800,25.74
2009-06-24,3.72,3.73,3.65,3.70,9082000,25.18
2009-06-23,3.66,3.68,3.59,3.67,4932600,24.94
2009-06-22,3.55,3.61,3.46,3.53,3538000,23.99
2009-06-19,3.73,3.76,3.56,3.57,3396700,24.30
2009-06-18,3.66,3.69,3.60,3.67,3711900,24.98
2009-06-17,3.65,3.73,3.56,3.66,4313800,24.90
2009-06-16,3.77,3.86,3.67,3.67,2267200,24.94
2009-06-15,3.86,3.89,3.77,3.79,2133500,25.78
2009-06-12,3.94,3.98,3.83,3.94,2008500,26.77
2009-06-11,3.79,4.06,3.79,4.02,2986100,27.33
2009-06-10,3.95,3.98,3.75,3.84,2025700,26.13
2009-06-09,3.81,4.03,3.77,3.93,2832400,26.69
2009-06-08,3.59,3.81,3.56,3.77,2509500,25.62
2009-06-05,3.73,3.77,3.61,3.65,1809300,24.82
2009-06-04,3.64,3.76,3.62,3.73,2027900,25.38
2009-06-03,3.77,3.77,3.55,3.63,2051500,24.66
2009-06-02,3.72,3.80,3.63,3.75,3048300,25.50
2009-06-01,3.60,3.74,3.57,3.70,2474800,25.18
2009-05-29,3.59,3.59,3.49,3.55,2293100,24.11
2009-05-28,3.57,3.59,3.45,3.52,3482900,23.91
2009-05-27,3.53,3.60,3.45,3.46,1999000,23.55
2009-05-26,3.48,3.52,3.35,3.50,1896800,23.83
2009-05-22,3.47,3.55,3.42,3.45,1891700,23.47
2009-05-21,3.50,3.56,3.39,3.45,2442500,23.43
2009-05-20,3.69,3.71,3.55,3.56,2696100,24.23
2009-05-19,3.65,3.69,3.52,3.65,2742200,24.82
2009-05-18,3.48,3.62,3.48,3.60,3398500,24.46
2009-05-15,3.39,3.52,3.36,3.46,2725500,23.51
2009-05-14,3.32,3.41,3.28,3.38,2157200,22.99
2009-05-13,3.51,3.54,3.28,3.31,3966500,22.51
2009-05-12,3.74,3.74,3.47,3.55,3523500,24.15
2009-05-11,3.67,3.74,3.60,3.67,2478900,24.94
2009-05-08,3.63,3.80,3.55,3.80,3208300,25.86
2009-05-07,3.72,3.79,3.57,3.64,4787900,24.74
2009-05-06,3.42,3.72,3.42,3.69,5317300,25.10
2009-05-05,3.27,3.45,3.27,3.43,2432300,23.35
2009-05-04,3.26,3.36,3.22,3.34,3285800,22.71
2009-05-01,3.22,3.25,3.00,3.24,4348000,22.04
2009-04-30,3.48,3.51,3.16,3.24,5182800,22.00
2009-04-29,3.36,3.52,3.36,3.49,2729000,23.71
2009-04-28,3.31,3.45,3.22,3.40,2517900,23.11
2009-04-27,3.35,3.40,3.28,3.34,2575200,22.71
2009-04-24,3.25,3.48,3.17,3.40,4016100,23.11
2009-04-23,3.30,3.30,3.08,3.22,3135600,21.92
2009-04-22,3.28,3.41,3.16,3.31,3471800,22.51
2009-04-21,3.03,3.29,3.01,3.26,3753000,22.16
2009-04-20,3.19,3.22,3.02,3.07,3797900,20.84
2009-04-17,3.02,3.30,2.95,3.25,5728800,22.12
2009-04-16,2.90,3.02,2.83,2.98,2971600,20.29
2009-04-15,2.69,2.93,2.69,2.85,3046700,19.37
2009-04-14,2.79,2.80,2.69,2.74,2476600,18.62
2009-04-13,2.75,2.84,2.73,2.81,1915600,19.13
2009-04-09,2.72,2.87,2.70,2.87,2315700,19.49
2009-04-08,2.64,2.71,2.62,2.66,1944500,18.06
2009-04-07,2.60,2.70,2.57,2.66,1882200,18.06
2009-04-06,2.61,2.75,2.49,2.74,2635200,18.66
2009-04-03,2.62,2.68,2.42,2.67,3909200,18.14
2009-04-02,2.56,2.73,2.56,2.71,2777100,18.42
2009-04-01,2.40,2.55,2.38,2.53,2095100,17.22
2009-03-31,2.52,2.53,2.43,2.47,2773800,16.83
2009-03-30,2.49,2.52,2.40,2.46,2476800,16.71
2009-03-27,2.62,2.64,2.46,2.56,2830900,17.38
2009-03-26,2.49,2.66,2.47,2.66,2751000,18.10
2009-03-25,2.50,2.53,2.38,2.46,2297600,16.71
2009-03-24,2.46,2.55,2.40,2.47,2377800,16.83
2009-03-23,2.38,2.52,2.35,2.52,2196000,17.14
2009-03-20,2.40,2.42,2.28,2.32,2987200,15.75
2009-03-19,2.41,2.46,2.34,2.38,2040500,16.19
2009-03-18,2.21,2.45,2.20,2.43,2927900,16.51
2009-03-17,2.14,2.28,2.11,2.28,2393300,15.47
2009-03-16,2.22,2.29,2.14,2.14,2308600,14.52
2009-03-13,2.24,2.25,2.07,2.19,3679600,14.92
2009-03-12,2.04,2.18,2.02,2.16,3822400,14.72
2009-03-11,2.11,2.12,2.02,2.04,4032900,13.88
2009-03-10,1.88,1.98,1.84,1.98,2919700,13.49
2009-03-09,1.79,1.90,1.77,1.83,2300100,12.41
2009-03-06,1.88,1.90,1.74,1.81,2820300,12.33
2009-03-05,2.00,2.00,1.83,1.85,3325500,12.61
2009-03-04,1.97,2.06,1.95,2.02,2808200,13.72
2009-03-03,2.01,2.09,1.92,1.93,3821200,13.13
2009-03-02,2.01,2.12,1.98,1.98,3406700,13.45
2009-02-27,2.07,2.11,1.99,2.06,2678100,14.00
2009-02-26,2.20,2.25,2.09,2.12,2173800,14.40
2009-02-25,2.24,2.26,2.12,2.17,2923600,14.76
2009-02-24,2.15,2.30,2.01,2.26,3401600,15.35
2009-02-23,2.15,2.25,2.11,2.12,2902100,14.44
2009-02-20,2.08,2.15,2.05,2.11,2780700,14.36
2009-02-19,2.17,2.24,2.07,2.12,3966700,14.44
2009-02-18,2.19,2.21,2.08,2.12,2770400,14.44
2009-02-17,2.16,2.22,2.12,2.16,3365700,14.72
2009-02-13,2.25,2.34,2.22,2.26,2670100,15.39
2009-02-12,2.28,2.28,2.14,2.27,2860000,15.43
2009-02-11,2.31,2.33,2.25,2.28,3767800,15.51
2009-02-10,2.45,2.45,2.26,2.28,5133000,15.51
2009-02-09,2.36,2.46,2.34,2.43,4439300,16.51
2009-02-06,2.19,2.31,2.14,2.27,4427800,15.43
2009-02-05,2.15,2.23,2.01,2.15,6673700,14.64
2009-02-04,2.34,2.34,2.17,2.19,5930000,14.92
2009-02-03,2.41,2.47,2.26,2.36,6192000,16.07
2009-02-02,2.55,2.71,2.53,2.66,2762300,18.06
2009-01-30,2.74,2.75,2.58,2.59,2284200,17.62
2009-01-29,2.84,2.86,2.67,2.73,1616600,18.54
2009-01-28,2.80,2.90,2.76,2.88,1933100,19.61
2009-01-27,2.62,2.79,2.60,2.76,1957100,18.74
2009-01-26,2.69,2.76,2.57,2.64,1732000,17.94
2009-01-23,2.54,2.72,2.47,2.69,2341100,18.30
2009-01-22,2.53,2.64,2.48,2.59,2207800,17.62
2009-01-21,2.57,2.64,2.46,2.64,2716300,17.94
2009-01-20,2.81,2.84,2.50,2.52,3915100,17.14
2009-01-16,2.63,2.78,2.56,2.66,3457600,18.06
2009-01-15,2.46,2.61,2.36,2.59,5202400,17.62
2009-01-14,2.46,2.49,2.36,2.40,2838500,16.35
2009-01-13,2.64,2.65,2.52,2.53,2661000,17.18
2009-01-12,2.62,2.67,2.58,2.63,2473000,17.90
2009-01-09,2.64,2.71,2.55,2.61,1709300,17.74
2009-01-08,2.53,2.66,2.53,2.65,1916600,18.02
2009-01-07,2.66,2.69,2.57,2.59,2770400,17.62
2009-01-06,2.70,2.78,2.62,2.71,3287400,18.46
2009-01-05,2.70,2.73,2.57,2.62,2820600,17.82
2009-01-02,2.60,2.77,2.55,2.73,2119200,18.58
2008-12-31,2.38,2.62,2.38,2.59,3339500,17.62
2008-12-30,2.37,2.45,2.33,2.43,2883600,16.55
2008-12-29,2.36,2.38,2.29,2.37,1685100,16.11
2008-12-26,2.32,2.38,2.30,2.37,995500,16.11
2008-12-24,2.36,2.40,2.31,2.31,860600,15.67
2008-12-23,2.47,2.47,2.33,2.36,2156600,16.03
2008-12-22,2.60,2.60,2.39,2.40,3104800,16.35
2008-12-19,2.47,2.63,2.47,2.60,3315600,17.70
2008-12-18,2.55,2.61,2.46,2.47,2180200,16.83
2008-12-17,2.47,2.64,2.42,2.58,4940000,17.54
2008-12-16,2.46,2.58,2.45,2.58,3546400,17.54
2008-12-15,2.45,2.52,2.39,2.44,2448800,16.59
2008-12-12,2.28,2.47,2.25,2.45,2959800,16.67
2008-12-11,2.43,2.53,2.37,2.40,2735100,16.31
2008-12-10,2.41,2.50,2.41,2.47,1814800,16.45
2008-12-09,2.47,2.55,2.42,2.43,2140600,16.17
2008-12-08,2.52,2.62,2.41,2.57,3167500,17.15
2008-12-05,2.42,2.57,2.37,2.55,3260600,16.99
2008-12-04,2.49,2.62,2.44,2.53,3485200,16.84
2008-12-03,2.38,2.57,2.36,2.56,3869800,17.03
2008-12-02,2.62,2.63,2.38,2.50,3292000,16.64
2008-12-01,2.48,2.56,2.35,2.40,4134900,16.02
2008-11-28,2.42,2.59,2.39,2.52,1819600,16.80
2008-11-26,2.32,2.47,2.19,2.43,3563000,16.17
2008-11-25,2.14,2.39,2.07,2.33,6197700,15.55
2008-11-24,1.95,2.11,1.92,2.08,6195600,13.84
2008-11-21,1.99,1.99,1.76,1.92,7038500,12.78
2008-11-20,1.98,2.12,1.84,1.84,4558000,12.28
2008-11-19,2.21,2.31,2.01,2.01,4675700,13.41
2008-11-18,2.35,2.36,2.15,2.28,4115800,15.20
2008-11-17,2.35,2.39,2.27,2.33,3435400,15.51
2008-11-14,2.59,2.62,2.38,2.39,4031300,15.90
2008-11-13,2.28,2.68,2.28,2.68,4524800,17.85
2008-11-12,2.49,2.57,2.28,2.31,3895600,15.39
2008-11-11,2.59,2.62,2.47,2.54,2615200,16.91
2008-11-10,2.90,2.90,2.59,2.63,2726300,17.54
2008-11-07,2.68,2.80,2.61,2.80,4062500,18.67
2008-11-06,2.78,2.82,2.63,2.64,4447600,17.62
2008-11-05,3.00,3.07,2.78,2.81,8153600,18.71
2008-11-04,3.07,3.07,2.98,3.07,2851700,20.42
2008-11-03,3.12,3.13,2.90,2.95,3154100,19.64
2008-10-31,2.99,3.24,2.96,3.14,3348700,20.93
2008-10-30,3.28,3.36,2.92,3.02,4907900,20.15
2008-10-29,3.34,3.41,3.16,3.19,4435900,21.28
2008-10-28,3.14,3.42,2.97,3.42,3751700,22.76
2008-10-27,2.87,3.19,2.72,2.95,3817300,19.68
2008-10-24,2.71,3.01,2.67,2.93,3427000,19.53
2008-10-23,2.93,3.07,2.78,2.98,4363500,19.84
2008-10-22,3.25,3.28,2.87,2.95,3600900,19.64
2008-10-21,3.49,3.55,3.31,3.32,2619800,22.14
2008-10-20,3.34,3.60,3.31,3.55,3119400,23.66
2008-10-17,3.21,3.48,3.11,3.29,3848200,21.90
2008-10-16,3.18,3.29,2.91,3.28,5487100,21.86
2008-10-15,3.16,3.21,3.02,3.04,4801100,20.23
2008-10-14,3.53,3.53,3.15,3.21,5175300,21.40
2008-10-13,3.10,3.28,2.93,3.26,4718900,21.71
2008-10-10,2.49,2.91,2.34,2.74,7364200,18.24
2008-10-09,3.16,3.19,2.67,2.67,5456300,17.77
2008-10-08,3.15,3.43,3.04,3.05,5436500,20.34
2008-10-07,3.70,3.73,3.29,3.31,4302600,22.02
2008-10-06,3.79,3.82,3.41,3.59,6005500,23.93
2008-10-03,4.08,4.22,3.92,3.93,3134300,26.19
2008-10-02,4.27,4.27,3.94,3.97,3982600,26.42
2008-10-01,4.15,4.36,4.07,4.35,2790600,29.00
2008-09-30,4.05,4.19,4.01,4.18,3250700,27.83
2008-09-29,4.35,4.40,3.88,3.91,4946300,26.03
2008-09-26,4.39,4.48,4.24,4.46,3484100,29.74
2008-09-25,4.44,4.67,4.41,4.60,2880700,30.67
2008-09-24,4.32,4.48,4.28,4.39,2845600,29.23
2008-09-23,4.44,4.73,4.29,4.32,3952500,28.76
2008-09-22,4.39,4.54,4.33,4.43,4156500,29.54
2008-09-19,4.56,4.57,4.20,4.41,5684700,29.35
2008-09-18,4.08,4.16,3.81,4.15,4430100,27.67
2008-09-17,4.24,4.24,3.99,3.99,4487000,26.58
2008-09-16,4.44,4.48,4.18,4.24,5054300,28.22
2008-09-15,4.71,4.73,4.48,4.48,2788600,29.81
2008-09-12,4.65,4.89,4.65,4.76,3042000,31.69
2008-09-11,4.81,4.83,4.59,4.74,5232700,31.57
