Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,47.92,48.19,47.26,47.31,3026500,44.86
2009-12-30,47.37,47.83,47.06,47.59,3405100,45.13
2009-12-29,47.94,48.16,47.32,47.76,4149000,45.29
2009-12-28,48.22,48.43,47.02,47.81,4610300,45.33
2009-12-24,48.41,48.71,47.87,47.98,2099400,45.50
2009-12-23,47.10,48.50,46.83,48.04,6834000,45.55
2009-12-22,47.00,47.45,46.34,46.75,9596600,44.33
2009-12-21,48.66,48.66,46.60,46.98,10587700,44.55
2009-12-18,47.77,48.66,47.53,48.26,14602700,45.76
2009-12-17,49.84,50.17,47.50,47.63,15988600,45.16
2009-12-16,50.95,51.62,50.37,50.71,5985400,48.08
2009-12-15,51.13,51.98,50.39,50.59,5902200,47.97
2009-12-14,51.55,52.12,51.25,51.57,5767400,48.90
2009-12-11,51.60,52.23,50.79,51.18,7973100,48.53
2009-12-10,51.90,52.38,51.17,51.69,7389400,49.01
2009-12-09,50.63,51.82,50.56,51.74,9282600,49.06
2009-12-08,51.05,51.40,50.04,50.33,8272400,47.72
2009-12-07,51.00,52.90,50.61,51.83,9528600,49.15
2009-12-04,53.18,53.26,50.65,52.05,16680500,49.35
2009-12-03,55.20,55.82,54.27,54.58,8852000,51.66
2009-12-02,56.02,56.41,55.34,55.83,10496000,52.84
2009-12-01,54.90,56.45,54.84,55.66,10244200,52.68
2009-11-30,53.00,54.06,52.80,53.64,6409400,50.77
2009-11-27,52.35,54.15,52.18,53.35,5970100,50.49
2009-11-25,53.94,54.94,53.74,54.90,8111200,51.96
2009-11-24,53.54,53.56,52.66,53.35,7877600,50.49
2009-11-23,53.82,54.87,53.17,53.34,9617900,50.49
2009-11-20,52.01,52.60,51.55,52.26,6994100,49.46
2009-11-19,52.01,52.79,51.09,52.66,7612700,49.84
2009-11-18,53.30,53.81,52.26,52.70,9697000,49.88
2009-11-17,51.69,52.82,51.43,52.82,6679200,49.99
2009-11-16,51.99,53.00,51.64,52.39,8988200,49.59
2009-11-13,49.76,51.58,49.70,50.99,8744600,48.26
2009-11-12,50.81,51.15,49.42,49.64,9969500,46.98
2009-11-11,51.61,51.97,51.00,51.24,10316200,48.50
2009-11-10,50.35,50.99,49.56,50.46,8253900,47.76
2009-11-09,50.07,51.30,50.01,50.56,11733700,47.85
2009-11-06,47.41,49.56,47.35,49.04,11746700,46.42
2009-11-05,47.49,47.70,46.79,47.25,7235100,44.72
2009-11-04,46.67,48.05,46.65,47.37,14633600,44.83
2009-11-03,43.12,46.62,43.09,46.48,14008700,43.99
2009-11-02,44.15,44.89,42.51,43.57,11030400,41.24
2009-10-30,42.61,43.90,42.03,43.46,11243900,41.13
2009-10-29,42.98,43.60,41.91,43.00,13358000,40.70
