Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,57.05,57.10,55.79,55.85,861300,45.90
2009-12-30,56.54,57.17,56.50,56.83,785800,46.70
2009-12-29,57.00,57.31,56.76,56.84,1046400,46.71
2009-12-28,55.96,56.83,55.96,56.83,1435800,46.70
2009-12-24,55.93,56.29,55.93,56.04,233100,46.05
2009-12-23,56.12,56.32,55.71,55.87,1215100,45.91
2009-12-22,56.52,56.79,56.00,56.11,1121600,46.11
2009-12-21,55.99,56.64,55.99,56.21,1263300,46.19
2009-12-18,55.85,56.09,55.36,55.72,3158200,45.79
2009-12-17,55.48,55.71,55.19,55.41,2100000,45.53
2009-12-16,55.89,56.17,55.51,55.63,1827500,45.72
2009-12-15,56.63,56.63,55.63,55.81,1668200,45.86
2009-12-14,55.49,56.98,55.49,56.63,2348100,46.54
2009-12-11,55.07,55.57,55.01,55.16,1895800,45.33
2009-12-10,54.53,55.04,54.51,54.79,1742000,45.02
2009-12-09,54.91,55.25,53.90,54.40,2142000,44.70
2009-12-08,55.71,55.92,54.79,55.01,2321800,45.21
2009-12-07,55.76,56.38,55.76,56.10,1550900,46.10
2009-12-04,55.60,56.68,55.22,55.89,4205100,45.93
2009-12-03,55.50,55.93,54.88,54.91,2028700,45.12
2009-12-02,54.97,56.00,54.97,55.27,2059500,45.42
2009-12-01,54.91,55.53,54.91,55.26,3106800,45.41
2009-11-30,55.10,55.10,54.38,54.80,1994000,45.03
2009-11-27,54.91,55.27,54.09,55.00,848400,45.20
2009-11-25,55.97,56.04,55.56,55.90,1210500,45.94
2009-11-24,55.94,56.11,55.42,55.95,1295000,45.62
2009-11-23,55.28,56.13,55.28,56.05,1245400,45.71
2009-11-20,54.49,55.08,54.30,55.00,1759700,44.85
2009-11-19,55.58,55.63,54.18,54.50,2146600,44.44
2009-11-18,56.02,56.18,55.21,55.52,1931100,45.27
2009-11-17,55.92,56.17,55.66,56.03,1363100,45.69
2009-11-16,55.50,56.46,55.29,56.01,2750000,45.67
2009-11-13,54.69,55.50,54.36,55.27,2265700,45.07
2009-11-12,54.82,54.93,54.36,54.61,2083900,44.53
2009-11-11,54.23,54.93,54.12,54.82,2420900,44.70
2009-11-10,53.69,54.10,53.58,53.96,2471500,44.00
2009-11-09,53.56,54.14,53.22,53.93,2858700,43.98
2009-11-06,51.69,52.42,50.84,52.37,2510500,42.71
2009-11-05,50.80,51.78,50.74,51.75,3311500,42.20
2009-11-04,50.31,51.17,50.05,50.48,2743000,41.16
2009-11-03,50.57,50.57,49.63,50.12,3157300,40.87
2009-11-02,50.25,50.83,50.01,50.55,2394500,41.22
2009-10-30,50.31,51.10,50.07,50.13,3129100,40.88
2009-10-29,50.39,50.66,49.90,50.58,2777100,41.25
2009-10-28,50.86,51.18,50.36,50.39,3095600,41.09
2009-10-27,50.82,51.19,50.56,50.90,3831500,41.51
2009-10-26,49.85,51.15,49.72,50.64,4079900,41.29
2009-10-23,50.17,50.25,49.36,49.66,2497200,40.50
2009-10-22,49.43,50.08,49.34,49.99,2187400,40.76
2009-10-21,51.61,51.69,49.51,49.59,4326000,40.44
2009-10-20,50.96,50.96,49.45,49.79,4145300,40.60
2009-10-19,51.03,51.56,50.64,51.19,2585500,41.74
2009-10-16,50.53,50.99,50.22,50.80,3049200,41.43
2009-10-15,51.12,51.30,50.67,51.05,2554300,41.63
2009-10-14,51.12,51.40,50.74,51.15,2533600,41.71
2009-10-13,50.92,51.13,50.59,50.88,1889500,41.49
2009-10-12,51.40,51.59,50.87,51.08,1063400,41.65
2009-10-09,50.25,51.25,50.25,51.25,1473300,41.79
2009-10-08,50.86,51.37,50.49,50.57,3466300,41.24
2009-10-07,50.84,51.00,50.23,50.43,2055600,41.12
2009-10-06,50.60,50.96,50.47,50.92,1916800,41.52
2009-10-05,50.44,50.73,49.96,50.47,2298400,41.16
2009-10-02,50.37,51.21,49.97,50.18,3374500,40.92
2009-10-01,51.48,51.67,49.99,50.08,3353200,40.84
2009-09-30,52.95,52.95,51.44,51.75,2163200,42.20
2009-09-29,51.79,53.16,51.79,52.75,2813000,43.02
2009-09-28,51.02,51.99,51.02,51.80,1608700,42.24
2009-09-25,50.84,51.35,50.66,51.00,1227500,41.59
2009-09-24,51.57,51.60,50.98,51.03,2014000,41.61
2009-09-23,51.50,52.24,51.31,51.55,2585200,42.04
2009-09-22,51.45,51.53,50.89,51.31,2088500,41.84
2009-09-21,51.37,51.80,51.12,51.28,2167200,41.82
2009-09-18,50.72,51.98,50.53,51.82,4078000,42.26
2009-09-17,49.75,50.94,49.34,50.62,4351700,41.28
2009-09-16,49.74,49.95,48.85,49.85,2301500,40.65
2009-09-15,49.00,49.66,48.72,49.51,1764400,40.37
2009-09-14,48.84,49.37,48.62,49.28,2223600,40.19
2009-09-11,48.98,49.17,48.60,49.00,1788700,39.96
2009-09-10,48.42,48.81,48.15,48.78,1711800,39.78
2009-09-09,48.58,49.12,48.46,48.61,2309000,39.64
2009-09-08,48.92,48.98,48.45,48.69,2446300,39.70
2009-09-04,47.81,48.69,47.70,48.69,2436200,39.70
2009-09-03,48.00,48.36,47.47,47.94,1853300,39.09
2009-09-02,48.64,48.69,47.55,47.91,2269300,39.07
2009-09-01,48.74,49.41,48.26,48.81,3089900,39.80
2009-08-31,48.46,49.04,48.25,48.81,1923300,39.80
2009-08-28,49.66,49.66,48.58,48.86,1369900,39.84
2009-08-27,49.52,49.84,48.78,49.33,2114000,40.23
2009-08-26,49.47,49.57,48.57,48.90,2722300,39.53
2009-08-25,49.92,49.97,49.30,49.36,2132300,39.90
2009-08-24,50.01,50.10,49.06,49.56,2457200,40.06
2009-08-21,48.32,50.00,47.80,49.96,3169500,40.38
2009-08-20,48.05,48.23,47.43,47.70,2332900,38.56
2009-08-19,46.95,47.98,46.95,47.88,3072500,38.70
2009-08-18,46.80,47.46,46.52,47.29,2423900,38.22
2009-08-17,46.97,46.99,46.16,46.76,2395400,37.80
2009-08-14,47.84,48.30,46.83,47.37,2155100,38.29
2009-08-13,48.07,48.21,47.44,47.93,2430300,38.74
2009-08-12,46.40,48.38,46.32,48.03,2509600,38.82
2009-08-11,47.19,47.77,46.58,46.63,2422100,37.69
2009-08-10,48.08,48.08,47.18,47.59,2024600,38.47
2009-08-07,47.14,48.57,46.82,48.16,2654100,38.93
2009-08-06,46.79,47.74,46.59,46.99,2167400,37.98
2009-08-05,46.66,46.85,46.05,46.69,2854400,37.74
2009-08-04,46.04,46.90,45.82,46.76,2898500,37.80
2009-08-03,45.00,46.17,44.50,46.09,3277200,37.25
2009-07-31,45.48,45.98,44.53,44.58,2795400,36.03
2009-07-30,45.44,46.09,45.17,45.44,2349200,36.73
2009-07-29,43.54,45.03,43.54,44.96,2898000,36.34
2009-07-28,43.15,44.00,42.91,43.84,2886100,35.44
2009-07-27,43.57,43.89,42.51,43.41,2807700,35.09
2009-07-24,44.72,45.30,43.59,43.89,4586500,35.48
2009-07-23,46.49,46.50,45.19,46.26,3349300,37.39
2009-07-22,46.43,47.78,46.25,47.13,2428400,38.09
2009-07-21,47.93,47.93,46.48,47.11,2008600,38.08
2009-07-20,46.97,47.64,46.75,47.59,1441300,38.47
2009-07-17,46.94,47.16,46.43,46.94,1778400,37.94
2009-07-16,45.98,47.35,45.97,47.10,1996300,38.07
2009-07-15,45.52,46.23,45.22,46.02,2290000,37.20
2009-07-14,44.26,45.38,44.12,45.22,2620100,36.55
2009-07-13,43.29,44.31,42.98,44.26,2361800,35.77
2009-07-10,43.06,43.54,42.89,43.27,1976300,34.97
2009-07-09,43.80,43.80,43.10,43.36,1631300,35.05
2009-07-08,43.29,43.81,43.19,43.61,3759600,35.25
2009-07-07,44.64,45.07,43.22,43.23,2497400,34.94
2009-07-06,44.13,44.92,44.00,44.82,2361200,36.23
2009-07-02,45.53,45.64,44.44,44.44,2343200,35.92
2009-07-01,45.61,46.34,45.61,46.09,2472000,37.25
2009-06-30,46.45,46.49,45.52,45.68,3148100,36.92
2009-06-29,46.01,46.74,46.01,46.64,2143600,37.70
2009-06-26,46.16,46.56,45.85,45.96,2466300,37.15
2009-06-25,45.16,46.68,44.90,46.38,2697200,37.49
2009-06-24,45.42,45.88,44.79,44.89,4720200,36.28
2009-06-23,46.84,46.84,45.14,45.26,3187100,36.58
2009-06-22,46.86,47.02,46.44,46.64,1885900,37.70
2009-06-19,47.78,47.78,46.98,47.11,2518000,38.08
2009-06-18,47.25,47.60,46.77,47.37,1710100,38.29
2009-06-17,46.71,47.43,46.49,47.11,1852200,38.08
2009-06-16,47.79,48.13,46.78,46.85,1906800,37.87
2009-06-15,48.17,48.37,47.23,47.74,2290400,38.59
2009-06-12,47.85,49.02,47.80,48.72,1990000,39.38
