Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,53.19,53.30,52.38,52.42,1164900,48.58
2009-12-30,53.20,53.50,53.08,53.24,993800,49.34
2009-12-29,53.77,53.99,53.29,53.30,1021500,49.40
2009-12-28,54.25,54.43,53.27,53.59,799700,49.67
2009-12-24,53.76,54.55,53.76,54.24,594400,50.27
2009-12-23,53.01,53.94,52.85,53.82,1194800,49.88
2009-12-22,53.40,53.58,52.79,53.01,1757600,49.13
2009-12-21,52.25,53.27,52.24,53.08,1597000,49.20
2009-12-18,52.42,52.51,51.79,52.04,2264200,48.23
2009-12-17,52.32,52.57,51.97,52.06,1675700,48.25
2009-12-16,52.91,53.12,52.69,52.86,1638300,48.99
2009-12-15,53.14,53.14,52.51,52.78,1641600,48.92
2009-12-14,52.33,53.18,52.33,53.08,1782000,49.20
2009-12-11,52.29,52.54,52.02,52.22,1707200,48.40
2009-12-10,51.73,52.40,51.51,52.24,1863500,48.42
2009-12-09,51.51,51.51,50.65,51.27,1658700,47.52
2009-12-08,52.04,52.06,51.01,51.30,2673200,47.55
2009-12-07,52.70,52.94,52.26,52.33,2041800,48.50
2009-12-04,52.00,52.99,52.00,52.84,2456900,48.97
2009-12-03,52.20,52.29,51.37,51.48,1818100,47.71
2009-12-02,52.45,52.52,51.90,52.22,1324600,48.40
2009-12-01,51.66,52.66,51.66,52.35,1736000,48.52
2009-11-30,51.31,51.64,50.76,51.40,2232700,47.64
2009-11-27,50.92,51.54,50.30,51.19,1466800,47.44
2009-11-25,51.51,51.91,51.35,51.84,1891700,48.05
2009-11-24,51.92,52.02,51.26,51.49,2616500,47.72
2009-11-23,51.84,52.40,51.83,52.02,2504200,48.21
2009-11-20,50.58,51.55,50.57,51.40,3444700,47.64
2009-11-19,51.18,51.25,50.41,50.92,2959700,47.19
2009-11-18,51.70,51.92,51.09,51.62,2800800,47.84
2009-11-17,51.38,51.71,51.05,51.68,5201700,47.90
2009-11-16,51.93,52.00,51.42,51.66,6332600,47.88
2009-11-13,51.65,51.83,51.27,51.67,4383500,47.89
2009-11-12,52.39,52.84,51.09,51.26,5457100,47.51
2009-11-11,51.83,52.52,51.65,51.96,3645600,48.16
2009-11-10,51.63,52.38,51.51,51.80,3096800,48.01
2009-11-09,52.57,52.66,51.63,51.95,7035700,48.15
2009-11-06,50.93,52.44,50.56,52.07,5548200,48.26
2009-11-05,50.26,51.10,49.90,51.00,3842100,47.27
2009-11-04,49.44,50.38,49.19,49.86,8373100,46.21
2009-11-03,49.67,50.00,47.55,49.15,12993300,45.24
2009-11-02,46.67,47.82,45.94,46.63,3464400,42.92
2009-10-30,46.84,47.37,46.25,46.62,4982300,42.91
2009-10-29,46.61,47.62,46.25,47.13,3622300,43.38
2009-10-28,47.35,49.75,46.19,46.25,9205000,42.57
2009-10-27,46.89,47.51,46.01,46.05,6077900,42.38
2009-10-26,46.91,47.90,46.53,46.93,4079300,43.19
2009-10-23,48.12,48.12,46.01,46.88,6028500,43.15
2009-10-22,48.32,48.86,47.61,48.65,4003500,44.78
2009-10-21,49.35,50.10,48.56,48.62,3088800,44.75
2009-10-20,49.80,49.81,48.89,49.52,3027000,45.58
2009-10-19,49.30,50.20,48.84,49.68,3750400,45.73
2009-10-16,48.14,49.39,47.84,49.15,4132100,45.24
2009-10-15,48.15,48.69,47.80,48.63,4476800,44.76
2009-10-14,46.35,48.35,46.35,48.28,6619900,44.44
2009-10-13,45.94,45.94,45.20,45.68,3425300,42.04
2009-10-12,46.34,46.89,45.40,45.95,2418100,42.29
2009-10-09,45.83,46.26,45.41,46.16,2463900,42.49
2009-10-08,45.04,46.00,44.72,45.84,4700200,42.19
2009-10-07,44.45,44.90,44.01,44.41,2489900,40.88
2009-10-06,44.29,44.94,44.01,44.36,3581400,40.83
