Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,26.40,26.42,25.79,25.79,774600,23.24
2009-12-30,26.22,26.37,26.14,26.32,517000,23.72
2009-12-29,26.39,26.43,26.25,26.33,662000,23.72
2009-12-28,26.33,26.38,26.16,26.28,414300,23.68
2009-12-24,26.02,26.23,26.02,26.23,208700,23.63
2009-12-23,26.12,26.17,25.82,25.94,882900,23.37
2009-12-22,26.20,26.38,25.93,25.97,1160900,23.40
2009-12-21,26.17,26.48,26.13,26.20,1918700,23.61
2009-12-18,25.88,26.28,25.71,26.07,2329900,23.49
2009-12-17,25.66,26.02,25.66,25.82,1738600,23.26
2009-12-16,25.93,26.00,25.65,25.83,1447200,23.27
2009-12-15,25.72,25.84,25.65,25.83,1162100,23.27
2009-12-14,25.62,25.90,25.53,25.80,1342900,23.25
2009-12-11,24.90,25.61,24.85,25.50,2124900,22.98
2009-12-10,24.71,24.90,24.62,24.79,2333000,22.34
2009-12-09,24.75,24.79,24.48,24.60,1875500,22.17
2009-12-08,24.66,24.87,24.43,24.74,993000,22.29
2009-12-07,24.59,24.91,24.59,24.70,1301400,22.26
2009-12-04,24.78,24.85,24.27,24.60,2103400,22.17
2009-12-03,24.58,24.81,24.52,24.54,791300,22.11
2009-12-02,24.25,24.60,24.16,24.57,1514000,22.14
2009-12-01,24.27,24.41,24.21,24.35,1353800,21.94
2009-11-30,24.04,24.16,23.92,24.11,1788400,21.72
2009-11-27,24.01,24.17,23.82,24.00,527600,21.62
2009-11-25,24.30,24.60,24.21,24.49,1304800,21.85
2009-11-24,24.21,24.38,24.01,24.38,2009600,21.75
2009-11-23,24.16,24.51,23.95,24.25,1327900,21.64
2009-11-20,23.61,23.97,23.61,23.95,1183700,21.37
2009-11-19,23.88,23.98,23.55,23.63,1643900,21.08
2009-11-18,23.97,24.05,23.82,23.97,902300,21.39
2009-11-17,23.84,24.10,23.71,23.98,1307600,21.40
2009-11-16,23.74,23.91,23.64,23.91,2102100,21.33
2009-11-13,23.40,23.73,23.31,23.71,1979800,21.16
2009-11-12,23.58,23.62,23.34,23.40,2697300,20.88
2009-11-11,23.69,23.74,23.45,23.64,2022100,21.09
2009-11-10,23.21,23.69,23.20,23.56,1436400,21.02
2009-11-09,23.22,23.32,23.10,23.27,1321700,20.76
2009-11-06,23.24,23.26,22.99,23.10,899300,20.61
2009-11-05,22.89,23.18,22.85,23.17,1087400,20.67
2009-11-04,22.74,23.06,22.56,22.75,2266400,20.30
2009-11-03,22.44,22.76,22.31,22.73,2998300,20.28
2009-11-02,22.43,22.98,22.20,22.54,3067600,20.11
2009-10-30,23.08,23.26,22.89,23.05,3067100,20.57
2009-10-29,22.90,23.30,22.75,23.20,2023700,20.70
2009-10-28,22.92,23.23,22.82,22.86,1794300,20.40
2009-10-27,22.91,23.17,22.80,22.89,1228800,20.42
2009-10-26,23.12,23.39,22.64,22.82,1354300,20.36
2009-10-23,23.53,23.65,23.02,23.08,1450100,20.59
2009-10-22,23.45,23.56,23.22,23.54,1088200,21.00
2009-10-21,23.44,23.71,23.37,23.43,1324100,20.91
2009-10-20,23.93,23.93,23.34,23.38,1455300,20.86
2009-10-19,23.61,24.01,23.45,23.94,1086200,21.36
2009-10-16,23.50,23.71,23.21,23.62,1587800,21.08
2009-10-15,23.42,23.67,23.23,23.65,1093700,21.10
2009-10-14,23.51,23.58,23.26,23.42,939500,20.90
2009-10-13,23.48,23.50,23.20,23.28,1169800,20.77
2009-10-12,23.51,23.66,23.39,23.52,1522100,20.99
2009-10-09,23.46,23.58,23.45,23.50,1259100,20.97
2009-10-08,23.28,23.43,23.24,23.43,1201700,20.91
2009-10-07,23.24,23.26,23.05,23.19,1005700,20.69
2009-10-06,23.29,23.40,23.12,23.31,1708400,20.80
2009-10-05,23.06,23.26,22.76,23.26,4149100,20.75
2009-10-02,23.26,23.38,22.99,23.06,1956200,20.58
2009-10-01,23.62,23.89,23.35,23.35,1610900,20.83
2009-09-30,24.03,24.09,23.66,23.74,1881000,21.18
2009-09-29,23.97,24.07,23.80,24.00,1334100,21.41
2009-09-28,23.85,24.14,23.84,24.02,670000,21.43
2009-09-25,23.75,24.03,23.66,23.83,1025800,21.26
2009-09-24,23.84,23.89,23.65,23.79,1348800,21.23
2009-09-23,24.03,24.11,23.65,23.78,1262100,21.22
2009-09-22,24.51,24.51,23.77,23.93,1490300,21.35
2009-09-21,24.42,24.47,24.17,24.29,862300,21.67
2009-09-18,24.68,24.68,24.32,24.47,1926800,21.83
2009-09-17,24.72,24.78,24.48,24.51,874200,21.87
2009-09-16,24.48,24.75,24.22,24.72,1080800,22.06
2009-09-15,23.97,24.52,23.88,24.48,1662600,21.84
2009-09-14,23.63,24.02,23.61,24.01,761500,21.42
2009-09-11,23.68,23.75,23.41,23.68,1463100,21.13
2009-09-10,23.69,23.72,23.43,23.48,1032200,20.95
2009-09-09,23.77,23.83,23.61,23.69,591000,21.14
2009-09-08,23.77,23.82,23.62,23.71,572100,21.16
2009-09-04,23.64,23.83,23.56,23.72,483500,21.16
2009-09-03,23.69,23.83,23.48,23.66,856800,21.11
2009-09-02,23.79,23.91,23.51,23.64,736000,21.09
2009-09-01,23.88,24.05,23.55,23.79,1645900,21.23
2009-08-31,23.94,24.05,23.74,23.79,913600,21.23
2009-08-28,24.29,24.32,23.79,24.03,1086100,21.44
2009-08-27,24.27,24.41,24.08,24.31,1295200,21.48
2009-08-26,24.33,24.43,24.11,24.32,918800,21.49
2009-08-25,24.31,24.53,24.24,24.37,839600,21.53
2009-08-24,24.34,24.43,24.18,24.39,769800,21.55
2009-08-21,23.83,24.31,23.65,24.31,1586800,21.48
2009-08-20,23.57,23.75,23.54,23.73,722500,20.97
2009-08-19,23.45,23.75,23.42,23.75,957700,20.98
2009-08-18,23.58,23.72,23.49,23.55,1153600,20.81
2009-08-17,23.62,23.64,23.31,23.63,1165300,20.88
2009-08-14,23.65,23.73,23.39,23.72,1399300,20.96
2009-08-13,23.63,23.64,23.34,23.55,1285700,20.81
2009-08-12,23.28,23.73,23.14,23.58,754000,20.83
2009-08-11,23.40,23.42,23.13,23.34,674200,20.62
2009-08-10,23.29,23.42,23.12,23.32,911700,20.60
2009-08-07,23.05,23.51,22.86,23.38,1281700,20.66
2009-08-06,23.34,23.34,22.89,22.92,1828200,20.25
2009-08-05,22.76,23.73,22.76,23.14,2298300,20.45
2009-08-04,23.25,23.34,22.92,23.01,847600,20.33
2009-08-03,23.19,23.31,22.93,23.29,1952500,20.58
2009-07-31,23.09,23.26,22.91,23.01,1984900,20.33
2009-07-30,22.66,23.25,22.56,23.14,1878000,20.45
2009-07-29,22.71,22.92,22.35,22.66,989200,20.02
2009-07-28,22.93,22.97,22.57,22.79,659700,20.14
2009-07-27,23.06,23.12,22.73,23.00,724700,20.32
2009-07-24,22.88,23.02,22.72,23.00,950600,20.32
2009-07-23,22.13,22.92,22.13,22.86,894400,20.20
2009-07-22,22.17,22.50,22.17,22.28,817400,19.69
2009-07-21,22.25,22.38,21.94,22.29,1221400,19.69
2009-07-20,22.13,22.16,21.80,22.07,1102100,19.50
2009-07-17,22.05,22.29,21.78,22.09,1887600,19.52
2009-07-16,22.05,22.28,21.88,22.21,1518700,19.62
2009-07-15,21.72,22.08,21.63,22.07,1343100,19.50
2009-07-14,21.58,21.61,21.32,21.54,1341900,19.03
2009-07-13,21.52,21.60,21.11,21.55,1177800,19.04
2009-07-10,21.47,21.48,21.13,21.38,1698200,18.89
2009-07-09,21.85,22.00,21.35,21.51,2709800,19.00
2009-07-08,22.28,22.33,21.58,21.75,1467800,19.22
2009-07-07,22.34,22.58,21.95,22.06,1204800,19.49
2009-07-06,22.19,22.75,22.11,22.50,1241600,19.88
2009-07-02,22.70,22.72,22.08,22.34,1051100,19.74
2009-07-01,22.41,23.00,22.41,22.98,1513600,20.30
2009-06-30,22.39,22.58,22.14,22.31,1286600,19.71
2009-06-29,22.16,22.41,21.94,22.40,797300,19.79
2009-06-26,22.14,22.19,21.75,22.12,1305800,19.54
2009-06-25,21.80,22.35,21.50,22.15,1542000,19.57
2009-06-24,21.70,22.06,21.60,21.75,1238900,19.22
2009-06-23,22.04,22.06,21.52,21.56,2424200,19.05
2009-06-22,21.85,22.50,21.63,22.11,2326800,19.54
2009-06-19,22.39,22.48,21.94,21.97,2076200,19.41
2009-06-18,21.65,22.41,21.65,22.37,1400200,19.76
2009-06-17,21.65,22.05,21.52,21.66,1386800,19.14
2009-06-16,22.10,22.10,21.54,21.71,1142100,19.18
2009-06-15,21.94,22.13,21.65,21.94,1743200,19.38
2009-06-12,21.65,22.19,21.36,22.12,1615900,19.54
2009-06-11,21.33,21.91,21.16,21.61,1095200,19.09
2009-06-10,21.07,21.32,20.85,21.16,1292200,18.70
2009-06-09,21.14,21.27,20.80,20.88,1320500,18.45
2009-06-08,21.31,21.31,20.87,21.12,1329500,18.66
2009-06-05,21.32,21.46,20.92,21.23,1403000,18.76
2009-06-04,21.09,21.20,20.93,21.04,790000,18.59
2009-06-03,21.48,21.55,20.91,21.07,948500,18.62
2009-06-02,21.71,21.83,21.41,21.43,1066100,18.93
2009-06-01,20.90,21.74,20.79,21.67,2601900,19.15
2009-05-29,20.88,21.09,20.47,20.79,2548200,18.37
2009-05-28,20.43,20.77,20.43,20.65,2012300,18.25
2009-05-27,20.76,20.80,20.47,20.60,2034400,17.99
