Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,13.85,13.98,13.67,13.69,9170100,13.30
2009-12-30,13.77,13.93,13.72,13.91,8676700,13.51
2009-12-29,13.68,14.00,13.60,13.97,8941200,13.57
2009-12-28,13.70,13.77,13.57,13.66,6226700,13.27
2009-12-24,13.54,13.70,13.46,13.65,3098800,13.26
2009-12-23,13.58,13.58,13.29,13.51,10084900,13.12
2009-12-22,13.56,13.72,13.47,13.61,9616400,13.22
2009-12-21,13.35,13.93,13.32,13.69,18245900,13.30
2009-12-18,13.31,13.42,13.11,13.35,28662700,12.97
2009-12-17,13.30,13.30,13.11,13.22,22149100,12.84
2009-12-16,13.04,13.40,13.00,13.35,20421300,12.97
2009-12-15,13.17,13.25,13.01,13.04,24584600,12.67
2009-12-14,12.85,12.97,12.78,12.86,7883400,12.49
2009-12-11,12.63,12.91,12.55,12.76,10976000,12.40
2009-12-10,12.29,12.63,12.21,12.52,13092700,12.16
2009-12-09,12.25,12.37,12.10,12.27,12277800,11.92
2009-12-08,12.24,12.38,11.98,12.32,21509800,11.97
2009-12-07,11.98,12.47,11.97,12.26,28982200,11.91
2009-12-04,11.86,12.17,11.76,12.03,21608100,11.69
2009-12-03,11.83,12.00,11.68,11.70,14807700,11.37
2009-12-02,11.79,11.91,11.68,11.81,8995300,11.47
2009-12-01,11.71,11.88,11.60,11.80,13655000,11.46
2009-11-30,11.55,11.55,11.11,11.46,17090300,11.13
2009-11-27,11.44,11.70,11.19,11.54,12500000,11.21
2009-11-25,11.90,12.05,11.85,12.01,10025800,11.67
2009-11-24,12.04,12.04,11.84,11.92,12569300,11.58
2009-11-23,12.08,12.38,11.94,12.01,15803400,11.67
2009-11-20,12.13,12.31,11.89,11.98,12250600,11.64
2009-11-19,12.45,12.60,12.17,12.44,10565600,12.08
2009-11-18,12.48,12.63,12.35,12.55,12044700,12.19
2009-11-17,12.62,12.71,12.55,12.70,10261800,12.34
2009-11-16,12.66,12.93,12.62,12.82,14684900,12.45
2009-11-13,12.48,12.67,12.35,12.61,11243000,12.25
2009-11-12,12.52,12.59,12.25,12.33,10131200,11.98
2009-11-11,12.65,12.74,12.41,12.53,9741700,12.17
2009-11-10,12.41,12.55,12.33,12.48,10187500,12.12
2009-11-09,12.17,12.37,12.13,12.37,12963900,12.02
2009-11-06,11.94,12.08,11.69,12.06,11226100,11.72
2009-11-05,12.10,12.14,11.77,11.94,17281100,11.60
2009-11-04,11.50,11.86,11.37,11.56,16729600,11.23
2009-11-03,11.56,11.60,11.25,11.44,20004800,11.11
2009-11-02,11.52,11.70,11.22,11.52,20985500,11.19
2009-10-30,12.12,12.12,11.39,11.52,17696700,11.19
2009-10-29,11.56,12.09,11.53,12.01,15614300,11.67
