Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,25.57,25.72,25.27,25.30,1686200,22.24
2009-12-30,25.63,25.68,25.41,25.60,1059100,22.51
2009-12-29,25.83,25.97,25.67,25.69,1263500,22.59
2009-12-28,25.92,26.09,25.71,25.81,1353500,22.69
2009-12-24,25.84,25.99,25.68,25.99,600800,22.85
2009-12-23,25.50,25.95,25.39,25.87,1911100,22.74
2009-12-22,25.18,25.59,25.18,25.58,1762800,22.49
2009-12-21,25.50,25.50,25.15,25.29,2140300,22.23
2009-12-18,25.27,25.46,24.95,25.44,3764600,22.37
2009-12-17,25.52,25.74,25.33,25.40,1905900,22.33
2009-12-16,25.61,26.00,25.61,25.76,2179300,22.65
2009-12-15,25.68,25.96,25.48,25.51,2121000,22.43
2009-12-14,25.79,25.90,25.65,25.85,2304200,22.73
2009-12-11,25.40,25.93,25.30,25.70,3228400,22.60
2009-12-10,25.20,25.52,25.04,25.44,4033500,22.10
2009-12-09,24.72,25.25,24.58,25.09,3851100,21.80
2009-12-08,24.50,24.58,24.27,24.39,2832400,21.19
2009-12-07,24.79,24.85,24.38,24.58,2606600,21.36
2009-12-04,25.29,25.29,24.39,24.85,3255400,21.59
2009-12-03,25.23,25.29,24.73,24.80,2583500,21.55
2009-12-02,25.19,25.40,24.90,25.04,3368200,21.76
2009-12-01,25.40,25.55,24.99,25.28,2841100,21.96
2009-11-30,25.22,25.38,24.79,25.28,4075800,21.96
2009-11-27,25.08,25.45,25.00,25.24,2568800,21.93
2009-11-25,25.91,25.97,25.57,25.78,1960000,22.40
2009-11-24,25.96,26.06,25.67,25.88,2041200,22.49
2009-11-23,26.02,26.39,25.90,26.06,2964500,22.64
2009-11-20,25.84,25.93,25.47,25.76,3037400,22.38
2009-11-19,26.17,26.26,25.80,26.07,3070800,22.65
2009-11-18,26.40,26.50,26.06,26.27,2605100,22.82
2009-11-17,26.53,26.55,25.93,26.48,4074300,23.01
2009-11-16,26.91,27.05,26.45,26.57,3229900,23.08
2009-11-13,27.02,27.02,26.33,26.71,2887300,23.21
2009-11-12,27.11,27.38,26.87,26.94,1852000,23.41
2009-11-11,27.29,27.55,27.05,27.30,2386800,23.72
2009-11-10,27.68,27.68,26.93,26.97,2552700,23.43
2009-11-09,27.24,27.89,27.23,27.80,3284100,24.15
2009-11-06,25.92,27.18,25.88,26.87,3326200,23.35
2009-11-05,25.75,26.22,25.67,26.17,2197000,22.74
2009-11-04,25.96,26.25,25.51,25.55,2436600,22.20
2009-11-03,25.51,25.86,25.31,25.75,2794400,22.37
2009-11-02,26.03,26.20,25.31,25.86,4482600,22.47
2009-10-30,28.13,28.13,25.70,25.85,6696800,22.46
2009-10-29,27.20,27.67,26.83,27.58,3653500,23.96
2009-10-28,27.60,27.88,26.82,26.83,3694300,23.31
2009-10-27,28.24,28.46,27.64,27.76,2799000,24.12
2009-10-26,29.24,29.79,28.16,28.26,3784500,24.55
2009-10-23,29.35,29.57,29.08,29.15,2916500,25.33
2009-10-22,28.85,29.35,28.59,29.33,2809400,25.48
2009-10-21,28.90,29.68,28.76,28.81,3063300,25.03
2009-10-20,29.09,29.25,28.66,28.97,3184200,25.17
2009-10-19,29.32,29.32,28.88,29.06,3234400,25.25
2009-10-16,29.51,29.83,29.12,29.20,3434200,25.37
2009-10-15,29.59,29.96,29.59,29.94,3236900,26.01
2009-10-14,28.66,30.00,28.65,29.90,5767000,25.98
2009-10-13,28.32,28.50,28.06,28.32,1681300,24.61
2009-10-12,28.23,28.50,28.05,28.48,1890900,24.74
2009-10-09,28.26,28.38,27.72,28.11,2739700,24.42
2009-10-08,28.80,29.04,28.23,28.40,2985400,24.67
2009-10-07,27.83,28.74,27.70,28.71,3099000,24.94
2009-10-06,28.30,28.39,27.54,28.05,2310200,24.37
2009-10-05,27.54,28.18,27.40,28.13,2660900,24.44
2009-10-02,27.19,27.90,27.19,27.31,2191000,23.73
2009-10-01,28.90,28.90,27.72,27.76,2699600,24.12
2009-09-30,29.34,29.34,28.42,28.89,2475300,25.10
2009-09-29,28.76,29.15,28.61,28.74,1690000,24.97
2009-09-28,28.01,28.83,27.87,28.78,2390800,25.01
2009-09-25,28.19,28.45,27.83,28.02,2351800,24.34
2009-09-24,29.35,29.47,28.08,28.44,2832900,24.71
2009-09-23,29.80,29.99,29.05,29.15,2814200,25.33
2009-09-22,29.93,29.93,29.39,29.82,3321200,25.91
2009-09-21,29.92,30.09,29.25,29.42,2950200,25.56
2009-09-18,29.91,30.44,29.53,30.29,4269000,26.32
2009-09-17,29.41,30.14,29.28,29.84,3736400,25.93
2009-09-16,29.59,29.59,28.95,29.56,4021400,25.68
2009-09-15,28.47,29.56,28.25,29.23,3828900,25.40
2009-09-14,27.51,28.36,27.27,28.32,2804100,24.61
2009-09-11,28.14,28.14,27.74,27.78,3045800,24.14
2009-09-10,28.19,28.30,27.81,28.21,2077100,24.25
2009-09-09,28.07,28.35,27.75,28.28,2777200,24.31
2009-09-08,27.99,28.19,27.62,28.08,2515500,24.14
2009-09-04,27.15,27.66,26.90,27.61,2268500,23.73
2009-09-03,27.25,27.40,26.94,27.32,2075100,23.48
2009-09-02,26.98,27.44,26.84,27.03,2554500,23.23
2009-09-01,28.11,28.24,27.04,27.10,4464000,23.29
2009-08-31,27.85,28.38,27.73,28.34,2807800,24.36
2009-08-28,28.69,28.69,28.04,28.46,1818000,24.46
2009-08-27,28.55,28.73,28.17,28.52,2563900,24.52
2009-08-26,27.80,28.83,27.76,28.79,3441000,24.75
2009-08-25,27.65,28.13,27.65,27.96,3051400,24.03
2009-08-24,28.13,28.37,27.62,27.68,2918200,23.79
2009-08-21,28.06,28.18,27.67,27.93,2706800,24.01
2009-08-20,27.31,27.89,27.18,27.88,2912600,23.97
2009-08-19,27.18,27.44,26.96,27.27,2833200,23.44
2009-08-18,27.36,27.68,27.08,27.59,2561400,23.72
2009-08-17,27.90,28.00,27.06,27.11,2798500,23.30
2009-08-14,29.04,29.14,28.20,28.61,2286200,24.59
2009-08-13,29.43,29.65,28.84,29.12,2297400,25.03
2009-08-12,28.55,29.64,28.55,29.33,2966000,25.21
2009-08-11,28.58,29.36,28.52,28.69,3919200,24.66
2009-08-10,28.63,29.17,28.29,28.75,2300900,24.71
2009-08-07,27.86,29.18,27.74,28.77,3662000,24.73
2009-08-06,28.00,28.18,27.33,27.66,2479900,23.78
2009-08-05,27.44,27.96,26.97,27.84,3426700,23.93
2009-08-04,26.58,27.65,26.37,27.40,4924000,23.55
2009-08-03,27.23,27.30,26.56,26.77,3691100,23.01
2009-07-31,27.11,27.22,26.66,26.95,2998200,23.17
2009-07-30,26.90,27.98,26.52,27.21,3840000,23.39
2009-07-29,27.05,27.39,26.80,27.02,2464100,23.23
2009-07-28,27.00,27.37,26.66,27.20,2684200,23.38
2009-07-27,26.88,27.85,26.69,27.28,2133900,23.45
2009-07-24,26.69,27.04,26.18,26.92,2813300,23.14
2009-07-23,25.89,27.22,25.75,26.96,4832100,23.17
2009-07-22,26.29,26.43,25.73,25.90,3976400,22.26
2009-07-21,27.20,27.20,26.14,26.59,2793700,22.86
2009-07-20,26.75,27.15,26.62,26.87,2330800,23.10
2009-07-17,26.61,26.72,26.10,26.52,2166000,22.80
2009-07-16,26.65,26.99,26.09,26.61,2618900,22.87
2009-07-15,25.93,27.06,25.80,26.79,5198900,23.03
2009-07-14,25.97,26.15,25.31,25.59,3480200,22.00
2009-07-13,24.83,25.97,24.61,25.94,5068000,22.30
2009-07-10,24.04,24.68,24.04,24.44,3775700,21.01
2009-07-09,24.50,25.02,23.92,24.07,5279900,20.69
2009-07-08,25.09,25.19,23.70,24.28,7214800,20.87
2009-07-07,25.96,26.19,24.97,24.99,3347700,21.48
2009-07-06,25.42,26.09,25.10,26.06,4038400,22.40
2009-07-02,26.97,27.00,26.07,26.07,2833000,22.41
2009-07-01,27.41,27.78,27.21,27.35,2805900,23.51
2009-06-30,28.16,28.19,27.02,27.25,3062100,23.42
2009-06-29,27.78,28.38,27.66,28.12,2354100,24.17
2009-06-26,26.82,28.12,26.80,28.00,5296300,24.07
2009-06-25,26.28,27.12,26.06,27.10,2552100,23.29
2009-06-24,26.63,27.03,26.04,26.48,3689700,22.76
2009-06-23,26.52,26.68,25.84,26.49,3508800,22.77
2009-06-22,27.93,27.99,26.04,26.07,4403700,22.41
2009-06-19,28.42,28.61,28.07,28.33,3105700,24.35
2009-06-18,27.44,28.25,27.10,28.07,4628300,24.13
2009-06-17,28.17,28.37,26.90,27.08,5353600,23.28
2009-06-16,28.44,28.87,28.02,28.40,2906800,24.41
2009-06-15,29.27,29.41,28.21,28.34,3799100,24.36
2009-06-12,29.84,30.00,28.46,29.81,2683600,25.62
2009-06-11,29.96,30.50,29.85,30.02,3060500,25.80
2009-06-10,31.29,31.29,29.66,29.92,3523400,25.46
2009-06-09,29.68,30.93,29.65,30.68,4677200,26.11
2009-06-08,29.55,29.77,28.77,29.47,4970100,25.08
2009-06-05,30.80,30.97,29.07,29.83,5591700,25.38
2009-06-04,29.14,30.01,28.90,30.00,6532700,25.53
2009-06-03,30.30,30.42,29.20,29.81,4641900,25.37
2009-06-02,31.42,31.43,29.93,30.50,7001400,25.95
2009-06-01,30.55,31.93,30.50,31.12,6901100,26.48
2009-05-29,29.26,30.23,28.83,30.00,8937200,25.53
2009-05-28,27.95,29.17,27.45,29.14,4656600,24.80
2009-05-27,28.69,28.99,27.23,27.28,6207100,23.21
2009-05-26,26.86,28.79,26.81,28.69,5654100,24.41
2009-05-22,26.85,27.88,26.68,27.08,4634900,23.04
2009-05-21,24.97,26.89,24.97,26.76,6542200,22.77
2009-05-20,26.70,26.85,25.49,25.59,4537900,21.78
2009-05-19,25.89,26.94,25.61,26.27,5954500,22.36
2009-05-18,24.64,26.18,24.47,26.10,6298200,22.21
2009-05-15,24.13,25.10,24.07,24.19,4373500,20.59
2009-05-14,23.76,24.69,23.50,24.47,4980500,20.82
2009-05-13,23.74,24.61,23.51,23.71,6062100,20.18
2009-05-12,24.81,24.90,23.50,24.20,5604900,20.59
2009-05-11,25.14,25.49,24.35,24.38,4179800,20.75
2009-05-08,24.50,25.73,24.18,25.72,5915700,21.89
2009-05-07,25.99,26.10,23.52,23.81,6267000,20.26
2009-05-06,24.27,25.33,24.07,25.04,6635500,21.31
2009-05-05,23.86,24.46,23.57,24.00,5385500,20.42
2009-05-04,23.91,24.25,23.41,24.18,6674400,20.58
2009-05-01,23.44,23.85,23.03,23.30,4173900,19.83
2009-04-30,23.40,24.88,23.12,23.17,8342300,19.72
2009-04-29,21.88,22.69,21.80,22.52,4158000,19.16
2009-04-28,22.03,22.46,21.67,21.80,4026500,18.55
2009-04-27,22.29,23.00,22.25,22.47,4087700,19.12
2009-04-24,23.36,23.60,22.58,22.81,7085300,19.41
2009-04-23,21.45,23.57,21.10,23.37,9282400,19.89
2009-04-22,20.55,21.44,20.18,20.56,5242800,17.50
2009-04-21,19.62,21.14,19.55,21.12,5069800,17.97
2009-04-20,21.38,21.55,19.72,19.74,5549200,16.80
2009-04-17,21.87,22.25,21.45,22.00,4535000,18.72
2009-04-16,22.13,22.39,21.25,21.75,4718900,18.51
2009-04-15,21.38,21.88,20.91,21.80,4171200,18.55
2009-04-14,21.98,22.60,21.33,21.53,7206100,18.32
2009-04-13,20.87,22.83,20.87,22.53,6004500,19.17
2009-04-09,20.78,21.52,20.46,21.51,8199600,18.30
2009-04-08,19.49,19.93,19.25,19.83,4554800,16.87
2009-04-07,19.45,19.68,19.01,19.07,4576000,16.23
2009-04-06,19.94,20.26,19.50,19.99,4210100,17.01
2009-04-03,19.90,20.70,19.41,20.62,5548400,17.55
2009-04-02,19.11,20.12,19.11,19.71,8696200,16.77
2009-04-01,17.50,18.64,17.21,18.39,7154400,15.65
2009-03-31,17.68,18.17,17.16,17.90,5821300,15.23
2009-03-30,18.35,18.50,17.10,17.16,6426100,14.60
2009-03-27,19.30,19.82,18.95,19.08,4827600,16.24
2009-03-26,19.30,19.97,18.85,19.65,7490400,16.72
2009-03-25,19.29,19.56,17.92,18.93,6758900,16.11
2009-03-24,19.80,19.95,18.51,18.66,7389400,15.88
2009-03-23,19.21,20.47,18.84,20.45,7551600,17.40
2009-03-20,18.55,18.77,18.04,18.07,5833900,15.38
2009-03-19,20.15,20.17,18.45,18.55,6704600,15.79
2009-03-18,18.25,19.52,18.13,19.50,7736100,16.59
2009-03-17,17.04,18.60,17.04,18.58,5096600,15.81
2009-03-16,18.02,18.59,17.23,17.30,6224200,14.72
2009-03-13,18.09,18.10,16.90,17.71,5065500,15.07
2009-03-12,17.20,17.84,16.51,17.76,8424900,15.11
2009-03-11,17.35,17.63,16.61,17.33,7049500,14.75
2009-03-10,15.96,17.44,15.76,17.16,9905500,14.35
2009-03-09,15.04,15.89,14.75,15.56,5290800,13.01
2009-03-06,15.34,15.50,14.52,15.17,5254900,12.68
2009-03-05,15.65,16.23,14.94,15.10,6484000,12.63
2009-03-04,16.05,16.57,15.88,16.36,6646100,13.68
2009-03-03,16.01,16.39,15.35,15.64,6400800,13.08
2009-03-02,16.41,16.68,15.58,15.65,6398400,13.08
2009-02-27,17.20,17.75,16.82,16.88,6545700,14.11
2009-02-26,17.60,18.78,17.11,17.67,8451900,14.77
2009-02-25,17.09,17.70,16.32,17.05,7818900,14.26
2009-02-24,16.86,17.34,16.37,17.12,10940200,14.31
2009-02-23,18.25,18.40,16.54,16.57,5965900,13.85
2009-02-20,17.51,18.43,17.25,17.94,8339600,15.00
2009-02-19,18.99,19.05,17.71,17.97,7261200,15.02
2009-02-18,18.57,18.64,17.68,18.46,8337300,15.43
2009-02-17,18.50,18.87,18.00,18.01,6533100,15.06
2009-02-13,19.65,19.85,19.06,19.28,7646700,16.12
2009-02-12,19.93,20.00,18.90,19.82,9990500,16.57
2009-02-11,21.47,21.47,20.01,20.60,7581900,17.22
2009-02-10,21.30,23.10,20.75,20.92,10903400,17.49
