Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,38.65,38.70,38.12,38.12,694300,38.12
2009-12-30,38.30,38.71,38.30,38.48,641600,38.48
2009-12-29,38.38,38.42,38.11,38.30,399600,38.30
2009-12-28,38.62,38.67,38.23,38.33,611000,38.33
2009-12-24,38.46,38.68,38.20,38.54,323600,38.54
2009-12-23,38.39,38.61,38.03,38.39,717600,38.39
2009-12-22,38.32,38.63,38.17,38.33,1008700,38.33
2009-12-21,37.72,38.46,37.43,38.17,1155300,38.17
2009-12-18,37.51,37.61,36.91,37.55,1752500,37.55
2009-12-17,37.54,37.62,37.24,37.35,829000,37.35
2009-12-16,37.65,37.97,37.59,37.63,1330400,37.63
2009-12-15,37.71,37.95,37.46,37.52,973800,37.52
2009-12-14,37.77,38.04,37.65,37.92,1383600,37.92
2009-12-11,37.95,38.00,37.47,37.57,1142800,37.57
2009-12-10,37.75,38.08,37.50,37.61,1108800,37.61
2009-12-09,37.95,38.02,37.44,37.74,923700,37.74
2009-12-08,38.00,38.33,37.57,38.07,1207300,38.07
2009-12-07,38.31,38.62,38.04,38.34,1315100,38.34
2009-12-04,38.53,38.93,38.10,38.49,2191500,38.49
2009-12-03,39.26,39.26,38.42,38.43,1479100,38.43
2009-12-02,39.72,39.72,38.80,39.11,1334400,39.11
2009-12-01,39.00,39.50,38.79,39.18,1084800,39.18
2009-11-30,38.81,39.00,38.23,38.78,1183600,38.78
2009-11-27,38.65,39.66,38.52,38.99,564100,38.99
2009-11-25,39.03,39.65,39.00,39.58,1090100,39.58
2009-11-24,39.18,39.38,38.74,38.96,1163800,38.96
2009-11-23,39.16,39.72,39.07,39.24,1254300,39.24
2009-11-20,38.65,39.15,38.51,38.90,1354800,38.90
2009-11-19,39.20,39.43,38.69,38.97,1348200,38.97
2009-11-18,39.30,39.64,39.00,39.45,1265800,39.45
2009-11-17,39.81,39.99,39.18,39.55,1175400,39.55
2009-11-16,39.76,40.19,39.76,39.94,1286000,39.94
2009-11-13,39.30,39.89,39.15,39.74,1555500,39.74
2009-11-12,39.92,39.99,39.15,39.31,1928000,39.31
2009-11-11,39.52,40.40,39.40,40.26,3362900,40.26
2009-11-10,39.26,39.71,39.15,39.37,1774700,39.37
2009-11-09,38.77,39.56,38.60,39.56,2573100,39.56
2009-11-06,37.74,38.76,37.61,38.44,3285100,38.44
2009-11-05,37.31,37.97,37.14,37.78,2376100,37.78
2009-11-04,37.44,38.00,37.13,37.25,3182900,37.25
2009-11-03,37.12,37.67,36.83,37.45,1907400,37.45
2009-11-02,37.39,38.00,37.03,37.43,2916800,37.43
2009-10-30,37.56,37.88,37.05,37.28,3813300,37.28
2009-10-29,37.17,38.50,35.94,37.69,8780700,37.69
2009-10-28,34.74,35.10,33.61,33.68,3926200,33.68
2009-10-27,35.08,35.38,34.36,34.69,2670800,34.69
2009-10-26,35.10,35.78,34.77,34.92,3101500,34.92
2009-10-23,35.63,35.99,34.92,35.02,2426600,35.02
2009-10-22,35.71,36.04,35.13,35.81,2688700,35.81
2009-10-21,36.20,36.50,35.38,35.43,2819000,35.43
2009-10-20,36.80,37.10,36.05,36.08,3570400,36.08
2009-10-19,37.31,37.64,36.68,37.10,3355500,37.10
2009-10-16,37.45,37.45,36.57,37.24,2994000,37.24
2009-10-15,36.17,37.47,36.00,37.45,4643300,37.45
2009-10-14,34.66,36.43,34.65,36.39,4601000,36.39
2009-10-13,34.65,34.73,34.32,34.58,3887800,34.58
2009-10-12,35.15,35.59,34.54,34.92,4779500,34.92
2009-10-09,34.47,34.62,34.06,34.18,4044600,34.18
2009-10-08,35.07,35.09,34.30,34.41,5101600,34.41
2009-10-07,35.98,36.00,34.45,34.81,7192600,34.81
2009-10-06,35.93,36.40,35.77,36.08,2071600,36.08
2009-10-05,35.55,35.98,35.42,35.83,1944800,35.83
2009-10-02,35.70,35.92,35.26,35.43,1783700,35.43
2009-10-01,36.66,36.68,35.72,35.81,2473700,35.81
2009-09-30,36.41,36.51,35.70,36.14,3008800,36.14
2009-09-29,36.79,36.96,36.05,36.17,2527000,36.17
2009-09-28,36.35,37.00,36.09,36.64,1307900,36.64
2009-09-25,36.82,36.82,36.15,36.23,2610700,36.23
2009-09-24,36.38,37.08,35.91,36.76,3497200,36.76
2009-09-23,36.87,37.01,36.18,36.31,2532700,36.31
2009-09-22,37.60,37.66,36.98,37.51,1539500,37.51
2009-09-21,37.22,37.89,37.03,37.49,1627600,37.49
2009-09-18,37.25,37.58,36.70,37.42,1922100,37.42
2009-09-17,37.51,37.63,36.90,37.09,1346600,37.09
2009-09-16,37.11,37.68,36.81,37.52,2157200,37.52
2009-09-15,36.08,36.93,36.07,36.91,1991600,36.91
2009-09-14,36.45,36.75,36.00,36.68,1766600,36.68
2009-09-11,37.32,37.38,36.48,36.61,3003300,36.61
2009-09-10,38.11,38.15,37.18,37.35,1694300,37.35
2009-09-09,38.29,38.40,37.59,37.89,1953100,37.89
2009-09-08,37.60,38.65,37.51,38.61,2087000,38.61
2009-09-04,37.84,38.04,37.34,37.55,1646500,37.55
2009-09-03,37.68,38.00,37.18,37.73,1370500,37.73
2009-09-02,37.06,37.79,37.06,37.58,1398300,37.58
2009-09-01,38.02,38.57,37.18,37.47,2505400,37.47
2009-08-31,38.58,38.63,37.85,38.28,1726800,38.28
2009-08-28,38.72,38.95,38.07,38.71,1468000,38.71
2009-08-27,38.37,38.75,37.78,38.53,1315400,38.53
2009-08-26,38.53,39.05,38.21,38.60,1893900,38.60
2009-08-25,37.67,38.76,37.45,38.63,2826700,38.63
2009-08-24,38.35,38.35,37.27,37.29,1677300,37.29
2009-08-21,38.54,38.85,38.02,38.23,1851500,38.23
2009-08-20,38.18,38.30,37.54,38.19,1269300,38.19
2009-08-19,37.58,38.38,37.06,37.97,1749900,37.97
2009-08-18,37.17,37.93,36.59,37.73,2265300,37.73
2009-08-17,36.70,37.29,36.33,37.10,2203000,37.10
2009-08-14,37.47,37.69,36.72,37.02,1803700,37.02
2009-08-13,37.36,38.05,35.86,37.92,3771300,37.92
2009-08-12,38.00,38.58,37.61,37.73,1953600,37.73
2009-08-11,38.00,38.20,37.35,38.07,2111000,38.07
2009-08-10,39.04,39.13,37.87,38.22,1596500,38.22
2009-08-07,38.61,39.36,38.22,39.26,1505600,39.26
2009-08-06,38.63,39.28,38.11,38.21,2367800,38.21
2009-08-05,39.12,39.19,38.02,38.96,2737300,38.96
2009-08-04,39.11,39.71,38.78,39.09,2735600,39.09
2009-08-03,40.24,40.44,39.00,39.65,3295000,39.65
2009-07-31,42.15,42.26,40.66,40.66,3593000,40.66
2009-07-30,40.76,42.93,40.60,42.22,5194300,42.22
2009-07-29,40.52,41.43,40.21,40.55,2702700,40.55
2009-07-28,39.70,40.93,39.70,40.85,1476700,40.85
2009-07-27,41.20,41.20,39.59,40.07,2074200,40.07
2009-07-24,40.80,41.15,40.58,41.07,1440800,41.07
2009-07-23,40.68,41.41,40.37,41.10,1948100,41.10
2009-07-22,41.03,41.55,40.86,41.06,1457100,41.06
2009-07-21,41.10,41.41,40.21,41.03,1658100,41.03
2009-07-20,40.85,41.20,40.14,41.07,1450200,41.07
2009-07-17,40.92,41.11,40.43,40.73,1418900,40.73
2009-07-16,40.63,41.18,40.18,41.09,1680500,41.09
2009-07-15,40.19,40.95,40.00,40.88,2469300,40.88
2009-07-14,40.00,40.20,39.25,40.14,1822000,40.14
2009-07-13,39.35,40.17,38.71,40.00,1762100,40.00
2009-07-10,39.32,40.17,39.04,39.38,1412700,39.38
2009-07-09,40.04,40.40,39.51,39.59,2084100,39.59
2009-07-08,38.31,40.05,38.31,39.94,3860700,39.94
2009-07-07,38.25,38.35,37.83,38.01,2109400,38.01
2009-07-06,37.00,38.26,36.83,38.21,1589500,38.21
2009-07-02,37.75,38.00,37.14,37.43,1551500,37.43
2009-07-01,38.43,38.82,38.17,38.25,1236300,38.25
2009-06-30,38.42,38.87,37.80,38.08,1297700,38.08
2009-06-29,37.62,38.28,37.29,38.20,1124700,38.20
2009-06-26,37.53,38.07,37.46,37.60,3069300,37.60
2009-06-25,36.34,37.93,36.29,37.72,1366500,37.72
2009-06-24,36.94,37.24,36.25,36.65,1306200,36.65
2009-06-23,37.39,37.50,36.66,36.82,1233400,36.82
2009-06-22,37.04,37.87,36.48,37.44,1903300,37.44
2009-06-19,37.48,37.92,36.95,37.49,2645600,37.49
2009-06-18,36.80,37.50,36.71,37.32,1588700,37.32
2009-06-17,35.61,37.40,35.48,37.00,2256400,37.00
2009-06-16,35.93,35.98,34.96,35.41,2325300,35.41
2009-06-15,35.78,35.87,34.91,35.67,1589500,35.67
2009-06-12,36.11,36.39,35.26,36.04,2187300,36.04
2009-06-11,37.39,37.74,36.28,36.36,1523300,36.36
2009-06-10,38.13,38.47,36.87,37.44,1302400,37.44
2009-06-09,37.94,38.26,37.68,38.04,1163400,38.04
2009-06-08,37.50,38.33,36.70,37.92,1259500,37.92
2009-06-05,38.27,38.29,37.28,37.75,1624100,37.75
2009-06-04,38.29,38.66,37.37,37.99,1465400,37.99
2009-06-03,37.64,38.52,37.64,38.49,1821000,38.49
2009-06-02,37.27,38.69,37.14,38.60,2252100,38.60
