Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,38.48,38.50,37.71,37.76,1007600,33.14
2009-12-30,38.20,38.50,38.04,38.40,1002300,33.71
2009-12-29,38.26,38.69,38.14,38.28,1395000,33.60
2009-12-28,37.77,38.45,37.68,38.14,1474600,33.48
2009-12-24,37.29,37.54,37.11,37.52,440300,32.93
2009-12-23,36.78,37.24,36.56,37.14,1113000,32.60
2009-12-22,36.80,36.94,36.36,36.77,1108800,32.27
2009-12-21,36.53,36.71,36.39,36.50,1090900,32.04
2009-12-18,36.65,36.69,35.98,36.49,2314300,32.03
2009-12-17,36.70,36.86,36.26,36.56,1635700,32.09
2009-12-16,37.04,37.30,36.90,37.12,2200300,32.58
2009-12-15,36.78,36.94,36.35,36.84,1663600,32.34
2009-12-14,36.75,36.93,36.14,36.87,2299100,32.36
2009-12-11,35.71,36.58,35.71,36.53,1739700,32.06
2009-12-10,35.61,35.85,35.40,35.58,895000,31.23
2009-12-09,35.20,35.82,35.04,35.60,1561600,31.25
2009-12-08,35.37,35.87,35.00,35.12,2134300,30.83
2009-12-07,36.09,36.10,35.37,35.54,2210600,31.20
2009-12-04,35.13,35.73,34.75,35.34,1754100,31.02
2009-12-03,35.19,35.60,34.50,34.61,1916100,30.38
2009-12-02,34.68,35.24,34.46,34.95,1768300,30.68
2009-12-01,34.62,34.92,34.45,34.68,1744600,30.44
2009-11-30,33.62,34.56,33.43,34.49,2776200,30.27
2009-11-27,33.46,34.16,33.31,33.51,1009900,29.41
2009-11-25,34.41,34.53,34.21,34.45,1024800,30.24
2009-11-24,34.62,34.67,34.14,34.23,1509000,30.05
2009-11-23,34.59,34.97,34.37,34.60,1660600,30.37
2009-11-20,33.92,34.35,33.89,34.20,1298700,30.02
2009-11-19,34.70,34.72,34.08,34.16,1875200,29.98
2009-11-18,34.45,35.03,34.12,34.93,2266500,30.66
2009-11-17,34.46,34.85,34.29,34.39,2561800,30.19
2009-11-16,34.21,34.86,34.04,34.61,2205900,30.38
2009-11-13,33.44,33.98,33.44,33.94,1645900,29.79
2009-11-12,33.66,33.86,33.41,33.46,2169100,29.37
2009-11-11,34.16,34.40,33.83,34.16,1600700,29.62
2009-11-10,33.58,34.06,33.36,33.89,1583200,29.38
2009-11-09,33.25,33.95,33.00,33.94,2106600,29.42
2009-11-06,32.78,33.20,32.13,32.81,2334100,28.44
2009-11-05,32.51,33.35,32.51,33.13,2646400,28.72
2009-11-04,32.79,33.09,32.21,32.23,2721800,27.94
2009-11-03,31.89,32.62,31.65,32.51,2525800,28.18
2009-11-02,31.52,32.38,31.25,32.13,3231300,27.86
2009-10-30,31.71,31.86,30.71,31.29,3535700,27.13
2009-10-29,31.46,32.01,31.46,31.94,2721200,27.69
2009-10-28,32.22,32.58,31.07,31.13,2683100,26.99
2009-10-27,33.55,33.72,32.15,32.23,3095100,27.94
2009-10-26,33.07,33.72,32.57,32.76,2581000,28.40
2009-10-23,33.60,33.66,32.73,33.11,1665100,28.71
2009-10-22,32.97,33.62,32.38,33.49,2076500,29.03
2009-10-21,33.02,33.61,32.80,32.81,2336000,28.44
2009-10-20,33.36,33.48,33.00,33.23,1745200,28.81
2009-10-19,32.75,33.51,32.64,33.41,2014700,28.97
2009-10-16,32.47,32.81,32.25,32.58,2280300,28.25
2009-10-15,32.84,33.07,32.66,32.90,1913500,28.52
2009-10-14,32.78,33.23,32.61,33.13,2286900,28.72
2009-10-13,32.17,32.65,31.67,32.47,3841800,28.15
2009-10-12,32.48,32.72,32.14,32.33,2398100,28.03
2009-10-09,31.17,31.89,30.87,31.84,2568700,27.60
2009-10-08,30.26,31.29,30.26,31.20,2823200,27.05
2009-10-07,29.80,30.07,29.50,30.05,1668300,26.05
2009-10-06,30.24,30.45,29.46,29.84,1966300,25.87
2009-10-05,29.51,30.11,29.51,29.99,2208900,26.00
2009-10-02,29.31,30.00,29.05,29.46,2293500,25.54
2009-10-01,30.50,30.53,29.60,29.66,3194800,25.71
2009-09-30,31.11,31.40,30.43,30.64,2209300,26.56
2009-09-29,31.48,31.78,30.96,31.06,1796700,26.93
2009-09-28,30.84,31.51,30.74,31.48,2109800,27.29
2009-09-25,30.67,30.99,30.41,30.67,2014000,26.59
2009-09-24,31.67,32.00,30.67,30.89,2668900,26.78
2009-09-23,32.50,32.59,31.56,31.59,3560900,27.39
2009-09-22,31.57,32.54,31.57,32.49,2643500,28.17
2009-09-21,31.56,31.62,31.03,31.38,2017000,27.21
2009-09-18,32.09,32.37,31.45,31.80,2045400,27.57
2009-09-17,33.07,33.73,31.80,31.98,2809800,27.73
2009-09-16,31.80,33.13,31.75,33.07,3784200,28.67
2009-09-15,31.01,31.86,30.40,31.71,4461600,27.49
2009-09-14,29.90,30.99,29.75,30.97,1701200,26.85
2009-09-11,30.25,30.74,29.85,30.10,2397700,26.10
2009-09-10,29.74,29.99,29.12,29.92,1685000,25.94
2009-09-09,29.45,29.84,29.10,29.79,1815700,25.83
2009-09-08,29.19,29.50,28.95,29.50,2082300,25.58
2009-09-04,28.80,29.03,28.25,28.98,1369500,25.12
2009-09-03,28.26,28.74,27.77,28.68,3227600,24.86
2009-09-02,28.54,28.76,28.06,28.13,3068800,24.39
2009-09-01,30.23,30.27,28.65,28.67,4378600,24.86
