Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,61.52,61.53,60.56,60.63,5942200,55.11
2009-12-30,61.38,61.89,61.16,61.37,5666200,55.79
2009-12-29,61.16,61.88,61.15,61.58,7281400,55.98
2009-12-28,61.52,61.65,60.79,61.25,6880600,55.68
2009-12-24,61.25,61.48,61.05,61.28,3357000,55.70
2009-12-23,61.06,61.35,60.76,61.31,5630600,55.73
2009-12-22,61.14,61.50,61.02,61.30,7178900,55.72
2009-12-21,61.65,61.85,61.23,61.30,9550100,55.72
2009-12-18,61.98,62.00,60.41,61.55,22847800,55.95
2009-12-17,62.00,62.12,61.54,61.59,10983600,55.99
2009-12-16,62.38,62.67,62.12,62.16,9871800,56.50
2009-12-15,62.70,62.82,61.89,62.12,11430900,56.47
2009-12-14,62.54,63.08,62.39,63.01,9535800,57.28
2009-12-11,62.29,62.85,62.21,62.34,8932500,56.67
2009-12-10,62.35,62.85,62.08,62.24,10030400,56.58
2009-12-09,61.93,62.41,61.70,62.24,9118300,56.58
2009-12-08,62.14,62.30,61.60,61.87,11168700,56.24
2009-12-07,62.39,62.73,62.04,62.47,8948000,56.79
2009-12-04,63.15,63.30,62.25,62.60,11300000,56.90
2009-12-03,63.09,63.36,62.42,62.56,9844300,56.87
2009-12-02,62.93,63.39,62.85,63.19,9023800,57.44
2009-12-01,62.61,63.35,62.60,62.91,9560600,57.19
2009-11-30,62.37,63.00,62.12,62.35,12382400,56.68
2009-11-27,61.89,62.75,61.60,62.48,6195500,56.80
2009-11-25,62.94,63.48,62.70,62.87,8235200,57.15
2009-11-24,62.77,62.95,62.38,62.80,9769700,57.09
2009-11-23,62.20,62.96,62.12,62.73,10581500,57.02
2009-11-20,62.00,62.22,61.48,61.80,12353500,56.18
2009-11-19,62.16,62.29,61.51,62.15,9302600,56.50
2009-11-18,62.19,62.45,61.74,62.41,11983300,56.73
2009-11-17,62.18,62.68,62.08,62.31,11532100,56.64
2009-11-16,62.00,62.68,61.93,62.27,12542100,56.60
2009-11-13,61.30,61.85,61.04,61.61,11793200,56.00
2009-11-12,62.11,62.12,61.22,61.30,14167900,55.72
2009-11-11,61.87,62.28,61.52,62.23,9838800,56.57
2009-11-10,61.58,62.36,61.47,61.86,15118900,56.23
2009-11-09,61.19,61.90,60.84,61.85,14313000,56.22
2009-11-06,60.17,61.38,60.00,61.04,16008900,55.49
2009-11-05,59.24,60.64,59.08,60.47,16328800,54.97
2009-11-04,58.94,59.66,58.70,59.03,13176000,53.66
2009-11-03,58.45,58.92,58.20,58.58,12101200,53.25
2009-11-02,58.39,58.99,58.00,58.95,14739500,53.59
2009-10-30,59.18,59.54,57.86,58.00,21382000,52.72
2009-10-29,59.39,59.98,58.91,59.54,26539900,54.12
2009-10-28,56.98,57.92,56.97,57.23,15642700,52.02
2009-10-27,56.88,57.42,56.67,57.18,10433200,51.98
2009-10-26,57.65,57.86,56.58,56.90,10452900,51.72
2009-10-23,58.13,58.13,57.21,57.64,10811700,52.40
2009-10-22,57.48,58.32,57.37,58.13,10267200,52.84
2009-10-21,57.92,58.24,57.40,57.49,11468700,52.26
2009-10-20,57.93,58.85,57.88,58.13,11321300,52.44
2009-10-19,57.51,58.02,57.22,57.79,7892600,52.13
2009-10-16,57.12,57.69,57.10,57.44,12248700,51.82
2009-10-15,57.28,57.43,56.87,57.24,11793900,51.64
2009-10-14,57.49,57.49,57.03,57.31,8385300,51.70
2009-10-13,57.37,57.37,56.83,57.26,11280500,51.66
2009-10-12,57.67,58.37,57.42,57.50,7928200,51.87
2009-10-09,57.34,57.63,57.30,57.56,6466800,51.93
2009-10-08,57.37,57.85,57.14,57.65,12817100,52.01
2009-10-07,57.01,57.08,56.76,56.95,7593900,51.38
2009-10-06,56.88,57.24,56.79,57.03,12000200,51.45
