Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,54.26,54.42,53.85,53.88,442800,51.09
2009-12-30,54.35,54.69,54.16,54.35,515500,51.54
2009-12-29,54.90,54.90,54.31,54.46,642200,51.64
2009-12-28,55.23,55.23,54.38,54.81,548500,51.98
2009-12-24,55.09,55.17,54.87,54.96,150900,52.12
2009-12-23,54.60,55.06,54.00,54.80,817500,51.97
2009-12-22,54.58,54.94,54.15,54.48,902700,51.66
2009-12-21,54.57,54.82,54.23,54.50,925700,51.68
2009-12-18,54.27,54.65,53.49,53.99,1388900,51.20
2009-12-17,55.26,55.41,54.17,54.20,951000,51.40
2009-12-16,55.94,56.12,55.41,55.69,874600,52.81
2009-12-15,55.74,56.28,55.56,55.67,790200,52.79
2009-12-14,54.59,55.93,54.34,55.72,1277200,52.84
2009-12-11,53.80,54.39,53.66,54.00,997600,51.21
2009-12-10,54.28,54.69,53.67,53.76,681600,50.98
2009-12-09,54.97,54.97,53.30,53.92,1061300,51.13
2009-12-08,54.97,55.05,53.91,54.09,931200,51.29
2009-12-07,55.19,55.87,54.92,55.53,1473600,52.66
2009-12-04,55.14,55.63,54.44,55.31,1058100,52.45
2009-12-03,54.91,55.43,54.11,54.23,841400,51.43
2009-12-02,54.47,55.31,54.43,54.90,999600,52.06
2009-12-01,54.21,55.21,54.21,54.75,987600,51.92
2009-11-30,53.39,53.99,52.80,53.96,1148700,51.17
2009-11-27,53.29,54.35,52.64,53.57,649600,50.80
2009-11-25,54.89,55.37,54.62,55.02,851000,52.17
2009-11-24,54.48,55.12,53.82,54.88,1393800,52.04
2009-11-23,54.54,55.32,54.20,54.34,1277800,51.53
2009-11-20,53.41,54.34,53.41,53.98,1436800,51.19
2009-11-19,55.45,55.54,53.82,54.31,1179900,51.50
2009-11-18,55.97,56.18,54.81,55.81,1441400,52.92
2009-11-17,56.84,56.84,55.90,56.09,1611100,53.19
2009-11-16,55.30,57.11,55.30,56.96,1562000,53.78
2009-11-13,55.50,55.60,54.70,55.00,2010500,51.93
2009-11-12,56.03,56.48,55.16,55.29,1190400,52.20
2009-11-11,57.41,57.67,55.55,56.11,1579700,52.97
2009-11-10,57.67,57.72,56.43,57.15,888300,53.96
2009-11-09,56.70,57.46,56.57,57.46,1038600,54.25
2009-11-06,56.21,57.13,55.93,56.14,996300,53.00
2009-11-05,55.07,56.68,54.76,56.63,1273400,53.47
2009-11-04,55.59,55.94,54.37,54.53,1804400,51.48
2009-11-03,52.90,55.48,52.69,55.25,2572400,52.16
2009-11-02,53.15,54.38,52.46,53.59,1455300,50.60
2009-10-30,54.07,54.43,52.60,52.96,1760700,50.00
2009-10-29,53.77,54.49,53.18,54.30,1509700,51.27
2009-10-28,54.09,54.52,52.84,53.07,1976600,50.10
2009-10-27,55.81,56.18,54.03,54.15,1864100,51.12
2009-10-26,56.95,58.19,55.52,55.73,1777700,52.62
2009-10-23,57.81,57.94,56.64,56.86,1442300,53.68
2009-10-22,56.41,58.18,55.76,57.74,1725800,54.51
2009-10-21,57.50,58.20,56.14,56.26,2095500,53.12
2009-10-20,58.60,59.36,56.46,57.97,3710400,54.73
2009-10-19,53.75,55.41,53.30,55.26,2198200,52.17
2009-10-16,53.01,53.57,52.27,53.27,1304100,50.29
