Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,20.77,20.83,20.59,20.59,433100,19.87
2009-12-30,20.75,20.82,20.70,20.73,443700,20.01
2009-12-29,20.75,20.84,20.62,20.79,616700,20.06
2009-12-28,20.58,20.68,20.55,20.66,381100,19.94
2009-12-24,20.50,20.63,20.50,20.58,254900,19.86
2009-12-23,20.39,20.52,20.28,20.51,317000,19.79
2009-12-22,20.27,20.40,20.08,20.29,913500,19.58
2009-12-21,20.19,20.50,20.04,20.26,959500,19.55
2009-12-18,20.32,20.37,19.96,20.12,976800,19.42
2009-12-17,20.35,20.36,20.15,20.19,801200,19.48
2009-12-16,20.50,20.60,20.36,20.40,811300,19.69
2009-12-15,20.22,20.50,20.21,20.50,1063500,19.78
2009-12-14,19.98,20.39,19.98,20.34,946000,19.63
2009-12-11,19.62,19.93,19.62,19.92,691500,19.22
2009-12-10,19.58,19.75,19.52,19.66,521900,18.97
2009-12-09,19.39,19.43,19.18,19.41,470400,18.73
2009-12-08,19.58,19.65,19.36,19.44,645200,18.76
2009-12-07,19.66,19.82,19.57,19.67,384300,18.98
2009-12-04,19.57,19.70,19.39,19.69,976500,19.00
2009-12-03,19.43,19.60,19.23,19.24,706600,18.57
2009-12-02,19.23,19.45,19.08,19.43,826300,18.75
2009-12-01,19.01,19.29,18.87,19.17,827100,18.50
2009-11-30,19.00,19.00,18.53,18.87,1280900,18.21
2009-11-27,18.74,19.21,18.74,18.99,416500,18.33
2009-11-25,19.27,19.42,19.15,19.42,541200,18.74
2009-11-24,19.17,19.33,18.95,19.24,633000,18.57
2009-11-23,19.26,19.48,19.05,19.17,1125700,18.50
2009-11-20,19.20,19.27,18.87,19.04,1335700,18.37
2009-11-19,19.66,19.75,19.26,19.36,746600,18.68
2009-11-18,19.91,19.91,19.53,19.79,989400,19.10
2009-11-17,19.73,20.12,19.67,19.90,1845300,19.20
2009-11-16,19.47,19.87,19.43,19.76,881900,19.07
2009-11-13,19.35,19.63,19.21,19.43,731400,18.75
2009-11-12,19.61,19.68,19.28,19.34,516800,18.66
2009-11-11,19.66,19.68,19.39,19.60,979500,18.92
2009-11-10,19.48,19.62,19.36,19.60,1075100,18.92
2009-11-09,19.14,19.44,18.89,19.41,977300,18.73
2009-11-06,18.78,19.07,18.69,18.94,783600,18.28
2009-11-05,18.60,18.99,18.60,18.92,773000,18.26
2009-11-04,18.64,18.75,18.46,18.48,1635500,17.83
2009-11-03,18.63,18.63,18.22,18.51,1941700,17.86
2009-11-02,18.67,18.99,18.56,18.70,1943500,18.05
2009-10-30,19.38,20.50,18.50,18.61,3189600,17.96
2009-10-29,18.54,19.05,18.41,18.97,2205500,18.31
2009-10-28,19.22,19.23,18.44,18.45,1247000,17.81
2009-10-27,19.49,19.49,19.02,19.23,1466900,18.56
2009-10-26,19.73,19.95,19.32,19.33,1158900,18.65
2009-10-23,19.80,19.97,19.65,19.73,1030200,19.04
2009-10-22,20.07,20.08,19.74,19.80,2254800,19.11
2009-10-21,20.08,20.39,19.97,19.99,1559500,19.29
2009-10-20,20.94,20.94,20.10,20.21,1941300,19.44
2009-10-19,20.70,21.05,20.54,20.99,1174900,20.19
2009-10-16,20.78,20.89,20.57,20.63,1464600,19.84
2009-10-15,20.53,21.09,20.48,20.91,3124600,20.11
2009-10-14,19.84,20.55,19.82,20.55,1461100,19.76
2009-10-13,19.52,19.74,19.48,19.71,703800,18.96
2009-10-12,19.65,19.72,19.43,19.51,415800,18.76
2009-10-09,19.59,19.70,19.48,19.63,538200,18.88
2009-10-08,19.54,19.83,19.46,19.56,808200,18.81
2009-10-07,19.25,19.45,19.13,19.43,688300,18.69
2009-10-06,19.28,19.62,18.67,19.33,1054900,18.59
2009-10-05,18.98,19.23,18.62,19.19,1101100,18.46
2009-10-02,18.60,19.03,18.60,18.78,1768000,18.06
2009-10-01,19.14,19.18,18.77,18.77,1225300,18.05
2009-09-30,19.45,19.45,18.83,19.24,1480400,18.50
2009-09-29,19.45,19.54,19.22,19.42,985400,18.68
2009-09-28,19.35,19.64,19.31,19.38,1106900,18.64
2009-09-25,19.17,19.35,18.98,19.31,1068200,18.57
2009-09-24,19.66,19.84,18.96,19.14,1655700,18.41
2009-09-23,19.93,20.00,19.49,19.65,1527800,18.90
2009-09-22,19.84,19.93,19.63,19.82,1702500,19.06
2009-09-21,19.96,20.08,19.60,19.80,1431500,19.04
2009-09-18,20.16,20.25,19.99,20.15,1860400,19.38
2009-09-17,20.00,20.26,20.00,20.06,2063100,19.29
2009-09-16,19.35,20.08,19.22,20.07,819400,19.30
2009-09-15,19.25,19.37,18.95,19.28,764900,18.54
2009-09-14,19.19,19.43,19.17,19.31,892900,18.57
2009-09-11,19.50,19.69,19.24,19.25,939700,18.51
2009-09-10,18.58,19.45,18.40,19.40,1501100,18.66
2009-09-09,18.15,18.71,18.15,18.60,647100,17.89
2009-09-08,18.17,18.26,17.89,18.17,831200,17.47
2009-09-04,17.51,18.12,17.46,18.07,912100,17.38
2009-09-03,17.59,17.73,17.38,17.49,1029900,16.82
2009-09-02,17.80,17.91,17.48,17.56,885600,16.89
2009-09-01,18.17,18.65,17.83,17.88,1141100,17.20
2009-08-31,18.10,18.28,17.91,18.25,963100,17.55
2009-08-28,18.42,18.60,18.06,18.20,647200,17.50
2009-08-27,18.15,18.43,17.96,18.37,1004400,17.67
2009-08-26,17.96,18.25,17.91,18.14,1667700,17.45
2009-08-25,18.31,18.45,18.01,18.01,916000,17.32
2009-08-24,18.29,18.46,18.14,18.26,892300,17.56
2009-08-21,17.80,18.26,17.75,18.21,1218200,17.51
2009-08-20,17.42,17.82,17.28,17.75,1523800,17.07
2009-08-19,17.07,17.39,16.97,17.32,1681000,16.66
2009-08-18,17.21,17.36,17.11,17.24,1418200,16.58
2009-08-17,17.53,17.53,17.13,17.20,1158100,16.54
2009-08-14,17.87,17.87,17.25,17.59,1567900,16.92
2009-08-13,17.42,17.83,17.14,17.80,2833500,17.12
2009-08-12,16.89,17.07,16.77,16.86,2200500,16.21
2009-08-11,17.17,17.23,16.88,16.94,1100600,16.29
2009-08-10,17.06,17.39,17.05,17.17,1174600,16.51
2009-08-07,17.18,17.31,16.97,17.16,1345700,16.50
2009-08-06,17.33,17.37,16.95,17.00,1351000,16.35
2009-08-05,17.41,17.56,17.16,17.30,2207900,16.64
2009-08-04,17.39,17.85,17.22,17.45,2626400,16.78
2009-08-03,17.83,18.16,17.19,17.54,3385200,16.87
2009-07-31,16.64,17.83,15.67,17.63,7938100,16.96
2009-07-30,19.09,19.48,18.90,19.09,2536300,18.36
2009-07-29,18.62,18.83,18.40,18.80,1719600,18.08
2009-07-28,18.39,18.72,18.32,18.65,1709300,17.94
2009-07-27,18.36,18.72,18.26,18.42,1128300,17.71
2009-07-24,17.71,18.18,17.70,18.18,1542200,17.48
2009-07-23,17.57,18.04,17.48,17.79,2654300,17.11
2009-07-22,17.78,17.83,17.44,17.49,1632600,16.82
2009-07-21,17.95,18.05,17.69,17.79,747900,17.11
2009-07-20,17.60,17.73,17.51,17.70,603900,17.02
2009-07-17,17.43,17.55,17.24,17.50,877800,16.83
2009-07-16,17.50,17.60,17.38,17.46,1467700,16.79
2009-07-15,17.28,17.52,17.15,17.50,795100,16.83
2009-07-14,16.86,17.23,16.77,17.15,1274400,16.43
2009-07-13,16.75,16.99,16.57,16.91,1289600,16.20
2009-07-10,16.43,16.88,16.12,16.73,1405400,16.02
2009-07-09,16.14,16.14,15.79,15.97,653300,15.30
2009-07-08,16.47,16.53,15.82,16.04,1459500,15.36
2009-07-07,16.79,16.88,16.40,16.41,937600,15.72
2009-07-06,16.68,16.87,16.55,16.80,882000,16.09
2009-07-02,17.35,17.35,16.80,16.80,967800,16.09
2009-07-01,17.46,17.65,17.36,17.53,1340500,16.79
2009-06-30,17.29,17.47,17.16,17.40,1692800,16.67
2009-06-29,17.03,17.36,16.85,17.29,984600,16.56
2009-06-26,17.18,17.28,16.76,17.01,2736100,16.29
2009-06-25,17.00,17.28,16.87,17.20,1754400,16.47
2009-06-24,17.10,17.23,16.93,17.02,1198300,16.30
2009-06-23,16.64,17.23,16.33,16.96,2613000,16.24
2009-06-22,17.76,17.90,17.43,17.47,1386100,16.73
2009-06-19,18.10,18.37,17.96,17.99,1775000,17.23
2009-06-18,17.35,18.23,17.21,17.95,2441800,17.19
2009-06-17,17.05,17.40,16.83,17.28,1079900,16.55
2009-06-16,16.82,17.11,16.63,17.05,1786400,16.33
2009-06-15,17.15,17.20,16.59,16.78,1469700,16.07
2009-06-12,16.96,17.42,16.96,17.32,766100,16.59
2009-06-11,17.06,17.56,16.88,17.32,909500,16.59
2009-06-10,16.93,17.31,16.90,17.06,1296900,16.34
