Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,36.74,36.86,36.19,36.20,575600,34.59
2009-12-30,36.91,37.09,36.60,36.69,971500,35.06
2009-12-29,36.90,37.10,36.78,37.02,687100,35.37
2009-12-28,37.11,37.15,36.83,36.92,1480600,35.28
2009-12-24,36.42,37.25,36.33,37.12,621500,35.47
2009-12-23,35.77,36.27,35.65,36.27,535300,34.66
2009-12-22,35.94,36.16,35.55,35.63,661500,34.04
2009-12-21,35.91,36.13,35.82,35.94,816100,34.34
2009-12-18,35.85,35.85,35.16,35.65,1527500,34.06
2009-12-17,34.05,35.53,34.00,35.39,1955600,33.82
2009-12-16,34.39,34.68,34.27,34.34,819200,32.81
2009-12-15,34.38,34.61,34.26,34.32,814600,32.79
2009-12-14,35.05,35.05,34.31,34.66,1038200,33.12
2009-12-11,34.14,34.93,34.12,34.63,1066400,33.09
2009-12-10,34.36,34.50,33.29,34.08,3068600,32.56
2009-12-09,31.64,31.64,31.06,31.39,822700,29.99
2009-12-08,31.87,31.87,31.23,31.57,869900,30.17
2009-12-07,32.36,32.43,32.04,32.07,729800,30.64
2009-12-04,32.11,32.35,31.72,32.23,855000,30.80
2009-12-03,32.04,32.19,31.50,31.51,786500,30.11
2009-12-02,32.14,32.40,31.90,32.04,828100,30.61
2009-12-01,32.28,32.32,31.89,32.21,813800,30.78
2009-11-30,32.00,32.00,31.31,31.83,1235200,30.41
2009-11-27,31.61,32.39,31.53,32.13,404600,30.70
2009-11-25,32.44,32.75,32.26,32.72,599400,31.26
2009-11-24,32.55,32.66,32.17,32.45,635800,31.01
2009-11-23,32.64,32.99,32.32,32.48,706400,31.03
2009-11-20,32.02,32.41,32.02,32.25,961200,30.81
2009-11-19,33.14,33.23,31.77,32.35,1535600,30.91
2009-11-18,33.85,34.12,32.96,33.59,1707900,32.10
2009-11-17,34.92,34.92,34.22,34.62,615200,33.08
2009-11-16,34.61,35.23,34.50,34.87,1021900,33.32
2009-11-13,34.09,34.82,33.87,34.44,686600,32.91
2009-11-12,34.03,34.38,33.88,33.94,562000,32.43
2009-11-11,34.03,34.52,33.91,34.10,703500,32.58
2009-11-10,33.87,34.25,33.58,33.89,462900,32.38
2009-11-09,33.56,34.07,33.36,34.05,506500,32.53
2009-11-06,32.89,33.40,32.78,33.23,839800,31.75
2009-11-05,32.27,33.34,32.27,33.34,553800,31.86
2009-11-04,32.50,32.84,32.13,32.16,900200,30.73
2009-11-03,31.76,32.46,31.60,32.34,1326800,30.90
2009-11-02,32.00,32.59,31.43,31.83,1631000,30.41
2009-10-30,33.52,33.60,31.74,31.74,2207300,30.33
2009-10-29,32.40,34.22,32.21,33.90,3305100,32.39
2009-10-28,31.32,32.60,30.74,32.21,3007700,30.78
2009-10-27,31.95,32.09,31.31,31.45,1169600,30.05
2009-10-26,32.91,33.24,31.85,31.95,1157600,30.53
2009-10-23,33.67,33.67,32.75,32.88,785000,31.42
2009-10-22,32.92,33.61,32.42,33.54,1047300,32.05
2009-10-21,33.34,33.84,33.08,33.09,855900,31.62
2009-10-20,33.79,33.79,33.38,33.48,935900,31.99
2009-10-19,33.31,33.83,33.31,33.61,698500,32.11
2009-10-16,33.49,33.49,32.92,33.32,449300,31.84
2009-10-15,33.45,33.79,33.27,33.77,478000,32.27
2009-10-14,32.96,33.59,32.84,33.54,488100,32.05
2009-10-13,32.51,32.70,32.31,32.47,420700,31.02
2009-10-12,32.49,32.75,32.39,32.64,669400,31.19
2009-10-09,32.12,32.49,31.97,32.45,749100,31.01
2009-10-08,31.98,32.27,31.79,32.06,735500,30.63
2009-10-07,31.68,31.93,31.63,31.81,757200,30.39
2009-10-06,31.90,32.32,31.70,31.99,1150900,30.43
2009-10-05,31.01,31.93,30.88,31.64,1157900,30.09
2009-10-02,31.19,31.24,30.64,30.83,723800,29.32
2009-10-01,32.23,32.23,31.32,31.32,750900,29.79
2009-09-30,32.90,33.08,31.97,32.28,1234000,30.70
2009-09-29,32.85,33.28,32.74,32.95,829700,31.34
2009-09-28,32.86,33.34,32.63,32.90,884900,31.29
2009-09-25,33.47,33.74,32.59,32.65,1144200,31.06
2009-09-24,34.00,34.10,33.32,33.56,525000,31.92
2009-09-23,34.31,34.54,33.85,33.94,517300,32.28
2009-09-22,34.01,34.54,33.77,34.20,452300,32.53
2009-09-21,33.72,33.92,33.55,33.67,582500,32.03
2009-09-18,33.55,34.18,33.37,34.18,780200,32.51
2009-09-17,33.84,34.10,33.16,33.35,1027200,31.72
2009-09-16,33.22,34.04,32.97,34.04,895200,32.38
2009-09-15,32.79,33.27,31.92,33.21,962000,31.59
2009-09-14,32.33,32.60,31.87,32.60,782700,31.01
