Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,59.45,59.45,58.49,58.54,384700,54.04
2009-12-30,59.02,59.66,58.75,59.26,703900,54.71
2009-12-29,59.75,60.00,59.17,59.36,861700,54.80
2009-12-28,59.50,60.16,59.36,59.79,1140500,55.19
2009-12-24,59.35,59.74,59.25,59.57,165800,54.99
2009-12-23,59.14,59.33,58.44,59.30,626300,54.74
2009-12-22,58.54,59.07,58.24,58.87,697700,54.35
2009-12-21,58.08,58.65,57.85,58.23,683000,53.75
2009-12-18,58.74,58.90,57.65,57.78,1521800,53.34
2009-12-17,59.20,59.20,58.23,58.31,662200,53.83
2009-12-16,59.21,59.61,58.96,59.28,874100,54.72
2009-12-15,59.35,59.98,58.68,58.81,1044100,54.29
2009-12-14,58.90,59.76,58.65,59.69,1074800,55.10
2009-12-11,59.42,59.42,58.03,58.51,1439600,54.01
2009-12-10,59.72,60.13,58.72,59.04,1242100,54.50
2009-12-09,58.95,59.49,58.15,59.44,1017500,54.87
2009-12-08,59.87,59.98,58.65,58.84,1177600,54.32
2009-12-07,60.17,60.81,60.08,60.33,971700,55.69
2009-12-04,60.48,60.64,59.70,60.38,2130200,55.74
2009-12-03,60.76,60.81,59.55,59.59,827400,55.01
2009-12-02,60.00,61.07,59.68,60.55,1076400,55.90
2009-12-01,60.05,60.37,59.75,59.91,930700,55.31
2009-11-30,59.33,59.90,58.85,59.43,918200,54.86
2009-11-27,59.24,60.07,58.81,59.33,409000,54.77
2009-11-25,60.12,60.97,59.91,60.67,587000,56.01
2009-11-24,60.39,60.85,59.69,59.85,1348000,55.25
2009-11-23,59.79,61.15,59.79,60.53,1967800,55.88
2009-11-20,59.09,59.53,58.67,59.25,1092600,54.70
2009-11-19,60.17,60.17,58.91,59.48,1223300,54.91
2009-11-18,61.39,61.39,60.08,60.51,1103700,55.86
2009-11-17,61.13,61.50,60.78,61.26,741000,56.55
2009-11-16,60.72,61.66,60.72,61.43,929000,56.71
2009-11-13,60.40,60.86,59.76,60.36,966300,55.72
2009-11-12,61.10,61.20,59.81,60.23,1087700,55.60
2009-11-11,61.49,61.73,60.79,61.18,818200,56.48
2009-11-10,60.71,61.25,60.41,60.97,1081000,56.28
2009-11-09,59.27,60.87,59.16,60.87,1078800,56.19
2009-11-06,58.61,59.51,58.21,58.80,1064900,54.28
2009-11-05,58.15,59.35,57.95,59.19,1016600,54.14
2009-11-04,58.53,58.70,57.53,57.66,1112800,52.74
2009-11-03,56.99,58.14,56.17,57.98,1301300,53.04
2009-11-02,56.74,57.74,56.21,57.49,1930800,52.59
2009-10-30,58.20,58.20,55.89,56.43,1626500,51.62
2009-10-29,57.89,58.46,57.55,58.41,2080500,53.43
2009-10-28,58.99,59.57,57.13,57.25,2230500,52.37
2009-10-27,58.07,59.47,58.02,59.00,1782600,53.97
2009-10-26,59.34,60.14,57.82,58.21,1436900,53.25
2009-10-23,60.77,60.97,59.02,59.34,1098400,54.28
2009-10-22,59.67,60.86,58.95,60.68,1259100,55.51
2009-10-21,61.21,61.87,59.54,59.67,1579700,54.58
2009-10-20,61.92,61.92,60.62,61.21,1011200,55.99
2009-10-19,61.17,62.31,61.17,61.97,1077100,56.69
2009-10-16,61.89,61.89,60.73,61.30,1879100,56.07
2009-10-15,59.85,62.23,59.85,62.08,2651100,56.79
2009-10-14,61.11,61.85,61.06,61.53,1440900,56.28
2009-10-13,59.80,60.71,59.72,60.64,818200,55.47
2009-10-12,59.74,60.48,59.69,60.11,815000,54.98
2009-10-09,59.29,59.76,58.92,59.75,785000,54.65
2009-10-08,58.47,59.37,58.29,59.22,1211700,54.17
2009-10-07,58.03,58.32,57.45,57.87,679900,52.93
2009-10-06,58.03,58.81,57.00,58.03,1397300,53.08
2009-10-05,56.52,57.64,56.20,57.54,1069100,52.63
2009-10-02,55.94,56.93,55.27,56.26,1178800,51.46
2009-10-01,58.20,58.34,56.49,56.56,1496500,51.74
2009-09-30,58.78,59.03,57.63,58.21,2281700,53.25
2009-09-29,58.75,59.51,58.62,58.74,1009600,53.73
2009-09-28,58.05,59.25,57.81,58.76,1046100,53.75
2009-09-25,58.10,58.52,57.33,57.65,1198100,52.73
2009-09-24,59.33,59.63,58.17,58.52,1054800,53.53
2009-09-23,60.38,60.38,59.00,59.05,1784600,54.01
2009-09-22,60.43,60.44,59.85,60.12,1326900,54.99
2009-09-21,58.82,60.01,58.43,59.69,1969400,54.60
2009-09-18,59.41,60.01,59.33,59.65,1771700,54.56
2009-09-17,59.95,60.23,58.86,59.28,2368500,54.22
2009-09-16,60.05,60.45,59.67,59.89,2886500,54.78
2009-09-15,57.92,59.60,57.58,59.41,2242200,54.34
2009-09-14,56.94,57.95,56.52,57.91,1066500,52.97
2009-09-11,57.22,57.65,56.72,57.30,1578900,52.41
2009-09-10,56.40,57.08,55.91,56.99,2387700,52.13
2009-09-09,55.29,56.64,54.84,56.46,2543800,51.65
2009-09-08,55.14,55.60,54.76,55.39,2267000,50.67
2009-09-04,54.06,54.92,53.50,54.89,1574900,50.21
2009-09-03,54.30,54.30,53.47,54.11,1387700,49.50
2009-09-02,53.82,54.19,53.31,53.93,1682300,49.33
2009-09-01,55.07,55.86,53.93,54.08,1745000,49.47
2009-08-31,55.24,55.47,54.77,55.40,1290600,50.68
2009-08-28,55.54,56.42,54.90,55.94,2482000,51.17
2009-08-27,53.66,55.41,53.06,55.19,2583800,50.48
2009-08-26,54.16,54.75,53.50,53.74,1317700,49.16
2009-08-25,54.60,55.43,54.16,54.29,1315700,49.66
2009-08-24,54.88,55.23,54.01,54.15,969400,49.53
2009-08-21,53.63,54.70,53.31,54.55,1141600,49.90
2009-08-20,53.43,53.73,52.65,53.15,1172000,48.62
2009-08-19,52.38,53.82,52.25,53.43,2072900,48.87
2009-08-18,53.04,53.43,52.34,52.95,1658400,48.43
