Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,82.91,84.01,81.38,81.45,1081200,74.08
2009-12-30,82.61,82.86,82.00,82.85,793200,75.36
2009-12-29,84.33,84.45,82.40,82.62,644100,75.15
2009-12-28,84.07,85.10,83.52,83.86,628300,76.27
2009-12-24,83.48,84.16,83.18,84.13,431500,76.52
2009-12-23,82.17,83.50,81.74,82.85,1054500,75.36
2009-12-22,80.40,82.07,80.11,81.93,1280900,74.52
2009-12-21,79.71,80.58,79.42,80.50,962100,73.22
2009-12-18,79.57,79.60,78.16,79.36,1338500,72.18
2009-12-17,78.87,79.74,78.59,79.36,926200,72.18
2009-12-16,79.00,79.87,78.20,79.29,1196500,72.12
2009-12-15,78.30,79.12,78.17,78.29,920100,71.21
2009-12-14,79.63,79.63,77.59,79.06,1063400,71.91
2009-12-11,76.53,77.74,76.38,77.70,1120500,70.67
2009-12-10,77.14,77.50,76.23,76.81,1146100,69.36
2009-12-09,77.21,77.64,76.80,76.97,1226200,69.51
2009-12-08,77.82,78.30,76.98,77.31,1314200,69.81
2009-12-07,79.66,79.83,77.42,78.07,1277200,70.50
2009-12-04,79.00,80.32,78.40,79.81,2063500,72.07
2009-12-03,80.41,81.09,77.72,78.01,1845800,70.45
2009-12-02,79.81,80.67,79.45,79.98,1909100,72.22
2009-12-01,80.31,80.31,79.50,79.91,1530100,72.16
2009-11-30,76.69,79.96,76.18,79.58,2122700,71.86
2009-11-27,77.44,77.73,76.34,76.44,780000,69.03
2009-11-25,79.49,79.49,78.52,78.81,1058200,71.17
2009-11-24,79.76,79.76,78.62,78.80,1385400,71.16
2009-11-23,79.85,80.57,79.15,79.64,1442600,71.92
2009-11-20,78.75,78.96,78.50,78.60,2249600,70.98
2009-11-19,79.94,80.08,78.94,78.97,2529700,71.31
2009-11-18,80.14,80.87,79.32,80.69,1568500,72.87
2009-11-17,80.76,81.47,79.89,79.91,2086800,72.16
2009-11-16,80.70,82.02,80.41,81.17,1790700,73.30
2009-11-13,79.11,80.47,79.02,79.94,1301700,72.19
2009-11-12,79.40,80.21,78.51,78.79,1282700,71.15
2009-11-11,79.66,80.58,78.69,79.55,1856300,71.84
2009-11-10,78.84,79.14,77.88,78.70,1342900,71.07
2009-11-09,76.57,79.30,76.56,79.15,1897100,71.47
2009-11-06,76.67,77.33,75.39,75.98,1711500,68.61
2009-11-05,75.28,76.85,75.24,76.69,1366800,69.25
2009-11-04,75.79,77.46,74.57,74.69,2269000,67.45
2009-11-03,73.22,75.24,72.91,75.21,2225400,67.92
2009-11-02,73.62,74.97,72.02,73.98,2025700,66.81
2009-10-30,74.08,74.42,71.93,73.60,2763600,66.46
2009-10-29,72.25,74.77,71.95,74.67,1841200,67.43
2009-10-28,73.68,74.59,71.33,71.39,2013000,64.47
2009-10-27,74.27,74.81,73.69,73.99,1691500,66.82
2009-10-26,74.97,76.09,74.17,74.37,1945400,67.16
2009-10-23,74.64,75.24,74.23,74.75,1818700,67.50
2009-10-22,72.84,74.77,71.77,74.68,1364400,67.44
2009-10-21,73.95,74.97,72.63,72.80,1773600,65.74
2009-10-20,74.15,74.65,72.96,74.29,1763400,67.09
2009-10-19,73.76,74.89,73.01,74.31,1633900,67.10
2009-10-16,72.77,73.85,72.77,73.23,1683500,66.13
